SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
AARON,ST,03-09-2018,38.0,36.1,39.6,36.1,-,38.7,38.19,"2,97,000","1,13,42,700.00",98,-,-
AARON,ST,04-09-2018,38.7,39.5,39.5,38.35,-,38.7,38.55,"78,000","30,06,750.00",26,-,-
AARON,ST,05-09-2018,38.7,38.4,38.5,38.35,-,38.35,38.44,"12,000","4,61,250.00",4,-,-
AARON,ST,06-09-2018,38.35,38.5,38.5,38.3,-,38.5,38.42,"15,000","5,76,300.00",5,-,-
AARON,ST,07-09-2018,38.5,38.35,38.5,38.35,-,38.5,38.48,"24,000","9,23,550.00",8,-,-
AARON,ST,10-09-2018,38.5,39.0,39.0,39.0,-,39.0,39.0,"6,000","2,34,000.00",2,-,-
AARON,ST,11-09-2018,39.0,39.0,39.95,39.0,-,39.95,39.33,"18,000","7,08,000.00",6,-,-
AARON,ST,12-09-2018,39.95,39.45,41.0,39.25,-,41.0,39.55,"24,000","9,49,200.00",8,-,-
AARON,ST,14-09-2018,41.0,41.5,41.5,41.5,-,41.5,41.5,"3,000","1,24,500.00",1,-,-
AARON,ST,17-09-2018,41.5,41.7,41.7,41.3,-,41.3,41.53,"18,000","7,47,600.00",6,-,-
AARON,SM,18-09-2018,41.3,41.3,41.3,39.0,39.00,39.0,40.15,"6,000","2,40,900.00",2,"6,000",100.00
AARON,SM,19-09-2018,39.0,41.0,41.8,40.3,41.50,41.5,41.22,"27,000","11,13,000.00",9,"21,000",77.78
AARON,SM,21-09-2018,41.5,41.0,41.0,41.0,41.00,41.0,41.0,"3,000","1,23,000.00",1,"3,000",100.00
AARON,SM,24-09-2018,41.0,41.45,41.6,41.0,41.00,41.0,41.3,"24,000","9,91,200.00",8,"24,000",100.00
AARON,SM,25-09-2018,41.0,38.5,41.0,38.5,41.00,41.0,39.75,"6,000","2,38,500.00",2,"3,000",50.00
AARON,SM,26-09-2018,41.0,41.5,41.5,41.5,41.50,41.5,41.5,"3,000","1,24,500.00",1,"3,000",100.00
AARON,SM,27-09-2018,41.5,40.5,40.5,40.5,40.50,40.5,40.5,"3,000","1,21,500.00",1,"3,000",100.00
AARON,SM,28-09-2018,40.5,41.0,41.0,41.0,41.00,41.0,41.0,"3,000","1,23,000.00",1,"3,000",100.00
AARON,SM,03-10-2018,41.0,40.9,40.9,40.9,40.90,40.9,40.9,"3,000","1,22,700.00",1,"3,000",100.00
AARON,SM,05-10-2018,40.9,40.5,40.5,39.5,39.50,39.5,40.0,"6,000","2,40,000.00",2,"6,000",100.00
AARON,SM,08-10-2018,39.5,38.25,39.25,38.25,39.25,39.25,38.75,"6,000","2,32,500.00",2,"3,000",50.00
AARON,SM,11-10-2018,39.25,38.5,38.5,38.5,38.50,38.5,38.5,"3,000","1,15,500.00",1,"3,000",100.00
AARON,SM,16-10-2018,38.5,40.8,40.8,40.8,40.80,40.8,40.8,"3,000","1,22,400.00",1,"3,000",100.00
AARON,SM,22-10-2018,40.8,39.8,39.8,39.8,39.80,39.8,39.8,"3,000","1,19,400.00",1,"3,000",100.00
AARON,SM,25-10-2018,39.8,38.6,38.6,38.6,38.60,38.6,38.6,"3,000","1,15,800.00",1,"3,000",100.00
AARON,SM,26-10-2018,38.6,36.8,36.8,36.8,36.80,36.8,36.8,"3,000","1,10,400.00",1,"3,000",100.00
AARON,SM,29-10-2018,36.8,39.4,39.4,39.4,39.40,39.4,39.4,"3,000","1,18,200.00",1,"3,000",100.00
AARON,SM,30-10-2018,39.4,36.65,36.65,36.65,36.65,36.65,36.65,"3,000","1,09,950.00",1,"3,000",100.00
AARON,SM,31-10-2018,36.65,38.0,38.0,35.65,35.65,35.65,36.83,"6,000","2,20,950.00",2,"6,000",100.00
AARON,SM,01-11-2018,35.65,38.5,38.5,38.5,38.50,38.5,38.5,"6,000","2,31,000.00",2,"6,000",100.00
AARON,SM,02-11-2018,38.5,36.6,36.6,36.6,36.60,36.6,36.6,"3,000","1,09,800.00",1,"3,000",100.00
AARON,SM,07-11-2018,36.6,38.2,38.5,38.2,38.50,38.35,38.35,"6,000","2,30,100.00",2,"6,000",100.00
AARON,SM,09-11-2018,38.35,38.1,38.1,38.1,38.10,38.1,38.1,"3,000","1,14,300.00",1,"3,000",100.00
AARON,SM,12-11-2018,38.1,38.0,38.1,38.0,38.10,38.1,38.05,"6,000","2,28,300.00",2,"6,000",100.00
AARON,SM,13-11-2018,38.1,38.1,38.8,38.1,38.10,38.1,38.28,"12,000","4,59,300.00",4,"9,000",75.00
AARON,SM,14-11-2018,38.1,38.5,38.6,38.5,38.60,38.6,38.55,"12,000","4,62,600.00",4,"6,000",50.00
AARON,SM,15-11-2018,38.6,39.0,39.0,39.0,39.00,39.0,39.0,"3,000","1,17,000.00",1,"3,000",100.00
AARON,SM,16-11-2018,39.0,36.5,36.5,36.5,36.50,36.5,36.5,"3,000","1,09,500.00",1,"3,000",100.00
AARON,SM,20-11-2018,36.5,38.95,39.8,38.95,39.80,39.8,39.38,"6,000","2,36,250.00",2,"6,000",100.00
AARON,SM,21-11-2018,39.8,38.6,40.0,38.6,40.00,39.65,39.39,"12,000","4,72,650.00",4,"9,000",75.00
AARON,SM,22-11-2018,39.65,40.0,41.0,40.0,41.00,41.0,40.5,"6,000","2,43,000.00",2,"6,000",100.00
AARON,SM,26-11-2018,41.0,40.5,41.0,40.0,40.00,40.5,40.5,"9,000","3,64,500.00",3,"6,000",66.67
AARON,SM,27-11-2018,40.5,40.5,41.0,40.5,41.00,40.75,40.75,"6,000","2,44,500.00",2,"3,000",50.00
AARON,SM,28-11-2018,40.75,40.05,41.95,40.05,41.95,41.9,41.21,"12,000","4,94,550.00",4,"6,000",50.00
AARON,SM,29-11-2018,41.9,36.0,42.2,36.0,42.20,42.2,41.24,"21,000","8,66,100.00",5,"18,000",85.71
AARON,SM,30-11-2018,42.2,42.2,42.6,42.05,42.55,42.55,42.29,"15,000","6,34,350.00",4,"9,000",60.00
AARON,SM,03-12-2018,42.55,42.2,43.5,42.2,43.50,43.5,43.03,"9,000","3,87,300.00",3,"9,000",100.00
AARON,SM,04-12-2018,43.5,43.25,44.0,43.25,44.00,44.0,43.5,"9,000","3,91,500.00",3,"9,000",100.00
AARON,SM,05-12-2018,44.0,42.8,44.1,42.5,44.10,44.1,43.04,"12,000","5,16,450.00",4,"9,000",75.00
AARON,SM,06-12-2018,44.1,42.6,42.6,42.0,42.00,42.0,42.37,"9,000","3,81,300.00",3,"9,000",100.00
AARON,SM,07-12-2018,42.0,41.8,44.4,41.8,44.40,44.4,43.1,"6,000","2,58,600.00",2,"3,000",50.00
AARON,SM,11-12-2018,44.4,42.05,42.05,42.05,42.05,42.05,42.05,"3,000","1,26,150.00",1,"3,000",100.00
AARON,SM,17-12-2018,42.05,42.0,44.5,42.0,44.50,44.5,43.25,"6,000","2,59,500.00",2,"6,000",100.00
AARON,SM,19-12-2018,44.5,44.5,44.5,44.5,44.50,44.5,44.5,"3,000","1,33,500.00",1,"3,000",100.00
AARON,SM,20-12-2018,44.5,43.25,43.5,43.25,43.50,43.35,43.38,"6,000","2,60,250.00",2,"6,000",100.00
AARON,SM,24-12-2018,43.35,42.05,42.05,42.05,42.05,42.05,42.05,"3,000","1,26,150.00",1,"3,000",100.00
AARON,SM,26-12-2018,42.05,42.05,44.75,42.05,44.75,44.75,43.4,"6,000","2,60,400.00",2,"3,000",50.00
AARON,SM,27-12-2018,44.75,42.35,44.6,42.35,44.60,44.6,43.48,"6,000","2,60,850.00",2,"3,000",50.00
AARON,SM,28-12-2018,44.6,42.3,45.0,42.3,45.00,43.95,43.97,"9,000","3,95,700.00",3,"9,000",100.00
AARON,SM,31-12-2018,43.95,42.0,44.25,42.0,44.25,44.25,43.09,"18,000","7,75,650.00",6,"9,000",50.00
AARON,SM,01-01-2019,44.25,44.05,44.25,43.75,44.25,44.25,44.01,"12,000","5,28,150.00",4,"6,000",50.00
