SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
CENTURYTEX,EQ,01-01-1996,"4,650.00","4,650.00","4,680.00","4,650.00",-,"4,680.00","4,657.75",20,"93,155.00",-,-,-
CENTURYTEX,EQ,02-01-1996,"4,680.00","4,680.00","4,699.00","4,680.00",-,"4,699.00","4,686.37",65,"3,04,613.75",-,-,-
CENTURYTEX,EQ,03-01-1996,"4,699.00","4,706.00","4,706.00","4,705.00",-,"4,705.00","4,705.50",10,"47,055.00",-,-,-
CENTURYTEX,EQ,04-01-1996,"4,705.00","4,720.00","4,720.00","4,650.00",-,"4,650.00","4,697.27",55,"2,58,350.00",-,-,-
CENTURYTEX,EQ,05-01-1996,"4,650.00","4,650.00","4,725.00","4,575.00",-,"4,725.00","4,672.22",45,"2,10,250.00",-,-,-
CENTURYTEX,EQ,08-01-1996,"4,725.00","4,725.00","4,650.00","4,650.00",-,"4,650.00","4,650.00",35,"1,62,750.00",-,-,-
CENTURYTEX,EQ,09-01-1996,"4,650.00","4,650.00","4,600.00","4,590.00",-,"4,600.00","4,595.71",35,"1,60,850.00",-,-,-
CENTURYTEX,EQ,11-01-1996,"4,600.00","4,725.00","4,725.00","4,725.00",-,"4,725.00","4,725.00",20,"94,500.00",-,-,-
CENTURYTEX,EQ,12-01-1996,"4,725.00","4,725.00","4,775.00","4,750.00",-,"4,775.00","4,762.50",10,"47,625.00",-,-,-
CENTURYTEX,EQ,15-01-1996,"4,775.00","4,775.00","4,750.00","4,645.00",-,"4,736.65","4,701.60","1,085","51,01,240.00",-,-,-
CENTURYTEX,EQ,16-01-1996,"4,736.65","4,736.65","4,800.00","4,710.00",-,"4,725.15","4,744.41","4,175","1,98,07,925.00",-,-,-
CENTURYTEX,EQ,17-01-1996,"4,725.15","4,725.15","4,750.00","4,700.00",-,"4,750.00","4,728.80",25,"1,18,220.00",-,-,-
CENTURYTEX,EQ,18-01-1996,"4,750.00","4,700.00","4,725.00","4,700.00",-,"4,725.00","4,705.00",80,"3,76,400.00",-,-,-
CENTURYTEX,EQ,19-01-1996,"4,725.00","4,725.00","4,850.00","4,700.00",-,"4,702.50","4,745.00",20,"94,900.00",-,-,-
CENTURYTEX,EQ,22-01-1996,"4,702.50","4,702.50","4,740.00","4,690.00",-,"4,722.75","4,715.14",35,"1,65,030.00",-,-,-
CENTURYTEX,EQ,23-01-1996,"4,722.75","4,722.75","4,730.00","4,725.00",-,"4,730.00","4,729.29",35,"1,65,525.00",-,-,-
CENTURYTEX,EQ,24-01-1996,"4,730.00","4,750.00","4,750.00","4,730.00",-,"4,735.00","4,733.89",90,"4,26,050.00",-,-,-
CENTURYTEX,EQ,25-01-1996,"4,735.00","4,735.00","4,775.00","4,735.00",-,"4,775.00","4,749.29",35,"1,66,225.00",-,-,-
CENTURYTEX,EQ,29-01-1996,"4,775.00","5,175.00","5,175.00","4,750.00",-,"4,775.00","4,786.54",65,"3,11,125.00",-,-,-
CENTURYTEX,EQ,30-01-1996,"4,775.00","4,775.00","4,847.00","4,775.00",-,"4,846.60","4,810.23",65,"3,12,665.00",-,-,-
CENTURYTEX,EQ,31-01-1996,"4,846.60","4,846.60","4,850.00","4,750.00",-,"4,750.00","4,777.15",50,"2,38,857.50",-,-,-
CENTURYTEX,EQ,01-02-1996,"4,750.00","4,750.00","4,800.00","4,775.00",-,"4,800.00","4,783.33",15,"71,750.00",-,-,-
CENTURYTEX,EQ,02-02-1996,"4,800.00","4,800.00","4,823.00","4,820.00",-,"4,823.00","4,821.00",15,"72,315.00",-,-,-
CENTURYTEX,EQ,05-02-1996,"4,823.00","4,823.00","5,024.00","4,950.00",-,"4,975.00","4,975.94",155,"7,71,270.00",-,-,-
CENTURYTEX,EQ,06-02-1996,"4,975.00","4,975.00","5,195.00","4,925.00",-,"4,925.00","4,966.04",205,"10,18,038.25",-,-,-
CENTURYTEX,EQ,07-02-1996,"4,925.00","4,925.00","4,950.00","4,900.00",-,"4,950.00","4,916.67",15,"73,750.00",-,-,-
CENTURYTEX,EQ,08-02-1996,"4,950.00","4,950.00","5,039.95","4,926.00",-,"4,999.00","4,984.58",60,"2,99,074.50",-,-,-
CENTURYTEX,EQ,09-02-1996,"4,999.00","5,174.50","5,345.00","5,125.00",-,"5,300.00","5,238.31",260,"13,61,961.50",-,-,-
CENTURYTEX,EQ,12-02-1996,"5,300.00","5,300.00","5,700.00","5,300.00",-,"5,565.00","5,551.38",255,"14,15,602.50",-,-,-
CENTURYTEX,EQ,13-02-1996,"5,565.00","5,565.00","5,650.00","5,450.00",-,"5,595.95","5,567.85",340,"18,93,068.75",-,-,-
CENTURYTEX,EQ,14-02-1996,"5,595.95","5,595.95","5,725.00","5,625.00",-,"5,722.35","5,695.76",940,"53,54,015.00",-,-,-
CENTURYTEX,EQ,15-02-1996,"5,722.35","5,722.35","5,750.00","5,650.00",-,"5,725.00","5,710.76",170,"9,70,829.75",-,-,-
CENTURYTEX,EQ,16-02-1996,"5,725.00","5,725.00","5,780.00","5,626.00",-,"5,757.80","5,731.62",460,"26,36,544.50",-,-,-
CENTURYTEX,EQ,19-02-1996,"5,757.80","5,757.80","5,800.00","5,655.00",-,"5,790.25","5,759.32",160,"9,21,491.00",-,-,-
CENTURYTEX,EQ,20-02-1996,"5,790.25","5,790.25","5,850.00","5,770.00",-,"5,837.50","5,806.87",150,"8,71,030.00",-,-,-
CENTURYTEX,EQ,22-02-1996,"5,837.50","5,837.50","5,850.00","5,790.00",-,"5,815.00","5,819.15",100,"5,81,914.75",-,-,-
CENTURYTEX,EQ,23-02-1996,"5,815.00","5,815.00","5,874.95","5,800.00",-,"5,857.50","5,847.70",120,"7,01,724.00",-,-,-
CENTURYTEX,EQ,26-02-1996,"5,857.50","5,857.50","5,990.00","5,825.00",-,"5,950.00","5,934.67",150,"8,90,200.00",-,-,-
CENTURYTEX,EQ,27-02-1996,"5,950.00","5,950.00","6,024.00","5,900.00",-,"5,960.00","5,969.14",110,"6,56,605.00",-,-,-
CENTURYTEX,EQ,28-02-1996,"5,960.00","5,960.00","6,000.00","5,990.00",-,"5,998.00","5,994.33",30,"1,79,830.00",-,-,-
CENTURYTEX,EQ,29-02-1996,"5,998.00","5,998.00","6,000.00","5,900.00",-,"5,900.00","5,925.76",125,"7,40,720.00",-,-,-
CENTURYTEX,EQ,01-03-1996,"5,900.00","5,900.00","6,100.00","5,850.00",-,"6,088.45","6,053.21",695,"42,06,984.00",-,-,-
CENTURYTEX,EQ,04-03-1996,"6,088.45","6,088.45","6,044.95","5,900.00",-,"5,949.90","5,947.83",180,"10,70,609.75",-,-,-
CENTURYTEX,EQ,06-03-1996,"5,949.90","5,940.00","5,960.00","5,900.00",-,"5,925.00","5,933.82",85,"5,04,374.75",-,-,-
CENTURYTEX,EQ,07-03-1996,"5,925.00","5,925.00","5,960.00","5,920.05",-,"5,935.00","5,944.73",90,"5,35,025.25",-,-,-
CENTURYTEX,EQ,08-03-1996,"5,935.00","5,935.00","5,950.00","5,910.00",-,"5,950.00","5,944.00",50,"2,97,200.00",-,-,-
CENTURYTEX,EQ,11-03-1996,"5,950.00","5,950.00","5,850.00","5,710.00",-,"5,850.00","5,799.55",105,"6,08,952.25",-,-,-
CENTURYTEX,EQ,12-03-1996,"5,850.00","5,850.00","5,935.00","5,850.00",-,"5,925.20","5,901.69",240,"14,16,406.25",-,-,-
