SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
ADSL,EQ,25-07-2007,190.0,332.5,370.5,308.4,325.7,330.15,340.85,"1,12,31,528","3,82,82,55,205.90",-,"17,91,589",15.95
ADSL,EQ,26-07-2007,330.15,327.0,339.0,320.1,325.0,323.75,328.85,"34,79,317","1,14,41,80,308.95",-,"2,25,728",6.49
ADSL,EQ,27-07-2007,323.75,319.0,319.0,292.0,301.0,302.0,304.98,"17,01,642","51,89,64,438.25",-,"1,81,607",10.67
ADSL,EQ,30-07-2007,302.0,302.05,311.0,288.3,298.4,297.85,301.22,"16,43,286","49,49,97,909.15",-,"2,08,406",12.68
ADSL,EQ,31-07-2007,297.85,300.3,331.8,300.3,319.0,320.75,318.63,"33,19,140","1,05,75,89,846.95",-,"2,08,983",6.3
ADSL,EQ,01-08-2007,320.75,314.8,314.8,287.0,287.3,291.4,303.31,"9,96,886","30,23,67,854.15",-,"1,71,918",17.25
ADSL,EQ,02-08-2007,291.4,292.0,303.3,286.0,289.0,288.95,296.95,"8,47,867","25,17,71,918.00",-,"72,840",8.59
ADSL,EQ,03-08-2007,288.95,292.65,300.0,288.55,293.0,293.3,294.05,"3,48,192","10,23,84,235.20",-,"1,12,950",32.44
ADSL,EQ,06-08-2007,293.3,285.65,314.0,276.0,310.0,307.05,295.84,"5,64,658","16,70,47,675.65",-,"1,55,277",27.5
ADSL,EQ,07-08-2007,307.05,311.0,332.5,310.25,313.9,318.45,323.25,"14,90,805","48,18,99,497.30",-,"1,51,266",10.15
ADSL,EQ,08-08-2007,318.45,325.0,331.9,317.0,319.0,319.7,325.94,"9,34,149","30,44,74,380.95",-,"77,265",8.27
ADSL,EQ,09-08-2007,319.7,325.0,329.4,303.0,303.2,304.75,318.47,"5,54,743","17,66,67,915.15",-,"75,885",13.68
ADSL,EQ,10-08-2007,304.75,300.0,301.7,281.1,300.0,298.4,294.1,"2,83,159","8,32,77,634.15",-,"47,786",16.88
ADSL,EQ,13-08-2007,298.4,305.0,314.0,301.05,308.55,307.1,308.27,"3,61,004","11,12,87,600.35",-,"42,718",11.83
ADSL,EQ,14-08-2007,307.1,309.0,322.0,305.2,316.05,315.6,315.83,"5,14,856","16,26,09,479.65",-,"92,375",17.94
ADSL,EQ,16-08-2007,315.6,306.0,306.0,285.1,296.0,295.0,299.24,"1,49,835","4,48,36,717.60",-,"33,849",22.59
ADSL,EQ,17-08-2007,295.0,294.6,303.0,282.0,287.0,288.7,291.1,"1,34,509","3,91,55,847.45",-,"42,503",31.6
ADSL,EQ,20-08-2007,288.7,301.0,311.0,298.0,299.0,299.9,304.0,"2,00,557","6,09,69,962.05",-,"49,792",24.83
ADSL,EQ,21-08-2007,299.9,305.0,310.0,274.0,281.9,279.05,292.1,"1,40,494","4,10,38,938.35",-,"38,817",27.63
ADSL,EQ,22-08-2007,279.05,285.25,290.0,272.1,278.5,278.4,279.74,"1,02,906","2,87,87,201.80",-,"23,364",22.7
ADSL,EQ,23-08-2007,278.4,288.5,290.95,278.55,284.8,281.0,285.19,"89,486","2,55,20,117.40",-,"28,692",32.06
ADSL,EQ,24-08-2007,281.0,285.0,286.9,277.75,280.0,280.15,280.66,"49,189","1,38,05,566.85",-,"17,560",35.7
ADSL,EQ,27-08-2007,280.15,289.75,295.0,284.0,295.0,292.05,288.99,"60,869","1,75,90,820.15",-,"27,126",44.56
ADSL,EQ,28-08-2007,292.05,292.5,299.3,290.0,293.0,292.35,293.9,"45,838","1,34,71,608.50",-,"16,100",35.12
ADSL,EQ,29-08-2007,292.35,281.0,301.0,281.0,296.5,295.9,294.38,"1,05,075","3,09,32,231.45",-,"32,990",31.4
ADSL,EQ,30-08-2007,295.9,300.0,306.6,297.0,297.0,299.4,301.9,"68,057","2,05,46,461.00",-,"23,981",35.24
ADSL,EQ,31-08-2007,299.4,303.9,305.0,295.0,295.0,295.8,299.11,"58,515","1,75,02,467.75",-,"20,405",34.87
ADSL,EQ,03-09-2007,295.8,300.0,312.5,296.2,307.0,306.75,306.29,"1,09,461","3,35,26,658.70",-,"39,214",35.82
ADSL,EQ,04-09-2007,306.75,310.7,323.4,307.0,322.0,320.1,314.2,"1,48,087","4,65,28,834.45",-,"70,917",47.89
ADSL,EQ,05-09-2007,320.1,323.0,373.2,323.0,350.0,351.8,358.33,"21,46,235","76,90,56,389.95",-,"2,81,106",13.1
ADSL,EQ,06-09-2007,351.8,351.95,358.0,333.1,347.0,339.8,346.05,"6,85,237","23,71,25,744.90",-,"1,38,650",20.23
ADSL,EQ,07-09-2007,339.8,339.8,350.9,337.1,338.0,340.05,344.42,"2,45,453","8,45,38,698.30",-,"41,729",17.0
ADSL,EQ,10-09-2007,340.05,333.0,339.85,331.9,333.55,333.9,335.6,"1,09,695","3,68,13,185.35",-,"26,316",23.99
ADSL,EQ,11-09-2007,333.9,337.65,345.0,330.15,332.1,332.4,336.05,"1,60,075","5,37,93,901.85",-,"40,456",25.27
