SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
AURDIS,SM,17-10-2016,35.0,42.0,42.0,42.0,42.0,42.0,42.0,"36,000","15,12,000.00",9,"36,000",100.00
AURDIS,SM,18-10-2016,42.0,50.4,50.4,40.0,46.8,46.7,46.07,"12,12,000","5,58,35,200.00",288,"8,40,000",69.31
AURDIS,SM,19-10-2016,46.7,48.6,54.5,47.0,54.5,50.9,49.81,"2,84,000","1,41,46,000.00",71,"2,36,000",83.10
AURDIS,SM,20-10-2016,50.9,52.5,61.05,52.5,61.05,61.05,58.21,"1,44,000","83,82,200.00",36,"1,24,000",86.11
AURDIS,SM,21-10-2016,61.05,67.15,67.15,65.0,67.15,67.15,66.47,"1,08,000","71,78,400.00",26,"96,000",88.89
AURDIS,SM,24-10-2016,67.15,73.85,73.85,68.5,72.0,72.0,73.03,"2,00,000","1,46,05,000.00",47,"1,56,000",78.00
AURDIS,SM,25-10-2016,72.0,69.1,70.5,64.8,64.8,64.8,66.4,"92,000","61,08,600.00",23,"52,000",56.52
AURDIS,SM,26-10-2016,64.8,60.4,64.0,60.0,61.0,61.15,61.96,"60,000","37,17,600.00",13,"44,000",73.33
AURDIS,SM,27-10-2016,61.15,62.5,63.0,58.5,58.5,58.5,60.51,"36,000","21,78,400.00",9,"36,000",100.00
AURDIS,SM,28-10-2016,58.5,59.05,60.0,59.05,60.0,59.8,59.63,"16,000","9,54,000.00",4,"8,000",50.00
AURDIS,SM,30-10-2016,59.8,62.0,65.75,62.0,65.65,65.65,64.64,"20,000","12,92,800.00",5,"8,000",40.00
AURDIS,SM,01-11-2016,65.65,63.5,65.9,63.5,64.05,64.05,64.74,"16,000","10,35,800.00",4,"12,000",75.00
AURDIS,SM,02-11-2016,64.05,66.1,70.45,66.1,70.45,70.45,69.14,"56,000","38,71,600.00",14,"40,000",71.43
AURDIS,SM,03-11-2016,70.45,74.0,77.45,74.0,77.45,77.45,76.84,"1,36,000","1,04,49,600.00",34,"92,000",67.65
AURDIS,SM,04-11-2016,77.45,81.3,81.3,73.6,73.6,73.6,75.28,"1,16,000","87,32,400.00",27,"64,000",55.17
AURDIS,SM,07-11-2016,73.6,70.0,74.0,69.95,72.15,72.15,71.94,"40,000","28,77,600.00",10,"32,000",80.00
AURDIS,SM,08-11-2016,72.15,73.0,74.9,73.0,74.9,74.9,73.95,"8,000","5,91,600.00",2,"8,000",100.00
AURDIS,SM,09-11-2016,74.9,71.2,75.0,71.2,74.0,73.3,72.92,"72,000","52,50,400.00",18,"40,000",55.56
AURDIS,SM,10-11-2016,73.3,76.0,76.0,73.85,73.85,74.15,74.69,"28,000","20,91,400.00",7,"24,000",85.71
AURDIS,SM,11-11-2016,74.15,72.5,72.5,70.45,70.45,70.45,71.17,"12,000","8,54,000.00",3,"12,000",100.00
AURDIS,SM,15-11-2016,70.45,67.0,67.0,66.95,66.95,66.95,66.98,"8,000","5,35,800.00",2,"8,000",100.00
AURDIS,SM,16-11-2016,66.95,63.65,64.5,63.65,63.65,63.65,63.8,"24,000","15,31,200.00",6,"20,000",83.33
AURDIS,SM,17-11-2016,63.65,66.7,66.75,63.0,63.0,63.0,65.79,"16,000","10,52,600.00",4,"16,000",100.00
AURDIS,SM,18-11-2016,63.0,64.0,64.0,64.0,64.0,64.0,64.0,"4,000","2,56,000.00",1,"4,000",100.00
AURDIS,SM,21-11-2016,64.0,61.0,61.0,60.8,60.8,60.8,60.9,"8,000","4,87,200.00",2,"8,000",100.00
AURDIS,SM,22-11-2016,60.8,57.85,57.9,57.8,57.9,57.9,57.83,"20,000","11,56,600.00",5,"12,000",60.00
AURDIS,SM,23-11-2016,57.9,55.1,55.1,55.05,55.1,55.05,55.08,"12,000","6,61,000.00",3,"8,000",66.67
AURDIS,SM,25-11-2016,55.05,55.5,55.5,53.25,53.25,53.25,54.38,"8,000","4,35,000.00",2,"8,000",100.00
AURDIS,SM,28-11-2016,53.25,54.75,55.9,54.75,55.9,55.9,55.22,"12,000","6,62,600.00",3,"12,000",100.00
AURDIS,SM,29-11-2016,55.9,58.65,58.65,58.65,58.65,58.65,58.65,"20,000","11,73,000.00",5,"8,000",40.00
AURDIS,SM,30-11-2016,58.65,60.0,61.55,60.0,61.55,61.55,61.06,"16,000","9,77,000.00",4,"16,000",100.00
AURDIS,SM,01-12-2016,61.55,64.6,64.6,64.6,64.6,64.6,64.6,"20,000","12,92,000.00",5,"12,000",60.00
AURDIS,SM,02-12-2016,64.6,67.8,67.8,63.0,63.0,63.0,66.03,"20,000","13,20,600.00",5,"20,000",100.00
AURDIS,SM,05-12-2016,63.0,63.0,63.0,62.0,62.0,62.0,62.68,"28,000","17,55,000.00",5,"28,000",100.00
AURDIS,SM,06-12-2016,62.0,62.0,62.0,61.0,61.0,61.0,61.42,"48,000","29,48,000.00",6,"48,000",100.00
AURDIS,SM,07-12-2016,61.0,59.0,59.0,58.0,58.0,58.0,58.5,"8,000","4,68,000.00",2,"8,000",100.00
AURDIS,SM,09-12-2016,58.0,60.85,60.85,60.0,60.0,60.4,60.43,"8,000","4,83,400.00",2,"4,000",50.00
AURDIS,SM,14-12-2016,60.4,62.3,63.4,62.3,63.4,63.4,62.85,"8,000","5,02,800.00",2,-,-
AURDIS,SM,15-12-2016,63.4,63.25,63.25,60.25,60.25,60.25,60.86,"20,000","12,17,200.00",5,"16,000",80.00
AURDIS,SM,16-12-2016,60.25,57.55,57.55,57.25,57.25,57.25,57.4,"8,000","4,59,200.00",2,"8,000",100.00
AURDIS,SM,19-12-2016,57.25,58.0,60.1,58.0,60.1,60.1,59.4,"12,000","7,12,800.00",3,"8,000",66.67
AURDIS,SM,20-12-2016,60.1,60.1,62.0,60.1,62.0,62.0,61.05,"8,000","4,88,400.00",2,"8,000",100.00
AURDIS,SM,21-12-2016,62.0,60.25,60.25,59.1,59.1,59.9,59.89,"16,000","9,58,200.00",3,"16,000",100.00
AURDIS,SM,26-12-2016,59.9,61.2,62.0,61.2,62.0,62.0,61.6,"8,000","4,92,800.00",2,"8,000",100.00
AURDIS,SM,27-12-2016,62.0,59.5,59.5,59.5,59.5,59.5,59.5,"4,000","2,38,000.00",1,"4,000",100.00
AURDIS,SM,28-12-2016,59.5,61.4,62.45,61.4,62.45,62.45,62.23,"28,000","17,42,400.00",7,"28,000",100.00
AURDIS,SM,29-12-2016,62.45,65.55,65.55,65.55,65.55,65.55,65.55,"24,000","15,73,200.00",6,"16,000",66.67
AURDIS,SM,30-12-2016,65.55,68.8,68.8,68.8,68.8,68.8,68.8,"24,000","16,51,200.00",6,"20,000",83.33
AURDIS,SM,02-01-2017,68.8,72.2,72.2,71.85,71.9,71.85,71.98,"16,000","11,51,600.00",4,"16,000",100.0
AURDIS,SM,04-01-2017,71.85,71.85,71.9,71.85,71.9,71.9,71.88,"8,000","5,75,000.00",2,"8,000",100.0
AURDIS,SM,05-01-2017,71.9,73.5,75.45,73.5,75.45,75.45,74.96,"28,000","20,98,800.00",7,"28,000",100.0
AURDIS,SM,06-01-2017,75.45,79.2,79.2,74.55,74.55,74.55,77.64,"76,000","59,01,000.00",17,"68,000",89.47
AURDIS,SM,09-01-2017,74.55,73.75,73.75,73.5,73.5,73.5,73.63,"8,000","5,89,000.00",2,"8,000",100.0
AURDIS,SM,11-01-2017,73.5,77.15,77.15,77.15,77.15,77.15,77.15,"60,000","46,29,000.00",12,"44,000",73.33
AURDIS,SM,12-01-2017,77.15,80.9,81.0,74.0,74.0,75.4,77.82,"40,000","31,12,800.00",10,"32,000",80.0
AURDIS,SM,13-01-2017,75.4,75.0,75.0,75.0,75.0,75.0,75.0,"4,000","3,00,000.00",1,"4,000",100.0
AURDIS,SM,18-01-2017,75.0,76.5,76.5,76.0,76.0,76.0,76.25,"12,000","9,15,000.00",3,"12,000",100.0
AURDIS,SM,27-01-2017,76.0,75.0,78.0,75.0,78.0,78.0,76.5,"8,000","6,12,000.00",2,"8,000",100.0
AURDIS,SM,30-01-2017,78.0,80.8,80.8,77.0,79.9,79.9,79.23,"12,000","9,50,800.00",3,"12,000",100.0
AURDIS,SM,31-01-2017,79.9,75.95,75.95,75.95,75.95,75.95,75.95,"12,000","9,11,400.00",3,"8,000",66.67
AURDIS,SM,01-02-2017,75.95,72.2,72.2,72.2,72.2,72.2,72.2,"8,000","5,77,600.00",2,"4,000",50.0
AURDIS,SM,02-02-2017,72.2,73.0,73.0,71.25,71.25,71.25,71.85,"12,000","8,62,200.00",3,"12,000",100.0
