SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
GLS,EQ,06-08-2021,720.0,750.0,799.0,738.0,746.0,748.5,764.22,"2,02,22,318","15,45,43,30,746.30","5,18,984","76,64,904",37.9
GLS,EQ,09-08-2021,748.5,751.7,758.45,713.55,735.0,736.85,731.71,"39,67,075","2,90,27,37,772.25","1,79,306","21,08,528",53.15
GLS,EQ,10-08-2021,736.85,740.0,772.0,740.0,765.0,765.1,762.66,"28,82,997","2,19,87,43,153.65","97,671","13,47,190",46.73
GLS,EQ,11-08-2021,765.1,774.4,774.45,735.0,746.0,748.0,749.58,"8,94,950","67,08,39,024.10","35,075","4,42,983",49.5
GLS,EQ,12-08-2021,748.0,751.75,767.1,748.0,753.25,751.95,756.69,"5,02,395","38,01,55,893.55","21,026","2,24,161",44.62
GLS,EQ,13-08-2021,751.95,758.3,761.95,742.25,756.0,757.75,752.79,"8,16,238","61,44,59,099.05","35,387","3,35,363",41.09
GLS,EQ,16-08-2021,757.75,756.0,756.0,731.0,734.0,733.85,741.25,"5,92,645","43,93,00,182.50","30,241","3,85,522",65.05
GLS,EQ,17-08-2021,733.85,738.85,741.0,720.0,722.2,721.35,726.35,"4,61,158","33,49,62,993.20","27,439","2,61,727",56.75
GLS,EQ,18-08-2021,721.35,723.0,731.0,716.55,720.0,720.15,722.08,"2,98,872","21,58,09,341.25","19,052","1,59,977",53.53
GLS,EQ,20-08-2021,720.15,720.0,726.7,706.35,710.0,710.25,714.02,"4,19,924","29,98,33,543.50","30,844","2,38,034",56.69
GLS,EQ,23-08-2021,710.25,719.75,719.75,672.6,674.95,676.4,691.35,"4,55,913","31,51,94,850.40","33,162","2,71,867",59.63
GLS,EQ,24-08-2021,676.4,675.5,687.15,665.15,668.0,668.4,670.57,"2,83,832","19,03,29,381.00","15,204","1,43,776",50.66
GLS,EQ,25-08-2021,668.4,671.7,688.0,671.0,676.85,675.5,679.52,"2,21,101","15,02,43,361.60","11,829","98,462",44.53
GLS,EQ,26-08-2021,675.5,679.9,684.0,668.0,670.0,670.45,674.77,"1,48,919","10,04,86,719.05","8,321","78,862",52.96
GLS,EQ,27-08-2021,670.45,672.1,675.9,668.0,670.4,670.55,672.48,"1,16,522","7,83,58,900.70","6,651","55,622",47.74
GLS,EQ,30-08-2021,670.55,674.7,684.9,673.0,679.0,678.2,677.6,"1,64,890","11,17,29,073.20","9,729","84,206",51.07
GLS,EQ,31-08-2021,678.2,680.0,698.8,678.25,695.0,691.05,684.27,"2,28,572","15,64,05,694.95","11,813","1,32,738",58.07
GLS,EQ,01-09-2021,691.05,696.7,706.25,691.5,696.0,695.9,698.33,"1,50,209","10,48,95,646.40","9,605","63,316",42.15
GLS,EQ,02-09-2021,695.9,682.4,689.55,668.7,670.65,670.8,674.58,"5,75,226","38,80,35,066.30","32,348","3,42,312",59.51
GLS,EQ,03-09-2021,670.8,672.0,679.9,672.0,674.0,673.95,675.87,"1,56,097","10,55,01,013.15","8,360","68,091",43.62
GLS,EQ,06-09-2021,673.95,676.4,679.35,668.1,670.0,669.75,673.17,"1,57,712","10,61,66,631.70","7,797","1,03,759",65.79
GLS,EQ,07-09-2021,669.75,675.0,677.1,667.0,668.9,669.6,671.97,"1,27,727","8,58,29,321.60","6,799","86,609",67.81
GLS,EQ,08-09-2021,669.6,670.0,674.9,666.0,669.1,668.85,668.93,"1,20,635","8,06,95,849.00","7,774","77,712",64.42
GLS,EQ,09-09-2021,668.85,670.0,674.0,659.0,661.2,661.25,663.5,"2,10,408","13,96,05,057.30","10,898","1,34,549",63.95
GLS,EQ,13-09-2021,661.25,665.0,670.85,659.85,666.95,664.4,664.86,"2,51,245","16,70,41,814.50","13,368","1,20,777",48.07
GLS,EQ,14-09-2021,664.4,670.2,691.35,667.1,684.55,687.25,680.57,"4,19,073","28,52,08,663.00","18,984","2,00,005",47.73
GLS,EQ,15-09-2021,687.25,689.9,724.25,683.0,711.5,712.25,709.69,"7,92,659","56,25,45,464.15","35,114","3,36,799",42.49
GLS,EQ,16-09-2021,712.25,721.0,721.0,697.2,701.65,701.55,707.16,"2,38,899","16,89,40,817.20","11,909","98,944",41.42
GLS,EQ,17-09-2021,701.55,705.0,709.0,684.0,689.2,690.25,692.12,"1,55,235","10,74,41,952.50","9,639","65,964",42.49
GLS,EQ,20-09-2021,690.25,688.7,688.7,671.55,674.0,676.1,681.94,"1,28,362","8,75,34,989.45","7,819","62,835",48.95
GLS,EQ,21-09-2021,676.1,675.0,682.75,665.85,677.3,678.9,673.06,"1,76,199","11,85,93,359.65","9,760","90,236",51.21
GLS,EQ,22-09-2021,678.9,679.5,699.9,678.9,690.65,691.15,693.0,"1,69,208","11,72,60,706.45","8,482","74,450",44.0
GLS,EQ,23-09-2021,691.15,699.0,705.0,684.0,686.1,689.6,694.01,"2,11,225","14,65,91,524.30","11,525","73,633",34.86
GLS,EQ,24-09-2021,689.6,693.4,698.95,681.3,684.55,684.55,690.42,"1,60,766","11,09,95,994.15","11,511","78,469",48.81
GLS,EQ,27-09-2021,684.55,688.4,688.4,672.65,675.8,676.2,678.9,"95,084","6,45,52,654.80","6,157","52,872",55.61
GLS,EQ,28-09-2021,676.2,678.9,686.65,671.15,680.55,678.5,678.34,"1,14,694","7,78,01,610.45","6,430","61,547",53.66
GLS,EQ,29-09-2021,678.5,667.25,680.0,667.25,677.0,675.1,674.54,"90,332","6,09,32,725.65","7,425","49,132",54.39
GLS,EQ,30-09-2021,675.1,677.1,682.0,671.8,681.0,679.95,677.05,"1,01,088","6,84,41,190.60","6,464","61,587",60.92
GLS,EQ,01-10-2021,679.95,675.45,679.0,673.0,674.55,673.9,674.74,"64,348","4,34,18,291.00","4,487","36,181",56.23
GLS,EQ,04-10-2021,673.9,672.15,678.95,671.25,671.5,672.75,675.45,"1,02,668","6,93,47,092.35","5,800","63,163",61.52
GLS,EQ,05-10-2021,672.75,672.5,674.65,669.1,673.2,672.55,671.52,"1,32,451","8,89,42,972.70","5,974","86,891",65.6
GLS,EQ,06-10-2021,672.55,674.9,678.5,667.75,667.75,669.1,671.19,"1,04,112","6,98,78,467.05","6,184","63,496",60.99
GLS,EQ,07-10-2021,669.1,670.25,674.5,668.0,668.45,668.75,670.64,"98,753","6,62,28,045.45","5,829","51,057",51.7
GLS,EQ,08-10-2021,668.75,676.4,676.4,670.0,671.05,670.95,672.36,"1,06,597","7,16,71,034.10","5,375","63,843",59.89
GLS,EQ,11-10-2021,670.95,672.15,674.7,666.85,668.5,668.3,669.95,"1,38,126","9,25,38,125.35","8,010","81,637",59.1
GLS,EQ,12-10-2021,668.3,671.9,672.7,666.25,667.95,667.3,668.64,"86,356","5,77,41,062.85","5,157","50,965",59.02
GLS,EQ,13-10-2021,667.3,667.1,670.0,666.0,666.3,666.2,666.75,"1,07,213","7,14,84,793.15","8,653","76,188",71.06
GLS,EQ,14-10-2021,666.2,667.0,668.65,661.0,662.0,662.05,663.38,"1,96,401","13,02,88,478.95","9,305","1,41,599",72.1
GLS,EQ,18-10-2021,662.05,663.0,666.05,656.0,657.25,657.2,660.72,"1,52,187","10,05,52,503.85","10,084","98,895",64.98
GLS,EQ,19-10-2021,657.2,660.8,660.8,639.0,640.9,642.25,648.36,"2,17,341","14,09,14,941.55","15,362","1,46,839",67.56
GLS,EQ,20-10-2021,642.25,643.8,643.8,632.05,635.0,634.75,635.66,"1,30,102","8,27,01,238.40","11,243","73,649",56.61
GLS,EQ,21-10-2021,634.75,635.0,639.55,626.6,628.65,628.7,632.08,"1,12,146","7,08,85,541.10","7,479","66,214",59.04
GLS,EQ,22-10-2021,628.7,628.9,632.9,616.65,617.5,618.1,624.13,"1,36,052","8,49,13,473.50","9,097","85,535",62.87
GLS,EQ,25-10-2021,618.1,622.0,622.0,602.0,612.9,610.25,609.47,"94,791","5,77,72,719.80","7,975","56,094",59.18
GLS,EQ,26-10-2021,610.25,612.9,645.0,611.0,642.0,637.65,629.34,"95,632","6,01,85,066.20","8,292","56,928",59.53
GLS,EQ,27-10-2021,637.65,640.0,648.05,632.45,636.0,637.55,639.11,"89,712","5,73,35,423.25","8,700","28,344",31.59
GLS,EQ,28-10-2021,637.55,636.0,643.9,625.1,633.0,630.25,635.79,"59,964","3,81,24,568.60","6,626","32,120",53.57
GLS,EQ,29-10-2021,630.25,625.0,639.2,618.05,636.0,632.4,628.42,"77,287","4,85,68,888.70","8,921","40,634",52.58
GLS,EQ,01-11-2021,632.4,636.0,636.7,623.0,626.8,625.4,627.05,"47,460","2,97,59,881.80","3,702","26,000",54.78
GLS,EQ,02-11-2021,625.4,627.0,630.85,620.0,626.5,625.7,626.39,"61,341","3,84,23,447.15","5,452","29,167",47.55
GLS,EQ,03-11-2021,625.7,623.5,632.7,623.0,627.75,627.5,627.41,"41,305","2,59,14,977.95","4,679","27,635",66.9
GLS,EQ,04-11-2021,627.5,626.0,632.0,626.0,630.5,630.75,629.71,"28,393","1,78,79,288.35","1,963","20,049",70.61
GLS,EQ,08-11-2021,630.75,634.7,636.0,630.05,633.3,634.65,632.59,"68,484","4,33,22,195.35","3,630","49,925",72.9
GLS,EQ,09-11-2021,634.65,637.7,639.55,634.25,637.4,637.1,637.11,"58,669","3,73,78,383.95","4,388","43,728",74.53
GLS,EQ,10-11-2021,637.1,638.0,647.4,631.0,634.0,632.7,635.94,"54,439","3,46,20,046.35","5,022","35,304",64.85
GLS,EQ,11-11-2021,632.7,654.75,667.0,648.5,650.05,651.05,658.71,"3,10,002","20,42,01,770.10","19,498","1,17,408",37.87
GLS,EQ,12-11-2021,651.05,653.0,657.9,642.5,646.6,646.1,647.71,"99,999","6,47,70,336.75","6,456","62,495",62.5
GLS,EQ,15-11-2021,646.1,646.05,650.0,633.85,637.5,637.6,638.63,"80,725","5,15,53,216.45","6,442","53,003",65.66
GLS,EQ,16-11-2021,637.6,643.9,644.4,636.95,639.05,638.8,639.26,"57,559","3,67,94,974.05","4,004","37,761",65.6
GLS,EQ,17-11-2021,638.8,638.8,640.45,623.0,630.05,630.75,635.85,"65,593","4,17,07,618.20","4,481","47,469",72.37
GLS,EQ,18-11-2021,630.75,640.0,640.0,615.0,626.0,626.05,625.65,"60,102","3,76,02,659.75","6,444","35,268",58.68
GLS,EQ,22-11-2021,626.05,620.95,622.15,605.65,611.8,611.65,612.55,"70,089","4,29,32,906.70","7,608","45,590",65.05
GLS,EQ,23-11-2021,611.65,612.0,625.45,605.3,618.5,619.6,616.99,"68,472","4,22,46,785.20","7,419","29,324",42.83
GLS,EQ,24-11-2021,619.6,620.0,631.25,620.0,623.1,622.25,624.44,"44,547","2,78,16,792.45","3,563","20,054",45.02
