SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
ALPA,EQ,06-08-2007,68.0,61.0,62.0,53.75,54.8,55.15,56.3,"97,93,868","55,14,33,834.00",-,"16,81,726",17.17
ALPA,EQ,07-08-2007,55.15,56.5,57.2,54.0,54.0,54.8,55.73,"19,81,437","11,04,17,529.15",-,"4,38,574",22.13
ALPA,EQ,08-08-2007,54.8,55.5,55.8,51.7,52.1,52.2,53.46,"7,12,835","3,81,10,023.55",-,"2,02,809",28.45
ALPA,EQ,09-08-2007,52.2,53.2,57.0,50.3,54.0,54.05,54.65,"20,05,024","10,95,70,627.20",-,"4,47,446",22.32
ALPA,EQ,10-08-2007,54.05,50.6,52.8,50.0,51.3,51.4,51.65,"3,26,031","1,68,39,699.95",-,"84,163",25.81
ALPA,EQ,13-08-2007,51.4,53.0,53.35,51.0,51.2,51.45,52.22,"4,76,807","2,48,97,262.75",-,"1,83,038",38.39
ALPA,EQ,14-08-2007,51.45,52.0,55.75,51.2,51.7,52.0,53.0,"11,40,344","6,04,43,417.65",-,"1,88,110",16.5
ALPA,EQ,16-08-2007,52.0,49.0,50.75,48.25,48.45,48.8,49.72,"1,98,662","98,78,378.60",-,"81,790",41.17
ALPA,EQ,17-08-2007,48.8,49.2,50.0,42.0,44.45,44.1,44.87,"2,94,919","1,32,33,695.35",-,"1,06,348",36.06
ALPA,EQ,20-08-2007,44.1,45.75,52.95,44.95,49.0,49.35,50.46,"15,10,233","7,61,98,936.70",-,"3,29,300",21.8
ALPA,EQ,21-08-2007,49.35,50.25,50.25,45.0,45.7,45.45,46.93,"1,93,306","90,72,088.50",-,"63,092",32.64
ALPA,EQ,22-08-2007,45.45,46.6,51.1,46.0,48.1,48.0,48.56,"5,84,938","2,84,04,137.40",-,"1,50,858",25.79
ALPA,EQ,23-08-2007,48.0,49.7,50.45,45.1,45.1,45.6,47.39,"1,94,192","92,01,915.40",-,"64,609",33.27
ALPA,EQ,24-08-2007,45.6,47.55,47.6,45.1,45.6,46.3,46.28,"1,39,322","64,48,019.10",-,"79,166",56.82
ALPA,EQ,27-08-2007,46.3,47.35,47.4,45.1,45.65,45.95,46.44,"64,613","30,00,794.30",-,"34,794",53.85
ALPA,EQ,28-08-2007,45.95,42.0,47.4,42.0,45.75,45.9,46.14,"1,15,701","53,38,858.90",-,"28,848",24.93
ALPA,EQ,29-08-2007,45.9,44.1,45.9,43.25,45.5,45.4,45.33,"46,028","20,86,243.65",-,"17,013",36.96
ALPA,EQ,30-08-2007,45.4,46.35,46.4,45.0,45.4,45.35,45.78,"40,810","18,68,429.40",-,"20,419",50.03
ALPA,EQ,31-08-2007,45.35,45.4,46.2,44.5,44.5,44.95,45.45,"42,567","19,34,835.20",-,"22,524",52.91
ALPA,EQ,03-09-2007,44.95,45.85,45.85,44.3,45.0,44.95,45.24,"1,00,383","45,41,617.40",-,"68,939",68.68
ALPA,EQ,04-09-2007,44.95,45.1,45.65,44.35,44.6,44.6,44.87,"70,956","31,83,756.95",-,"40,557",57.16
ALPA,EQ,05-09-2007,44.6,45.35,45.7,44.35,44.75,44.6,44.98,"1,20,918","54,38,347.80",-,"88,023",72.8
ALPA,EQ,06-09-2007,44.6,44.75,45.3,44.55,44.95,44.95,44.92,"47,465","21,32,321.75",-,"25,752",54.25
ALPA,EQ,07-09-2007,44.95,46.5,51.4,44.75,47.1,46.9,48.03,"3,58,373","1,72,13,784.60",-,"1,22,193",34.1
ALPA,EQ,10-09-2007,46.9,55.3,55.3,46.0,47.05,47.3,47.78,"1,95,625","93,46,610.45",-,"57,869",29.58
ALPA,EQ,11-09-2007,47.3,48.0,48.0,47.0,47.5,47.35,47.55,"74,889","35,61,077.20",-,"30,487",40.71
ALPA,EQ,12-09-2007,47.35,48.8,51.0,47.2,49.1,48.95,49.61,"4,55,219","2,25,83,984.50",-,"1,17,495",25.81
ALPA,EQ,13-09-2007,48.95,50.0,52.0,48.05,48.65,48.5,49.45,"1,16,935","57,82,427.75",-,"44,295",37.88
ALPA,EQ,14-09-2007,48.5,49.7,49.9,47.4,47.8,47.65,48.27,"84,167","40,62,857.35",-,"42,816",50.87
ALPA,EQ,17-09-2007,47.65,47.65,49.5,47.5,48.6,48.6,48.41,"1,17,297","56,78,872.15",-,"38,429",32.76
ALPA,EQ,18-09-2007,48.6,48.5,49.35,48.0,48.8,48.5,48.85,"1,30,980","63,98,122.95",-,"30,391",23.2
ALPA,EQ,19-09-2007,48.5,49.5,49.5,46.55,47.0,47.3,48.22,"66,000","31,82,611.95",-,"36,802",55.76
ALPA,EQ,20-09-2007,47.3,47.9,48.0,46.1,46.45,46.35,47.09,"38,396","18,07,922.95",-,"27,894",72.65
ALPA,EQ,21-09-2007,46.35,49.0,49.0,46.0,46.15,46.1,46.53,"39,522","18,39,087.15",-,"29,596",74.88
ALPA,EQ,24-09-2007,46.1,45.6,47.1,45.05,45.9,45.3,45.75,"50,440","23,07,557.85",-,"32,726",64.88
ALPA,EQ,25-09-2007,45.3,45.55,45.85,44.15,44.55,44.55,45.08,"42,821","19,30,297.45",-,"26,475",61.83
ALPA,EQ,26-09-2007,44.55,44.55,47.0,44.5,45.7,45.5,45.88,"66,467","30,49,665.60",-,"31,101",46.79
ALPA,EQ,27-09-2007,45.5,45.7,46.5,45.2,45.5,45.45,45.81,"43,477","19,91,546.55",-,"29,469",67.78
ALPA,EQ,28-09-2007,45.45,45.05,45.85,44.45,44.45,44.6,45.03,"1,08,290","48,75,856.35",-,"57,199",52.82
ALPA,EQ,01-10-2007,44.6,44.85,45.8,44.6,44.6,44.8,45.02,"38,253","17,22,207.75",-,"29,324",76.66
ALPA,EQ,03-10-2007,44.8,44.5,45.15,43.7,43.8,43.95,44.27,"44,558","19,72,415.35",-,"30,879",69.3
ALPA,EQ,04-10-2007,43.95,43.25,44.5,43.2,43.3,43.45,43.68,"24,040","10,50,137.80",-,"14,981",62.32
ALPA,EQ,05-10-2007,43.45,43.9,44.5,42.05,42.85,42.5,43.06,"37,709","16,23,904.10",-,"28,752",76.25
ALPA,EQ,08-10-2007,42.5,43.0,43.0,39.75,40.5,40.45,40.97,"59,802","24,50,239.35",-,"37,974",63.5
ALPA,EQ,09-10-2007,40.45,37.0,40.6,36.7,39.9,39.85,39.68,"45,520","18,06,044.95",-,"26,689",58.63
ALPA,EQ,10-10-2007,39.85,40.5,47.85,39.6,44.7,45.05,45.7,"5,16,244","2,35,94,302.90",-,"1,16,537",22.57
ALPA,EQ,11-10-2007,45.05,45.9,46.25,43.1,43.5,43.5,43.96,"59,342","26,08,590.50",-,"22,211",37.43
ALPA,EQ,12-10-2007,43.5,43.9,43.9,42.2,42.45,42.7,42.68,"25,815","11,01,805.60",-,"14,582",56.49
ALPA,EQ,15-10-2007,42.7,43.9,44.9,42.2,42.25,42.45,43.11,"28,179","12,14,719.70",-,"16,897",59.96
ALPA,EQ,16-10-2007,42.45,43.5,44.0,42.0,42.3,42.15,42.72,"36,926","15,77,369.60",-,"20,096",54.42
ALPA,EQ,17-10-2007,42.15,36.5,42.0,34.1,40.8,40.5,40.12,"42,371","16,99,924.25",-,"30,551",72.1
ALPA,EQ,18-10-2007,40.5,42.75,42.75,40.2,40.25,40.7,41.26,"25,532","10,53,500.95",-,"18,629",72.96
ALPA,EQ,19-10-2007,40.7,39.0,40.5,38.2,40.0,38.85,39.14,"45,685","17,88,059.95",-,"27,050",59.21
ALPA,EQ,22-10-2007,38.85,39.1,39.1,37.5,38.0,38.05,38.22,"22,410","8,56,542.35",-,"13,052",58.24
ALPA,EQ,23-10-2007,38.05,39.0,40.4,39.0,39.8,39.5,39.64,"22,449","8,89,884.85",-,"13,113",58.41
ALPA,EQ,24-10-2007,39.5,40.1,41.9,39.1,40.4,39.8,39.66,"20,030","7,94,331.05",-,"12,832",64.06
ALPA,EQ,25-10-2007,39.8,40.9,40.9,39.0,39.5,39.2,39.57,"25,672","10,15,963.70",-,"16,061",62.56
ALPA,EQ,26-10-2007,39.2,39.5,46.8,38.5,42.05,41.85,43.18,"2,98,413","1,28,85,717.45",-,"63,812",21.38
ALPA,EQ,29-10-2007,41.85,43.6,43.6,41.1,41.25,41.35,42.18,"52,427","22,11,218.95",-,"33,912",64.68
ALPA,EQ,30-10-2007,41.35,40.55,42.25,40.55,40.7,40.8,41.12,"27,704","11,39,296.50",-,"17,217",62.15
ALPA,EQ,31-10-2007,40.8,40.55,41.75,39.5,39.8,39.7,40.28,"34,465","13,88,365.75",-,"22,259",64.58
ALPA,EQ,01-11-2007,39.7,40.1,40.6,38.2,38.6,38.65,39.05,"42,233","16,49,241.80",-,"26,223",62.09
ALPA,EQ,02-11-2007,38.65,39.5,39.5,37.5,38.1,38.15,38.14,"22,528","8,59,272.70",-,"16,293",72.32
ALPA,EQ,05-11-2007,38.15,38.1,38.9,37.05,37.75,37.7,37.63,"33,087","12,44,908.15",-,"19,250",58.18
