SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
AMBEY,ST,11-07-2024,68.0,85.0,89.25,85.0,89.25,89.25,86.62,"22,30,000","19,31,63,700.00",829,"22,30,000",100.0
AMBEY,ST,12-07-2024,89.25,93.7,93.7,93.7,93.7,93.7,93.7,"2,62,000","2,45,49,400.00",130,"2,62,000",100.0
AMBEY,ST,15-07-2024,93.7,94.0,97.2,89.15,92.0,92.4,93.41,"19,12,000","17,85,99,400.00",755,"16,62,000",86.92
AMBEY,ST,16-07-2024,92.4,89.5,93.85,87.8,90.2,92.65,88.93,"10,62,000","9,44,45,100.00",353,"7,98,000",75.14
AMBEY,ST,18-07-2024,92.65,88.05,88.05,88.05,88.05,88.05,88.05,"96,000","84,52,800.00",46,"96,000",100.0
AMBEY,ST,19-07-2024,88.05,83.65,87.75,83.65,83.65,83.65,83.91,"1,78,000","1,49,35,600.00",79,"1,48,000",83.15
AMBEY,ST,22-07-2024,83.65,79.5,81.9,79.5,81.1,80.9,80.08,"3,94,000","3,15,53,200.00",178,"3,64,000",92.39
AMBEY,ST,23-07-2024,80.9,77.2,79.3,76.85,76.85,76.85,77.44,"1,38,000","1,06,86,400.00",66,"1,36,000",98.55
AMBEY,ST,24-07-2024,76.85,75.5,80.65,75.5,80.65,80.65,80.15,"4,12,000","3,30,19,800.00",173,"3,94,000",95.63
AMBEY,ST,25-07-2024,80.65,80.45,84.65,78.1,84.65,84.65,83.62,"4,80,000","4,01,37,100.00",202,"4,40,000",91.67
AMBEY,SM,26-07-2024,84.65,85.5,86.45,77.7,78.1,78.65,81.39,"4,82,000","3,92,32,200.00",229,"2,88,000",59.75
AMBEY,SM,29-07-2024,78.65,79.0,80.85,74.05,75.0,75.25,77.08,"2,52,000","1,94,24,600.00",118,"1,58,000",62.7
AMBEY,SM,30-07-2024,75.25,75.25,76.0,74.0,74.15,74.25,74.72,"1,04,000","77,71,300.00",52,"78,000",75.0
AMBEY,SM,31-07-2024,74.25,77.15,77.15,71.6,72.6,72.45,73.77,"1,76,000","1,29,83,500.00",85,"1,24,000",70.45
AMBEY,SM,01-08-2024,72.45,72.45,73.0,68.2,69.0,69.2,70.33,"1,34,000","94,24,500.00",67,"92,000",68.66
AMBEY,SM,02-08-2024,69.2,69.0,69.9,66.0,68.0,67.2,67.8,"1,82,000","1,23,39,700.00",90,"1,32,000",72.53
AMBEY,SM,05-08-2024,67.2,67.2,68.95,65.0,65.6,65.95,66.38,"1,42,000","94,26,100.00",71,"64,000",45.07
AMBEY,SM,06-08-2024,65.95,66.3,67.7,62.3,63.3,62.55,64.38,"1,22,000","78,54,200.00",60,"92,000",75.41
AMBEY,SM,07-08-2024,62.55,64.95,64.95,61.5,62.0,61.8,62.54,"90,000","56,28,700.00",44,"60,000",66.67
AMBEY,SM,08-08-2024,61.8,61.85,63.5,60.9,60.9,61.55,62.47,"76,000","47,47,400.00",38,"58,000",76.32
AMBEY,SM,09-08-2024,61.55,63.0,73.85,62.9,67.05,67.1,70.55,"5,58,000","3,93,66,800.00",209,"2,72,000",48.75
AMBEY,SM,12-08-2024,67.1,67.1,67.95,65.2,65.9,65.9,67.04,"42,000","28,15,500.00",20,"26,000",61.9
AMBEY,SM,13-08-2024,65.9,64.0,67.3,62.0,62.8,62.6,64.7,"2,98,000","1,92,80,900.00",99,"2,54,000",85.23
AMBEY,SM,14-08-2024,62.6,65.0,67.4,63.8,66.95,66.85,66.01,"1,06,000","69,97,300.00",53,"92,000",86.79
AMBEY,SM,16-08-2024,66.85,65.65,72.0,65.65,69.5,68.75,69.07,"2,50,000","1,72,66,800.00",113,"2,16,000",86.4
AMBEY,SM,19-08-2024,68.75,69.95,71.9,68.0,69.0,68.95,69.89,"1,16,000","81,07,800.00",53,"88,000",75.86
AMBEY,SM,20-08-2024,68.95,69.0,72.5,69.0,70.8,70.8,71.17,"1,20,000","85,40,800.00",60,"84,000",70.0
AMBEY,SM,21-08-2024,70.8,73.0,73.0,69.25,71.3,70.35,71.24,"72,000","51,29,000.00",36,"50,000",69.44
AMBEY,SM,22-08-2024,70.35,72.45,82.5,71.25,78.3,78.75,77.64,"6,50,000","5,04,62,900.00",302,"4,46,000",68.62
AMBEY,SM,23-08-2024,78.75,83.0,84.2,78.5,81.1,81.35,81.75,"4,54,000","3,71,14,200.00",212,"3,16,000",69.6
AMBEY,SM,26-08-2024,81.35,83.0,84.85,80.1,80.5,81.1,82.18,"1,54,000","1,26,56,000.00",77,"1,20,000",77.92
AMBEY,SM,27-08-2024,81.1,80.55,81.35,78.1,79.75,79.25,79.78,"1,06,000","84,56,400.00",53,"68,000",64.15
AMBEY,SM,28-08-2024,79.25,78.05,79.6,73.0,75.0,74.95,76.23,"1,42,000","1,08,24,700.00",66,"98,000",69.01
AMBEY,SM,29-08-2024,74.95,75.05,76.0,72.6,75.3,74.5,74.65,"82,000","61,21,400.00",34,"56,000",68.29
AMBEY,SM,30-08-2024,74.5,77.25,77.25,75.0,75.35,75.4,76.02,"58,000","44,09,300.00",29,"38,000",65.52
AMBEY,SM,02-09-2024,75.4,76.05,76.05,71.7,75.9,74.65,74.56,"86,000","64,12,400.00",39,"74,000",86.05
AMBEY,SM,03-09-2024,74.65,76.8,78.7,73.7,78.7,77.1,75.8,"1,18,000","89,44,400.00",58,"96,000",81.36
AMBEY,SM,04-09-2024,77.1,75.75,78.95,74.55,76.45,75.85,76.19,"1,02,000","77,71,200.00",51,"66,000",64.71
AMBEY,SM,05-09-2024,75.85,77.1,77.1,74.9,75.5,75.5,75.44,"62,000","46,77,400.00",29,"46,000",74.19
AMBEY,SM,06-09-2024,75.5,76.45,76.45,73.0,74.25,74.15,74.96,"78,000","58,46,500.00",38,"62,000",79.49
AMBEY,SM,09-09-2024,74.15,70.1,73.2,70.0,71.75,71.5,71.25,"70,000","49,87,300.00",35,"44,000",62.86
AMBEY,SM,10-09-2024,71.5,73.0,76.0,73.0,73.0,73.15,74.53,"44,000","32,79,200.00",20,"36,000",81.82
AMBEY,SM,11-09-2024,73.15,74.5,75.25,72.15,72.4,73.1,73.64,"20,000","14,72,800.00",10,"14,000",70.0
AMBEY,SM,12-09-2024,73.1,73.65,75.3,72.3,72.3,72.45,73.76,"56,000","41,30,600.00",27,"22,000",39.29
AMBEY,SM,13-09-2024,72.45,72.3,72.3,70.3,71.35,70.9,71.31,"38,000","27,09,600.00",19,"32,000",84.21
AMBEY,SM,16-09-2024,70.9,68.3,71.1,68.3,70.4,70.4,70.27,"42,000","29,51,300.00",21,"34,000",80.95
AMBEY,SM,17-09-2024,70.4,70.4,70.4,66.0,66.65,67.2,68.17,"98,000","66,80,300.00",47,"82,000",83.67
AMBEY,SM,18-09-2024,67.2,67.0,67.1,64.5,66.05,66.0,65.95,"1,14,000","75,18,200.00",51,"82,000",71.93
AMBEY,SM,19-09-2024,66.0,67.0,67.5,63.0,63.05,63.35,64.24,"74,000","47,53,400.00",37,"58,000",78.38
AMBEY,SM,20-09-2024,63.35,64.0,66.9,64.0,64.5,64.7,64.92,"60,000","38,95,000.00",30,"46,000",76.67
AMBEY,SM,23-09-2024,64.7,66.55,73.0,66.2,71.5,70.8,70.26,"1,58,000","1,11,01,200.00",79,"1,06,000",67.09
AMBEY,SM,24-09-2024,70.8,70.0,70.0,68.0,68.55,68.55,69.07,"42,000","29,01,100.00",21,"28,000",66.67
AMBEY,SM,25-09-2024,68.55,68.5,68.5,66.0,66.65,66.65,67.0,"22,000","14,73,900.00",11,"18,000",81.82
AMBEY,SM,26-09-2024,66.65,66.0,67.0,63.7,67.0,65.5,64.64,"1,02,000","65,93,400.00",46,"86,000",84.31
AMBEY,SM,27-09-2024,65.5,65.05,70.0,65.05,66.65,66.65,67.91,"42,000","28,52,300.00",21,"30,000",71.43
AMBEY,SM,30-09-2024,66.65,65.6,65.6,63.4,64.65,64.7,64.46,"20,000","12,89,100.00",10,"14,000",70.0
AMBEY,SM,01-10-2024,64.7,64.75,65.75,64.15,65.75,64.95,64.71,"12,000","7,76,500.00",6,"10,000",83.33
AMBEY,SM,03-10-2024,64.95,65.9,65.9,63.0,63.0,63.25,63.65,"52,000","33,09,800.00",26,"36,000",69.23
AMBEY,SM,04-10-2024,63.25,63.2,63.95,61.0,62.2,62.2,62.27,"84,000","52,30,700.00",37,"64,000",76.19
AMBEY,SM,07-10-2024,62.2,62.2,62.25,58.95,59.5,59.5,59.81,"2,16,000","1,29,18,700.00",55,"2,08,000",96.3
AMBEY,SM,08-10-2024,59.5,61.0,63.0,61.0,62.3,62.3,61.8,"30,000","18,54,100.00",15,"30,000",100.0
AMBEY,SM,09-10-2024,62.3,64.75,64.75,62.3,63.0,62.8,62.98,"36,000","22,67,100.00",18,"30,000",83.33
AMBEY,SM,10-10-2024,62.8,63.5,63.5,60.0,60.75,61.55,61.03,"96,000","58,59,300.00",46,"76,000",79.17
AMBEY,SM,11-10-2024,61.55,60.05,61.05,59.0,61.05,61.05,59.86,"1,00,000","59,85,800.00",35,"76,000",76.0
AMBEY,SM,14-10-2024,61.05,60.55,62.25,59.75,60.95,60.8,60.94,"1,62,000","98,71,600.00",36,"1,44,000",88.89
AMBEY,SM,15-10-2024,60.8,61.0,62.5,60.55,60.55,60.55,61.99,"22,000","13,63,700.00",5,"20,000",90.91
AMBEY,SM,16-10-2024,60.55,61.0,62.5,59.0,62.5,62.0,60.85,"1,30,000","79,10,100.00",58,"1,08,000",83.08
AMBEY,SM,17-10-2024,62.0,62.0,63.0,60.0,62.0,61.75,61.3,"80,000","49,03,700.00",40,"58,000",72.5
AMBEY,SM,18-10-2024,61.75,60.15,62.55,60.15,62.0,62.0,61.74,"28,000","17,28,800.00",14,"16,000",57.14
AMBEY,SM,21-10-2024,62.0,61.3,62.5,61.1,61.7,61.7,61.91,"22,000","13,62,000.00",11,"20,000",90.91
AMBEY,SM,22-10-2024,61.7,63.95,65.1,63.0,64.4,64.35,64.04,"1,04,000","66,60,000.00",51,"90,000",86.54
AMBEY,SM,23-10-2024,64.35,63.2,63.2,60.9,60.9,60.9,61.91,"32,000","19,81,100.00",16,"28,000",87.5
AMBEY,SM,24-10-2024,60.9,60.9,62.9,60.9,61.6,61.6,61.75,"16,000","9,88,000.00",8,"12,000",75.0
AMBEY,SM,25-10-2024,61.6,60.5,60.5,58.05,59.6,59.6,59.01,"36,000","21,24,400.00",18,"30,000",83.33
AMBEY,SM,28-10-2024,59.6,59.65,61.65,57.0,57.0,57.25,58.66,"32,000","18,77,100.00",16,"24,000",75.0
AMBEY,SM,29-10-2024,57.25,57.3,58.9,57.0,58.9,58.9,57.46,"32,000","18,38,600.00",14,"24,000",75.0
AMBEY,SM,30-10-2024,58.9,58.15,58.95,57.5,58.8,57.9,58.21,"22,000","12,80,600.00",11,"16,000",72.73
AMBEY,SM,31-10-2024,57.9,58.75,61.0,57.95,60.15,60.25,59.69,"40,000","23,87,400.00",20,"28,000",70.0
