SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
ARCHIDPLY,EQ,04-07-2008,74.0,72.9,72.9,48.8,50.55,50.7,53.78,"91,68,307","49,31,06,485.40",-,"6,26,803",6.84
ARCHIDPLY,EQ,07-07-2008,50.7,58.0,58.0,46.1,48.5,48.0,48.66,"20,39,589","9,92,53,035.25",-,"2,18,791",10.73
ARCHIDPLY,EQ,08-07-2008,48.0,46.2,46.7,43.5,43.75,44.55,44.85,"6,90,562","3,09,70,683.85",-,"1,50,175",21.75
ARCHIDPLY,EQ,09-07-2008,44.55,47.0,47.0,42.25,42.7,42.65,44.53,"6,80,460","3,03,01,693.75",-,"2,84,629",41.83
ARCHIDPLY,EQ,10-07-2008,42.65,42.0,44.1,39.55,40.75,40.65,41.32,"6,63,636","2,74,21,589.55",-,"2,12,379",32.0
ARCHIDPLY,EQ,11-07-2008,40.65,40.65,43.35,40.25,40.55,40.9,41.7,"5,60,898","2,33,91,009.50",-,"1,15,268",20.55
ARCHIDPLY,EQ,14-07-2008,40.9,40.4,41.45,39.1,39.6,39.65,40.45,"2,47,051","99,92,994.50",-,"55,116",22.31
ARCHIDPLY,EQ,15-07-2008,39.65,38.9,42.3,37.6,42.1,39.25,38.91,"2,14,715","83,53,990.20",-,"1,04,878",48.85
ARCHIDPLY,EQ,16-07-2008,39.25,39.15,39.6,37.0,37.35,37.35,37.86,"1,14,221","43,24,769.25",-,"47,598",41.67
ARCHIDPLY,EQ,17-07-2008,37.35,37.0,39.9,35.75,38.85,38.2,37.63,"1,81,996","68,47,754.95",-,"70,280",38.62
ARCHIDPLY,EQ,18-07-2008,38.2,37.55,38.2,36.7,36.95,37.15,37.37,"77,325","28,89,727.00",-,"26,366",34.1
ARCHIDPLY,EQ,21-07-2008,37.15,37.0,39.5,35.3,39.0,38.45,37.66,"1,32,222","49,79,569.55",-,"73,951",55.93
ARCHIDPLY,EQ,22-07-2008,38.45,31.7,39.9,31.7,38.4,38.75,38.87,"1,12,202","43,61,074.05",-,"41,554",37.03
ARCHIDPLY,EQ,23-07-2008,38.75,39.0,40.9,38.25,39.2,39.15,39.6,"1,43,307","56,75,415.85",-,"43,890",30.63
ARCHIDPLY,EQ,24-07-2008,39.15,39.9,40.8,37.85,38.0,38.2,38.98,"42,969","16,75,073.45",-,"17,477",40.67
ARCHIDPLY,EQ,25-07-2008,38.2,37.95,38.35,36.75,36.75,36.85,37.17,"50,826","18,89,399.25",-,"27,081",53.28
ARCHIDPLY,EQ,28-07-2008,36.85,36.5,37.95,36.5,37.5,37.5,37.43,"36,361","13,60,919.95",-,"14,670",40.35
ARCHIDPLY,EQ,29-07-2008,37.5,36.55,37.5,36.0,36.3,36.35,36.51,"45,840","16,73,517.60",-,"31,688",69.13
ARCHIDPLY,EQ,30-07-2008,36.35,37.3,37.4,36.0,36.4,36.35,36.74,"33,659","12,36,737.70",-,"17,955",53.34
ARCHIDPLY,EQ,31-07-2008,36.35,36.9,36.9,35.9,35.95,35.95,36.24,"15,203","5,50,890.50",-,"8,400",55.25
ARCHIDPLY,EQ,01-08-2008,35.95,35.9,40.8,35.5,38.25,38.7,38.99,"2,31,774","90,37,749.50",-,"78,374",33.81
ARCHIDPLY,EQ,04-08-2008,38.7,38.0,39.9,37.95,39.25,39.35,39.16,"50,423","19,74,374.00",-,"23,464",46.53
ARCHIDPLY,EQ,05-08-2008,39.35,39.9,39.9,38.5,38.7,38.65,39.14,"64,427","25,21,898.85",-,"52,074",80.83
ARCHIDPLY,EQ,06-08-2008,38.65,39.0,39.4,37.65,38.0,38.3,38.47,"74,642","28,71,243.00",-,"34,565",46.31
ARCHIDPLY,EQ,07-08-2008,38.3,37.8,38.8,36.0,38.25,38.35,38.33,"41,012","15,72,020.05",-,"34,117",83.19
ARCHIDPLY,EQ,08-08-2008,38.35,38.7,40.7,38.65,39.05,38.9,39.42,"52,982","20,88,786.95",-,"23,978",45.26
ARCHIDPLY,EQ,11-08-2008,38.9,40.9,40.9,38.5,38.8,38.9,39.17,"83,248","32,61,012.40",-,"50,158",60.25
ARCHIDPLY,EQ,12-08-2008,38.9,38.6,39.0,37.9,38.3,38.05,38.35,"19,197","7,36,144.55",-,"11,572",60.28
ARCHIDPLY,EQ,13-08-2008,38.05,37.15,38.85,37.1,37.8,37.8,37.94,"19,190","7,28,042.10",-,"12,129",63.2
ARCHIDPLY,EQ,14-08-2008,37.8,37.5,38.55,37.3,37.3,37.8,37.91,"30,788","11,67,320.55",-,"15,946",51.79
ARCHIDPLY,EQ,18-08-2008,37.8,37.7,38.3,36.8,36.9,37.15,37.5,"11,483","4,30,653.30",-,"6,318",55.02
ARCHIDPLY,EQ,19-08-2008,37.15,36.8,37.8,36.5,37.8,37.2,37.0,"22,279","8,24,415.50",-,"12,242",54.95
ARCHIDPLY,EQ,20-08-2008,37.2,36.8,37.75,36.8,37.4,37.5,37.29,"12,559","4,68,310.50",-,"9,482",75.5
ARCHIDPLY,EQ,21-08-2008,37.5,37.7,37.7,36.25,36.25,36.5,36.8,"8,639","3,17,946.15",-,"6,337",73.35
ARCHIDPLY,EQ,22-08-2008,36.5,36.3,37.9,35.2,37.6,37.25,36.84,"45,792","16,86,862.20",-,"27,445",59.93
ARCHIDPLY,EQ,25-08-2008,37.25,37.5,37.5,36.75,36.8,36.9,37.08,"7,309","2,71,028.95",-,"5,152",70.49
ARCHIDPLY,EQ,26-08-2008,36.9,35.55,44.2,35.55,42.25,42.4,42.27,"8,45,364","3,57,30,694.15",-,"1,52,225",18.01
ARCHIDPLY,EQ,27-08-2008,42.4,42.15,43.75,40.1,40.1,40.65,42.09,"4,02,449","1,69,40,487.90",-,"93,171",23.15
ARCHIDPLY,EQ,28-08-2008,40.65,40.4,41.7,38.1,39.5,38.45,39.16,"66,074","25,87,351.00",-,"26,126",39.54
ARCHIDPLY,EQ,29-08-2008,38.45,39.5,39.95,35.55,38.5,38.25,38.98,"74,109","28,89,127.15",-,"22,137",29.87
ARCHIDPLY,EQ,01-09-2008,38.25,39.2,39.2,37.5,38.7,38.5,38.48,"26,851","10,33,158.60",-,"14,895",55.47
ARCHIDPLY,EQ,02-09-2008,38.5,39.0,41.5,38.6,39.75,39.35,40.06,"1,11,981","44,85,828.80",-,"29,938",26.73
ARCHIDPLY,EQ,04-09-2008,39.35,39.6,39.7,38.5,39.7,39.25,39.0,"15,933","6,21,404.85",-,"12,220",76.7
ARCHIDPLY,EQ,05-09-2008,39.25,38.1,39.6,38.1,38.8,38.55,38.8,"21,420","8,31,114.50",-,"13,187",61.56
ARCHIDPLY,EQ,08-09-2008,38.55,38.2,39.55,38.0,38.5,38.45,38.71,"18,224","7,05,382.05",-,"7,980",43.79
ARCHIDPLY,EQ,09-09-2008,38.45,38.6,38.8,37.85,38.6,38.5,38.33,"18,758","7,19,020.85",-,"13,575",72.37
ARCHIDPLY,EQ,10-09-2008,38.5,38.2,38.65,38.1,38.5,38.3,38.25,"21,064","8,05,625.45",-,"16,965",80.54
ARCHIDPLY,EQ,11-09-2008,38.3,37.55,38.9,37.5,38.9,38.15,38.04,"16,780","6,38,296.80",-,"14,391",85.76
ARCHIDPLY,EQ,12-09-2008,38.15,38.05,38.1,37.5,37.5,37.5,37.62,"14,920","5,61,282.00",-,"12,380",82.98
ARCHIDPLY,EQ,15-09-2008,37.5,35.5,37.45,35.1,37.4,36.55,36.26,"39,601","14,36,040.50",-,"27,022",68.24
ARCHIDPLY,EQ,16-09-2008,36.55,35.0,37.0,33.55,37.0,36.5,35.87,"22,157","7,94,866.65",-,"16,416",74.09
ARCHIDPLY,EQ,17-09-2008,36.5,36.05,37.45,34.8,36.9,36.0,35.59,"46,623","16,59,306.50",-,"35,316",75.75
ARCHIDPLY,EQ,18-09-2008,36.0,33.55,34.5,33.2,34.45,33.95,33.7,"24,982","8,41,913.70",-,"13,049",52.23
ARCHIDPLY,EQ,19-09-2008,33.95,34.0,36.0,34.0,35.25,35.15,35.23,"25,574","9,00,962.60",-,"11,335",44.32
ARCHIDPLY,EQ,22-09-2008,35.15,35.2,38.0,35.15,38.0,37.1,36.5,"26,986","9,84,955.70",-,"19,803",73.38
ARCHIDPLY,EQ,23-09-2008,37.1,36.15,37.0,35.3,35.35,35.45,35.94,"13,665","4,91,116.90",-,"10,098",73.9
ARCHIDPLY,EQ,24-09-2008,35.45,35.15,36.45,35.0,35.3,35.3,35.69,"8,246","2,94,317.80",-,"6,135",74.4
ARCHIDPLY,EQ,25-09-2008,35.3,35.05,35.6,34.8,35.3,35.0,35.2,"6,728","2,36,840.00",-,"4,715",70.08
ARCHIDPLY,EQ,26-09-2008,35.0,34.8,35.8,34.6,35.0,34.9,34.82,"11,200","3,90,022.90",-,"8,603",76.81
