SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
ARIHANTCAP,EQ,15-06-2021,127.65,130.0,132.8,118.15,123.7,125.1,125.99,"1,39,063","1,75,20,926.55","1,351","63,016",45.31
ARIHANTCAP,EQ,16-06-2021,125.1,126.8,129.9,120.3,122.5,121.55,123.44,"38,297","47,27,454.70",571,"25,484",66.54
ARIHANTCAP,EQ,17-06-2021,121.55,120.0,121.95,115.7,118.9,119.2,119.15,"16,161","19,25,631.45",307,"9,493",58.74
ARIHANTCAP,EQ,18-06-2021,119.2,120.0,128.6,111.25,125.4,126.45,122.06,"1,28,088","1,56,34,840.50","1,009","65,820",51.39
ARIHANTCAP,EQ,21-06-2021,126.45,127.7,131.9,121.55,128.6,129.05,129.56,"2,07,072","2,68,27,765.50","2,442","1,14,914",55.49
ARIHANTCAP,EQ,22-06-2021,129.05,132.0,136.5,128.55,129.0,130.05,133.26,"94,861","1,26,41,537.15","1,419","60,691",63.98
ARIHANTCAP,EQ,23-06-2021,130.05,129.6,133.8,128.0,128.75,128.7,130.52,"21,363","27,88,399.90",468,"13,647",63.88
ARIHANTCAP,EQ,24-06-2021,128.7,131.8,131.8,123.65,126.0,125.1,126.43,"16,377","20,70,537.70",399,"10,379",63.38
ARIHANTCAP,EQ,25-06-2021,125.1,125.3,129.5,125.15,127.0,127.4,127.66,"19,107","24,39,220.55",645,"9,287",48.61
ARIHANTCAP,EQ,28-06-2021,127.4,128.5,129.95,127.4,128.0,129.15,129.2,"26,518","34,26,219.95",424,"22,696",85.59
ARIHANTCAP,EQ,29-06-2021,129.15,129.25,129.6,126.2,126.35,126.85,127.72,"18,927","24,17,364.40",455,"14,201",75.03
ARIHANTCAP,EQ,30-06-2021,126.85,126.55,131.05,125.0,126.7,126.7,128.1,"40,859","52,34,210.25",721,"31,206",76.37
ARIHANTCAP,EQ,01-07-2021,126.7,128.55,129.0,126.1,127.0,126.5,127.08,"7,735","9,82,948.50",243,"4,929",63.72
ARIHANTCAP,EQ,02-07-2021,126.5,127.95,130.0,125.35,125.5,125.7,127.18,"13,796","17,54,570.65",401,"7,550",54.73
ARIHANTCAP,EQ,05-07-2021,125.7,128.0,135.25,127.05,130.45,129.65,130.31,"48,979","63,82,520.40",679,"37,180",75.91
ARIHANTCAP,EQ,06-07-2021,129.65,131.0,131.0,125.5,125.95,125.9,127.94,"9,464","12,10,823.35",244,"6,261",66.16
ARIHANTCAP,EQ,07-07-2021,125.9,126.05,138.0,126.0,135.0,134.45,131.91,"68,687","90,60,331.45","1,264","43,176",62.86
ARIHANTCAP,EQ,08-07-2021,134.45,134.95,141.95,133.65,137.0,137.2,138.05,"72,340","99,86,816.25","1,301","45,775",63.28
ARIHANTCAP,EQ,09-07-2021,137.2,139.9,144.8,138.7,143.0,143.75,142.36,"51,297","73,02,427.15","2,371","27,704",54.01
ARIHANTCAP,EQ,12-07-2021,143.75,145.2,149.9,143.95,146.0,145.8,146.94,"34,133","50,15,546.45","1,060","25,646",75.14
ARIHANTCAP,EQ,13-07-2021,145.8,149.65,149.65,142.5,147.95,147.45,147.02,"35,453","52,12,298.00",960,"25,161",70.97
ARIHANTCAP,EQ,14-07-2021,147.45,150.0,150.8,146.0,150.8,149.85,149.02,"36,139","53,85,431.85",763,"29,864",82.64
ARIHANTCAP,EQ,15-07-2021,149.85,151.0,165.0,150.8,161.0,161.4,157.85,"1,01,871","1,60,80,097.65","2,207","56,025",55.0
