SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
ARKADE,EQ,24-09-2024,128.0,175.0,190.0,164.8,165.45,165.86,176.7,"4,87,58,917","8,61,59,29,763.57","4,12,824","1,64,60,390",33.76
ARKADE,EQ,25-09-2024,165.86,165.76,165.78,154.11,155.2,155.9,158.19,"1,09,40,014","1,73,06,29,797.17","97,805","32,66,789",29.86
ARKADE,EQ,26-09-2024,155.9,153.4,165.89,153.4,155.61,155.61,160.37,"89,26,549","1,43,15,21,253.44","70,134","17,03,034",19.08
ARKADE,EQ,27-09-2024,155.61,156.7,160.0,155.02,156.49,155.62,157.04,"26,43,028","41,50,48,446.40","27,045","8,74,148",33.07
ARKADE,EQ,30-09-2024,155.62,155.0,155.8,148.21,151.49,151.67,150.84,"30,85,931","46,54,74,268.52","38,824","10,35,889",33.57
ARKADE,EQ,01-10-2024,151.67,151.6,155.75,151.0,153.5,153.37,153.26,"23,69,378","36,31,35,429.69","24,624","6,96,893",29.41
ARKADE,EQ,03-10-2024,153.37,149.99,151.79,145.87,148.3,148.62,149.24,"17,85,913","26,65,27,519.92","21,286","9,58,214",53.65
ARKADE,EQ,04-10-2024,148.62,148.5,150.79,145.11,150.0,149.88,148.44,"15,36,624","22,80,96,802.73","19,499","6,09,254",39.65
ARKADE,EQ,07-10-2024,149.88,152.9,152.9,139.47,143.6,143.15,143.8,"16,35,251","23,51,46,018.30","24,558","6,70,301",40.99
ARKADE,EQ,08-10-2024,143.15,140.5,155.0,140.5,152.8,153.28,147.96,"22,07,464","32,66,09,701.45","27,596","7,09,317",32.13
ARKADE,EQ,09-10-2024,153.28,154.0,157.5,151.57,153.1,153.26,154.14,"14,98,250","23,09,46,281.20","19,225","5,45,639",36.42
ARKADE,EQ,10-10-2024,153.26,154.0,161.1,153.3,158.9,159.23,158.05,"23,87,225","37,73,06,077.17","27,270","9,97,773",41.8
ARKADE,EQ,11-10-2024,159.23,166.0,172.61,161.6,162.47,163.52,167.14,"74,67,129","1,24,80,47,351.73","59,097","19,71,440",26.4
ARKADE,EQ,14-10-2024,163.52,163.88,163.89,154.05,154.48,154.91,157.27,"16,10,817","25,33,36,471.97","21,124","6,71,314",41.68
ARKADE,EQ,15-10-2024,154.91,156.0,161.0,151.92,159.9,159.86,156.94,"19,23,762","30,19,09,041.76","22,928","6,02,325",31.31
ARKADE,EQ,16-10-2024,159.86,158.0,162.8,157.0,158.1,159.79,160.14,"12,59,119","20,16,30,784.95","16,794","3,77,805",30.01
ARKADE,EQ,17-10-2024,159.79,158.7,159.58,154.5,155.0,156.09,156.51,"6,34,793","9,93,51,913.30","10,755","2,57,043",40.49
ARKADE,EQ,18-10-2024,156.09,153.5,155.62,151.47,152.6,152.83,153.02,"10,97,489","16,79,42,618.93","12,180","4,13,158",37.65
ARKADE,EQ,21-10-2024,152.83,152.36,153.77,145.1,145.46,145.48,147.02,"14,73,686","21,66,61,078.18","16,963","8,29,599",56.29
ARKADE,EQ,22-10-2024,145.48,147.8,149.87,139.05,140.65,140.29,141.84,"25,20,304","35,74,81,911.88","21,392","10,29,071",40.83
ARKADE,EQ,23-10-2024,140.29,139.01,144.45,136.25,141.79,141.63,141.54,"13,27,715","18,79,29,540.94","17,698","2,75,705",20.77
ARKADE,EQ,24-10-2024,141.63,142.9,143.41,137.0,137.58,137.35,139.52,"7,33,318","10,23,12,963.74","12,349","2,98,307",40.68
ARKADE,EQ,25-10-2024,137.35,137.85,138.17,131.0,134.5,133.07,133.25,"7,53,527","10,04,08,134.73","13,448","2,81,403",37.34
ARKADE,EQ,28-10-2024,133.07,135.4,137.98,131.8,136.49,136.14,134.69,"7,15,239","9,63,33,211.36","12,179","1,79,226",25.06
ARKADE,EQ,29-10-2024,136.14,136.14,137.8,132.9,135.97,135.74,135.31,"4,16,280","5,63,27,238.56","8,767","1,34,361",32.28
ARKADE,EQ,30-10-2024,135.74,135.93,144.9,134.19,139.0,139.84,139.78,"10,19,892","14,25,62,732.36","14,269","3,59,903",35.29
ARKADE,EQ,31-10-2024,139.84,139.84,144.5,138.46,142.4,142.11,141.88,"5,35,844","7,60,24,037.94","9,773","2,20,575",41.16
ARKADE,EQ,01-11-2024,142.11,142.55,145.8,142.55,144.77,144.83,144.57,"2,27,272","3,28,56,743.86","3,557","1,41,574",62.29
ARKADE,EQ,04-11-2024,144.83,144.75,144.77,139.6,141.3,140.58,141.36,"5,40,282","7,63,73,189.82","8,083","2,03,442",37.65
ARKADE,EQ,05-11-2024,140.58,141.5,143.95,140.58,142.05,142.74,142.35,"4,18,264","5,95,40,173.45","7,398","1,17,572",28.11
ARKADE,EQ,06-11-2024,142.74,142.5,148.23,138.0,146.8,146.88,145.7,"10,56,115","15,38,71,723.19","13,725","3,69,015",34.94
ARKADE,EQ,07-11-2024,146.88,147.85,147.9,142.0,142.2,142.24,144.09,"7,90,008","11,38,28,820.51","10,997","3,87,425",49.04
ARKADE,EQ,08-11-2024,142.24,143.7,144.6,140.48,141.0,141.64,142.41,"5,21,938","7,43,26,665.65","8,862","1,48,921",28.53
ARKADE,EQ,11-11-2024,141.64,141.51,141.78,137.25,139.59,139.82,140.03,"4,19,840","5,87,88,214.73","7,689","1,44,772",34.48
ARKADE,EQ,12-11-2024,139.82,140.05,143.25,136.0,140.07,140.32,140.72,"6,28,907","8,85,01,627.02","11,979","2,47,232",39.31
ARKADE,EQ,13-11-2024,140.32,140.0,141.83,133.63,136.51,135.48,137.68,"7,00,711","9,64,70,942.04","12,889","3,13,045",44.68
ARKADE,EQ,14-11-2024,135.48,135.8,138.85,132.0,132.42,132.63,133.7,"6,42,066","8,58,46,112.93","13,397","2,16,947",33.79
ARKADE,EQ,18-11-2024,132.63,134.8,134.8,130.07,130.5,130.82,131.88,"3,69,144","4,86,83,033.32","8,724","1,30,022",35.22
ARKADE,EQ,19-11-2024,130.82,132.45,134.8,131.0,131.9,132.33,133.25,"4,99,769","6,65,94,049.93","9,369","1,69,901",34.0
ARKADE,EQ,21-11-2024,132.33,131.0,131.5,128.15,129.19,129.03,129.33,"4,46,534","5,77,48,047.00","9,209","1,85,303",41.5
ARKADE,EQ,22-11-2024,129.03,130.8,136.37,129.63,134.0,133.96,133.84,"9,43,976","12,63,41,507.39","11,778","4,03,005",42.69
ARKADE,EQ,25-11-2024,133.96,140.0,145.8,139.0,140.5,140.47,141.2,"20,72,567","29,26,37,180.66","21,395","8,46,822",40.86
ARKADE,EQ,26-11-2024,140.47,142.0,144.9,141.0,142.51,142.48,142.67,"7,88,375","11,24,76,083.95","10,285","3,33,463",42.3
ARKADE,EQ,27-11-2024,142.48,144.0,149.0,141.8,148.0,147.75,146.16,"11,88,705","17,37,37,355.12","16,242","5,21,477",43.87
ARKADE,EQ,28-11-2024,147.75,148.45,151.8,146.08,148.99,148.42,149.0,"7,83,718","11,67,75,298.17","14,623","3,08,871",39.41
ARKADE,EQ,29-11-2024,148.42,149.0,151.45,145.06,149.01,148.47,148.51,"7,60,053","11,28,76,418.44","11,300","3,13,980",41.31
ARKADE,EQ,02-12-2024,148.47,147.38,157.01,146.75,153.0,154.57,154.04,"21,85,136","33,65,98,278.55","31,584","9,57,164",43.8
ARKADE,EQ,03-12-2024,154.57,157.0,174.19,157.0,168.64,169.38,168.87,"1,09,81,429","1,85,43,88,647.68","96,368","30,68,125",27.94
ARKADE,EQ,04-12-2024,169.38,169.95,171.9,163.0,163.85,163.34,167.82,"28,16,208","47,26,26,375.54","28,691","11,67,340",41.45
ARKADE,EQ,05-12-2024,163.34,165.0,169.99,162.5,166.3,166.68,166.42,"36,65,012","60,99,31,272.52","31,703","11,61,895",31.7
ARKADE,EQ,06-12-2024,166.68,168.9,182.2,168.38,173.8,173.17,176.2,"1,28,77,015","2,26,89,38,590.44","1,04,904","28,14,784",21.86
ARKADE,EQ,09-12-2024,173.17,173.0,175.55,168.01,168.73,168.97,171.67,"25,50,673","43,78,73,475.63","27,920","8,60,112",33.72
ARKADE,EQ,10-12-2024,168.97,169.39,169.39,164.52,165.0,165.55,166.31,"13,36,816","22,23,24,184.46","15,036","4,95,032",37.03
ARKADE,EQ,11-12-2024,165.55,165.85,169.1,163.3,167.65,168.33,166.72,"14,72,478","24,54,94,333.60","14,239","5,09,259",34.59
ARKADE,EQ,12-12-2024,168.33,168.33,168.8,160.0,162.08,161.57,163.82,"10,33,538","16,93,11,530.79","12,677","4,76,464",46.1
ARKADE,EQ,13-12-2024,161.57,160.99,166.24,159.3,163.8,164.28,163.45,"15,49,461","25,32,63,709.26","17,302","4,94,896",31.94
ARKADE,EQ,16-12-2024,164.28,165.24,174.5,165.24,174.5,173.31,170.69,"36,72,006","62,67,70,174.53","43,219","12,60,188",34.32
