SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
ASHOKA,EQ,14-10-2010,324.0,342.0,362.7,308.1,319.45,330.75,341.85,"1,45,86,970","4,98,65,36,363.45",-,"23,15,523",15.87
ASHOKA,EQ,15-10-2010,330.75,325.0,330.45,305.15,315.0,315.55,321.35,"17,86,738","57,41,74,479.70",-,"2,09,459",11.72
ASHOKA,EQ,18-10-2010,315.55,314.65,321.4,303.25,305.5,306.5,310.31,"2,44,792","7,59,62,140.30",-,"40,200",16.42
ASHOKA,EQ,19-10-2010,306.5,307.6,351.1,306.5,317.0,317.95,333.33,"18,68,320","62,27,58,909.65",-,"1,51,901",8.13
ASHOKA,EQ,20-10-2010,317.95,317.95,334.0,311.1,318.05,318.05,324.84,"6,02,906","19,58,45,794.55",-,"41,356",6.86
ASHOKA,EQ,21-10-2010,318.05,363.0,363.0,317.0,318.0,318.8,322.79,"1,82,807","5,90,08,821.95",-,"26,967",14.75
ASHOKA,EQ,22-10-2010,318.8,310.0,324.8,310.0,314.9,315.75,318.34,"1,17,613","3,74,41,384.80",-,"25,841",21.97
ASHOKA,EQ,25-10-2010,315.75,316.0,321.7,310.05,312.0,311.85,315.57,"92,065","2,90,52,626.45",-,"24,165",26.25
ASHOKA,EQ,26-10-2010,311.85,312.25,316.75,303.4,306.1,306.2,309.64,"53,355","1,65,21,107.75",-,"20,799",38.98
ASHOKA,EQ,27-10-2010,306.2,302.0,316.0,301.0,310.7,310.45,308.64,"63,026","1,94,52,204.15",-,"27,186",43.13
ASHOKA,EQ,28-10-2010,310.45,307.05,311.75,304.0,306.0,306.75,306.97,"47,698","1,46,41,625.80",-,"33,710",70.67
ASHOKA,EQ,29-10-2010,306.75,304.1,316.5,304.1,312.6,312.1,312.11,"87,509","2,73,12,682.85",-,"31,993",36.56
ASHOKA,EQ,01-11-2010,312.1,315.25,318.0,309.1,312.0,311.7,312.18,"30,333","94,69,216.20",-,"19,756",65.13
ASHOKA,EQ,02-11-2010,311.7,310.0,312.5,303.0,309.6,309.0,308.6,"30,455","93,98,477.05",-,"23,382",76.78
ASHOKA,EQ,03-11-2010,309.0,311.0,312.1,305.2,307.0,306.7,309.13,"12,124","37,47,915.25",-,"6,297",51.94
ASHOKA,EQ,04-11-2010,306.7,302.1,312.25,301.55,308.0,310.2,309.69,"21,593","66,87,050.05",-,"10,726",49.67
ASHOKA,EQ,05-11-2010,310.2,311.75,311.75,306.25,307.0,308.65,308.59,"2,746","8,47,395.95",-,"1,541",56.12
ASHOKA,EQ,08-11-2010,308.65,310.0,314.0,301.55,309.0,309.45,310.05,"17,314","53,68,240.05",-,"7,812",45.12
