SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
ATCENERGY,ST,02-04-2025,118.0,107.0,107.0,101.65,101.65,101.65,106.73,"3,80,400","4,06,00,080.00",141,"3,80,400",100.0
ATCENERGY,ST,03-04-2025,101.65,96.6,96.6,96.6,96.6,96.6,96.6,"10,800","10,43,280.00",9,"10,800",100.0
ATCENERGY,ST,04-04-2025,96.6,91.8,91.8,91.8,91.8,91.8,91.8,"28,800","26,43,840.00",22,"28,800",100.0
ATCENERGY,ST,07-04-2025,91.8,87.25,87.25,87.25,87.25,87.25,87.25,"3,600","3,14,100.00",3,"3,600",100.0
ATCENERGY,ST,08-04-2025,87.25,82.9,82.9,82.9,82.9,82.9,82.9,"10,800","8,95,320.00",9,"10,800",100.0
ATCENERGY,ST,09-04-2025,82.9,78.75,87.0,78.75,83.1,81.6,80.66,"7,12,800","5,74,97,580.00",295,"6,68,400",93.77
ATCENERGY,ST,11-04-2025,81.6,80.45,85.65,77.55,85.0,82.05,82.18,"2,73,600","2,24,85,540.00",177,"2,66,400",97.37
ATCENERGY,ST,15-04-2025,82.05,85.0,86.15,81.05,86.15,86.0,84.46,"82,800","69,93,420.00",60,"73,200",88.41
ATCENERGY,ST,16-04-2025,86.0,85.0,90.3,83.0,90.3,90.15,87.31,"1,06,800","93,24,540.00",82,"81,600",76.4
ATCENERGY,ST,17-04-2025,90.15,88.0,93.9,88.0,93.5,92.35,90.9,"87,600","79,62,540.00",48,"81,600",93.15
ATCENERGY,SM,21-04-2025,92.35,92.0,101.0,91.0,98.05,98.4,95.02,"1,47,600","1,40,25,420.00",101,"93,600",63.41
ATCENERGY,SM,22-04-2025,98.4,99.45,100.95,97.45,97.45,98.75,99.29,"84,000","83,40,360.00",63,"46,800",55.71
ATCENERGY,SM,23-04-2025,98.75,99.45,107.0,94.45,107.0,105.8,101.39,"1,35,600","1,37,49,060.00",92,"73,200",53.98
ATCENERGY,SM,24-04-2025,105.8,107.6,113.7,104.9,109.5,109.15,107.93,"1,72,800","1,86,49,740.00",110,"1,11,600",64.58
ATCENERGY,SM,25-04-2025,109.15,111.85,111.85,96.75,107.0,107.05,103.79,"1,47,600","1,53,19,800.00",109,"82,800",56.1
