SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
AUSL,ST,16-09-2024,62.0,69.9,72.0,66.4,66.4,66.4,68.44,"8,92,000","6,10,44,900.00",382,"8,92,000",100.0
AUSL,ST,17-09-2024,66.4,63.1,63.1,63.1,63.1,63.1,63.1,"68,000","42,90,800.00",31,"68,000",100.0
AUSL,ST,18-09-2024,63.1,59.95,59.95,59.95,59.95,59.95,59.95,"46,000","27,57,700.00",23,"46,000",100.0
AUSL,ST,19-09-2024,59.95,56.95,62.9,56.95,61.9,62.05,58.83,"6,04,000","3,55,30,300.00",299,"5,98,000",99.01
AUSL,ST,20-09-2024,62.05,59.0,62.9,59.0,62.0,61.6,61.23,"2,16,000","1,32,25,100.00",97,"2,14,000",99.07
AUSL,ST,23-09-2024,61.6,62.85,62.85,59.0,61.75,60.95,60.92,"8,48,000","5,16,58,700.00",74,"8,38,000",98.82
AUSL,ST,24-09-2024,60.95,60.0,61.5,58.5,61.0,59.75,59.86,"98,000","58,66,100.00",44,"86,000",87.76
AUSL,ST,25-09-2024,59.75,59.8,60.95,56.8,60.05,59.2,58.2,"1,08,000","62,85,800.00",35,"80,000",74.07
AUSL,ST,26-09-2024,59.2,59.2,59.9,57.5,59.8,59.85,59.55,"1,66,000","98,86,100.00",30,"1,66,000",100.0
AUSL,ST,27-09-2024,59.85,59.85,59.85,57.2,58.3,59.15,59.16,"2,22,000","1,31,33,700.00",33,"2,18,000",98.2
AUSL,SM,30-09-2024,59.15,62.0,62.0,56.85,58.9,58.75,58.72,"2,40,000","1,40,93,000.00",65,"2,26,000",94.17
AUSL,SM,01-10-2024,58.75,58.65,59.1,58.0,58.3,58.45,58.58,"38,000","22,26,200.00",19,"34,000",89.47
AUSL,SM,03-10-2024,58.45,60.95,60.95,56.25,57.05,57.1,57.37,"62,000","35,57,000.00",31,"50,000",80.65
AUSL,SM,04-10-2024,57.1,57.1,58.1,57.1,57.6,57.9,57.88,"24,000","13,89,100.00",12,"20,000",83.33
AUSL,SM,07-10-2024,57.9,56.7,57.7,52.0,56.75,55.15,55.01,"38,000","20,90,200.00",19,"24,000",63.16
AUSL,SM,08-10-2024,55.15,53.75,58.0,53.75,57.95,57.85,56.68,"22,000","12,46,900.00",11,"18,000",81.82
AUSL,SM,09-10-2024,57.85,57.95,59.2,57.5,58.9,58.9,58.92,"1,02,000","60,10,000.00",12,"1,00,000",98.04
AUSL,SM,10-10-2024,58.9,56.55,56.7,56.55,56.7,56.7,56.65,"8,000","4,53,200.00",4,"6,000",75.0
AUSL,SM,11-10-2024,56.7,56.7,57.9,56.7,56.7,56.7,56.94,"10,000","5,69,400.00",5,"8,000",80.0
AUSL,SM,14-10-2024,56.7,54.0,54.5,53.3,54.05,54.25,54.05,"24,000","12,97,200.00",11,"12,000",50.0
AUSL,SM,15-10-2024,54.25,54.0,54.0,52.35,52.35,52.35,52.87,"18,000","9,51,700.00",9,"18,000",100.0
AUSL,SM,16-10-2024,52.35,52.35,54.2,52.35,54.15,54.15,53.49,"14,000","7,48,900.00",7,"12,000",85.71
AUSL,SM,17-10-2024,54.15,53.35,54.15,53.35,54.15,54.1,53.63,"16,000","8,58,100.00",8,"14,000",87.5
AUSL,SM,18-10-2024,54.1,55.5,55.5,55.3,55.3,55.3,55.44,"12,000","6,65,300.00",6,"12,000",100.0
AUSL,SM,21-10-2024,55.3,55.3,55.3,52.7,52.7,52.7,54.65,"8,000","4,37,200.00",4,"8,000",100.0
AUSL,SM,22-10-2024,52.7,53.0,53.0,51.05,51.05,51.25,52.16,"16,000","8,34,500.00",8,"14,000",87.5
AUSL,SM,23-10-2024,51.25,50.7,55.0,50.5,55.0,55.0,52.55,"16,000","8,40,800.00",8,"12,000",75.0
AUSL,SM,25-10-2024,55.0,50.2,54.7,50.1,54.7,52.15,51.08,"26,000","13,28,100.00",13,"16,000",61.54
