SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
AVSL,SM,06-10-2016,36.0,38.0,38.0,36.0,36.0,36.0,36.4,"15,000","5,46,000.00",5,"12,000",80.0
AVSL,SM,10-10-2016,36.0,37.5,37.5,35.0,37.4,37.4,36.63,"9,000","3,29,700.00",3,"9,000",100.0
AVSL,SM,13-10-2016,37.4,34.0,34.0,34.0,34.0,34.0,34.0,"3,000","1,02,000.00",1,"3,000",100.0
AVSL,SM,14-10-2016,34.0,32.6,32.6,30.5,30.5,30.5,31.55,"6,000","1,89,300.00",2,"6,000",100.0
AVSL,SM,17-10-2016,30.5,29.5,29.5,29.5,29.5,29.5,29.5,"3,000","88,500.00",1,"3,000",100.0
AVSL,SM,20-10-2016,29.5,27.0,27.0,27.0,27.0,27.0,27.0,"3,000","81,000.00",1,"3,000",100.0
AVSL,SM,24-10-2016,27.0,24.7,25.7,24.7,25.7,25.7,25.2,"6,000","1,51,200.00",2,"3,000",50.0
AVSL,SM,25-10-2016,25.7,27.5,27.5,27.5,27.5,27.5,27.5,"3,000","82,500.00",1,"3,000",100.0
AVSL,SM,17-11-2016,27.5,26.7,26.7,26.7,26.7,26.7,26.7,"3,000","80,100.00",1,"3,000",100.0
AVSL,SM,12-12-2016,26.7,28.7,28.7,28.7,28.7,28.7,28.7,"3,000","86,100.00",1,"3,000",100.0
AVSL,SM,14-12-2016,28.7,28.2,28.2,28.2,28.2,28.2,28.2,"3,000","84,600.00",1,"3,000",100.0
AVSL,SM,30-01-2017,28.2,30.8,30.8,30.8,30.8,30.8,30.8,"3,000","92,400.00",1,"3,000",100.00
AVSL,SM,02-02-2017,30.8,32.8,32.8,32.8,32.8,32.8,32.8,"3,000","98,400.00",1,"3,000",100.00
AVSL,SM,09-02-2017,32.8,34.8,34.8,34.8,34.8,34.8,34.8,"3,000","1,04,400.00",1,"3,000",100.00
AVSL,SM,06-03-2017,34.8,33.0,33.0,33.0,33.0,33.0,33.0,"3,000","99,000.00",1,"3,000",100.00
AVSL,SM,14-03-2017,33.0,31.5,31.5,30.0,30.0,30.0,30.5,"9,000","2,74,500.00",3,"9,000",100.00
AVSL,SM,16-03-2017,30.0,34.0,34.0,34.0,34.0,34.0,34.0,"3,000","1,02,000.00",1,"3,000",100.00
AVSL,SM,20-03-2017,34.0,32.0,32.0,32.0,32.0,32.0,32.0,"6,000","1,92,000.00",2,"6,000",100.00
AVSL,SM,24-03-2017,32.0,33.3,33.5,33.3,33.5,33.5,33.4,"9,000","3,00,600.00",3,-,-
AVSL,SM,28-04-2017,33.5,35.3,35.3,35.3,35.3,35.3,35.3,"3,000","1,05,900.00",1,"3,000",100.00
AVSL,SM,02-05-2017,35.3,36.0,36.0,36.0,36.0,36.0,36.0,"3,000","1,08,000.00",1,"3,000",100.00
AVSL,SM,04-05-2017,36.0,37.0,37.0,37.0,37.0,37.0,37.0,"6,000","2,22,000.00",2,"6,000",100.00
AVSL,SM,08-05-2017,37.0,34.5,37.5,34.5,37.5,37.5,36.0,"6,000","2,16,000.00",2,"3,000",50.00
AVSL,SM,09-05-2017,37.5,37.9,37.9,37.9,37.9,37.9,37.9,"6,000","2,27,400.00",2,"6,000",100.00
AVSL,SM,11-05-2017,37.9,34.3,34.3,34.3,34.3,34.3,34.3,"3,000","1,02,900.00",1,"3,000",100.00
AVSL,SM,18-05-2017,34.3,37.4,37.4,37.4,37.4,37.4,37.4,"3,000","1,12,200.00",1,"3,000",100.00
AVSL,SM,02-06-2017,37.4,34.3,34.3,34.3,34.3,34.3,34.3,"3,000","1,02,900.00",1,"3,000",100.00
AVSL,SM,03-07-2017,34.3,31.6,31.6,31.6,31.6,31.6,31.6,"3,000","94,800.00",1,"3,000",100.00
AVSL,SM,12-09-2017,31.6,32.0,32.0,32.0,32.0,32.0,32.0,"3,000","96,000.00",1,"3,000",100.00
AVSL,SM,10-10-2017,32.0,28.9,28.9,28.9,28.9,28.9,28.9,"3,000","86,700.00",1,"3,000",100.00
AVSL,SM,17-10-2017,28.9,26.5,26.5,26.5,26.5,26.5,26.5,"3,000","79,500.00",1,"3,000",100.00
AVSL,SM,30-10-2017,26.5,27.0,27.0,27.0,27.0,27.0,27.0,"3,000","81,000.00",1,"3,000",100.00
AVSL,SM,15-11-2017,27.0,26.75,26.75,26.75,26.75,26.75,26.75,"3,000","80,250.00",1,"3,000",100.00
AVSL,SM,16-11-2017,26.75,27.0,27.0,27.0,27.0,27.0,27.0,"3,000","81,000.00",1,"3,000",100.00
AVSL,SM,17-11-2017,27.0,27.25,27.25,27.25,27.25,27.25,27.25,"3,000","81,750.00",1,"3,000",100.00
AVSL,SM,28-11-2017,27.25,26.4,26.4,26.4,26.4,26.4,26.4,"3,000","79,200.00",1,"3,000",100.00
AVSL,SM,29-12-2017,26.4,29.0,30.6,29.0,29.05,29.05,29.44,"12,000","3,53,250.00",4,"9,000",75.00
AVSL,SM,15-01-2018,29.05,28.0,28.0,28.0,28.0,28.0,28.0,"3,000","84,000.00",1,"3,000",100.0
AVSL,SM,30-01-2018,28.0,28.0,28.0,28.0,28.0,28.0,28.0,"3,000","84,000.00",1,"3,000",100.0
AVSL,SM,12-02-2018,28.0,26.0,26.0,26.0,26.0,26.0,26.0,"6,000","1,56,000.00",2,"6,000",100.0
AVSL,SM,14-02-2018,26.0,28.45,28.5,28.45,28.5,28.5,28.48,"6,000","1,70,850.00",2,"6,000",100.0
AVSL,SM,26-04-2018,28.5,29.0,29.0,29.0,29.0,29.0,29.0,"3,000","87,000.00",1,"3,000",100.0
AVSL,SM,27-04-2018,29.0,28.0,28.0,28.0,28.0,28.0,28.0,"3,000","84,000.00",1,"3,000",100.0
AVSL,SM,31-07-2018,28.0,29.6,29.6,29.6,29.6,29.6,29.6,"3,000","88,800.00",1,"3,000",100.0
AVSL,SM,20-08-2018,29.6,35.0,35.0,32.6,32.6,32.6,33.8,"6,000","2,02,800.00",2,"3,000",50.0
AVSL,SM,21-08-2018,32.6,32.0,35.0,32.0,35.0,35.0,33.5,"6,000","2,01,000.00",2,"6,000",100.0
AVSL,SM,23-08-2018,35.0,36.0,36.0,36.0,36.0,36.0,36.0,"12,000","4,32,000.00",3,"12,000",100.0
AVSL,SM,24-08-2018,36.0,35.0,35.0,33.0,33.0,33.0,34.0,"6,000","2,04,000.00",2,"3,000",50.0
AVSL,SM,31-08-2018,33.0,36.0,36.0,36.0,36.0,36.0,36.0,"3,000","1,08,000.00",1,"3,000",100.0
AVSL,SM,24-09-2018,36.0,32.5,32.5,32.5,32.5,32.5,32.5,"3,000","97,500.00",1,"3,000",100.0
AVSL,SM,27-09-2018,32.5,32.0,32.0,32.0,32.0,32.0,32.0,"3,000","96,000.00",1,"3,000",100.0
AVSL,SM,24-10-2018,32.0,36.0,36.25,36.0,36.25,36.25,36.21,"18,000","6,51,750.00",6,"18,000",100.0
AVSL,SM,31-10-2018,36.25,36.25,36.25,36.25,36.25,36.25,36.25,"6,000","2,17,500.00",2,"6,000",100.0
AVSL,SM,05-11-2018,36.25,36.25,36.25,36.25,36.25,36.25,36.25,"3,000","1,08,750.00",1,"3,000",100.0
AVSL,SM,07-11-2018,36.25,36.95,36.95,36.95,36.95,36.95,36.95,"3,000","1,10,850.00",1,"3,000",100.0
AVSL,SM,19-11-2018,36.95,36.25,36.25,36.25,36.25,36.25,36.25,"3,000","1,08,750.00",1,"3,000",100.0
AVSL,SM,26-11-2018,36.25,36.5,36.5,36.5,36.5,36.5,36.5,"3,000","1,09,500.00",1,"3,000",100.0
AVSL,SM,07-12-2018,36.5,36.5,36.5,36.5,36.5,36.5,36.5,"3,000","1,09,500.00",1,"3,000",100.0
AVSL,SM,17-12-2018,36.5,36.8,36.8,36.8,36.8,36.8,36.8,"3,000","1,10,400.00",1,"3,000",100.0
AVSL,SM,14-01-2019,36.8,35.0,35.0,35.0,35.0,35.0,35.0,"3,000","1,05,000.00",1,"3,000",100.0
