SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
AWHCL,EQ,01-01-2021,315.0,436.1,489.9,395.55,409.0,407.35,442.71,"2,30,63,817","10,21,05,11,131.45","6,79,588","50,32,976",21.82
AWHCL,EQ,04-01-2021,407.35,403.4,403.4,362.0,376.0,378.35,377.15,"57,17,110","2,15,62,06,493.05","1,68,998","10,27,057",17.96
AWHCL,EQ,05-01-2021,378.35,370.0,376.0,360.0,364.1,365.1,367.58,"19,94,481","73,31,39,270.95","46,122","3,71,374",18.62
AWHCL,EQ,06-01-2021,365.1,361.0,373.5,358.05,359.6,361.2,366.17,"11,43,788","41,88,17,436.05","28,396","2,98,819",26.13
AWHCL,EQ,07-01-2021,361.2,361.7,369.4,361.7,368.35,365.45,365.61,"5,63,812","20,61,33,792.85","16,556","2,57,946",45.75
AWHCL,EQ,08-01-2021,365.45,367.9,378.7,365.05,375.25,374.9,372.55,"10,02,929","37,36,38,820.95","24,618","3,33,462",33.25
AWHCL,EQ,11-01-2021,374.9,377.0,377.3,365.9,370.25,369.7,369.06,"4,54,047","16,75,71,355.35","15,207","2,25,327",49.63
AWHCL,EQ,12-01-2021,369.7,366.55,375.95,365.7,372.5,374.2,370.99,"5,74,388","21,30,92,122.15","17,475","2,34,537",40.83
AWHCL,EQ,13-01-2021,374.2,373.05,377.9,366.45,377.9,374.55,371.23,"4,98,965","18,52,32,270.60","28,294","2,92,846",58.69
AWHCL,EQ,14-01-2021,374.55,375.4,376.95,365.65,365.7,368.35,370.64,"1,54,429","5,72,37,492.10","5,661","68,840",44.58
AWHCL,EQ,15-01-2021,368.35,364.5,368.6,361.0,361.9,361.9,364.58,"1,87,589","6,83,91,299.00","7,394","81,617",43.51
AWHCL,EQ,18-01-2021,361.9,362.0,364.9,345.1,346.0,347.85,352.43,"2,25,062","7,93,19,050.55","10,517","1,22,948",54.63
AWHCL,EQ,19-01-2021,347.85,348.2,353.1,342.0,342.0,344.7,347.67,"1,43,027","4,97,26,217.45","6,300","65,238",45.61
AWHCL,EQ,20-01-2021,344.7,340.1,343.5,325.5,326.4,329.3,335.19,"4,17,739","14,00,19,954.95","15,193","2,20,524",52.79
AWHCL,EQ,21-01-2021,329.3,330.0,332.15,312.0,314.05,313.6,320.85,"3,95,378","12,68,56,739.55","15,616","1,70,351",43.09
AWHCL,EQ,22-01-2021,313.6,313.6,313.6,250.9,301.9,302.8,302.66,"4,58,913","13,88,95,097.65","14,602","1,36,251",29.69
AWHCL,EQ,25-01-2021,302.8,306.0,312.7,292.1,292.65,294.05,300.42,"2,38,698","7,17,09,069.45","10,155","85,960",36.01
AWHCL,EQ,27-01-2021,294.05,294.0,294.95,283.35,284.95,285.25,287.41,"1,70,244","4,89,29,142.00","7,027","59,245",34.8
AWHCL,EQ,28-01-2021,285.25,280.0,283.6,276.25,277.95,277.8,279.35,"1,60,550","4,48,49,764.60","6,715","58,515",36.45
AWHCL,EQ,29-01-2021,277.8,279.5,288.5,279.5,282.0,282.65,283.6,"1,94,966","5,52,93,060.10","7,716","62,297",31.95
AWHCL,EQ,01-02-2021,282.65,283.95,311.7,278.3,303.1,302.75,301.29,"6,95,250","20,94,73,422.60","28,711","1,35,885",19.54
AWHCL,EQ,02-02-2021,302.75,304.0,309.45,297.6,301.9,303.6,303.79,"2,46,349","7,48,37,754.95","8,372","71,632",29.08
AWHCL,EQ,03-02-2021,303.6,304.0,309.45,300.7,303.15,303.15,305.04,"1,97,180","6,01,46,816.10","7,663","59,657",30.26
AWHCL,EQ,04-02-2021,303.15,301.1,315.6,301.1,311.5,310.85,311.61,"2,77,337","8,64,20,646.30","8,764","79,165",28.54
AWHCL,EQ,05-02-2021,310.85,317.0,325.9,310.85,325.05,322.25,318.57,"3,89,581","12,41,08,907.65","12,189","1,25,913",32.32
AWHCL,EQ,08-02-2021,322.25,324.5,331.55,322.0,322.1,322.5,325.96,"1,79,148","5,83,95,059.65","6,547","81,843",45.68
AWHCL,EQ,09-02-2021,322.5,325.4,325.4,317.0,318.0,318.8,321.09,"1,06,252","3,41,16,679.35","4,082","50,767",47.78
AWHCL,EQ,10-02-2021,318.8,321.0,336.4,315.85,331.0,329.5,325.08,"1,78,527","5,80,34,765.85","6,666","67,446",37.78
AWHCL,EQ,11-02-2021,329.5,331.0,335.0,319.25,320.65,320.7,325.3,"1,39,846","4,54,92,335.50","4,842","65,004",46.48
AWHCL,EQ,12-02-2021,320.7,322.75,322.75,315.0,315.05,315.6,317.46,"85,371","2,71,01,582.65","4,402","41,127",48.17
AWHCL,EQ,15-02-2021,315.6,315.95,318.15,305.5,306.0,308.3,311.84,"1,41,500","4,41,24,841.40","6,096","60,287",42.61
AWHCL,EQ,16-02-2021,308.3,308.3,312.05,302.65,304.3,304.2,306.38,"81,315","2,49,13,413.45","3,506","33,990",41.8
AWHCL,EQ,17-02-2021,304.2,304.0,311.9,300.05,306.5,308.2,304.9,"1,43,209","4,36,63,710.85","6,091","41,453",28.95
AWHCL,EQ,18-02-2021,308.2,310.4,310.4,305.0,307.9,307.15,307.72,"98,469","3,03,00,875.70","4,487","22,744",23.1
AWHCL,EQ,19-02-2021,307.15,307.0,311.2,300.4,303.5,301.85,305.96,"1,46,290","4,47,59,268.20","7,548","37,684",25.76
AWHCL,EQ,22-02-2021,301.85,303.0,304.9,295.0,295.0,296.65,298.98,"86,255","2,57,88,358.90","4,402","35,376",41.01
AWHCL,EQ,23-02-2021,296.65,292.5,316.0,292.5,315.45,313.95,303.08,"4,41,412","13,37,83,093.70","21,063","2,04,506",46.33
