SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
AXISNIFTY,EQ,10-07-2017,967.86,968.00,968.00,830.30,832.10,852.48,859.28,211,"1,81,307.78",16,186,88.15
AXISNIFTY,EQ,11-07-2017,852.48,977.55,980.00,966.33,966.33,970.56,973.25,"12,766","1,24,24,452.32",140,"12,470",97.68
AXISNIFTY,EQ,12-07-2017,970.56,920.00,982.90,920.00,979.19,979.07,977.77,"7,113","69,54,868.77",94,"5,735",80.63
AXISNIFTY,EQ,13-07-2017,979.07,981.95,985.49,981.95,985.00,983.67,983.80,"10,206","1,00,40,635.93",82,"7,762",76.05
AXISNIFTY,EQ,14-07-2017,983.67,984.84,985.83,981.02,985.27,985.50,984.06,"5,603","55,13,669.56",51,"4,103",73.23
AXISNIFTY,EQ,17-07-2017,985.50,988.11,989.69,987.06,988.70,988.92,988.47,"4,828","47,72,344.37",58,"3,654",75.68
AXISNIFTY,EQ,18-07-2017,988.92,983.00,985.85,981.12,981.12,981.12,984.21,"1,707","16,80,048.00",32,"1,313",76.92
AXISNIFTY,EQ,19-07-2017,981.12,985.72,987.00,984.85,987.00,987.00,985.66,"2,472","24,36,541.89",20,"1,963",79.41
AXISNIFTY,EQ,20-07-2017,987.00,989.16,989.16,985.56,985.60,985.65,987.73,720,"7,11,167.86",13,720,100.0
AXISNIFTY,EQ,21-07-2017,985.65,989.42,990.00,984.14,984.46,984.46,988.79,670,"6,62,489.03",15,670,100.0
AXISNIFTY,EQ,24-07-2017,984.46,993.65,995.85,993.25,995.31,995.31,994.59,923,"9,18,006.11",28,923,100.0
AXISNIFTY,EQ,25-07-2017,995.31,995.16,"1,000.00",993.94,996.05,996.05,995.50,465,"4,62,908.77",19,465,100.0
AXISNIFTY,EQ,26-07-2017,996.05,996.00,"1,000.65",996.00,"1,000.65",999.98,997.68,"4,199","41,89,252.85",30,"3,449",82.14
AXISNIFTY,EQ,27-07-2017,999.98,"1,000.00","1,008.98","1,000.00","1,001.55","1,001.55","1,006.96","1,745","17,57,152.22",40,"1,720",98.57
AXISNIFTY,EQ,28-07-2017,"1,001.55",994.78,996.62,994.65,995.89,995.89,995.61,442,"4,40,058.69",12,442,100.0
AXISNIFTY,EQ,31-07-2017,995.89,"1,002.03","1,006.80","1,001.59","1,006.80","1,005.65","1,003.66",694,"6,96,541.33",29,622,89.63
AXISNIFTY,EQ,01-08-2017,"1,005.65","1,007.90","1,011.00","1,007.45","1,010.92","1,010.16","1,009.67",938,"9,47,070.90",21,712,75.91
AXISNIFTY,EQ,02-08-2017,"1,010.16","1,009.33","1,010.00","1,007.51","1,007.89","1,007.89","1,008.36","1,156","11,65,659.40",18,"1,156",100.0
