SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
BAJAJELEC,EQ,02-11-2007,363.7,359.8,359.8,331.25,348.8,344.05,342.6,"3,657","12,52,884.35",-,"1,377",37.65
BAJAJELEC,EQ,05-11-2007,344.05,336.0,349.9,336.0,349.9,346.0,342.25,780,"2,66,954.40",-,518,66.41
BAJAJELEC,EQ,06-11-2007,346.0,340.0,356.25,330.0,333.0,333.15,342.13,731,"2,50,098.00",-,545,74.56
BAJAJELEC,EQ,07-11-2007,333.15,336.0,370.0,329.5,370.0,363.2,352.57,"3,340","11,77,576.55",-,"1,930",57.78
BAJAJELEC,EQ,08-11-2007,363.2,359.0,369.0,346.0,369.0,359.1,353.84,"2,599","9,19,626.35",-,"2,075",79.84
BAJAJELEC,EQ,09-11-2007,359.1,360.0,360.0,341.0,351.0,353.15,351.75,76,"26,733.00",-,65,85.53
BAJAJELEC,EQ,12-11-2007,353.15,330.15,360.0,328.0,337.0,344.1,344.24,"1,149","3,95,535.00",-,"1,032",89.82
BAJAJELEC,EQ,13-11-2007,344.1,348.95,353.95,335.55,345.05,345.05,345.73,"2,160","7,46,781.20",-,"1,785",82.64
BAJAJELEC,EQ,14-11-2007,345.05,350.0,372.0,330.1,368.0,362.05,362.02,"1,957","7,08,477.95",-,"1,629",83.24
BAJAJELEC,EQ,15-11-2007,362.05,387.95,434.0,369.95,393.0,387.25,384.4,"7,802","29,99,127.75",-,"4,457",57.13
BAJAJELEC,EQ,16-11-2007,387.25,409.0,410.0,380.0,384.0,380.9,388.28,"2,174","8,44,126.75",-,"2,052",94.39
BAJAJELEC,EQ,19-11-2007,380.9,392.45,392.45,370.05,389.0,387.55,380.53,"1,391","5,29,322.75",-,954,68.58
BAJAJELEC,EQ,20-11-2007,387.55,387.0,395.0,380.0,381.0,383.75,386.28,"3,163","12,21,815.30",-,"2,925",92.48
BAJAJELEC,EQ,21-11-2007,383.75,382.65,390.0,379.55,390.0,384.65,381.06,"2,091","7,96,795.30",-,"1,601",76.57
BAJAJELEC,EQ,22-11-2007,384.65,385.0,399.0,375.0,375.0,375.25,382.58,"2,063","7,89,254.85",-,"1,698",82.31
BAJAJELEC,EQ,23-11-2007,375.25,397.0,397.0,375.0,379.9,376.95,376.21,"2,555","9,61,206.70",-,"2,453",96.01
BAJAJELEC,EQ,26-11-2007,376.95,384.95,402.0,384.95,395.0,394.15,394.47,"1,322","5,21,488.65",-,959,72.54
BAJAJELEC,EQ,27-11-2007,394.15,390.0,405.0,389.0,405.0,398.5,397.86,"1,592","6,33,396.45",-,"1,216",76.38
BAJAJELEC,EQ,28-11-2007,398.5,404.95,407.0,385.0,385.0,387.0,399.98,"1,897","7,58,765.35",-,"1,487",78.39
BAJAJELEC,EQ,29-11-2007,387.0,399.0,409.0,391.05,405.0,405.65,398.09,"1,240","4,93,629.20",-,"1,236",99.68
BAJAJELEC,EQ,30-11-2007,405.65,400.0,425.0,391.0,406.0,406.0,411.5,"2,521","10,37,396.00",-,"1,389",55.1
BAJAJELEC,EQ,03-12-2007,406.0,424.0,450.0,411.7,431.1,431.25,432.44,"1,674","7,23,907.35",-,"1,478",88.29
BAJAJELEC,EQ,04-12-2007,431.25,430.0,445.9,429.5,440.0,439.8,432.31,731,"3,16,017.15",-,651,89.06
BAJAJELEC,EQ,05-12-2007,439.8,438.0,450.0,432.05,448.0,442.1,440.23,"2,287","10,06,814.50",-,"1,372",59.99
BAJAJELEC,EQ,06-12-2007,442.1,450.0,495.0,438.0,445.0,446.4,471.25,"10,264","48,36,902.10",-,"4,530",44.13
BAJAJELEC,EQ,07-12-2007,446.4,495.0,495.0,435.0,490.0,481.35,464.47,"1,756","8,15,617.75",-,799,45.5
BAJAJELEC,EQ,10-12-2007,481.35,490.0,495.0,437.25,450.05,449.65,451.73,"2,230","10,07,357.50",-,"1,456",65.29
BAJAJELEC,EQ,11-12-2007,449.65,485.0,493.0,437.0,440.0,440.3,456.63,"1,942","8,86,770.45",-,"1,067",54.94
BAJAJELEC,EQ,12-12-2007,440.3,440.0,465.0,430.1,459.85,449.95,444.69,699,"3,10,838.40",-,464,66.38
BAJAJELEC,EQ,13-12-2007,449.95,435.1,460.0,435.0,457.0,458.2,445.25,"1,559","6,94,148.00",-,"1,248",80.05
BAJAJELEC,EQ,14-12-2007,458.2,460.0,478.0,455.0,465.0,465.85,466.21,"2,213","10,31,732.90",-,"1,774",80.16
BAJAJELEC,EQ,17-12-2007,465.85,474.85,475.0,448.0,456.0,456.2,465.78,"2,245","10,45,686.75",-,"1,915",85.3
BAJAJELEC,EQ,18-12-2007,456.2,474.95,474.95,440.0,462.0,460.8,456.39,"2,277","10,39,203.90",-,"1,637",71.89
BAJAJELEC,EQ,19-12-2007,460.8,458.0,475.0,456.2,462.5,467.9,468.26,422,"1,97,607.80",-,319,75.59
BAJAJELEC,EQ,20-12-2007,467.9,463.0,480.0,438.0,455.0,448.05,458.9,"6,325","29,02,572.15",-,"5,327",84.22
BAJAJELEC,EQ,24-12-2007,448.05,456.3,476.0,456.3,470.0,469.6,470.03,541,"2,54,286.75",-,511,94.45
BAJAJELEC,EQ,26-12-2007,469.6,453.1,520.0,415.05,503.9,505.2,486.45,"5,981","29,09,434.70",-,"5,395",90.2
BAJAJELEC,EQ,27-12-2007,505.2,509.95,530.0,509.95,520.0,522.95,514.04,"1,842","9,46,866.65",-,"1,743",94.63
BAJAJELEC,EQ,28-12-2007,522.95,530.0,620.0,530.0,608.0,603.2,557.56,"31,211","1,74,01,887.35",-,"28,113",90.07
BAJAJELEC,EQ,31-12-2007,603.2,644.2,723.85,644.2,696.0,703.75,714.58,"60,900","4,35,17,968.70",-,"41,175",67.61
BAJAJELEC,EQ,01-01-2008,703.75,750.0,750.0,686.0,691.5,694.7,714.06,"17,696","1,26,36,044.45",-,"13,023",73.59
BAJAJELEC,EQ,02-01-2008,694.7,729.0,729.0,685.0,693.0,696.45,697.81,"8,759","61,12,147.25",-,"6,049",69.06
BAJAJELEC,EQ,03-01-2008,696.45,685.05,696.0,650.0,671.0,675.9,685.68,"4,547","31,17,800.45",-,"3,372",74.16
BAJAJELEC,EQ,04-01-2008,675.9,679.0,690.0,655.0,655.0,662.85,675.33,"2,736","18,47,697.00",-,"2,047",74.82
BAJAJELEC,EQ,07-01-2008,662.85,674.95,674.95,625.0,632.8,637.1,647.09,"8,436","54,58,865.90",-,"6,076",72.02
BAJAJELEC,EQ,08-01-2008,637.1,659.9,659.9,615.0,615.5,619.85,629.65,"2,991","18,83,278.80",-,"2,584",86.39
BAJAJELEC,EQ,09-01-2008,619.85,630.0,640.0,600.0,600.0,619.4,623.86,"9,759","60,88,222.15",-,"8,736",89.52
BAJAJELEC,EQ,10-01-2008,619.4,625.0,650.35,618.1,635.0,629.6,636.59,"4,643","29,55,701.65",-,"2,627",56.58
BAJAJELEC,EQ,11-01-2008,629.6,615.0,643.0,601.1,633.95,626.0,626.23,"4,394","27,51,644.50",-,"3,030",68.96
BAJAJELEC,EQ,14-01-2008,626.0,635.0,645.0,615.0,623.0,620.95,630.1,"6,300","39,69,601.55",-,"4,856",77.08
BAJAJELEC,EQ,15-01-2008,620.95,640.0,643.5,610.0,615.0,613.4,615.75,"3,174","19,54,382.25",-,"2,750",86.64
BAJAJELEC,EQ,16-01-2008,613.4,629.0,629.95,591.0,615.0,613.15,609.61,"5,672","34,57,683.35",-,"4,456",78.56
BAJAJELEC,EQ,17-01-2008,613.15,628.0,628.0,602.05,605.0,608.75,609.43,"1,442","8,78,800.85",-,"1,153",79.96
BAJAJELEC,EQ,18-01-2008,608.75,630.0,630.0,601.0,610.25,610.3,609.64,"2,008","12,24,151.00",-,"1,509",75.15
BAJAJELEC,EQ,21-01-2008,610.3,580.0,600.0,549.45,557.45,557.45,572.13,"2,533","14,49,211.65",-,"1,607",63.44
BAJAJELEC,EQ,22-01-2008,557.45,555.0,555.0,501.7,501.7,501.7,507.05,539,"2,73,298.30",-,539,100.0
BAJAJELEC,EQ,23-01-2008,501.7,481.1,505.5,451.65,492.0,480.9,470.82,"4,804","22,61,821.85",-,"3,688",76.77
BAJAJELEC,EQ,24-01-2008,480.9,451.55,524.0,450.0,480.0,470.95,464.42,"5,555","25,79,826.55",-,"4,848",87.27
BAJAJELEC,EQ,25-01-2008,470.95,470.0,485.0,451.0,479.0,478.35,466.78,"2,864","13,36,854.70",-,"1,978",69.06
BAJAJELEC,EQ,28-01-2008,478.35,475.0,495.0,465.0,480.0,480.45,476.41,"1,059","5,04,518.90",-,666,62.89
BAJAJELEC,EQ,29-01-2008,480.45,490.0,516.0,477.0,516.0,497.5,494.17,"1,552","7,66,958.70",-,"1,341",86.4
BAJAJELEC,EQ,30-01-2008,497.5,492.0,547.0,448.0,540.0,502.0,474.27,"15,486","73,44,558.10",-,"4,454",28.76
BAJAJELEC,EQ,31-01-2008,502.0,470.0,527.0,466.0,500.0,505.35,510.48,"1,679","8,57,098.85",-,"1,095",65.22
BAJAJELEC,EQ,01-02-2008,505.35,481.15,520.0,481.15,504.5,509.75,505.06,704,"3,55,559.35",-,618,87.78
BAJAJELEC,EQ,04-02-2008,509.75,535.0,560.75,511.0,560.75,560.75,550.09,"3,328","18,30,698.80",-,"2,950",88.64
