SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
BALAJITELE,EQ,22-11-2000,130.0,189.9,190.0,153.3,155.0,157.0,164.77,"3,52,044","5,80,07,274.15",-,-,-
BALAJITELE,EQ,23-11-2000,157.0,147.35,169.6,144.5,169.6,169.6,160.31,"4,56,427","7,31,71,938.10",-,-,-
BALAJITELE,EQ,24-11-2000,169.6,172.9,183.2,172.9,183.2,183.2,180.2,"1,54,804","2,78,95,965.10",-,-,-
BALAJITELE,EQ,27-11-2000,183.2,197.9,197.9,191.4,197.9,197.9,196.85,"6,57,411","12,94,12,609.90",-,-,-
BALAJITELE,EQ,28-11-2000,197.9,210.0,213.75,192.35,213.75,213.75,208.16,"7,61,493","15,85,09,050.20",-,-,-
BALAJITELE,EQ,29-11-2000,213.75,217.0,230.85,210.0,230.85,230.3,226.39,"13,15,273","29,77,60,348.35",-,-,-
BALAJITELE,EQ,30-11-2000,230.3,238.4,248.0,224.1,225.0,233.2,240.44,"13,95,307","33,54,81,775.45",-,-,-
BALAJITELE,EQ,01-12-2000,233.2,221.5,248.9,218.7,248.0,247.05,236.94,"15,93,594","37,75,80,413.00",-,-,-
BALAJITELE,EQ,04-12-2000,247.05,251.5,266.85,251.0,266.85,266.15,260.61,"11,66,902","30,41,06,210.65",-,-,-
BALAJITELE,EQ,05-12-2000,266.15,271.0,287.45,263.35,287.45,284.35,278.88,"10,78,517","30,07,73,646.50",-,-,-
BALAJITELE,EQ,06-12-2000,284.35,306.9,307.1,300.0,307.1,307.1,304.59,"9,11,294","27,75,67,280.95",-,-,-
BALAJITELE,EQ,07-12-2000,307.1,314.8,327.0,283.0,285.0,289.95,298.81,"28,67,081","85,66,98,744.65",-,-,-
BALAJITELE,EQ,08-12-2000,289.95,289.0,299.0,277.05,290.0,291.8,290.25,"12,06,267","35,01,13,594.95",-,-,-
BALAJITELE,EQ,11-12-2000,291.8,293.9,315.15,291.5,315.15,315.15,306.35,"15,63,730","47,90,55,154.10",-,-,-
BALAJITELE,EQ,12-12-2000,315.15,323.0,328.0,300.05,306.0,308.3,318.19,"18,86,795","60,03,51,285.45",-,-,-
BALAJITELE,EQ,13-12-2000,308.3,311.65,332.0,310.0,325.0,324.7,324.28,"11,97,624","38,83,66,790.55",-,-,-
BALAJITELE,EQ,14-12-2000,324.7,324.0,330.0,317.3,322.5,320.7,323.88,"9,51,763","30,82,58,119.75",-,-,-
BALAJITELE,EQ,15-12-2000,320.7,317.25,321.0,295.05,295.05,295.55,306.48,"8,13,687","24,93,81,943.55",-,-,-
BALAJITELE,EQ,18-12-2000,295.55,286.0,294.45,271.95,287.0,288.45,282.07,"10,39,450","29,31,94,479.55",-,-,-
BALAJITELE,EQ,19-12-2000,288.45,291.0,292.0,265.4,265.45,265.95,273.2,"9,21,169","25,16,67,148.80",-,-,-
BALAJITELE,EQ,20-12-2000,265.95,251.3,267.9,251.3,259.65,260.85,259.87,"6,34,540","16,48,95,593.75",-,-,-
BALAJITELE,EQ,21-12-2000,260.85,257.1,266.3,241.3,253.65,252.45,253.57,"8,52,341","21,61,24,282.60",-,-,-
BALAJITELE,EQ,22-12-2000,252.45,249.95,264.0,232.25,232.25,232.25,245.11,"6,63,268","16,25,74,261.00",-,-,-
BALAJITELE,EQ,26-12-2000,232.25,220.65,241.9,213.7,237.0,229.5,226.15,"9,79,684","22,15,53,211.05",-,-,-
BALAJITELE,EQ,27-12-2000,229.5,237.9,245.85,227.0,238.75,237.55,239.5,"4,64,942","11,13,54,987.70",-,-,-
BALAJITELE,EQ,28-12-2000,237.55,244.0,256.55,241.0,256.55,256.55,252.2,"5,13,484","12,94,99,488.90",-,-,-
BALAJITELE,EQ,29-12-2000,256.55,264.0,277.1,264.0,277.1,277.1,273.0,"3,58,186","9,77,83,372.25",-,-,-
BALAJITELE,EQ,01-01-2001,277.1,288.50,299.30,288.50,299.3,299.3,298.11,"5,74,352","17,12,20,821.30",-,-,-
BALAJITELE,EQ,02-01-2001,299.3,310.00,323.25,302.00,323.25,320.75,312.43,"13,00,086","40,61,87,898.50",-,-,-
BALAJITELE,EQ,03-01-2001,320.75,310.00,319.00,303.05,310.0,309.5,311.15,"7,27,583","22,63,88,046.65",-,-,-
BALAJITELE,EQ,04-01-2001,309.5,312.00,334.00,312.00,320.0,320.7,326.32,"12,27,341","40,05,04,430.60",-,-,-
BALAJITELE,EQ,05-01-2001,320.7,319.00,346.40,316.60,346.4,338.25,329.49,"8,52,729","28,09,68,532.00",-,-,-
BALAJITELE,EQ,08-01-2001,338.25,349.90,354.65,311.20,311.2,311.3,331.65,"15,14,367","50,22,46,417.50",-,-,-
BALAJITELE,EQ,09-01-2001,311.3,291.75,300.00,286.40,286.4,286.75,290.79,"10,90,408","31,70,85,053.10",-,-,-
BALAJITELE,EQ,10-01-2001,286.75,285.00,308.70,280.40,296.45,296.8,298.33,"10,63,990","31,74,19,816.00",-,-,-
BALAJITELE,EQ,11-01-2001,296.8,299.90,304.00,284.00,289.0,289.7,292.33,"5,41,297","15,82,39,389.35",-,-,-
BALAJITELE,EQ,12-01-2001,289.7,293.00,307.00,278.00,296.9,294.4,294.84,"11,34,648","33,45,37,327.40",-,-,-
BALAJITELE,EQ,15-01-2001,294.4,299.00,299.00,276.50,284.1,284.6,285.0,"5,34,532","15,23,40,776.95",-,-,-
BALAJITELE,EQ,16-01-2001,284.6,284.00,296.75,281.55,283.5,284.35,289.36,"6,27,707","18,16,30,963.50",-,-,-
BALAJITELE,EQ,17-01-2001,284.35,288.00,304.95,286.00,295.25,293.25,296.27,"7,91,991","23,46,44,234.50",-,-,-
BALAJITELE,EQ,18-01-2001,293.25,299.00,303.90,287.10,296.9,295.75,296.05,"6,85,690","20,29,97,757.45",-,-,-
BALAJITELE,EQ,19-01-2001,295.75,297.00,317.85,295.40,314.8,314.5,309.72,"9,81,548","30,40,03,317.05",-,-,-
BALAJITELE,EQ,22-01-2001,314.5,320.00,339.70,316.20,339.7,339.0,334.39,"10,55,128","35,28,24,587.50",-,-,-
BALAJITELE,EQ,23-01-2001,339.0,336.10,349.95,331.10,344.0,342.2,342.55,"9,83,304","33,68,32,696.00",-,-,-
BALAJITELE,BE,24-01-2001,130.0,343.00,348.00,343.00,348.0,348.0,346.99,"94,000","3,26,17,000.00",-,-,-
BALAJITELE,EQ,24-01-2001,342.2,352.70,353.90,343.00,346.0,347.3,347.44,"5,06,771","17,60,71,425.15",-,-,-
BALAJITELE,EQ,25-01-2001,347.3,346.10,349.00,333.05,348.0,346.35,342.54,"4,73,776","16,22,89,527.20",-,-,-
BALAJITELE,EQ,29-01-2001,346.35,340.05,340.05,318.65,318.65,322.9,328.1,"4,19,802","13,77,37,468.85",-,-,-
