SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
BIRLAERIC,EQ,01-01-1996,35.50,37.0,37.5,35.1,-,35.1,36.27,700,"25,390.00",-,-,-
BIRLAERIC,EQ,02-01-1996,35.10,35.1,36.0,35.0,-,35.0,35.27,"2,700","95,240.00",-,-,-
BIRLAERIC,EQ,03-01-1996,35.00,34.5,34.5,32.05,-,33.6,33.26,"1,800","59,870.00",-,-,-
BIRLAERIC,EQ,04-01-1996,33.60,32.3,33.5,32.25,-,33.5,32.81,"1,500","49,220.00",-,-,-
BIRLAERIC,EQ,05-01-1996,33.50,33.5,33.75,32.6,-,33.3,33.24,"2,900","96,390.00",-,-,-
BIRLAERIC,EQ,08-01-1996,33.30,33.3,33.0,31.25,-,31.8,31.94,"3,500","1,11,775.00",-,-,-
BIRLAERIC,EQ,09-01-1996,31.80,31.5,32.0,31.0,-,31.05,31.53,"4,400","1,38,745.00",-,-,-
BIRLAERIC,EQ,10-01-1996,31.05,32.0,32.0,31.2,-,32.0,31.78,"1,400","44,495.00",-,-,-
BIRLAERIC,EQ,11-01-1996,32.00,32.0,33.0,32.0,-,32.45,32.25,"1,500","48,370.00",-,-,-
BIRLAERIC,EQ,12-01-1996,32.45,32.25,32.6,32.0,-,32.6,32.3,"1,600","51,675.00",-,-,-
BIRLAERIC,EQ,15-01-1996,32.60,32.6,33.05,32.5,-,33.05,32.92,500,"16,460.00",-,-,-
BIRLAERIC,EQ,16-01-1996,33.05,32.5,33.0,31.5,-,32.95,32.27,"2,200","70,995.00",-,-,-
BIRLAERIC,EQ,17-01-1996,32.95,32.95,33.0,31.75,-,31.75,32.21,"2,200","70,860.00",-,-,-
BIRLAERIC,EQ,18-01-1996,31.75,31.75,32.0,30.45,-,30.75,31.06,"1,700","52,800.00",-,-,-
BIRLAERIC,EQ,19-01-1996,30.75,30.5,31.0,30.0,-,30.5,30.4,"1,200","36,485.00",-,-,-
BIRLAERIC,EQ,22-01-1996,30.50,31.0,31.1,29.75,-,29.75,30.63,"2,300","70,440.00",-,-,-
BIRLAERIC,EQ,23-01-1996,29.75,29.75,30.45,29.0,-,29.15,29.74,"2,400","71,385.00",-,-,-
BIRLAERIC,EQ,24-01-1996,29.15,29.0,29.0,28.75,-,29.0,28.91,"1,800","52,030.00",-,-,-
BIRLAERIC,EQ,25-01-1996,29.00,29.0,29.5,29.0,-,29.5,29.21,"1,100","32,130.00",-,-,-
BIRLAERIC,EQ,29-01-1996,29.50,28.0,29.35,28.0,-,28.9,28.71,"1,500","43,070.00",-,-,-
BIRLAERIC,EQ,30-01-1996,28.90,29.0,29.75,28.5,-,29.25,29.2,"1,300","37,960.00",-,-,-
BIRLAERIC,EQ,31-01-1996,29.25,29.0,29.0,28.5,-,28.5,28.89,"1,700","49,110.00",-,-,-
BIRLAERIC,EQ,01-02-1996,28.50,29.0,30.0,29.0,-,30.0,29.47,"1,500","44,210.00",-,-,-
BIRLAERIC,EQ,02-02-1996,30.00,29.0,33.0,29.0,-,33.0,31.71,"1,100","34,880.00",-,-,-
BIRLAERIC,EQ,05-02-1996,33.00,33.0,36.0,33.0,-,34.5,34.66,"1,600","55,450.00",-,-,-
BIRLAERIC,EQ,06-02-1996,34.50,35.0,35.0,32.0,-,34.8,33.53,"4,000","1,34,105.00",-,-,-
BIRLAERIC,EQ,07-02-1996,34.80,33.75,33.75,32.75,-,32.75,33.13,"1,100","36,445.00",-,-,-
BIRLAERIC,EQ,08-02-1996,32.75,32.75,33.75,32.0,-,32.95,33.1,"2,600","86,060.00",-,-,-
BIRLAERIC,EQ,09-02-1996,32.95,33.0,34.5,33.0,-,34.0,33.56,"2,300","77,195.00",-,-,-
BIRLAERIC,EQ,12-02-1996,34.00,34.0,37.0,33.5,-,36.05,35.23,"2,400","84,550.00",-,-,-
BIRLAERIC,EQ,13-02-1996,36.05,36.0,36.5,35.0,-,36.15,35.88,"5,700","2,04,535.00",-,-,-
BIRLAERIC,EQ,14-02-1996,36.15,36.15,39.25,36.5,-,37.5,37.36,"1,700","63,515.00",-,-,-
BIRLAERIC,EQ,15-02-1996,37.50,37.5,40.0,38.0,-,39.4,38.85,"3,800","1,47,615.00",-,-,-
BIRLAERIC,EQ,16-02-1996,39.40,39.4,38.0,36.5,-,38.0,37.27,"3,500","1,30,440.00",-,-,-
BIRLAERIC,EQ,19-02-1996,38.00,38.0,36.9,35.5,-,35.5,36.14,"1,500","54,210.00",-,-,-
BIRLAERIC,EQ,20-02-1996,35.50,35.5,39.0,35.5,-,37.65,37.69,"3,500","1,31,930.00",-,-,-
BIRLAERIC,EQ,22-02-1996,37.65,37.65,40.4,38.0,-,38.0,39.54,"4,600","1,81,880.00",-,-,-
BIRLAERIC,EQ,23-02-1996,38.00,38.0,39.0,38.0,-,38.5,38.35,"3,300","1,26,540.00",-,-,-
BIRLAERIC,EQ,26-02-1996,38.50,38.5,39.85,37.0,-,37.1,37.84,"3,000","1,13,505.00",-,-,-
BIRLAERIC,EQ,27-02-1996,37.10,37.1,37.75,36.5,-,37.3,37.17,"3,000","1,11,505.00",-,-,-
BIRLAERIC,EQ,28-02-1996,37.30,37.3,37.5,35.05,-,35.25,35.55,"3,300","1,17,325.00",-,-,-
BIRLAERIC,EQ,29-02-1996,35.25,35.25,35.25,34.3,-,35.25,34.54,"1,800","62,170.00",-,-,-
BIRLAERIC,EQ,01-03-1996,35.25,34.0,34.75,34.0,-,34.5,34.5,"1,800","62,100.00",-,-,-
BIRLAERIC,EQ,04-03-1996,34.50,32.5,34.5,32.5,-,34.15,33.47,"1,600","53,550.00",-,-,-
BIRLAERIC,EQ,06-03-1996,34.15,34.0,34.0,33.5,-,33.5,33.8,800,"27,040.00",-,-,-
BIRLAERIC,EQ,07-03-1996,33.50,33.5,35.0,33.0,-,33.0,33.57,"1,100","36,930.00",-,-,-
BIRLAERIC,EQ,08-03-1996,33.00,33.0,33.05,32.1,-,32.55,32.62,"2,900","94,585.00",-,-,-
BIRLAERIC,EQ,11-03-1996,32.55,32.55,32.25,30.0,-,30.0,31.35,"1,600","50,160.00",-,-,-
BIRLAERIC,EQ,12-03-1996,30.00,30.0,32.9,30.1,-,30.65,30.63,"1,600","49,015.00",-,-,-
BIRLAERIC,EQ,13-03-1996,30.65,30.5,31.0,30.5,-,31.0,30.7,"1,100","33,775.00",-,-,-
BIRLAERIC,EQ,14-03-1996,31.00,31.0,32.5,31.0,-,32.3,32.09,"2,900","93,065.00",-,-,-
BIRLAERIC,EQ,15-03-1996,32.30,32.0,33.0,31.15,-,32.15,32.05,"2,300","73,715.00",-,-,-
BIRLAERIC,EQ,18-03-1996,32.15,32.15,32.5,30.5,-,31.05,31.39,"1,800","56,510.00",-,-,-
BIRLAERIC,EQ,19-03-1996,31.05,30.5,31.0,30.0,-,30.1,30.44,"2,600","79,155.00",-,-,-
BIRLAERIC,EQ,21-03-1996,30.10,30.1,32.35,31.0,-,31.0,31.57,"1,300","41,040.00",-,-,-
