SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
KPIT,EQ,24-11-1999,245.0,244.25,244.25,244.25,244.25,244.25,244.25,200,"48,850.00",-,-,-
KPIT,EQ,25-11-1999,244.25,263.8,263.8,263.8,263.8,263.8,263.8,900,"2,37,420.00",-,-,-
KPIT,EQ,26-11-1999,263.8,284.9,284.9,276.55,284.9,284.9,284.76,"28,600","81,44,155.00",-,-,-
KPIT,EQ,29-11-1999,284.9,307.0,307.7,296.5,307.7,307.7,305.47,"1,11,000","3,39,07,600.00",-,-,-
KPIT,EQ,30-11-1999,307.7,323.7,332.35,312.1,332.35,332.35,325.23,"44,700","1,45,37,890.00",-,-,-
KPIT,EQ,01-12-1999,332.35,358.95,358.95,339.25,358.95,358.95,357.19,"82,000","2,92,89,450.00",-,-,-
KPIT,EQ,02-12-1999,358.95,370.0,375.0,335.5,341.1,338.5,348.33,"62,900","2,19,09,895.00",-,-,-
KPIT,EQ,03-12-1999,338.5,346.0,352.0,330.0,345.0,347.0,343.55,"37,000","1,27,11,330.00",-,-,-
KPIT,EQ,06-12-1999,347.0,336.0,349.9,319.25,319.55,322.4,326.69,"51,900","1,69,55,075.00",-,-,-
KPIT,EQ,07-12-1999,322.4,314.0,347.25,300.0,326.8,325.75,322.52,"98,100","3,16,38,855.00",-,-,-
KPIT,EQ,08-12-1999,325.75,340.0,351.85,320.5,337.8,339.15,345.03,"93,100","3,21,22,460.00",-,-,-
KPIT,EQ,09-12-1999,339.15,329.1,366.3,329.1,366.3,366.3,352.35,"55,600","1,95,90,635.00",-,-,-
KPIT,EQ,10-12-1999,366.3,390.0,395.6,373.0,395.6,395.6,394.47,"63,100","2,48,91,235.00",-,-,-
KPIT,EQ,13-12-1999,395.6,423.0,427.25,392.0,409.1,416.55,415.25,"1,12,700","4,67,98,600.00",-,-,-
KPIT,EQ,14-12-1999,416.55,406.0,416.0,383.25,383.25,387.35,396.6,"86,000","3,41,07,535.00",-,-,-
KPIT,EQ,15-12-1999,387.35,385.0,385.0,356.4,356.4,359.1,360.96,"47,200","1,70,37,440.00",-,-,-
KPIT,EQ,16-12-1999,359.1,353.0,387.85,352.05,387.85,387.85,373.56,"39,400","1,47,18,135.00",-,-,-
KPIT,EQ,17-12-1999,387.85,396.75,410.0,390.0,394.0,395.05,400.22,"42,200","1,68,89,100.00",-,-,-
KPIT,EQ,20-12-1999,395.05,393.0,398.0,363.45,366.1,371.1,374.02,"49,100","1,83,64,295.00",-,-,-
KPIT,EQ,21-12-1999,371.1,367.0,368.75,345.0,349.0,351.8,358.24,"56,700","2,03,12,265.00",-,-,-
KPIT,EQ,22-12-1999,351.8,375.0,379.95,374.0,379.95,379.95,379.18,"31,700","1,20,19,930.00",-,-,-
KPIT,EQ,23-12-1999,379.95,380.05,410.35,380.0,410.35,410.35,400.07,"41,400","1,65,62,870.00",-,-,-
KPIT,EQ,24-12-1999,410.35,401.0,412.0,377.75,380.0,381.7,386.37,"28,100","1,08,57,050.00",-,-,-
KPIT,EQ,27-12-1999,381.7,361.0,380.0,351.2,351.2,351.35,360.08,"21,000","75,61,715.00",-,-,-
KPIT,EQ,28-12-1999,351.35,352.9,369.8,341.0,355.05,360.45,361.33,"41,700","1,50,67,585.00",-,-,-
KPIT,EQ,29-12-1999,360.45,373.95,389.3,367.0,389.3,389.3,385.12,"35,900","1,38,25,785.00",-,-,-
KPIT,EQ,30-12-1999,389.3,420.0,420.45,405.5,420.45,420.45,419.8,"23,500","98,65,410.00",-,-,-
KPIT,EQ,03-01-2000,420.45,450.0,454.1,450.0,454.1,454.1,453.92,"11,500","52,20,080.00",-,-,-
KPIT,EQ,04-01-2000,454.1,490.0,490.05,431.0,489.95,485.6,476.29,"71,000","3,38,16,250.00",-,-,-
KPIT,EQ,05-01-2000,485.6,451.0,504.0,448.0,470.0,461.7,478.44,"88,500","4,23,41,845.00",-,-,-
KPIT,EQ,06-01-2000,461.7,494.0,494.0,425.0,440.0,442.45,446.37,"54,300","2,42,38,115.00",-,-,-
KPIT,EQ,07-01-2000,442.45,415.0,435.0,407.05,407.05,407.05,413.24,"15,700","64,87,805.00",-,-,-
KPIT,EQ,10-01-2000,407.05,435.0,435.0,374.9,374.9,377.0,388.99,"43,500","1,69,21,135.00",-,-,-
KPIT,EQ,11-01-2000,377.0,389.0,390.0,346.9,357.85,348.55,359.62,"42,300","1,52,11,910.00",-,-,-
KPIT,EQ,12-01-2000,348.55,360.0,373.0,336.55,351.95,349.85,351.8,"26,700","93,92,960.00",-,-,-
KPIT,EQ,13-01-2000,349.85,357.95,360.0,338.0,341.05,343.1,348.14,"14,800","51,52,465.00",-,-,-
KPIT,EQ,14-01-2000,343.1,341.0,341.0,326.0,338.9,334.9,333.25,"10,000","33,32,490.00",-,-,-
KPIT,EQ,17-01-2000,334.9,340.0,353.0,332.55,340.1,339.55,341.77,"22,000","75,19,000.00",-,-,-
KPIT,EQ,18-01-2000,339.55,336.05,336.05,313.0,329.5,328.6,324.41,"23,000","74,61,510.00",-,-,-
KPIT,EQ,19-01-2000,328.6,332.0,354.9,330.0,354.9,354.9,349.61,"9,300","32,51,415.00",-,-,-
KPIT,EQ,20-01-2000,354.9,374.0,383.3,353.1,357.2,358.4,372.15,"24,900","92,66,630.00",-,-,-
KPIT,EQ,21-01-2000,358.4,359.95,379.0,355.0,372.0,373.45,368.58,"23,700","87,35,355.00",-,-,-
KPIT,EQ,24-01-2000,373.45,374.0,375.0,343.6,343.6,343.6,354.78,"22,100","78,40,655.00",-,-,-
KPIT,EQ,25-01-2000,343.6,318.0,339.4,318.0,337.0,335.7,330.59,"28,300","93,55,560.00",-,-,-
KPIT,EQ,27-01-2000,335.7,352.0,362.0,347.0,350.0,351.9,354.1,"46,800","1,65,72,090.00",-,-,-
KPIT,EQ,28-01-2000,351.9,351.0,362.0,340.0,357.0,358.05,352.75,"19,000","67,02,310.00",-,-,-
KPIT,EQ,31-01-2000,358.05,351.0,351.0,329.45,329.45,329.45,335.8,"14,700","49,36,265.00",-,-,-
KPIT,EQ,01-02-2000,329.45,330.0,336.0,319.0,334.5,329.65,326.87,"29,600","96,75,380.00",-,-,-
KPIT,EQ,02-02-2000,329.65,353.0,356.0,336.6,341.25,344.0,345.5,"26,900","92,94,050.00",-,-,-
KPIT,EQ,03-02-2000,344.0,345.0,345.1,325.0,333.4,331.75,333.4,"19,000","63,34,540.00",-,-,-
KPIT,EQ,04-02-2000,331.75,337.3,354.0,335.0,342.0,344.6,341.32,"29,600","1,01,03,075.00",-,-,-
KPIT,EQ,07-02-2000,344.6,340.0,344.85,325.0,335.0,337.15,335.74,"31,500","1,05,75,885.00",-,-,-
KPIT,EQ,08-02-2000,337.15,336.0,340.0,316.0,320.0,321.25,325.53,"33,000","1,07,42,410.00",-,-,-
KPIT,EQ,09-02-2000,321.25,334.0,342.45,328.05,334.8,333.9,337.05,"34,200","1,15,27,125.00",-,-,-
KPIT,EQ,10-02-2000,333.9,330.0,332.0,328.0,328.1,329.4,330.01,"6,500","21,45,085.00",-,-,-
KPIT,EQ,11-02-2000,329.4,330.0,330.9,314.05,325.1,324.3,322.4,"11,300","36,43,155.00",-,-,-
KPIT,EQ,14-02-2000,324.3,316.0,320.0,298.4,298.4,298.4,305.15,"13,000","39,67,000.00",-,-,-
KPIT,EQ,15-02-2000,298.4,290.0,297.0,274.6,274.6,275.95,279.84,"30,400","85,07,185.00",-,-,-
KPIT,EQ,16-02-2000,275.95,280.0,298.05,280.0,298.05,298.05,289.99,"26,600","77,13,795.00",-,-,-
KPIT,EQ,17-02-2000,298.05,314.95,321.9,301.0,321.9,321.9,313.72,"12,000","37,64,585.00",-,-,-
KPIT,EQ,18-02-2000,321.9,347.65,347.65,330.0,335.5,339.1,339.66,"27,900","94,76,610.00",-,-,-
KPIT,EQ,21-02-2000,339.1,344.5,344.5,312.0,312.0,313.8,322.11,"24,000","77,30,715.00",-,-,-
KPIT,EQ,22-02-2000,313.8,307.95,307.95,289.0,292.0,291.6,295.0,"51,600","1,52,21,755.00",-,-,-
KPIT,EQ,23-02-2000,291.6,300.0,314.95,292.35,295.0,297.2,308.98,"41,900","1,29,46,340.00",-,-,-
KPIT,EQ,24-02-2000,297.2,303.5,317.5,285.35,306.0,302.9,304.65,"25,500","77,68,645.00",-,-,-
KPIT,EQ,25-02-2000,302.9,300.0,300.0,281.2,284.0,284.9,289.57,"7,800","22,58,610.00",-,-,-
KPIT,EQ,28-02-2000,284.9,290.0,290.0,262.25,266.6,268.8,267.7,"14,900","39,88,775.00",-,-,-
KPIT,EQ,29-02-2000,268.8,248.0,280.0,248.0,260.0,255.9,262.95,"30,800","80,98,780.00",-,-,-
KPIT,EQ,01-03-2000,255.9,262.0,276.4,258.0,276.4,276.4,270.0,"12,600","34,02,035.00",-,-,-
KPIT,EQ,02-03-2000,276.4,298.0,298.55,285.0,298.55,298.55,297.6,"28,000","83,32,700.00",-,-,-
KPIT,EQ,03-03-2000,298.55,302.0,302.0,275.0,275.0,275.0,282.44,"12,700","35,87,000.00",-,-,-
KPIT,EQ,06-03-2000,275.0,279.0,289.0,253.0,265.0,260.6,261.51,"15,500","40,53,405.00",-,-,-
KPIT,EQ,07-03-2000,260.6,266.0,266.0,239.75,257.1,257.7,252.94,"31,700","80,18,155.00",-,-,-
KPIT,EQ,08-03-2000,257.7,261.0,278.25,261.0,275.4,275.85,276.37,"21,400","59,14,330.00",-,-,-
KPIT,EQ,09-03-2000,275.85,294.0,294.0,255.5,257.5,259.5,261.88,"10,000","26,18,830.00",-,-,-
KPIT,EQ,10-03-2000,259.5,250.0,253.5,247.0,248.0,249.5,250.65,"6,900","17,29,460.00",-,-,-
KPIT,EQ,13-03-2000,249.5,235.25,236.3,229.55,229.55,229.55,230.16,"6,600","15,19,030.00",-,-,-
KPIT,EQ,14-03-2000,229.55,215.1,223.0,211.2,212.75,216.95,212.12,"27,100","57,48,380.00",-,-,-
KPIT,EQ,15-03-2000,216.95,212.25,234.0,199.6,230.6,232.95,216.32,"19,900","43,04,830.00",-,-,-
KPIT,EQ,16-03-2000,232.95,222.0,225.0,214.35,214.35,214.35,218.63,"76,800","1,67,90,635.00",-,-,-
KPIT,EQ,21-03-2000,214.35,214.9,214.9,197.2,199.0,197.8,201.42,"19,000","38,26,975.00",-,-,-
KPIT,EQ,22-03-2000,197.8,208.9,213.6,206.0,210.05,210.9,211.5,"10,300","21,78,485.00",-,-,-
