SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
BUILDPRO,BE,09-01-2026,735.5,860.0,898.05,812.55,812.55,812.55,853.73,"2,97,359","25,38,62,853.00","5,865",-,-
BUILDPRO,BE,12-01-2026,812.55,812.55,812.55,771.95,771.95,771.95,772.93,24399,188.59,223, -, -
BUILDPRO,BE,13-01-2026,771.95,733.4,763.0,733.4,733.4,733.4,737.07,192767,1420.83,2771, -, -
BUILDPRO,BE,14-01-2026,733.4,696.75,770.05,696.75,770.05,767.05,728.77,203869,1485.74,4146, -, -
BUILDPRO,BE,16-01-2026,767.05,759.9,805.4,737.65,778.9,766.0,782.15,68333,534.47,1611, -, -
BUILDPRO,BE,19-01-2026,766.0,740.1,758.95,727.7,727.7,727.7,730.01,30876,225.4,604, -, -
BUILDPRO,BE,20-01-2026,727.7,691.35,715.0,691.35,691.35,691.35,693.62,50907,353.1,1519, -, -
BUILDPRO,BE,21-01-2026,691.35,661.0,680.0,656.8,656.8,656.8,659.63,18262,120.46,668, -, -
BUILDPRO,BE,22-01-2026,656.8,661.0,689.6,661.0,681.0,678.05,680.27,39797,270.73,1231, -, -
BUILDPRO,BE,23-01-2026,678.05,695.0,695.0,651.05,666.0,666.75,665.92,13189,87.83,811, -, -
BUILDPRO,EQ,27-01-2026,666.75,677.5,681.0,636.0,655.65,653.6,654.34,58309,381.54,2330, 38558, 66.13
BUILDPRO,EQ,28-01-2026,653.6,641.1,744.0,641.1,730.0,731.35,711.62,86609,616.32,3603, 56917, 65.72
BUILDPRO,EQ,29-01-2026,731.35,722.1,751.05,689.95,708.0,713.95,712.97,63465,452.48,3575, 31362, 49.42
BUILDPRO,EQ,30-01-2026,713.95,703.2,770.0,687.4,751.0,751.15,731.35,59453,434.81,2431, 44421, 74.72
BUILDPRO,EQ,01-02-2026,751.15,735.0,782.95,710.05,710.05,724.2,750.83,41050,308.22,2310, 25463, 62.03
BUILDPRO,EQ,02-02-2026,724.2,712.0,748.9,700.0,728.7,737.9,716.0,33320,238.57,2466, 22131, 66.42
BUILDPRO,EQ,03-02-2026,737.9,740.05,821.65,740.05,788.0,790.15,798.26,241574,1928.4,3865, 198458, 82.15
BUILDPRO,EQ,04-02-2026,790.15,790.15,807.0,786.8,800.5,801.7,796.27,21966,174.91,1048, 15399, 70.10
BUILDPRO,EQ,05-02-2026,801.7,790.0,833.0,790.0,830.1,829.25,815.34,41215,336.04,1574, 25013, 60.69
BUILDPRO,EQ,06-02-2026,829.25,830.0,840.0,792.0,800.0,813.5,821.37,45232,371.52,1653, 30999, 68.53
BUILDPRO,EQ,09-02-2026,813.5,842.45,862.0,820.3,843.1,848.65,845.92,66341,561.19,2973, 42787, 64.50
BUILDPRO,EQ,10-02-2026,848.65,849.0,887.7,816.7,835.0,839.75,852.54,39664,338.15,2258, 25190, 63.51
BUILDPRO,EQ,11-02-2026,839.75,841.0,901.0,797.05,898.0,859.7,837.23,134952,1129.86,4526, 88916, 65.89
BUILDPRO,EQ,12-02-2026,859.7,900.0,968.0,881.65,920.0,925.85,933.29,272641,2544.53,14132, 95859, 35.16
