SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
CHOICEGOLD,EQ,10-11-2025,120.02,120.6,122.18,120.6,121.81,122.02,121.62,"1,50,711","1,83,28,808.78","1,842","91,908",60.98
CHOICEGOLD,EQ,11-11-2025,122.02,122.0,124.2,121.5,123.9,123.77,123.52,91178,112.63,854, 83634,91.73
CHOICEGOLD,EQ,12-11-2025,123.77,123.77,123.77,122.54,123.12,123.28,123.01,113544,139.67,673, 106710,93.98
CHOICEGOLD,EQ,13-11-2025,123.28,123.28,126.2,122.75,126.0,125.88,124.66,108758,135.57,700, 88632,81.49
CHOICEGOLD,EQ,14-11-2025,125.88,125.88,126.95,124.22,124.24,124.69,125.09,23419,29.29,528, 7200,30.74
CHOICEGOLD,EQ,17-11-2025,124.69,124.69,124.69,121.0,122.78,122.76,122.31,29593,36.2,711, 18853,63.71
CHOICEGOLD,EQ,18-11-2025,122.76,121.4,122.0,120.05,121.52,120.96,120.66,74421,89.79,693, 35838,48.16
CHOICEGOLD,EQ,19-11-2025,120.96,120.98,123.37,120.98,123.08,122.78,122.02,124935,152.45,531, 55867,44.72
CHOICEGOLD,EQ,20-11-2025,122.78,122.77,122.77,121.0,122.17,122.02,121.85,43734,53.29,331, 40652,92.95
CHOICEGOLD,EQ,21-11-2025,122.02,122.02,122.67,120.0,122.4,122.45,121.64,99495,121.02,522, 72994,73.36
CHOICEGOLD,EQ,24-11-2025,122.45,120.99,123.0,120.99,123.0,122.9,122.58,239540,293.62,514, 17714,7.4
CHOICEGOLD,EQ,25-11-2025,122.9,123.0,124.78,123.0,124.09,124.3,124.28,108888,135.32,444, 91651,84.17
CHOICEGOLD,EQ,26-11-2025,124.3,124.3,125.52,124.05,125.12,125.38,125.01,147919,184.91,423, 137191,92.75
CHOICEGOLD,EQ,27-11-2025,125.38,125.38,125.67,124.74,125.3,125.25,125.19,280950,351.71,566, 201245,71.63
CHOICEGOLD,EQ,28-11-2025,125.25,125.25,126.29,125.21,125.88,125.76,125.84,303419,381.82,757, 229847, 75.75
