SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
CHOICEIN,EQ,08-04-2022,269.3,301.0,312.85,297.0,300.5,301.25,302.29,"3,49,517","10,56,55,241.25","4,784","85,343",24.42
CHOICEIN,EQ,11-04-2022,301.25,307.85,319.0,301.0,307.0,305.85,310.83,"1,70,231","5,29,12,085.10","2,753","52,433",30.8
CHOICEIN,EQ,12-04-2022,305.85,306.9,308.95,301.0,305.0,304.6,304.94,"87,302","2,66,21,832.40","3,237","11,097",12.71
CHOICEIN,EQ,13-04-2022,304.6,309.95,317.85,305.1,309.45,307.55,310.45,"99,169","3,07,87,446.70","1,438","26,179",26.4
CHOICEIN,EQ,18-04-2022,307.55,306.85,309.8,304.5,306.45,307.75,307.54,"76,385","2,34,91,335.25",906,"13,733",17.98
CHOICEIN,EQ,19-04-2022,307.75,310.0,310.0,302.0,303.0,302.95,305.46,"1,21,602","3,71,44,867.65",762,"37,141",30.54
CHOICEIN,EQ,20-04-2022,302.95,304.0,305.35,301.5,301.55,303.3,302.48,"78,221","2,36,60,131.10",738,"10,312",13.18
CHOICEIN,EQ,21-04-2022,303.3,309.0,309.0,301.7,302.1,303.3,305.2,"67,636","2,06,42,392.40","1,011","4,920",7.27
CHOICEIN,EQ,22-04-2022,303.3,303.0,307.0,300.5,302.0,301.35,303.63,"72,092","2,18,89,034.35",880,"10,932",15.16
CHOICEIN,EQ,25-04-2022,301.35,301.4,305.0,297.2,298.1,300.35,301.49,"87,570","2,64,01,897.20","1,423","29,397",33.57
CHOICEIN,EQ,26-04-2022,300.35,301.55,305.15,300.05,300.5,302.6,302.98,"95,157","2,88,30,511.80","1,076","28,825",30.29
CHOICEIN,EQ,27-04-2022,302.6,302.9,309.8,300.75,304.0,305.05,304.18,"87,058","2,64,81,476.20","1,286","16,311",18.74
CHOICEIN,EQ,28-04-2022,305.05,307.6,319.55,305.0,312.1,311.8,311.75,"83,378","2,59,93,377.95","1,615","13,172",15.8
