SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
CLASSICEIL,ST,01-09-2025,87.0,100.0,101.0,95.0,95.0,95.0,98.5,"24,44,800","24,08,06,080.00",748,"24,44,800",100.0
CLASSICEIL,ST,02-09-2025,95.0,90.25,95.0,90.25,93.85,94.15,91.87,438400,402.75,183, 395200,90.15
CLASSICEIL,ST,03-09-2025,94.15,91.4,94.0,89.45,89.45,89.45,90.68,254400,230.7,88, 248000,97.48
CLASSICEIL,ST,04-09-2025,89.45,89.3,91.0,85.1,87.0,86.25,88.43,160000,141.49,80, 147200,92.0
CLASSICEIL,ST,05-09-2025,86.25,90.3,90.3,83.55,87.9,87.9,85.3,80000,68.24,48, 78400,98.0
CLASSICEIL,ST,08-09-2025,87.9,88.0,89.9,83.5,88.0,88.6,84.71,265600,224.99,49, 260800,98.19
CLASSICEIL,ST,09-09-2025,88.6,88.0,88.45,85.5,85.5,85.9,85.97,168000,144.43,33, 168000,100.0
CLASSICEIL,ST,10-09-2025,85.9,86.9,86.9,82.45,83.6,83.65,84.03,246400,207.06,51, 246400,100.0
CLASSICEIL,ST,11-09-2025,83.65,80.5,85.9,80.5,85.9,85.65,84.57,52800,44.65,31, 52800,100.0
CLASSICEIL,ST,12-09-2025,85.65,86.5,89.9,83.1,89.9,89.9,87.78,166400,146.07,72, 164800,99.04
CLASSICEIL,SM,15-09-2025,89.9,91.9,107.85,90.0,103.6,106.9,101.95,792000,807.48,365, 515200,65.05
CLASSICEIL,SM,16-09-2025,106.9,106.5,108.65,102.0,104.0,104.15,104.92,446400,468.34,206, 286400,64.16
CLASSICEIL,SM,17-09-2025,104.15,106.0,107.9,99.35,104.0,104.0,103.23,246400,254.35,119, 176000,71.43
CLASSICEIL,SM,18-09-2025,104.0,104.0,104.65,100.2,100.4,100.65,102.03,145600,148.55,77, 99200,68.13
CLASSICEIL,SM,19-09-2025,100.65,103.0,103.6,99.0,99.0,99.75,101.82,67200,68.42,32, 44800,66.67
CLASSICEIL,SM,22-09-2025,99.75,99.0,103.0,99.0,99.5,99.75,100.84,72000,72.6,42, 48000,66.67
CLASSICEIL,SM,23-09-2025,99.75,98.0,99.5,95.0,99.5,99.25,96.66,70400,68.05,32, 52800,75.0
CLASSICEIL,SM,24-09-2025,99.25,96.7,99.0,95.15,99.0,99.0,96.19,41600,40.01,22, 24000,57.69
CLASSICEIL,SM,25-09-2025,99.0,100.45,113.9,93.0,105.5,107.95,105.6,568000,599.79,276, 372800,65.63
CLASSICEIL,SM,26-09-2025,107.95,107.95,108.85,97.15,97.15,101.5,102.2,425600,434.98,220, 260800,61.28
CLASSICEIL,SM,29-09-2025,101.5,100.0,100.0,94.0,94.75,95.65,97.46,185600,180.88,92, 134400,72.41
CLASSICEIL,SM,30-09-2025,95.65,95.0,95.0,90.0,90.0,91.1,92.46,118400,109.48,69, 81600,68.92
CLASSICEIL,SM,01-10-2025,91.1,90.25,92.5,85.55,87.9,87.25,88.54,131200,116.16,62, 86400,65.85
CLASSICEIL,SM,03-10-2025,87.25,88.05,90.6,87.2,89.0,89.0,89.18,40000,35.67,24, 35200,88.0
CLASSICEIL,SM,06-10-2025,89.0,89.25,91.95,89.25,90.35,90.35,90.42,20800,18.81,13, 19200,92.31
CLASSICEIL,SM,07-10-2025,90.35,91.0,91.0,86.65,89.0,88.45,88.44,46400,41.04,29, 35200,75.86
CLASSICEIL,SM,08-10-2025,88.45,88.45,89.1,84.45,88.0,88.0,87.68,22400,19.64,13, 17600,78.57
CLASSICEIL,SM,09-10-2025,88.0,88.5,93.0,88.05,91.6,91.6,91.2,43200,39.4,25, 33600,77.78
CLASSICEIL,SM,10-10-2025,91.6,92.7,98.25,92.15,92.5,92.95,94.85,65600,62.22,35, 40000,60.98
CLASSICEIL,SM,13-10-2025,92.95,88.2,92.9,88.1,89.15,89.15,90.28,19200,17.33,11, 11200,58.33
CLASSICEIL,SM,14-10-2025,89.15,89.0,89.0,88.75,88.75,88.75,88.83,4800,4.26,3, 4800,100.0
CLASSICEIL,SM,15-10-2025,88.75,90.0,91.5,90.0,91.5,91.5,90.75,3200,2.9,2, 3200,100.0
CLASSICEIL,SM,16-10-2025,91.5,92.0,92.0,86.65,91.0,91.0,89.49,44800,40.09,22, 33600,75.0
CLASSICEIL,SM,17-10-2025,91.0,91.0,91.0,87.0,88.0,88.0,88.15,16000,14.1,10, 12800,80.0
CLASSICEIL,SM,20-10-2025,88.0,88.25,88.25,88.0,88.0,88.0,88.05,8000,7.04,5, 6400,80.0
CLASSICEIL,SM,21-10-2025,88.0,88.0,92.7,88.0,92.7,91.45,90.6,6400,5.8,4, 4800,75.0
CLASSICEIL,SM,23-10-2025,91.45,93.75,95.4,93.0,94.0,93.85,94.59,25600,24.22,16, 22400,87.5
CLASSICEIL,SM,24-10-2025,93.85,92.5,92.5,90.5,90.5,90.5,91.5,6400,5.86,4, 3200,50.0
CLASSICEIL,SM,27-10-2025,90.5,95.0,95.0,90.0,92.9,92.9,92.33,20800,19.2,12, 16000,76.92
CLASSICEIL,SM,28-10-2025,92.9,95.0,95.0,92.0,92.0,92.3,93.28,12800,11.94,8, 11200,87.5
CLASSICEIL,SM,29-10-2025,92.3,92.9,92.9,88.0,92.0,92.0,91.64,78400,71.85,28, 73600,93.88
CLASSICEIL,SM,30-10-2025,92.0,90.6,93.25,89.2,89.25,89.65,90.44,27200,24.6,14, 27200,100.0
CLASSICEIL,SM,31-10-2025,89.65,88.55,92.25,88.55,89.65,89.65,90.11,12800,11.53,8, 6400,50.0
CLASSICEIL,SM,03-11-2025,89.65,89.65,90.0,88.25,90.0,90.0,88.94,9600,8.54,6, 6400,66.67
