SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
CLSEL,EQ,12-05-2021,122.35,127.3,139.95,126.1,128.0,128.5,132.13,"4,76,786","6,29,99,523.15","6,348","2,14,067",44.9
CLSEL,EQ,14-05-2021,128.5,130.3,140.0,130.3,138.7,137.45,135.71,"6,45,312","8,75,73,732.65","7,740","3,28,483",50.9
CLSEL,EQ,17-05-2021,137.45,140.0,142.0,132.05,135.0,134.25,135.35,"2,57,116","3,48,01,687.55","3,924","1,70,663",66.38
CLSEL,EQ,18-05-2021,134.25,136.0,136.95,132.0,133.3,133.55,133.29,"1,47,199","1,96,20,033.40","2,960","94,127",63.95
CLSEL,EQ,19-05-2021,133.55,134.0,134.3,129.85,130.1,130.2,131.24,"1,59,549","2,09,39,176.70","2,662","1,09,722",68.77
CLSEL,EQ,20-05-2021,130.2,130.0,135.6,125.75,132.55,132.95,129.95,"2,36,394","3,07,19,669.15","4,653","1,24,674",52.74
CLSEL,EQ,21-05-2021,132.95,134.85,135.9,133.05,133.5,133.75,134.0,"76,776","1,02,88,111.30","1,409","49,838",64.91
CLSEL,EQ,24-05-2021,133.75,130.2,131.0,127.1,129.5,128.9,129.09,"1,45,667","1,88,03,609.95","2,517","89,050",61.13
CLSEL,EQ,25-05-2021,128.9,132.9,133.55,129.5,130.0,129.95,130.76,"85,076","1,11,24,643.55","1,999","56,720",66.67
CLSEL,EQ,26-05-2021,129.95,131.95,132.0,128.9,129.0,129.05,130.17,"82,394","1,07,25,579.90","1,580","59,237",71.89
CLSEL,EQ,27-05-2021,129.05,132.0,132.0,125.5,128.0,129.15,128.84,"84,555","1,08,94,171.40","1,791","52,815",62.46
CLSEL,EQ,28-05-2021,129.15,131.9,132.0,127.75,129.65,130.0,130.15,"98,176","1,27,78,072.95","2,008","64,135",65.33
CLSEL,EQ,31-05-2021,130.0,132.0,134.9,129.0,130.1,129.85,131.35,"1,65,088","2,16,84,868.05","2,458","1,09,629",66.41
CLSEL,EQ,01-06-2021,129.85,127.0,128.25,120.0,123.0,123.35,123.89,"2,92,231","3,62,03,446.20","5,690","1,86,377",63.78
CLSEL,EQ,02-06-2021,123.35,124.5,135.65,123.0,135.65,135.65,131.69,"3,98,509","5,24,77,665.55","4,288","2,73,293",68.58
CLSEL,EQ,03-06-2021,135.65,138.6,142.0,129.0,130.9,130.95,132.6,"2,14,374","2,84,26,705.85","3,759","1,31,640",61.41
CLSEL,EQ,04-06-2021,130.95,130.95,133.65,128.75,130.0,129.9,131.07,"1,07,368","1,40,73,154.80","1,928","66,647",62.07
CLSEL,EQ,07-06-2021,129.9,131.0,132.95,130.2,131.9,131.45,131.45,"90,783","1,19,32,994.45","1,736","60,287",66.41
CLSEL,EQ,08-06-2021,131.45,130.65,136.95,130.65,133.95,133.55,134.58,"2,62,305","3,52,99,783.35","4,168","1,32,986",50.7
CLSEL,EQ,09-06-2021,133.55,134.4,135.3,128.0,129.0,128.8,130.22,"1,75,833","2,28,97,645.10","2,849","1,16,040",65.99
CLSEL,EQ,10-06-2021,128.8,127.0,131.0,127.0,130.0,130.0,129.91,"62,831","81,62,426.10","1,356","39,676",63.15
CLSEL,EQ,11-06-2021,130.0,130.0,132.0,127.45,129.0,128.2,129.42,"88,452","1,14,47,427.60","1,711","60,278",68.15
