SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
COCHINSHIP,EQ,11-08-2017,432.0,440.15,528.15,435.0,528.15,528.15,508.26,"2,76,17,037","14,03,65,94,811.45","3,48,906","1,43,15,806",51.84
COCHINSHIP,EQ,14-08-2017,528.15,572.0,575.0,529.65,543.4,542.3,546.66,"96,01,359","5,24,86,94,439.75","1,73,670","29,05,532",30.26
COCHINSHIP,EQ,16-08-2017,542.3,537.55,548.0,529.0,533.5,536.2,536.64,"32,41,033","1,73,92,78,327.00","59,019","9,26,996",28.6
COCHINSHIP,EQ,17-08-2017,536.2,534.8,546.95,532.2,538.9,537.55,539.27,"21,65,189","1,16,76,29,884.45","42,139","7,53,981",34.82
COCHINSHIP,EQ,18-08-2017,537.55,535.0,537.4,518.0,532.05,534.45,528.2,"23,93,064","1,26,40,08,749.90","47,991","10,66,124",44.55
COCHINSHIP,EQ,21-08-2017,534.45,536.65,539.7,520.85,523.95,524.25,529.42,"11,10,529","58,79,39,694.00","25,316","5,94,252",53.51
COCHINSHIP,EQ,22-08-2017,524.25,528.0,530.0,500.0,512.55,512.5,511.29,"15,19,839","77,70,83,427.50","36,680","7,14,025",46.98
COCHINSHIP,EQ,23-08-2017,512.5,513.55,517.9,505.05,508.1,508.6,509.82,"9,66,549","49,27,66,868.70","23,892","4,55,197",47.1
COCHINSHIP,EQ,24-08-2017,508.6,510.0,527.5,507.5,513.0,513.2,519.37,"16,51,118","85,75,47,037.65","37,655","4,21,818",25.55
COCHINSHIP,EQ,28-08-2017,513.2,515.0,521.0,508.9,509.5,510.1,514.4,"5,36,389","27,59,18,007.95","17,181","2,67,742",49.92
COCHINSHIP,EQ,29-08-2017,510.1,508.0,517.0,503.0,503.5,504.25,509.24,"8,14,510","41,47,81,494.75","17,799","3,55,927",43.7
COCHINSHIP,EQ,30-08-2017,504.25,506.5,516.9,506.5,515.0,514.85,513.09,"8,51,036","43,66,61,051.35","20,943","4,61,486",54.23
COCHINSHIP,EQ,31-08-2017,514.85,516.5,520.9,508.2,512.5,513.45,516.2,"6,72,046","34,69,09,862.45","23,676","3,46,735",51.59
COCHINSHIP,EQ,01-09-2017,513.45,515.0,538.85,512.0,533.0,531.6,528.17,"20,14,321","1,06,39,00,348.40","35,564","6,67,158",33.12
COCHINSHIP,EQ,04-09-2017,531.6,529.0,545.5,525.0,535.0,536.6,535.68,"15,26,587","81,77,64,993.55","35,885","5,19,970",34.06
COCHINSHIP,EQ,05-09-2017,536.6,539.0,543.8,533.5,539.5,539.2,538.81,"6,44,963","34,75,10,275.40","13,360","1,95,449",30.3
COCHINSHIP,EQ,06-09-2017,539.2,536.9,545.0,531.0,531.3,532.8,538.16,"7,38,552","39,74,55,556.95","14,412","2,51,631",34.07
COCHINSHIP,EQ,07-09-2017,532.8,534.0,537.45,530.0,532.45,532.9,533.25,"3,99,361","21,29,59,629.60","8,824","2,16,338",54.17
