SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
CONCOR,EQ,22-05-1997,-,550.0,550.0,550.0,-,550.0,550.0,"25,000","1,37,50,000.00",-,-,-
CONCOR,EQ,23-05-1997,550.00,555.0,555.0,555.0,-,555.0,555.0,100,"55,500.00",-,-,-
CONCOR,EQ,27-05-1997,555.00,565.0,565.0,565.0,-,565.0,565.0,100,"56,500.00",-,-,-
CONCOR,EQ,30-05-1997,565.00,590.0,590.0,590.0,-,590.0,590.0,100,"59,000.00",-,-,-
CONCOR,EQ,03-06-1997,590.00,570.0,570.0,570.0,-,570.0,570.0,100,"57,000.00",-,-,-
CONCOR,EQ,09-06-1997,570.00,600.0,600.0,600.0,-,600.0,600.0,100,"60,000.00",-,-,-
CONCOR,EQ,13-06-1997,600.00,600.0,600.0,600.0,-,600.0,600.0,100,"60,000.00",-,-,-
CONCOR,EQ,17-06-1997,600.00,600.0,600.0,600.0,-,600.0,600.0,100,"60,000.00",-,-,-
CONCOR,EQ,18-06-1997,600.00,550.0,550.0,550.0,-,550.0,550.0,"1,00,000","5,50,00,000.00",-,-,-
CONCOR,EQ,07-07-1997,550.00,550.0,550.0,550.0,-,550.0,550.0,"2,500","13,75,000.00",-,-,-
CONCOR,EQ,09-07-1997,550.00,495.0,495.0,495.0,-,495.0,495.0,100,"49,500.00",-,-,-
CONCOR,EQ,10-07-1997,495.00,450.0,450.0,450.0,-,450.0,450.0,100,"45,000.00",-,-,-
CONCOR,EQ,11-07-1997,450.00,450.0,450.0,450.0,-,450.0,450.0,100,"45,000.00",-,-,-
CONCOR,EQ,16-07-1997,450.00,405.0,405.0,405.0,-,405.0,405.0,100,"40,500.00",-,-,-
CONCOR,EQ,17-07-1997,405.00,430.0,430.0,430.0,-,430.0,430.0,100,"43,000.00",-,-,-
CONCOR,EQ,21-07-1997,430.00,406.0,406.0,406.0,-,406.0,406.0,500,"2,03,000.00",-,-,-
CONCOR,EQ,22-07-1997,406.00,406.0,406.0,406.0,-,406.0,429.83,"70,300","3,02,17,000.00",-,-,-
CONCOR,EQ,24-07-1997,406.00,426.0,427.0,425.0,-,427.0,426.2,500,"2,13,100.00",-,-,-
CONCOR,EQ,28-07-1997,427.00,426.0,426.0,426.0,-,426.0,426.0,600,"2,55,600.00",-,-,-
CONCOR,EQ,04-08-1997,426.00,450.0,450.0,450.0,-,450.0,450.0,"5,000","22,50,000.00",-,-,-
CONCOR,EQ,05-08-1997,450.00,470.0,470.0,457.0,-,457.0,457.25,"5,100","23,32,000.00",-,-,-
CONCOR,EQ,07-08-1997,457.00,500.0,500.0,500.0,-,500.0,500.0,100,"50,000.00",-,-,-
CONCOR,EQ,08-08-1997,500.00,451.0,451.0,451.0,-,451.0,451.0,100,"45,100.00",-,-,-
CONCOR,EQ,11-08-1997,451.00,494.0,494.0,494.0,-,494.0,494.0,100,"49,400.00",-,-,-
CONCOR,EQ,12-08-1997,494.00,525.0,525.0,525.0,-,525.0,461.47,"5,100","23,53,500.00",-,-,-
CONCOR,EQ,01-09-1997,525.00,480.0,480.0,480.0,-,480.0,480.0,100,"48,000.00",-,-,-
CONCOR,EQ,03-09-1997,480.00,447.0,447.0,447.0,-,447.0,447.0,100,"44,700.00",-,-,-
CONCOR,EQ,04-09-1997,447.00,403.0,403.0,403.0,-,403.0,403.0,200,"80,600.00",-,-,-
CONCOR,EQ,05-09-1997,403.00,400.0,400.0,400.0,-,400.0,400.0,"50,000","2,00,00,000.00",-,-,-
CONCOR,EQ,09-09-1997,400.00,405.0,405.0,405.0,-,405.0,405.0,100,"40,500.00",-,-,-
CONCOR,EQ,24-09-1997,405.00,400.0,400.0,400.0,-,400.0,400.0,"1,90,000","7,60,00,000.00",-,-,-
CONCOR,EQ,30-09-1997,400.00,390.0,420.0,390.0,-,417.9,407.59,"2,200","8,96,700.00",-,-,-
CONCOR,EQ,01-10-1997,417.90,416.0,416.0,416.0,-,416.0,416.0,500,"2,08,000.00",-,-,-
CONCOR,EQ,09-10-1997,416.00,415.0,415.0,415.0,-,415.0,415.0,"1,000","4,15,000.00",-,-,-
CONCOR,EQ,15-10-1997,415.00,420.0,420.0,420.0,-,420.0,420.0,"14,000","58,80,000.00",-,-,-
CONCOR,EQ,22-10-1997,420.00,422.0,422.0,422.0,-,422.0,422.0,"1,000","4,22,000.00",-,-,-
CONCOR,EQ,04-11-1997,422.00,422.0,422.0,420.0,-,420.0,420.1,"2,100","8,82,200.00",-,-,-
CONCOR,EQ,06-11-1997,420.00,420.0,420.0,420.0,-,420.0,420.0,"10,700","44,94,000.00",-,-,-
CONCOR,EQ,07-11-1997,420.00,420.0,420.0,420.0,-,420.0,420.0,"15,000","63,00,000.00",-,-,-
CONCOR,EQ,10-11-1997,420.00,420.0,420.0,401.0,-,420.0,419.93,"25,800","1,08,34,100.00",-,-,-
CONCOR,EQ,12-11-1997,420.00,420.0,441.0,420.0,-,429.6,423.65,"48,400","2,05,04,480.00",-,-,-
CONCOR,EQ,13-11-1997,429.60,420.0,420.0,420.0,-,420.0,420.0,"30,000","1,26,00,000.00",-,-,-
CONCOR,EQ,18-11-1997,420.00,420.0,420.0,420.0,-,420.0,420.0,"99,000","4,15,80,000.00",-,-,-
CONCOR,EQ,19-11-1997,420.00,420.0,420.0,420.0,-,420.0,420.0,"30,000","1,26,00,000.00",-,-,-
CONCOR,EQ,01-12-1997,420.00,420.0,420.0,420.0,-,420.0,420.0,"38,200","1,60,44,000.00",-,-,-
CONCOR,EQ,24-12-1997,420.00,420.0,420.0,420.0,-,420.0,420.0,"75,000","3,15,00,000.00",-,-,-
CONCOR,EQ,31-12-1997,420.00,421.0,421.0,421.0,-,421.0,421.0,200,"84,200.00",-,-,-
CONCOR,EQ,07-01-1998,421.0,420.0,420.0,420.0,-,420.0,420.0,"5,000","21,00,000.00",-,-,-
CONCOR,EQ,09-01-1998,420.0,420.0,420.0,420.0,-,420.0,420.0,500,"2,10,000.00",-,-,-
CONCOR,EQ,16-01-1998,420.0,420.0,420.0,420.0,-,420.0,420.0,"29,000","1,21,80,000.00",-,-,-
CONCOR,EQ,22-01-1998,420.0,420.0,420.0,420.0,-,420.0,420.0,"1,000","4,20,000.00",-,-,-
CONCOR,EQ,23-01-1998,420.0,421.0,421.0,420.0,-,420.0,420.2,500,"2,10,100.00",-,-,-
CONCOR,EQ,12-02-1998,420.0,421.0,421.0,421.0,-,421.0,421.0,400,"1,68,400.00",-,-,-
CONCOR,EQ,27-02-1998,421.0,418.0,418.0,418.0,-,418.0,418.0,100,"41,800.00",-,-,-
CONCOR,EQ,02-03-1998,418.0,420.0,420.0,420.0,-,420.0,420.0,"2,50,000","10,50,00,000.00",-,-,-
CONCOR,EQ,09-03-1998,420.0,420.0,420.0,420.0,-,420.0,420.0,"50,000","2,10,00,000.00",-,-,-
CONCOR,EQ,17-04-1998,420.0,457.0,457.0,457.0,457.00,457.0,457.0,100,"45,700.00",-,-,-
CONCOR,EQ,30-04-1998,457.0,462.5,462.5,462.5,462.50,462.5,462.5,100,"46,250.00",-,-,-
CONCOR,EQ,12-05-1998,462.5,457.0,457.0,457.0,457.00,457.0,457.0,600,"2,74,200.00",-,-,-
CONCOR,EQ,28-05-1998,457.0,502.0,502.0,502.0,502.00,502.0,502.0,100,"50,200.00",-,-,-
CONCOR,EQ,15-06-1998,502.0,457.0,457.0,457.0,457.00,457.0,457.0,"5,000","22,85,000.00",-,-,-
CONCOR,EQ,17-07-1998,457.0,457.0,457.0,457.0,457.00,457.0,457.0,"10,000","45,70,000.00",-,-,-
CONCOR,EQ,23-09-1998,457.0,475.0,475.0,475.0,475.00,475.0,475.0,100,"47,500.00",-,-,-
CONCOR,EQ,28-10-1998,475.0,404.8,404.8,404.8,404.80,404.8,404.8,100,"40,480.00",-,-,-
CONCOR,EQ,26-11-1998,404.8,231.3,231.3,230.0,230.00,230.0,230.94,500,"1,15,470.00",-,-,-
CONCOR,EQ,27-11-1998,230.0,230.0,236.95,230.0,236.95,236.95,234.4,600,"1,40,640.00",-,-,-
CONCOR,EQ,30-11-1998,236.95,250.0,250.0,250.0,250.00,250.0,250.0,100,"25,000.00",-,-,-
CONCOR,EQ,10-12-1998,250.0,260.0,260.0,260.0,260.00,260.0,260.0,400,"1,04,000.00",-,-,-
CONCOR,EQ,18-12-1998,260.0,240.6,240.6,240.25,240.25,240.25,240.45,300,"72,135.00",-,-,-
CONCOR,EQ,05-01-1999,240.25,230.00,230.00,230.00,230.00,230.0,230.0,"14,200","32,66,000.00",-,-,-
CONCOR,EQ,08-01-1999,230.0,246.00,246.00,246.00,246.00,246.0,246.0,100,"24,600.00",-,-,-
CONCOR,EQ,22-01-1999,246.0,240.00,245.90,233.00,245.00,245.0,239.39,"7,35,600","17,60,96,515.00",-,-,-
CONCOR,EQ,25-01-1999,245.0,245.00,264.00,244.90,256.00,256.0,254.65,"3,500","8,91,285.00",-,-,-
CONCOR,EQ,27-01-1999,256.0,276.00,276.10,260.00,268.00,268.0,267.76,"2,72,600","7,29,90,820.00",-,-,-
CONCOR,EQ,28-01-1999,268.0,270.00,270.00,246.60,246.60,246.6,254.88,"23,300","59,38,755.00",-,-,-
CONCOR,EQ,29-01-1999,246.6,236.00,249.00,236.00,249.00,249.0,243.2,"22,700","55,20,735.00",-,-,-
CONCOR,EQ,01-02-1999,249.0,246.00,260.00,246.00,253.00,253.0,257.13,"2,92,300","7,51,59,570.00",-,-,-
CONCOR,EQ,02-02-1999,253.0,252.90,252.90,232.80,237.80,237.8,238.41,"31,500","75,10,020.00",-,-,-
CONCOR,EQ,03-02-1999,237.8,254.50,256.85,247.00,252.40,252.4,251.61,"1,58,700","3,99,29,795.00",-,-,-
CONCOR,EQ,04-02-1999,252.4,253.90,254.00,238.20,244.95,244.95,246.04,"56,200","1,38,27,215.00",-,-,-
CONCOR,EQ,05-02-1999,244.95,239.00,247.95,239.00,240.05,240.05,242.29,"29,500","71,47,555.00",-,-,-
CONCOR,EQ,08-02-1999,240.05,243.90,244.50,238.00,238.50,238.5,239.25,"13,200","31,58,150.00",-,-,-
CONCOR,EQ,09-02-1999,238.5,236.50,236.50,219.45,224.50,224.5,221.67,"27,800","61,62,520.00",-,-,-
CONCOR,EQ,10-02-1999,224.5,217.05,235.00,210.50,229.35,229.35,222.91,"23,400","52,16,100.00",-,-,-
CONCOR,EQ,11-02-1999,229.35,234.90,246.00,232.00,239.00,239.0,240.83,"35,000","84,29,110.00",-,-,-
