SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
ICICICONSU,EQ,02-11-2021,70.48,71.45,74.45,71.16,71.44,71.42,71.68,"4,190","3,00,344.11",87,"2,422",57.8
ICICICONSU,EQ,03-11-2021,71.42,71.8,72.0,71.1,71.11,71.11,71.23,"7,272","5,17,960.70",65,"5,865",80.65
ICICICONSU,EQ,04-11-2021,71.11,82.0,82.0,71.51,71.51,71.54,75.66,"2,071","1,56,696.99",68,"1,139",55.0
ICICICONSU,EQ,08-11-2021,71.54,71.54,73.0,71.5,71.98,72.15,72.13,"29,658","21,39,316.66",83,"28,906",97.46
ICICICONSU,EQ,09-11-2021,72.15,72.15,75.28,72.15,72.15,72.15,72.4,"1,463","1,05,922.53",83,"1,189",81.27
ICICICONSU,EQ,10-11-2021,72.15,72.4,74.31,72.0,72.6,72.56,72.55,"1,913","1,38,782.87",81,"1,616",84.47
ICICICONSU,EQ,11-11-2021,72.56,71.51,73.5,71.51,72.15,72.15,72.22,"4,617","3,33,453.33",84,"2,057",44.55
ICICICONSU,EQ,12-11-2021,72.15,74.31,74.31,72.51,73.29,73.23,73.01,"1,617","1,18,064.72",71,"1,152",71.24
ICICICONSU,EQ,15-11-2021,73.23,73.6,73.94,73.31,73.9,73.82,73.64,"1,991","1,46,609.11",68,"1,093",54.9
ICICICONSU,EQ,16-11-2021,73.82,76.68,76.68,73.6,73.85,74.08,73.96,"1,000","73,959.15",49,539,53.9
ICICICONSU,EQ,17-11-2021,74.08,74.08,74.65,73.9,74.35,74.54,74.46,"2,432","1,81,082.45",41,"1,493",61.39
ICICICONSU,EQ,18-11-2021,74.54,74.8,74.99,73.1,73.45,73.45,73.36,"18,496","13,56,884.71",110,"15,162",81.97
ICICICONSU,EQ,22-11-2021,73.45,76.0,76.0,71.71,72.45,72.12,72.76,"1,382","1,00,548.88",85,"1,243",89.94
ICICICONSU,EQ,23-11-2021,72.12,73.0,73.89,71.81,72.85,72.83,72.7,"67,722","49,23,213.41",79,"67,268",99.33
ICICICONSU,EQ,24-11-2021,72.83,58.05,74.2,58.05,72.2,72.36,72.58,"7,071","5,13,215.97",76,"5,001",70.73
ICICICONSU,EQ,25-11-2021,72.36,76.0,76.0,71.15,72.35,72.34,72.18,"1,756","1,26,746.79",89,"1,308",74.49
ICICICONSU,EQ,26-11-2021,72.34,71.33,72.1,70.61,71.35,71.34,70.95,"10,062","7,13,919.14",86,"9,121",90.65
ICICICONSU,EQ,29-11-2021,71.34,75.93,75.93,68.36,70.6,70.58,71.02,"8,339","5,92,198.21",182,"2,440",29.26
ICICICONSU,EQ,30-11-2021,70.58,74.3,74.3,70.1,70.73,70.73,71.15,260,"18,498.10",97,148,56.92
ICICICONSU,EQ,01-12-2021,70.73,73.94,73.94,57.01,70.1,70.1,64.59,"2,463","1,59,096.70",65,"1,255",50.95
ICICICONSU,EQ,02-12-2021,70.1,69.0,72.5,68.9,70.75,70.75,70.64,686,"48,458.26",87,402,58.6
ICICICONSU,EQ,03-12-2021,70.75,72.5,72.5,69.62,71.15,71.15,71.17,350,"24,909.66",99,203,58.0
ICICICONSU,EQ,06-12-2021,71.15,70.6,72.05,69.55,70.19,70.07,70.34,760,"53,454.79",78,430,56.58
ICICICONSU,EQ,07-12-2021,70.07,70.4,70.4,68.9,69.29,69.21,68.96,"2,550","1,75,852.81",101,"1,893",74.24
ICICICONSU,EQ,08-12-2021,69.21,73.0,73.0,68.92,70.1,70.1,70.07,753,"52,760.22",120,415,55.11
ICICICONSU,EQ,09-12-2021,70.1,70.6,71.5,70.16,71.0,70.75,70.85,343,"24,300.02",82,169,49.27
ICICICONSU,EQ,10-12-2021,70.75,73.4,73.4,69.99,71.5,71.17,71.07,647,"45,982.94",77,149,23.03
ICICICONSU,EQ,13-12-2021,71.17,71.17,72.95,70.0,71.95,71.51,71.49,"2,256","1,61,271.96",96,"2,140",94.86
ICICICONSU,EQ,14-12-2021,71.51,72.5,72.5,69.23,70.64,70.44,69.8,"3,178","2,21,814.17",87,"2,159",67.94
