SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
DANGEE,ST,03-09-2018,74.0,89.9,94.35,89.5,-,94.35,91.8,"16,11,200","14,79,11,840.00",799,-,-
DANGEE,ST,04-09-2018,94.35,93.5,99.05,91.25,-,98.05,96.47,"4,81,600","4,64,61,200.00",242,-,-
DANGEE,ST,05-09-2018,98.05,101.0,102.95,101.0,-,102.95,102.75,"1,37,600","1,41,38,640.00",71,-,-
DANGEE,ST,06-09-2018,102.95,108.05,108.05,102.0,-,108.05,106.56,"2,46,400","2,62,56,480.00",128,-,-
DANGEE,ST,07-09-2018,108.05,113.45,113.45,113.45,-,113.45,113.45,"80,000","90,76,000.00",39,-,-
DANGEE,ST,10-09-2018,113.45,119.1,119.1,119.1,-,119.1,119.1,"19,200","22,86,720.00",12,-,-
DANGEE,ST,11-09-2018,119.1,125.05,125.05,125.05,-,125.05,125.05,"22,400","28,01,120.00",10,-,-
DANGEE,ST,12-09-2018,125.05,131.3,131.3,131.3,-,131.3,131.3,"19,200","25,20,960.00",11,-,-
DANGEE,ST,14-09-2018,131.3,137.85,137.85,128.0,-,137.85,136.31,"3,37,600","4,60,16,720.00",174,-,-
DANGEE,ST,17-09-2018,137.85,144.7,144.7,144.7,-,144.7,144.7,"14,400","20,83,680.00",9,-,-
DANGEE,SM,18-09-2018,144.7,149.0,164.0,135.0,159.00,162.5,153.72,"1,71,200","2,63,17,040.00",100,"1,24,800",72.90
DANGEE,SM,19-09-2018,162.5,161.0,174.3,154.5,168.10,171.55,164.71,"1,21,600","2,00,28,800.00",75,"70,400",57.89
DANGEE,SM,21-09-2018,171.55,179.9,186.0,166.0,186.00,182.0,179.43,"1,69,600","3,04,32,160.00",100,"1,04,000",61.32
DANGEE,SM,24-09-2018,182.0,180.05,195.8,180.05,190.80,190.65,188.46,"80,000","1,50,76,720.00",48,"52,800",66.00
DANGEE,SM,25-09-2018,190.65,190.0,205.5,190.0,205.50,204.2,199.82,"1,07,200","2,14,21,200.00",66,"68,800",64.18
DANGEE,SM,26-09-2018,204.2,212.0,214.5,198.3,206.00,203.75,206.42,"60,800","1,25,50,240.00",33,"44,800",73.68
DANGEE,SM,27-09-2018,203.75,209.0,216.5,198.0,211.10,212.35,207.79,"3,18,400","6,61,60,480.00",176,"2,28,800",71.86
DANGEE,SM,28-09-2018,212.35,217.8,217.8,196.0,196.30,197.55,202.4,"1,76,000","3,56,22,720.00",98,"1,29,600",73.64
DANGEE,SM,01-10-2018,197.55,204.0,204.0,198.0,204.00,201.35,200.39,"1,04,000","2,08,40,720.00",55,"76,800",73.85
DANGEE,SM,03-10-2018,201.35,205.1,213.0,203.3,204.00,204.0,207.65,"32,000","66,44,640.00",20,"19,200",60.00
DANGEE,SM,04-10-2018,204.0,202.6,205.9,200.5,205.90,205.9,202.5,"20,800","42,12,080.00",13,"14,400",69.23
DANGEE,SM,05-10-2018,205.9,201.3,209.95,200.0,208.00,208.75,203.4,"52,800","1,07,39,280.00",25,"38,400",72.73
DANGEE,SM,08-10-2018,208.75,202.55,207.5,201.35,206.00,206.1,203.81,"14,400","29,34,880.00",9,"8,000",55.56
DANGEE,SM,09-10-2018,206.1,204.0,204.7,202.25,202.65,203.65,203.3,"48,000","97,58,160.00",28,"28,800",60.00
DANGEE,SM,10-10-2018,203.65,204.0,207.9,204.0,207.50,207.5,206.52,"14,400","29,73,920.00",9,"11,200",77.78
DANGEE,SM,11-10-2018,207.5,204.0,209.35,203.0,203.00,203.2,204.22,"16,000","32,67,440.00",10,"9,600",60.00
DANGEE,SM,12-10-2018,203.2,205.35,217.0,205.35,215.00,213.85,210.35,"35,200","74,04,320.00",21,"25,600",72.73
DANGEE,SM,15-10-2018,213.85,216.0,226.0,216.0,223.00,223.25,222.74,"27,200","60,58,480.00",17,"16,000",58.82
DANGEE,SM,16-10-2018,223.25,224.5,226.0,224.5,226.00,226.0,225.25,"3,200","7,20,800.00",2,"1,600",50.00
DANGEE,SM,17-10-2018,226.0,224.0,224.0,221.0,221.00,221.0,221.76,"12,800","28,38,560.00",8,"11,200",87.50
DANGEE,SM,19-10-2018,221.0,218.05,218.05,215.2,217.00,217.0,216.95,"20,800","45,12,480.00",13,"16,000",76.92
DANGEE,SM,22-10-2018,217.0,214.6,224.0,213.5,222.00,222.0,216.29,"19,200","41,52,800.00",11,"17,600",91.67
DANGEE,SM,23-10-2018,222.0,214.5,220.8,214.5,220.80,217.7,217.86,"8,000","17,42,880.00",5,"4,800",60.00
DANGEE,SM,24-10-2018,217.7,215.0,215.0,213.0,214.00,213.5,213.63,"8,000","17,09,040.00",5,"6,400",80.00
DANGEE,SM,25-10-2018,213.5,214.0,214.0,210.5,210.50,210.5,212.73,"9,600","20,42,160.00",6,"8,000",83.33
DANGEE,SM,26-10-2018,210.5,210.0,210.0,209.0,210.00,210.0,209.54,"20,800","43,58,480.00",12,"16,000",76.92
DANGEE,SM,29-10-2018,210.0,210.0,210.0,205.3,205.50,205.7,207.02,"38,400","79,49,520.00",24,"32,000",83.33
DANGEE,SM,30-10-2018,205.7,205.5,208.0,204.1,206.00,205.45,205.49,"16,000","32,87,840.00",10,"9,600",60.00
DANGEE,SM,31-10-2018,205.45,205.3,206.5,205.3,206.00,206.0,205.95,"9,600","19,77,120.00",6,"4,800",50.00
DANGEE,SM,01-11-2018,206.0,205.2,207.5,203.0,207.50,204.3,204.47,"20,800","42,52,880.00",11,"16,000",76.92
DANGEE,SM,02-11-2018,204.3,204.05,207.95,203.0,207.95,207.95,203.75,"17,600","35,85,920.00",11,"14,400",81.82
DANGEE,SM,05-11-2018,207.95,207.0,207.0,205.0,205.00,205.0,206.26,"9,600","19,80,080.00",4,"8,000",83.33
DANGEE,SM,06-11-2018,205.0,206.25,206.25,206.25,206.25,206.25,206.25,"6,400","13,20,000.00",2,"6,400",100.00
DANGEE,SM,07-11-2018,206.25,210.25,210.25,208.0,210.00,209.4,209.63,"6,400","13,41,600.00",4,"4,800",75.00
DANGEE,SM,09-11-2018,209.4,210.0,210.0,210.0,210.00,210.0,210.0,"4,800","10,08,000.00",3,"4,800",100.00
DANGEE,SM,12-11-2018,210.0,210.5,210.5,210.5,210.50,210.5,210.5,"3,200","6,73,600.00",2,"3,200",100.00
DANGEE,SM,13-11-2018,210.5,207.35,209.25,207.35,209.25,209.25,208.3,"3,200","6,66,560.00",2,"3,200",100.00
DANGEE,SM,14-11-2018,209.25,213.7,213.7,213.7,213.70,213.7,213.7,"1,600","3,41,920.00",1,"1,600",100.00
DANGEE,SM,15-11-2018,213.7,209.5,209.75,208.1,208.10,208.1,209.32,"8,000","16,74,560.00",3,"8,000",100.00
DANGEE,SM,16-11-2018,208.1,207.0,207.0,207.0,207.00,207.0,207.0,"1,600","3,31,200.00",1,"1,600",100.00
DANGEE,SM,19-11-2018,207.0,208.7,209.0,208.7,209.00,208.8,208.82,"4,800","10,02,320.00",3,"4,800",100.00
DANGEE,SM,20-11-2018,208.8,209.0,209.0,207.0,207.00,207.0,207.7,"4,800","9,96,960.00",3,"3,200",66.67
DANGEE,SM,21-11-2018,207.0,206.0,206.0,206.0,206.00,206.0,206.0,"1,600","3,29,600.00",1,"1,600",100.00
DANGEE,SM,22-11-2018,206.0,205.1,206.0,205.1,206.00,206.0,205.55,"3,200","6,57,760.00",2,"1,600",50.00
DANGEE,SM,26-11-2018,206.0,206.1,206.1,206.0,206.00,206.0,206.05,"3,200","6,59,360.00",2,"1,600",50.00
DANGEE,SM,27-11-2018,206.0,206.35,206.35,206.05,206.05,206.05,206.2,"3,200","6,59,840.00",2,"1,600",50.00
DANGEE,SM,28-11-2018,206.05,206.1,206.1,205.0,205.00,205.5,205.79,"6,400","13,17,040.00",4,"3,200",50.00
DANGEE,SM,29-11-2018,205.5,205.05,210.0,203.0,210.00,210.0,205.95,"24,000","49,42,880.00",12,"17,600",73.33
DANGEE,SM,03-12-2018,210.0,205.5,205.5,205.5,205.50,205.5,205.5,"1,600","3,28,800.00",1,"1,600",100.00
DANGEE,SM,04-12-2018,205.5,205.05,205.05,202.0,202.00,202.0,203.46,"14,400","29,29,760.00",8,"12,800",88.89
DANGEE,SM,05-12-2018,202.0,205.0,208.4,205.0,208.40,208.4,206.2,"4,800","9,89,760.00",3,"1,600",33.33
DANGEE,SM,06-12-2018,208.4,205.0,205.0,203.0,203.00,203.0,204.0,"4,800","9,79,200.00",3,"4,800",100.00
DANGEE,SM,07-12-2018,203.0,204.0,204.0,200.0,202.00,201.6,202.19,"27,200","54,99,680.00",16,"25,600",94.12
DANGEE,SM,10-12-2018,201.6,202.0,205.0,201.0,205.00,205.0,202.5,"6,400","12,96,000.00",4,"6,400",100.00
DANGEE,SM,12-12-2018,205.0,204.0,204.0,201.0,201.05,201.05,202.01,"11,200","22,62,480.00",7,"11,200",100.00
DANGEE,SM,13-12-2018,201.05,203.0,203.0,203.0,203.00,203.0,203.0,"1,600","3,24,800.00",1,"1,600",100.00
DANGEE,SM,17-12-2018,203.0,203.05,203.05,203.0,203.00,203.0,203.02,"4,800","9,74,480.00",3,"4,800",100.00
