SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
DLINKINDIA,EQ,18-12-2009,65.75,65.0,65.0,28.55,36.6,37.35,42.55,"41,82,399","17,79,69,775.15",-,"7,43,738",17.78
DLINKINDIA,EQ,21-12-2009,37.35,37.5,37.95,34.1,36.6,36.0,35.96,"8,71,455","3,13,39,668.85",-,"1,10,457",12.68
DLINKINDIA,EQ,22-12-2009,36.0,36.5,36.7,34.3,34.65,34.6,35.29,"2,67,249","94,32,518.90",-,"72,708",27.21
DLINKINDIA,EQ,23-12-2009,34.6,35.0,35.0,33.4,34.0,34.2,34.02,"2,51,409","85,52,185.75",-,"89,732",35.69
DLINKINDIA,EQ,24-12-2009,34.2,34.0,34.75,32.25,32.5,32.6,33.65,"2,48,885","83,73,971.15",-,"96,467",38.76
DLINKINDIA,EQ,29-12-2009,32.6,33.0,33.5,31.6,32.55,32.45,32.42,"2,12,567","68,91,829.60",-,"98,096",46.15
DLINKINDIA,EQ,30-12-2009,32.45,32.75,33.0,32.05,32.75,32.5,32.59,"79,621","25,94,587.50",-,"33,672",42.29
DLINKINDIA,EQ,31-12-2009,32.5,32.55,32.85,31.5,31.5,32.0,32.39,"68,776","22,27,396.55",-,"46,811",68.06
DLINKINDIA,EQ,04-01-2010,32.0,31.55,33.25,31.5,32.1,32.25,32.14,"1,03,934","33,40,929.45",-,"58,534",56.32
DLINKINDIA,EQ,05-01-2010,32.25,32.6,34.5,32.0,33.0,32.6,33.18,"3,67,388","1,21,88,673.50",-,"1,90,154",51.76
DLINKINDIA,EQ,06-01-2010,32.6,33.5,33.55,32.3,32.5,32.6,32.83,"40,918","13,43,142.25",-,"24,296",59.38
DLINKINDIA,EQ,07-01-2010,32.6,32.2,32.5,31.3,31.75,31.85,31.98,"51,157","16,36,211.35",-,"28,438",55.59
DLINKINDIA,EQ,08-01-2010,31.85,32.45,33.35,31.75,32.2,32.05,32.51,"1,12,728","36,64,626.45",-,"33,509",29.73
DLINKINDIA,EQ,11-01-2010,32.05,32.25,32.9,32.2,32.6,32.75,32.54,"54,916","17,87,012.60",-,"29,331",53.41
DLINKINDIA,EQ,12-01-2010,32.75,32.8,33.25,32.15,32.4,32.4,32.71,"94,382","30,86,819.20",-,"65,884",69.81
DLINKINDIA,EQ,13-01-2010,32.4,32.0,38.9,32.0,37.7,37.85,36.38,"7,85,520","2,85,79,499.20",-,"2,53,460",32.27
DLINKINDIA,EQ,14-01-2010,37.85,38.8,38.95,36.1,36.35,36.45,37.39,"3,81,965","1,42,82,743.60",-,"1,08,712",28.46
DLINKINDIA,EQ,15-01-2010,36.45,37.3,37.35,35.7,35.75,35.95,36.29,"78,652","28,54,105.60",-,"43,344",55.11
DLINKINDIA,EQ,18-01-2010,35.95,35.5,38.0,35.15,35.2,35.25,36.0,"49,691","17,89,057.25",-,"29,352",59.07
DLINKINDIA,EQ,19-01-2010,35.25,35.45,36.0,33.75,33.75,34.1,34.9,"1,21,670","42,46,103.00",-,"65,266",53.64
DLINKINDIA,EQ,20-01-2010,34.1,34.25,34.9,32.8,33.0,33.05,33.38,"1,09,872","36,67,869.65",-,"55,513",50.53
DLINKINDIA,EQ,21-01-2010,33.05,32.5,33.7,32.05,32.15,32.25,32.64,"1,08,089","35,28,278.30",-,"58,962",54.55
DLINKINDIA,EQ,22-01-2010,32.25,32.0,32.0,30.5,31.8,31.7,31.4,"53,956","16,93,961.35",-,"32,259",59.79
DLINKINDIA,EQ,25-01-2010,31.7,31.2,32.25,31.15,31.45,31.7,31.9,"53,512","17,06,800.40",-,"35,239",65.85
DLINKINDIA,EQ,27-01-2010,31.7,31.5,31.55,28.5,28.5,29.55,30.12,"72,958","21,97,485.60",-,"46,583",63.85
DLINKINDIA,EQ,28-01-2010,29.55,29.75,30.5,28.0,28.1,28.2,28.94,"50,140","14,51,155.35",-,"26,453",52.76
DLINKINDIA,EQ,29-01-2010,28.2,28.2,29.85,27.15,29.25,28.9,28.32,"69,731","19,75,023.90",-,"27,804",39.87
DLINKINDIA,EQ,01-02-2010,28.9,28.5,31.3,28.5,30.5,30.4,30.39,"40,952","12,44,327.25",-,"21,727",53.05
DLINKINDIA,EQ,02-02-2010,30.4,31.45,31.45,29.6,30.1,29.9,30.51,"25,826","7,88,063.30",-,"12,878",49.86
DLINKINDIA,EQ,03-02-2010,29.9,30.9,31.0,29.2,29.3,29.65,30.12,"34,213","10,30,342.95",-,"18,536",54.18
DLINKINDIA,EQ,04-02-2010,29.65,30.5,30.5,28.5,28.85,28.95,29.35,"18,240","5,35,381.00",-,"11,833",64.87
DLINKINDIA,EQ,05-02-2010,28.95,28.5,28.95,27.6,28.0,27.75,28.06,"53,359","14,97,089.00",-,"22,729",42.6
DLINKINDIA,EQ,06-02-2010,27.75,28.0,28.6,28.0,28.55,28.5,28.41,"2,719","77,250.45",-,"1,732",63.7
DLINKINDIA,EQ,08-02-2010,28.5,28.9,29.35,27.9,27.9,28.0,28.24,"40,690","11,49,021.05",-,"32,545",79.98
DLINKINDIA,EQ,09-02-2010,28.0,28.0,29.25,27.5,28.0,28.2,28.24,"29,439","8,31,432.35",-,"17,222",58.5
DLINKINDIA,EQ,10-02-2010,28.2,28.35,28.75,27.7,27.7,27.85,28.27,"31,806","8,99,107.85",-,"20,972",65.94
DLINKINDIA,EQ,11-02-2010,27.85,28.05,28.65,27.85,28.3,28.05,28.2,"18,815","5,30,611.50",-,"10,215",54.29
DLINKINDIA,EQ,15-02-2010,28.05,28.2,28.55,27.5,27.5,27.65,28.04,"18,529","5,19,607.25",-,"9,919",53.53
DLINKINDIA,EQ,16-02-2010,27.65,28.5,28.9,27.35,27.5,27.5,27.68,"13,278","3,67,501.65",-,"7,705",58.03
DLINKINDIA,EQ,17-02-2010,27.5,27.5,29.9,27.5,28.5,28.45,28.86,"1,16,104","33,50,993.50",-,"15,932",13.72
DLINKINDIA,EQ,18-02-2010,28.45,28.7,28.7,27.55,27.85,27.65,28.03,"17,308","4,85,071.50",-,"8,263",47.74
DLINKINDIA,EQ,19-02-2010,27.65,27.8,27.9,27.0,27.0,27.1,27.36,"14,679","4,01,603.85",-,"11,601",79.03
DLINKINDIA,EQ,22-02-2010,27.1,27.5,29.0,26.6,26.6,26.65,27.15,"19,510","5,29,702.95",-,"8,990",46.08
DLINKINDIA,EQ,23-02-2010,26.65,26.15,27.15,25.2,25.65,25.85,26.0,"23,272","6,05,094.60",-,"14,067",60.45
DLINKINDIA,EQ,24-02-2010,25.85,25.65,26.2,25.35,25.5,25.4,25.69,"17,090","4,38,994.20",-,"11,286",66.04
DLINKINDIA,EQ,25-02-2010,25.4,24.5,25.9,24.5,25.0,24.95,25.31,"10,747","2,72,060.15",-,"6,135",57.09
DLINKINDIA,EQ,26-02-2010,24.95,25.2,25.9,25.1,25.45,25.25,25.48,"17,326","4,41,505.85",-,"9,296",53.65
DLINKINDIA,EQ,02-03-2010,25.25,25.9,26.7,25.5,26.25,26.3,26.23,"19,925","5,22,574.25",-,"12,938",64.93
DLINKINDIA,EQ,03-03-2010,26.3,25.7,27.25,25.7,26.75,26.9,26.79,"13,698","3,66,994.75",-,"9,166",66.91
DLINKINDIA,EQ,04-03-2010,26.9,28.0,28.0,26.75,26.85,26.95,26.95,"11,242","3,02,962.35",-,"7,986",71.04
DLINKINDIA,EQ,05-03-2010,26.95,27.1,27.75,26.85,27.0,26.95,27.24,"28,222","7,68,814.90",-,"19,669",69.69
