SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
DOLLAR,BE,21-04-2017,158.00,"1,314.00","1,379.70","1,314.00","1,379.70","1,379.70","1,358.22","42,816","5,81,53,435.20",206,-,-
DOLLAR,BE,24-04-2017,"1,379.70","1,448.65","1,448.65","1,448.65","1,448.65","1,448.65","1,448.65","7,49,491","1,08,57,50,137.15",439,-,-
DOLLAR,BE,25-04-2017,"1,448.65","1,521.05","1,521.05","1,500.00","1,521.05","1,521.05","1,520.99","3,17,835","48,34,23,655.05",960,-,-
DOLLAR,BE,26-04-2017,"1,521.05","1,540.00","1,594.90","1,495.00","1,511.00","1,519.40","1,551.97","64,447","10,00,19,739.40","1,240",-,-
DOLLAR,BE,27-04-2017,"1,519.40","1,528.00","1,528.00","1,458.00","1,500.00","1,494.45","1,495.93","1,59,810","23,90,65,187.55",531,-,-
DOLLAR,BE,28-04-2017,"1,494.45","1,520.00","1,569.15","1,520.00","1,569.15","1,569.15","1,553.32","39,403","6,12,05,595.80",319,-,-
DOLLAR,BE,02-05-2017,"1,569.15","1,647.60","1,647.60","1,647.60","1,647.60","1,647.60","1,647.60","7,949","1,30,96,772.40",77,-,-
DOLLAR,BE,03-05-2017,"1,647.60","1,729.95","1,729.95","1,676.00","1,687.00","1,694.05","1,722.69","51,116","8,80,57,165.85","1,025",-,-
DOLLAR,BE,04-05-2017,"1,694.05","1,685.00","1,778.75","1,625.25","1,778.75","1,777.55","1,756.00","65,219","11,45,24,395.50",936,-,-
DOLLAR,BE,05-05-2017,"1,777.55","1,800.00","1,825.00","1,710.00","1,761.10","1,760.25","1,766.47","24,141","4,26,44,343.30",710,-,-
DOLLAR,BE,08-05-2017,"1,760.25","1,779.00","1,783.95","1,700.00","1,779.95","1,763.50","1,742.95","13,733","2,39,35,952.70",631,-,-
DOLLAR,BE,09-05-2017,"1,763.50","1,745.00","1,769.00","1,691.20","1,730.00","1,702.15","1,712.78","9,915","1,69,82,233.85",301,-,-
DOLLAR,BE,10-05-2017,"1,702.15","1,705.00","1,728.00","1,685.00","1,700.00","1,698.45","1,702.53","7,008","1,19,31,363.00",256,-,-
DOLLAR,BE,11-05-2017,"1,698.45","1,705.25","1,729.95","1,677.00","1,695.00","1,687.25","1,689.30","5,885","99,41,510.85",177,-,-
DOLLAR,BE,12-05-2017,"1,687.25","1,700.00","1,700.00","1,645.00","1,680.00","1,681.05","1,674.61","4,790","80,21,389.45",466,-,-
DOLLAR,BE,15-05-2017,"1,681.05","1,701.00","1,705.00","1,660.10","1,688.90","1,674.80","1,680.63","11,626","1,95,39,057.75",281,-,-
DOLLAR,BE,16-05-2017,"1,674.80","1,665.00","1,690.00","1,651.00","1,675.00","1,674.50","1,674.17","4,929","82,51,982.75",142,-,-
DOLLAR,BE,17-05-2017,"1,674.50","1,662.00","1,700.00","1,656.00","1,665.30","1,670.05","1,672.33","4,295","71,82,660.35",127,-,-
DOLLAR,BE,18-05-2017,"1,670.05","1,660.00","1,660.00","1,631.00","1,649.80","1,649.75","1,649.07","16,417","2,70,72,718.25",202,-,-
DOLLAR,BE,19-05-2017,"1,649.75","1,648.00","1,650.00","1,610.10","1,625.00","1,618.55","1,621.25","23,901","3,87,49,601.65",132,-,-
DOLLAR,BE,22-05-2017,"1,618.55","1,626.00","1,630.00","1,600.00","1,628.95","1,602.30","1,611.23","2,383","38,39,565.15",92,-,-
DOLLAR,BE,23-05-2017,"1,602.30","1,600.10","1,640.00","1,581.00","1,586.00","1,599.90","1,600.03","8,246","1,31,93,806.50",128,-,-
DOLLAR,BE,24-05-2017,"1,599.90","1,586.00","1,600.00","1,556.00","1,568.00","1,579.55","1,579.08","8,892","1,40,41,170.40",87,-,-
DOLLAR,BE,25-05-2017,"1,579.55","1,568.00","1,610.00","1,540.00","1,610.00","1,600.10","1,583.96","5,266","83,41,129.70",268,-,-
DOLLAR,BE,26-05-2017,"1,600.10","1,616.00","1,680.10","1,600.00","1,680.10","1,680.10","1,665.80","15,919","2,65,17,875.80",176,-,-
DOLLAR,BE,29-05-2017,"1,680.10","1,729.00","1,735.00","1,660.00","1,725.00","1,717.75","1,702.83","16,187","2,75,63,712.20",404,-,-
DOLLAR,EQ,30-05-2017,"1,717.75","1,775.00","1,803.60","1,700.00","1,803.60","1,803.60","1,775.56","31,285","5,55,48,540.65","1,605","25,530",81.60
DOLLAR,EQ,31-05-2017,"1,803.60","1,873.00","1,893.75","1,785.15","1,893.75","1,893.75","1,865.48","50,727","9,46,30,378.00","2,098","27,741",54.69
DOLLAR,EQ,01-06-2017,"1,893.75","1,905.00","1,905.00","1,825.30","1,831.00","1,844.85","1,858.03","21,121","3,92,43,428.80","1,571","11,112",52.61
DOLLAR,EQ,02-06-2017,"1,844.85","1,879.00","1,937.05","1,852.00","1,904.10","1,912.75","1,917.74","51,112","9,80,19,406.10","2,478","14,244",27.87
DOLLAR,EQ,05-06-2017,"1,912.75","1,944.00","2,008.35","1,912.00","2,008.35","2,008.35","1,992.97","45,851","9,13,79,737.90","1,341","22,533",49.14
DOLLAR,EQ,06-06-2017,"2,008.35","1,974.00","2,108.75","1,958.30","2,065.00","2,067.45","2,057.33","59,379","12,21,62,420.20","4,451","33,124",55.78
DOLLAR,EQ,07-06-2017,"2,067.45","2,120.00","2,180.00","2,050.10","2,110.00","2,121.45","2,097.06","69,897","14,65,78,182.50","2,593","22,738",32.53
DOLLAR,EQ,08-06-2017,"2,121.45","2,090.05","2,136.70","2,050.00","2,060.00","2,063.50","2,086.14","34,732","7,24,55,778.35","1,388","17,390",50.07
DOLLAR,EQ,09-06-2017,"2,063.50","2,080.00","2,080.00","2,035.00","2,050.00","2,059.90","2,059.63","10,513","2,16,52,906.45",650,"8,214",78.13
DOLLAR,EQ,12-06-2017,"2,059.90","2,090.90","2,469.85","2,055.10","2,075.00","2,079.75","2,099.63","12,734","2,67,36,686.50",794,"6,656",52.27
DOLLAR,EQ,13-06-2017,"2,079.75","2,094.00","2,191.00","2,065.00","2,180.00","2,173.45","2,142.43","28,472","6,09,99,195.65","1,900","14,832",52.09
DOLLAR,EQ,14-06-2017,"2,173.45","2,180.25","2,228.00","2,100.00","2,218.00","2,157.15","2,153.70","1,03,648","22,32,26,590.95","4,799","29,874",28.82
DOLLAR,EQ,15-06-2017,"2,157.15","2,206.00","2,230.00","2,111.00","2,128.00","2,140.75","2,155.50","73,191","15,77,63,217.35","2,307","28,300",38.67
DOLLAR,EQ,16-06-2017,"2,140.75","2,149.95","2,175.00","2,105.00","2,159.00","2,149.65","2,112.73","65,060","13,74,54,065.05","1,395","59,398",91.30
DOLLAR,EQ,19-06-2017,"2,149.65","2,155.00","2,199.00","2,150.00","2,150.00","2,156.35","2,153.74","65,454","14,09,70,934.30","1,051","54,785",83.70
DOLLAR,EQ,20-06-2017,"2,156.35","2,140.00","2,182.60","2,115.00","2,130.00","2,129.40","2,144.44","5,667","1,21,52,526.80",481,"3,533",62.34
DOLLAR,EQ,21-06-2017,"2,129.40","2,157.00","2,157.00","2,106.45","2,124.00","2,125.30","2,130.22","6,206","1,32,20,148.60",793,"3,352",54.01
DOLLAR,EQ,22-06-2017,"2,125.30","2,110.00","2,140.00","2,070.00","2,112.00","2,104.90","2,106.73","8,613","1,81,45,304.10",934,"5,523",64.12
DOLLAR,EQ,23-06-2017,"2,104.90","2,092.00","2,095.00","2,007.00","2,075.00","2,085.05","2,056.01","11,588","2,38,25,008.85","1,395","6,669",57.55
DOLLAR,EQ,27-06-2017,"2,085.05","2,051.00","2,090.05","2,016.10","2,034.80","2,034.75","2,048.44","3,547","72,65,827.25",357,"2,040",57.51
DOLLAR,EQ,28-06-2017,"2,034.75","2,020.00","2,100.00","1,990.50","2,072.00","2,088.75","2,055.88","9,436","1,93,99,273.20","1,769","5,566",58.99
DOLLAR,EQ,29-06-2017,"2,088.75","2,100.00","2,148.00","2,082.55","2,090.00","2,107.15","2,121.10","5,297","1,12,35,462.45",427,"3,740",70.61
DOLLAR,EQ,30-06-2017,"2,107.15","2,100.00","2,120.00","2,065.00","2,081.00","2,093.70","2,099.80","4,469","93,83,990.55","2,348","3,404",76.17
DOLLAR,EQ,03-07-2017,"2,093.70","2,070.05","2,120.00","2,027.30","2,087.75","2,083.65","2,088.70","3,982","83,17,208.95",265,"2,714",68.16
DOLLAR,EQ,04-07-2017,"2,083.65","2,063.00","2,148.00","2,063.00","2,104.80","2,104.90","2,109.46","11,321","2,38,81,225.00",861,"4,263",37.66
DOLLAR,EQ,05-07-2017,"2,104.90","2,105.00","2,229.00","2,105.00","2,200.00","2,207.50","2,180.21","22,191","4,83,80,965.70","1,358","14,568",65.65
DOLLAR,EQ,06-07-2017,"2,207.50","2,229.00","2,270.00","2,211.00","2,227.00","2,235.85","2,251.29","12,887","2,90,12,429.10","1,309","8,421",65.34
DOLLAR,EQ,07-07-2017,"2,235.85","2,250.00","2,250.00","2,186.25","2,200.10","2,207.90","2,213.33","3,727","82,49,082.85",400,"2,379",63.83
DOLLAR,EQ,10-07-2017,"2,207.90","2,238.50","2,260.00","2,200.10","2,250.00","2,242.90","2,241.68",889,"19,92,853.15",119,550,61.87
DOLLAR,EQ,11-07-2017,"2,242.90","2,250.00","2,251.00","2,184.00","2,210.00","2,218.90","2,221.14","6,028","1,33,89,025.70",945,"3,952",65.56
DOLLAR,EQ,12-07-2017,"2,218.90","2,235.00","2,290.00","2,219.00","2,260.00","2,261.20","2,259.80","10,788","2,43,78,677.65","2,324","6,224",57.69
DOLLAR,EQ,13-07-2017,"2,261.20","2,270.00","2,318.00","2,255.00","2,270.00","2,271.60","2,289.67","13,944","3,19,27,104.75",850,"9,288",66.61
DOLLAR,EQ,14-07-2017,"2,271.60","2,310.00","2,310.00","2,232.00","2,287.90","2,255.40","2,262.79","10,125","2,29,10,780.50",839,"7,053",69.66
DOLLAR,EQ,17-07-2017,"2,255.40","2,299.90","2,300.00","2,250.00","2,260.50","2,260.80","2,267.57","5,434","1,23,21,986.85",744,"4,059",74.70
DOLLAR,EQ,18-07-2017,"2,260.80","2,260.05","2,288.70","2,222.00","2,222.00","2,229.90","2,253.41","2,249","50,67,913.80",365,"1,746",77.63
DOLLAR,EQ,19-07-2017,"2,229.90","2,222.50","2,255.00","2,218.00","2,255.00","2,229.60","2,228.49","2,055","45,79,545.75",628,"1,401",68.18
DOLLAR,EQ,20-07-2017,"2,229.60","2,236.05","2,250.00","2,201.00","2,201.00","2,207.00","2,214.43","2,701","59,81,168.10",327,"2,095",77.56
DOLLAR,EQ,21-07-2017,"2,207.00","2,211.05","2,250.00","2,120.00","2,122.00","2,144.50","2,184.90","4,958","1,08,32,717.15",720,"3,525",71.10
DOLLAR,EQ,24-07-2017,"2,144.50","2,147.00","2,147.00","2,105.15","2,138.00","2,125.20","2,126.88","4,404","93,66,791.95",554,"3,444",78.20
DOLLAR,EQ,25-07-2017,"2,125.20","2,100.00","2,182.00","2,040.00","2,130.00","2,101.20","2,079.28","6,814","1,41,68,212.85","1,176","4,727",69.37
DOLLAR,EQ,26-07-2017,"2,101.20","2,058.00","2,158.90","2,058.00","2,101.00","2,103.60","2,126.82","5,196","1,10,50,975.50",627,"3,244",62.43
DOLLAR,EQ,27-07-2017,"2,103.60","2,108.40","2,126.00","2,075.00","2,100.00","2,093.80","2,101.70","1,887","39,65,899.60",329,"1,567",83.04
DOLLAR,EQ,28-07-2017,"2,093.80","2,099.95","2,136.70","2,063.30","2,092.00","2,086.85","2,098.72","1,406","29,50,799.70",268,972,69.13
DOLLAR,EQ,31-07-2017,"2,086.85","2,075.00","2,119.80","2,065.00","2,100.00","2,098.10","2,089.25","2,743","57,30,823.45",319,"2,515",91.69
DOLLAR,EQ,01-08-2017,"2,098.10","2,047.00","2,150.00","2,047.00","2,132.00","2,121.15","2,112.91","4,107","86,77,718.80",382,"3,397",82.71
DOLLAR,EQ,02-08-2017,"2,121.15","2,146.90","2,150.00","2,090.10","2,121.00","2,114.05","2,121.44","1,228","26,05,127.05",222,"1,009",82.17
DOLLAR,EQ,03-08-2017,"2,114.05","2,072.25","2,108.00","2,070.00","2,097.95","2,080.55","2,088.66","1,389","29,01,150.55",226,"1,084",78.04
DOLLAR,EQ,04-08-2017,"2,080.55","2,080.00","2,137.00","2,070.00","2,135.00","2,119.30","2,109.44","2,195","46,30,212.50",478,"1,402",63.87
DOLLAR,EQ,07-08-2017,"2,119.30","2,130.00","2,227.00","2,087.80","2,200.00","2,177.20","2,148.12","5,728","1,23,04,408.50",793,"4,056",70.81
DOLLAR,EQ,08-08-2017,"2,177.20","2,225.00","2,225.00","2,106.00","2,210.20","2,190.05","2,185.18","16,028","3,50,24,071.80",512,"15,001",93.59
