SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
DYNATECH,BE,09-10-2012,0.95,4.2,4.2,4.0,4.0,4.0,4.05,"11,097","44,888.00",29,-,-
DYNATECH,BE,10-10-2012,4.0,3.8,3.8,3.8,3.8,3.8,3.8,"6,046","22,974.80",7,-,-
DYNATECH,BE,11-10-2012,3.8,3.65,3.65,3.65,3.65,3.65,3.65,"9,505","34,693.25",11,-,-
DYNATECH,BE,12-10-2012,3.65,3.5,3.5,3.5,3.5,3.5,3.5,"4,605","16,117.50",11,-,-
DYNATECH,BE,16-10-2012,3.5,3.35,3.35,3.35,3.35,3.35,3.35,"1,207","4,043.45",5,-,-
DYNATECH,BE,17-10-2012,3.35,3.2,3.2,3.2,3.2,3.2,3.2,615,"1,968.00",4,-,-
DYNATECH,BE,18-10-2012,3.2,3.05,3.05,3.05,3.05,3.05,3.05,"1,005","3,065.25",2,-,-
DYNATECH,BE,22-10-2012,3.05,2.9,2.9,2.9,2.9,2.9,2.9,"1,260","3,654.00",10,-,-
DYNATECH,EQ,23-10-2012,2.9,2.35,2.35,2.35,2.35,2.35,2.35,"4,942","11,613.70",17,"4,930",99.76
DYNATECH,EQ,25-10-2012,2.35,1.9,1.9,1.9,1.9,1.9,1.9,"14,886","28,283.40",27,"14,886",100.00
DYNATECH,EQ,26-10-2012,1.9,1.75,2.05,1.75,2.05,2.05,1.79,"6,25,820","11,20,305.00",337,"5,69,706",91.03
DYNATECH,EQ,29-10-2012,2.05,1.85,2.25,1.85,2.25,2.25,2.17,"80,586","1,74,586.30",75,"65,386",81.14
DYNATECH,EQ,30-10-2012,2.25,2.25,2.45,2.1,2.45,2.4,2.38,"92,883","2,21,257.25",92,"73,872",79.53
DYNATECH,EQ,31-10-2012,2.4,2.45,2.5,2.3,2.5,2.5,2.42,"89,613","2,16,796.10",66,"68,817",76.79
DYNATECH,EQ,01-11-2012,2.5,2.45,2.5,2.4,2.45,2.45,2.45,"7,989","19,570.85",23,"5,944",74.40
DYNATECH,EQ,02-11-2012,2.45,2.45,2.55,2.4,2.5,2.5,2.47,"29,342","72,471.80",45,"25,182",85.82
DYNATECH,EQ,05-11-2012,2.5,2.6,2.6,2.45,2.6,2.55,2.56,"21,739","55,604.40",46,"20,259",93.19
DYNATECH,EQ,06-11-2012,2.55,2.6,2.6,2.45,2.45,2.45,2.46,"1,65,844","4,08,194.80",58,"1,43,065",86.26
