SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
IBREALEST,EQ,23-03-2007,407.0,408.0,419.0,325.6,325.6,325.6,352.02,"1,80,12,635","6,34,07,22,852.45",-,"59,70,297",33.15
IBREALEST,EQ,26-03-2007,325.6,319.0,328.8,294.0,297.0,297.2,305.05,"1,28,65,984","3,92,47,26,085.85",-,"34,62,830",26.91
IBREALEST,EQ,28-03-2007,297.2,268.35,318.9,242.1,291.0,293.25,285.01,"2,62,57,544","7,48,37,22,937.45",-,"32,81,973",12.5
IBREALEST,EQ,29-03-2007,293.25,297.0,322.7,295.15,315.5,310.4,310.41,"1,05,81,877","3,28,47,69,318.10",-,"19,61,694",18.54
IBREALEST,EQ,30-03-2007,310.4,319.6,323.8,295.0,296.0,298.65,308.25,"71,83,310","2,21,42,88,722.70",-,"15,19,328",21.15
IBREALEST,EQ,02-04-2007,298.65,289.0,289.0,266.1,273.8,275.2,277.61,"56,38,648","1,56,53,66,617.25",-,"12,80,197",22.7
IBREALEST,EQ,03-04-2007,275.2,279.0,287.0,270.0,274.0,272.1,275.39,"29,60,495","81,52,84,698.10",-,"3,44,598",11.64
IBREALEST,EQ,04-04-2007,272.1,279.0,281.8,254.0,256.65,257.7,264.66,"51,63,082","1,36,64,39,787.55",-,"13,55,645",26.26
IBREALEST,EQ,05-04-2007,257.7,260.0,277.3,250.25,260.05,261.05,264.84,"89,05,584","2,35,85,76,896.20",-,"22,09,843",24.81
IBREALEST,EQ,09-04-2007,261.05,269.9,280.85,267.3,275.5,273.7,273.31,"51,73,002","1,41,38,18,175.45",-,"17,13,959",33.13
IBREALEST,EQ,10-04-2007,273.7,277.25,287.35,272.1,279.3,279.8,281.26,"98,40,919","2,76,78,11,126.20",-,"28,46,459",28.92
IBREALEST,EQ,11-04-2007,279.8,280.1,310.0,280.1,295.0,294.85,298.62,"1,00,81,390","3,01,05,03,632.95",-,"28,77,577",28.54
IBREALEST,EQ,12-04-2007,294.85,295.0,302.0,286.3,287.5,287.9,294.12,"68,47,146","2,01,39,08,587.35",-,"19,54,695",28.55
IBREALEST,EQ,13-04-2007,287.9,289.9,301.6,289.9,296.3,294.85,295.18,"32,85,166","96,97,24,771.90",-,"11,77,236",35.83
IBREALEST,EQ,16-04-2007,294.85,298.95,311.0,298.15,301.95,302.45,304.77,"38,57,582","1,17,56,94,413.10",-,"8,08,885",20.97
IBREALEST,EQ,17-04-2007,302.45,305.0,306.8,294.65,296.0,296.15,301.11,"32,17,086","96,86,93,056.50",-,"8,93,609",27.78
IBREALEST,EQ,18-04-2007,296.15,309.0,309.0,283.5,284.5,285.25,290.38,"21,10,929","61,29,63,005.55",-,"7,70,565",36.5
IBREALEST,EQ,19-04-2007,285.25,280.0,289.25,272.25,288.25,286.3,283.54,"21,94,257","62,21,64,565.05",-,"5,30,364",24.17
IBREALEST,EQ,20-04-2007,286.3,290.95,306.5,290.95,303.85,303.25,300.64,"49,93,819","1,50,13,61,483.40",-,"17,40,074",34.84
IBREALEST,EQ,23-04-2007,303.25,307.0,315.75,302.1,302.9,303.55,309.44,"46,64,480","1,44,33,99,006.05",-,"12,51,716",26.84
IBREALEST,EQ,24-04-2007,303.55,301.0,331.8,301.0,325.5,323.15,321.94,"1,04,31,131","3,35,81,96,351.15",-,"26,08,262",25.0
IBREALEST,EQ,25-04-2007,323.15,327.0,360.7,325.15,357.6,355.8,345.31,"85,89,646","2,96,60,94,521.65",-,"23,43,735",27.29
IBREALEST,EQ,26-04-2007,355.8,360.0,367.7,331.1,355.25,357.15,350.58,"99,35,572","3,48,32,03,915.35",-,"22,02,956",22.17
IBREALEST,EQ,27-04-2007,357.15,353.8,358.45,336.65,339.0,340.8,348.96,"48,31,660","1,68,60,75,236.05",-,"8,35,258",17.29
IBREALEST,EQ,30-04-2007,340.8,336.9,344.2,332.15,341.6,340.85,338.92,"30,13,587","1,02,13,57,942.75",-,"6,47,339",21.48
IBREALEST,EQ,03-05-2007,340.85,346.1,351.7,339.55,342.0,341.85,345.26,"22,84,198","78,86,51,329.90",-,"6,98,851",30.6
IBREALEST,EQ,04-05-2007,341.85,344.35,366.6,339.5,358.8,359.35,354.24,"65,21,521","2,31,02,02,247.85",-,"14,70,049",22.54
IBREALEST,EQ,07-05-2007,359.35,364.05,379.0,363.55,364.6,365.55,372.2,"76,34,548","2,84,15,63,596.40",-,"19,15,663",25.09
IBREALEST,EQ,08-05-2007,365.55,369.7,385.0,348.15,352.0,351.4,368.3,"56,77,427","2,09,09,82,125.85",-,"14,32,287",25.23
IBREALEST,EQ,09-05-2007,351.4,355.5,367.0,354.5,362.7,360.1,359.14,"42,75,592","1,53,55,44,732.45",-,"11,23,784",26.28
IBREALEST,EQ,10-05-2007,360.1,369.45,381.95,362.15,365.5,367.35,374.26,"71,53,353","2,67,72,28,193.80",-,"18,54,392",25.92
IBREALEST,EQ,11-05-2007,367.35,342.0,369.9,342.0,368.3,365.0,363.72,"27,35,135","99,48,17,795.20",-,"4,80,958",17.58
IBREALEST,EQ,14-05-2007,365.0,372.0,393.95,370.1,392.0,390.7,383.07,"55,09,103","2,11,03,94,641.70",-,"14,53,851",26.39
IBREALEST,EQ,15-05-2007,390.7,395.9,399.0,385.1,387.5,388.7,391.88,"54,85,151","2,14,95,09,733.65",-,"12,49,124",22.77
IBREALEST,EQ,16-05-2007,388.7,385.0,394.8,382.1,390.9,392.05,389.69,"31,25,296","1,21,78,82,683.90",-,"7,63,007",24.41
IBREALEST,EQ,17-05-2007,392.05,396.45,403.9,386.1,387.45,389.1,395.32,"29,86,744","1,18,07,10,363.95",-,"8,58,073",28.73
IBREALEST,EQ,18-05-2007,389.1,388.05,389.0,376.2,384.0,384.8,383.32,"25,60,643","98,15,43,871.05",-,"6,25,572",24.43
IBREALEST,EQ,21-05-2007,384.8,386.0,393.5,380.0,387.1,386.85,388.78,"17,56,085","68,27,22,279.25",-,"5,39,293",30.71
IBREALEST,EQ,22-05-2007,386.85,388.05,391.0,377.35,378.8,379.1,382.08,"13,69,733","52,33,52,520.80",-,"4,88,755",35.68
IBREALEST,EQ,23-05-2007,379.1,382.4,388.9,367.1,369.95,369.15,378.34,"22,80,885","86,29,58,269.50",-,"4,51,581",19.8
IBREALEST,EQ,24-05-2007,369.15,370.0,373.8,363.55,369.5,368.0,369.42,"13,36,922","49,38,88,522.45",-,"3,39,178",25.37
IBREALEST,EQ,25-05-2007,368.0,365.0,370.75,358.0,364.5,364.8,366.51,"11,89,881","43,61,00,659.60",-,"2,09,473",17.6
IBREALEST,EQ,28-05-2007,364.8,368.45,379.0,367.15,376.8,373.9,373.95,"16,72,495","62,54,37,648.20",-,"5,95,593",35.61
IBREALEST,EQ,29-05-2007,373.9,376.1,389.3,374.7,384.5,384.5,383.46,"24,97,064","95,75,31,557.70",-,"6,36,267",25.48
IBREALEST,EQ,30-05-2007,384.5,383.1,392.5,375.1,378.0,377.75,385.64,"20,10,047","77,51,58,554.55",-,"4,72,846",23.52
IBREALEST,EQ,31-05-2007,377.75,381.0,387.4,378.65,386.1,384.45,383.78,"13,98,635","53,67,63,948.65",-,"5,68,163",40.62
IBREALEST,EQ,01-06-2007,384.45,388.1,420.0,386.1,401.5,402.2,406.31,"92,27,101","3,74,90,30,145.90",-,"26,19,151",28.39
IBREALEST,EQ,04-06-2007,402.2,408.0,415.7,395.6,397.7,400.45,405.62,"47,24,622","1,91,64,04,479.90",-,"12,12,667",25.67
IBREALEST,EQ,05-06-2007,400.45,400.0,403.9,387.15,391.8,391.35,395.83,"28,97,778","1,14,70,25,048.70",-,"10,58,532",36.53
IBREALEST,EQ,06-06-2007,391.35,392.5,398.5,375.7,376.7,378.1,388.44,"29,75,657","1,15,58,72,116.55",-,"8,20,544",27.58
IBREALEST,EQ,07-06-2007,378.1,373.8,391.0,372.15,387.55,384.4,383.63,"24,24,055","92,99,49,257.55",-,"5,69,827",23.51
IBREALEST,EQ,08-06-2007,384.4,380.1,383.0,373.1,375.5,376.35,378.47,"24,27,616","91,87,82,231.20",-,"6,36,136",26.2
IBREALEST,EQ,11-06-2007,376.35,384.1,386.0,368.05,369.25,370.2,378.34,"21,14,241","79,99,09,503.30",-,"7,45,450",35.26
IBREALEST,EQ,12-06-2007,370.2,371.4,371.4,340.0,347.9,347.7,350.75,"32,84,669","1,15,20,99,839.00",-,"9,11,689",27.76
IBREALEST,EQ,13-06-2007,347.7,350.0,369.9,341.2,350.8,350.55,357.59,"45,76,725","1,63,65,89,787.30",-,"13,38,314",29.24
IBREALEST,EQ,14-06-2007,350.55,357.0,364.9,349.55,360.0,358.35,357.01,"46,24,407","1,65,09,52,145.50",-,"17,66,011",38.19
IBREALEST,EQ,15-06-2007,358.35,365.1,386.7,363.6,370.7,368.2,376.96,"60,68,121","2,28,74,24,484.65",-,"20,53,014",33.83
IBREALEST,EQ,18-06-2007,368.2,373.7,379.9,370.0,377.75,374.8,375.22,"32,10,853","1,20,47,69,730.90",-,"9,28,378",28.91
IBREALEST,EQ,19-06-2007,374.8,374.0,389.8,371.0,388.9,387.45,380.62,"23,89,385","90,94,40,735.45",-,"7,98,185",33.41
IBREALEST,EQ,20-06-2007,387.45,392.3,405.65,385.9,403.55,403.8,397.59,"40,61,034","1,61,46,34,413.75",-,"15,25,088",37.55
IBREALEST,EQ,21-06-2007,403.8,408.0,411.05,393.3,402.75,401.3,401.91,"24,84,385","99,84,90,545.95",-,"7,88,982",31.76
IBREALEST,EQ,22-06-2007,401.3,403.5,411.0,397.5,408.85,408.95,405.17,"37,34,506","1,51,31,20,423.80",-,"12,27,437",32.87
IBREALEST,EQ,25-06-2007,408.95,409.0,428.6,405.25,425.35,426.25,420.56,"59,03,199","2,48,26,63,343.00",-,"18,12,349",30.7
IBREALEST,EQ,26-06-2007,426.25,429.0,440.0,420.05,434.55,436.95,432.71,"49,67,093","2,14,93,30,234.90",-,"18,80,729",37.86
IBREALEST,EQ,27-06-2007,436.95,436.95,445.0,420.1,438.4,437.6,434.11,"40,52,564","1,75,92,62,703.70",-,"13,26,417",32.73
IBREALEST,EQ,28-06-2007,437.6,442.8,445.0,430.0,432.5,432.65,437.78,"24,02,072","1,05,15,80,616.65",-,"8,38,420",34.9
IBREALEST,EQ,29-06-2007,432.65,435.0,438.0,412.4,416.1,418.3,428.12,"41,10,555","1,75,98,23,074.25",-,"20,98,245",51.05
IBREALEST,EQ,02-07-2007,418.3,419.1,431.0,415.3,416.05,417.45,420.53,"35,86,851","1,50,83,62,309.30",-,"17,40,876",48.53
IBREALEST,EQ,03-07-2007,417.45,419.0,444.0,419.0,433.0,436.0,434.73,"62,49,654","2,71,68,91,226.00",-,"31,66,579",50.67
IBREALEST,EQ,04-07-2007,436.0,437.0,455.75,428.0,454.0,452.0,444.44,"60,67,591","2,69,66,69,711.10",-,"28,06,322",46.25
IBREALEST,EQ,05-07-2007,452.0,455.0,459.9,415.0,454.9,451.2,442.82,"69,70,306","3,08,65,86,200.50",-,"21,46,290",30.79
IBREALEST,EQ,06-07-2007,451.2,450.0,464.0,440.0,452.3,453.15,453.89,"28,11,947","1,27,63,11,100.50",-,"7,94,768",28.26
IBREALEST,EQ,09-07-2007,453.15,450.0,457.85,444.1,451.85,449.85,450.1,"20,20,505","90,94,32,976.50",-,"8,65,929",42.86
IBREALEST,EQ,10-07-2007,449.85,450.0,472.9,442.0,471.6,468.45,464.18,"31,72,272","1,47,24,94,698.10",-,"8,91,157",28.09
IBREALEST,EQ,11-07-2007,468.45,472.0,509.65,461.25,508.0,501.7,492.45,"50,94,251","2,50,86,81,818.55",-,"17,79,108",34.92
IBREALEST,EQ,12-07-2007,501.7,510.0,524.0,500.0,503.15,504.25,512.97,"33,55,117","1,72,10,60,133.85",-,"14,80,175",44.12
IBREALEST,EQ,13-07-2007,504.25,509.1,519.3,505.35,513.0,511.4,510.17,"18,03,654","92,01,65,973.20",-,"5,87,403",32.57
