SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
ENERGY,EQ,13-11-2025,36.07,35.99,40.0,35.99,36.28,36.23,36.64,"67,624","24,77,790.77",142,"42,603",63.0
ENERGY,EQ,14-11-2025,36.23,37.37,37.37,36.11,36.32,36.19,36.3,7915,2.87,111, 6237,78.8
ENERGY,EQ,17-11-2025,36.19,36.43,36.5,36.33,36.5,36.48,36.46,15048,5.49,108, 13073,86.88
ENERGY,EQ,18-11-2025,36.48,36.59,36.59,36.15,36.25,36.25,36.33,57201,20.78,85, 38275,66.91
ENERGY,EQ,19-11-2025,36.25,36.23,36.26,36.05,36.15,36.15,36.17,999539,361.55,156, 988466,98.89
ENERGY,EQ,20-11-2025,36.15,36.02,36.4,36.02,36.19,36.22,36.34,8981,3.26,85, 7872,87.65
ENERGY,EQ,21-11-2025,36.22,36.17,36.2,35.84,35.88,35.88,36.03,368543,132.78,137, 365158,99.08
ENERGY,EQ,24-11-2025,35.88,35.95,35.95,35.45,35.49,35.49,35.68,10453,3.73,137, 7856,75.16
ENERGY,EQ,25-11-2025,35.49,35.49,35.55,35.32,35.4,35.39,35.44,6213,2.2,86, 5644,90.84
ENERGY,EQ,26-11-2025,35.39,35.49,36.03,35.49,36.02,36.01,35.96,18911,6.8,51, 16491,87.2
ENERGY,EQ,27-11-2025,36.01,36.11,36.11,35.69,35.82,35.79,35.77,789478,282.43,139, 780052,98.81
ENERGY,EQ,28-11-2025,35.79,35.67,35.73,35.57,35.61,35.6,35.62,14286,5.09,98, 14005,98.03
ENERGY,EQ,01-12-2025,35.6,36.49,36.49,35.5,35.59,35.6,35.63,28704,10.23,126, 23426,81.61
ENERGY,EQ,02-12-2025,35.6,35.78,35.78,35.39,35.53,35.41,35.52,17441,6.2,151, 12297,70.51
ENERGY,EQ,03-12-2025,35.41,35.46,35.51,35.07,35.16,35.17,35.2,14660,5.16,132, 14431,98.44
ENERGY,EQ,04-12-2025,35.17,35.09,35.25,34.96,35.0,35.02,35.07,12507,4.39,180, 8745,69.92
ENERGY,EQ,05-12-2025,35.02,35.0,36.0,34.86,35.05,34.96,34.97,93791,32.8,155, 86023,91.72
ENERGY,EQ,08-12-2025,34.96,35.66,35.66,34.36,34.44,34.48,34.68,55722,19.32,242, 25764,46.24
ENERGY,EQ,09-12-2025,34.48,35.34,35.34,34.03,34.71,34.69,34.72,313181,108.74,121, 306378,97.83
ENERGY,EQ,10-12-2025,34.69,34.79,34.96,34.59,34.62,34.66,34.85,19584,6.83,105, 18097,92.41
ENERGY,EQ,11-12-2025,34.66,35.33,35.33,34.48,34.77,34.75,34.63,13607,4.71,91, 9681,71.15
ENERGY,EQ,12-12-2025,34.75,35.45,35.45,34.89,35.08,35.05,35.02,28559,10.0,112, 24270,84.98
ENERGY,EQ,15-12-2025,35.05,35.22,35.22,34.75,35.05,35.07,35.03,71927,25.2,143, 67765,94.21
ENERGY,EQ,16-12-2025,35.07,35.94,35.94,34.7,34.77,34.82,34.79,31842,11.08,149, 29130,91.48
ENERGY,EQ,17-12-2025,34.82,34.83,34.93,34.7,34.77,34.78,34.79,12602,4.38,99, 11798,93.62
ENERGY,EQ,18-12-2025,34.78,34.68,34.68,34.35,34.51,34.51,34.5,95682,33.01,224, 75338,78.74
ENERGY,EQ,19-12-2025,34.51,34.58,34.86,34.5,34.84,34.83,34.72,172078,59.75,128, 170573,99.13
ENERGY,EQ,22-12-2025,34.83,35.71,36.5,34.91,35.09,35.12,35.08,91095,31.95,175, 79721,87.51
ENERGY,EQ,23-12-2025,35.12,35.13,35.35,35.03,35.2,35.25,35.28,84455,29.79,176, 78576,93.04
ENERGY,EQ,24-12-2025,35.25,35.42,35.5,35.11,35.11,35.13,35.33,275283,97.26,206, 222091,80.68
ENERGY,EQ,26-12-2025,35.13,35.82,35.82,35.02,35.03,35.04,35.24,5120919,1804.5,376, 5061733,98.84
