SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
ENIL,EQ,15-02-2006,162.0,240.0,287.65,240.0,264.95,264.7,266.99,"2,32,49,721","6,20,73,70,388.45",-,"38,69,161",16.64
ENIL,EQ,16-02-2006,264.7,269.0,273.8,255.6,259.0,258.4,260.93,"46,01,763","1,20,07,58,484.55",-,"9,37,296",20.37
ENIL,EQ,17-02-2006,258.4,261.0,262.4,241.15,243.25,243.2,251.21,"22,58,499","56,73,59,116.90",-,"4,67,305",20.69
ENIL,EQ,20-02-2006,243.2,243.8,254.35,225.6,248.9,247.05,242.23,"39,64,149","96,02,26,176.85",-,"4,70,284",11.86
ENIL,EQ,21-02-2006,247.05,249.5,251.6,238.5,239.5,239.75,245.96,"14,03,291","34,51,53,718.60",-,"1,50,852",10.75
ENIL,EQ,22-02-2006,239.75,240.25,241.4,231.5,236.7,237.1,236.45,"17,32,499","40,96,57,100.95",-,"3,58,199",20.68
ENIL,EQ,23-02-2006,237.1,236.0,246.4,232.5,240.15,239.1,241.58,"12,44,219","30,05,74,341.70",-,"2,44,560",19.66
ENIL,EQ,24-02-2006,239.1,241.0,244.8,237.5,240.45,240.6,240.6,"6,14,549","14,78,59,348.95",-,"1,70,565",27.75
ENIL,EQ,27-02-2006,240.6,242.95,250.1,238.0,243.0,246.5,245.86,"14,94,971","36,75,49,410.65",-,"2,52,656",16.9
ENIL,EQ,28-02-2006,246.5,245.1,245.1,230.55,234.5,234.6,236.26,"3,87,700","9,15,98,743.25",-,"1,29,611",33.43
ENIL,EQ,01-03-2006,234.6,234.7,235.0,223.8,224.0,226.15,229.48,"3,55,322","8,15,39,324.35",-,"1,47,014",41.37
ENIL,EQ,02-03-2006,226.15,228.0,235.8,224.0,225.0,226.0,229.37,"4,47,037","10,25,35,946.90",-,"89,661",20.06
ENIL,EQ,03-03-2006,226.0,226.0,231.85,221.5,222.0,222.55,226.46,"2,59,789","5,88,31,284.35",-,"90,800",34.95
ENIL,EQ,06-03-2006,222.55,223.0,224.75,220.25,222.3,221.1,221.82,"1,30,384","2,89,21,882.15",-,"55,612",42.65
ENIL,EQ,07-03-2006,221.1,223.0,228.45,220.5,224.05,224.7,223.82,"1,33,985","2,99,88,092.30",-,"51,342",38.32
ENIL,EQ,08-03-2006,224.7,224.0,231.0,222.25,223.7,224.0,227.19,"3,09,996","7,04,28,302.00",-,"98,511",31.78
ENIL,EQ,09-03-2006,224.0,225.0,225.7,221.05,222.6,222.35,222.72,"76,977","1,71,44,000.40",-,"39,374",51.15
ENIL,EQ,10-03-2006,222.35,223.0,236.5,223.0,234.1,233.55,231.1,"3,20,617","7,40,94,662.90",-,"1,84,844",57.65
ENIL,EQ,13-03-2006,233.55,234.55,235.95,225.0,227.1,226.6,229.77,"91,002","2,09,09,385.00",-,"36,402",40.0
ENIL,EQ,14-03-2006,226.6,228.0,228.0,222.0,222.55,222.5,223.71,"46,793","1,04,67,949.70",-,"23,739",50.73
ENIL,EQ,16-03-2006,222.5,223.8,233.5,218.0,225.0,224.9,225.39,"1,67,186","3,76,81,574.70",-,"85,162",50.94
ENIL,EQ,17-03-2006,224.9,225.5,228.0,223.5,224.35,224.35,224.35,"1,23,600","2,77,30,149.50",-,"98,251",79.49
ENIL,EQ,20-03-2006,224.35,227.0,238.0,224.1,234.2,234.35,234.01,"4,29,353","10,04,70,920.90",-,"1,02,344",23.84
ENIL,EQ,21-03-2006,234.35,238.25,239.4,229.1,235.05,233.95,234.91,"2,26,716","5,32,57,378.25",-,"1,06,251",46.87
ENIL,EQ,22-03-2006,233.95,234.1,237.0,221.55,225.0,224.1,228.92,"2,38,845","5,46,75,426.25",-,"1,43,568",60.11
ENIL,EQ,23-03-2006,224.1,226.2,233.7,226.2,231.7,231.4,230.71,"85,456","1,97,15,663.70",-,"41,993",49.14
ENIL,EQ,24-03-2006,231.4,232.0,234.6,227.05,229.5,227.95,230.17,"45,398","1,04,49,172.20",-,"24,234",53.38
ENIL,EQ,27-03-2006,227.95,228.15,232.0,225.5,229.5,227.85,228.2,"79,314","1,80,99,314.00",-,"47,722",60.17
ENIL,EQ,28-03-2006,227.85,227.0,230.0,221.0,223.0,222.45,224.12,"91,673","2,05,45,670.40",-,"62,738",68.44
ENIL,EQ,29-03-2006,222.45,223.5,226.9,222.0,222.1,223.5,224.13,"55,027","1,23,33,038.85",-,"37,801",68.7
ENIL,EQ,30-03-2006,223.5,225.95,225.95,220.0,222.7,224.1,224.0,"45,730","1,02,43,372.25",-,"27,795",60.78
ENIL,EQ,31-03-2006,224.1,223.5,225.5,218.0,218.9,219.5,220.93,"76,070","1,68,06,304.30",-,"58,390",76.76
ENIL,EQ,03-04-2006,219.5,221.5,231.8,220.0,230.0,230.1,227.01,"85,152","1,93,30,432.10",-,"54,517",64.02
ENIL,EQ,04-04-2006,230.1,235.0,239.5,233.2,235.0,235.6,235.8,"1,77,502","4,18,54,691.25",-,"1,00,920",56.86
ENIL,EQ,05-04-2006,235.6,237.0,246.0,237.0,239.85,239.65,242.42,"1,85,682","4,50,12,881.95",-,"57,344",30.88
ENIL,EQ,07-04-2006,239.65,236.95,248.9,227.0,229.0,228.9,234.34,"60,826","1,42,53,756.45",-,"32,864",54.03
ENIL,EQ,10-04-2006,228.9,228.0,232.0,225.15,226.0,226.35,228.86,"38,277","87,60,103.15",-,"12,585",32.88
ENIL,EQ,12-04-2006,226.35,225.0,233.4,220.6,220.85,221.4,226.64,"42,866","97,15,125.60",-,"23,817",55.56
ENIL,EQ,13-04-2006,221.4,222.0,223.1,197.0,214.0,213.2,211.91,"87,651","1,85,73,725.60",-,"41,891",47.79
ENIL,EQ,17-04-2006,213.2,220.0,220.0,212.25,213.55,213.7,216.77,"36,028","78,09,718.75",-,"23,983",66.57
ENIL,EQ,18-04-2006,213.7,215.0,222.0,214.0,222.0,217.9,216.66,"40,870","88,54,728.00",-,"24,443",59.81
