SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
ENVIRO,ST,24-09-2024,56.0,106.4,111.7,106.4,111.7,111.7,109.54,"9,76,000","10,69,09,800.00",377,"9,76,000",100.0
ENVIRO,ST,25-09-2024,111.7,117.25,117.25,117.25,117.25,117.25,117.25,"1,22,000","1,43,04,500.00",51,"1,22,000",100.0
ENVIRO,ST,26-09-2024,117.25,123.1,123.1,115.0,123.1,123.1,122.6,"21,18,000","25,96,59,000.00",528,"19,76,000",93.3
ENVIRO,ST,27-09-2024,123.1,128.0,128.0,116.95,120.75,121.0,121.68,"8,84,000","10,75,67,100.00",307,"8,24,000",93.21
ENVIRO,ST,30-09-2024,121.0,120.0,122.0,114.95,118.0,117.95,116.82,"3,10,000","3,62,12,700.00",131,"2,98,000",96.13
ENVIRO,ST,01-10-2024,117.95,117.95,123.8,112.05,123.8,123.65,120.13,"4,78,000","5,74,23,200.00",139,"4,44,000",92.89
ENVIRO,ST,03-10-2024,123.65,122.7,129.8,117.9,129.8,129.8,128.58,"2,60,000","3,34,30,300.00",111,"2,50,000",96.15
ENVIRO,ST,04-10-2024,129.8,132.0,136.25,127.0,136.25,136.25,133.62,"1,46,000","1,95,08,200.00",65,"1,20,000",82.19
ENVIRO,ST,07-10-2024,136.25,143.05,143.05,129.45,138.0,141.3,140.14,"3,96,000","5,54,95,600.00",135,"3,08,000",77.78
ENVIRO,ST,08-10-2024,141.3,134.25,141.95,134.25,136.0,135.0,135.16,"2,52,000","3,40,59,700.00",73,"2,30,000",91.27
ENVIRO,SM,09-10-2024,135.0,132.0,145.0,116.0,118.6,119.85,129.12,"6,44,000","8,31,55,800.00",283,"2,46,000",38.2
ENVIRO,SM,10-10-2024,119.85,122.95,123.4,112.0,116.2,116.95,118.53,"3,54,000","4,19,58,500.00",159,"1,84,000",51.98
ENVIRO,SM,11-10-2024,116.95,115.1,120.0,115.05,115.05,115.95,118.28,"1,48,000","1,75,05,300.00",65,"88,000",59.46
ENVIRO,SM,14-10-2024,115.95,116.8,118.0,114.0,114.25,115.65,115.66,"86,000","99,46,800.00",41,"52,000",60.47
ENVIRO,SM,15-10-2024,115.65,114.0,118.5,114.0,114.1,115.55,115.35,"86,000","99,20,000.00",40,"58,000",67.44
ENVIRO,SM,16-10-2024,115.55,115.0,115.55,113.0,113.25,114.15,114.03,"68,000","77,53,700.00",31,"56,000",82.35
ENVIRO,SM,17-10-2024,114.15,113.0,113.0,108.85,108.95,109.35,110.41,"76,000","83,91,300.00",37,"60,000",78.95
ENVIRO,SM,18-10-2024,109.35,108.25,109.35,99.15,102.7,102.15,104.06,"3,20,000","3,32,98,600.00",146,"1,96,000",61.25
ENVIRO,SM,21-10-2024,102.15,102.5,102.5,90.0,90.0,91.6,95.02,"2,12,000","2,01,44,300.00",98,"1,36,000",64.15
ENVIRO,SM,22-10-2024,91.6,89.05,98.0,89.05,98.0,97.65,94.14,"2,36,000","2,22,16,600.00",94,"1,66,000",70.34
ENVIRO,SM,23-10-2024,97.65,98.1,100.0,93.6,96.7,98.9,98.78,"7,14,000","7,05,30,000.00",99,"6,36,000",89.08
ENVIRO,SM,24-10-2024,98.9,102.0,103.0,95.0,95.05,95.35,97.45,"80,000","77,96,000.00",39,"46,000",57.5
ENVIRO,SM,25-10-2024,95.35,95.5,95.5,92.0,94.0,93.65,93.75,"32,000","29,99,900.00",16,"24,000",75.0
ENVIRO,SM,28-10-2024,93.65,93.65,103.5,90.0,90.0,91.2,94.25,"2,10,000","1,97,93,300.00",91,"1,26,000",60.0
ENVIRO,SM,29-10-2024,91.2,91.15,94.9,91.15,92.8,92.8,93.52,"40,000","37,40,700.00",19,"26,000",65.0
ENVIRO,SM,30-10-2024,92.8,96.85,100.0,95.65,98.4,98.2,98.25,"1,32,000","1,29,69,100.00",59,"84,000",63.64
ENVIRO,SM,31-10-2024,98.2,98.2,100.0,96.75,97.7,98.3,98.3,"1,60,000","1,57,28,300.00",53,"1,18,000",73.75
ENVIRO,SM,01-11-2024,98.3,97.25,102.0,97.25,101.0,100.75,100.7,"42,000","42,29,200.00",20,"32,000",76.19
ENVIRO,SM,04-11-2024,100.75,102.05,102.05,98.15,99.0,98.5,99.74,"96,000","95,75,000.00",44,"68,000",70.83
ENVIRO,SM,05-11-2024,98.5,94.0,96.8,89.4,94.7,94.4,92.81,"3,62,000","3,35,98,600.00",167,"1,90,000",52.49
ENVIRO,SM,06-11-2024,94.4,96.2,98.65,94.4,98.0,97.45,96.38,"1,68,000","1,61,92,400.00",79,"1,04,000",61.9
ENVIRO,SM,07-11-2024,97.45,96.35,100.0,96.35,99.0,99.15,99.36,"1,04,000","1,03,33,800.00",52,"70,000",67.31
ENVIRO,SM,08-11-2024,99.15,101.0,118.95,101.0,116.75,114.45,115.19,"7,84,000","9,03,07,700.00",335,"3,42,000",43.62
ENVIRO,SM,11-11-2024,114.45,115.0,126.8,108.0,121.05,121.5,121.21,"5,20,000","6,30,31,400.00",212,"2,72,000",52.31
ENVIRO,SM,12-11-2024,121.5,122.4,127.0,120.0,120.5,120.75,123.61,"2,36,000","2,91,71,300.00",105,"1,74,000",73.73
ENVIRO,SM,13-11-2024,120.75,118.0,119.9,113.05,113.25,113.95,116.5,"1,48,000","1,72,42,000.00",72,"1,00,000",67.57
ENVIRO,SM,14-11-2024,113.95,114.0,114.5,108.5,108.5,109.5,111.07,"48,000","53,31,400.00",23,"38,000",79.17
ENVIRO,SM,18-11-2024,109.5,109.5,113.45,105.1,110.0,110.0,108.63,"42,000","45,62,500.00",20,"30,000",71.43
ENVIRO,SM,19-11-2024,110.0,117.0,117.0,113.0,113.0,113.0,114.28,"80,000","91,42,200.00",38,"56,000",70.0
ENVIRO,SM,21-11-2024,113.0,114.8,117.0,112.35,116.0,115.3,115.22,"56,000","64,52,400.00",25,"42,000",75.0
ENVIRO,SM,22-11-2024,115.3,115.5,122.65,114.65,122.0,121.7,119.23,"1,12,000","1,33,54,100.00",51,"66,000",58.93
ENVIRO,SM,25-11-2024,121.7,122.7,125.0,117.4,117.5,118.55,121.29,"90,000","1,09,16,200.00",41,"56,000",62.22
ENVIRO,SM,26-11-2024,118.55,119.95,121.7,115.0,118.0,117.7,117.76,"72,000","84,78,600.00",35,"46,000",63.89
ENVIRO,SM,27-11-2024,117.7,118.2,127.0,118.1,119.55,119.15,122.97,"3,58,000","4,40,22,700.00",159,"1,80,000",50.28
ENVIRO,SM,28-11-2024,119.15,119.8,123.0,118.5,121.5,121.85,121.81,"2,06,000","2,50,93,500.00",94,"1,50,000",72.82
ENVIRO,SM,29-11-2024,121.85,127.4,127.4,117.0,117.0,117.35,121.67,"5,88,000","7,15,41,600.00",238,"2,62,000",44.56
ENVIRO,SM,02-12-2024,117.35,117.25,117.25,112.0,114.0,114.2,113.78,"1,12,000","1,27,42,900.00",49,"78,000",69.64
ENVIRO,SM,03-12-2024,114.2,114.0,123.0,114.0,122.05,122.1,120.38,"2,54,000","3,05,76,700.00",121,"1,36,000",53.54
ENVIRO,SM,04-12-2024,122.1,123.4,123.5,120.0,120.0,120.1,121.8,"1,90,000","2,31,42,400.00",55,"1,54,000",81.05
ENVIRO,SM,05-12-2024,120.1,121.55,123.4,121.25,122.0,122.1,122.55,"1,82,000","2,23,05,000.00",80,"1,22,000",67.03
ENVIRO,SM,06-12-2024,122.1,124.85,124.85,122.05,123.65,123.3,123.12,"3,16,000","3,89,06,500.00",79,"2,20,000",69.62
ENVIRO,SM,09-12-2024,123.3,124.0,147.95,123.0,145.0,144.55,142.13,"9,60,000","13,64,47,800.00",370,"4,18,000",43.54
ENVIRO,SM,10-12-2024,144.55,144.0,152.0,138.0,139.95,138.75,145.36,"3,16,000","4,59,34,200.00",154,"1,76,000",55.7
ENVIRO,SM,11-12-2024,138.75,145.0,145.0,135.6,138.0,138.35,139.54,"84,000","1,17,21,300.00",41,"58,000",69.05
ENVIRO,SM,12-12-2024,138.35,137.05,138.0,129.8,131.3,130.4,132.9,"1,70,000","2,25,92,800.00",82,"1,00,000",58.82
ENVIRO,SM,13-12-2024,130.4,130.7,136.0,124.5,136.0,133.8,131.25,"2,66,000","3,49,12,000.00",103,"1,58,000",59.4
ENVIRO,SM,16-12-2024,133.8,139.0,139.0,127.85,127.85,129.65,132.41,"1,56,000","2,06,55,400.00",74,"1,10,000",70.51
ENVIRO,SM,17-12-2024,129.65,130.0,130.0,126.35,127.65,127.95,128.55,"1,26,000","1,61,97,400.00",61,"86,000",68.25
ENVIRO,SM,18-12-2024,127.95,126.1,141.95,125.0,132.8,131.25,131.71,"3,08,000","4,05,66,100.00",148,"98,000",31.82
ENVIRO,SM,19-12-2024,131.25,130.2,145.0,127.05,144.8,142.45,136.49,"4,06,000","5,54,13,300.00",183,"2,26,000",55.67
ENVIRO,SM,20-12-2024,142.45,142.05,155.0,136.4,140.0,138.4,147.24,"4,36,000","6,41,98,400.00",196,"2,14,000",49.08
ENVIRO,SM,23-12-2024,138.4,142.0,142.8,132.0,133.0,132.5,136.21,"1,00,000","1,36,20,900.00",49,"56,000",56.0
ENVIRO,SM,24-12-2024,132.5,132.1,133.0,126.1,129.7,129.3,129.96,"3,00,000","3,89,87,400.00",118,"1,80,000",60.0
ENVIRO,SM,26-12-2024,129.3,130.6,130.6,126.0,126.0,126.4,127.82,"86,000","1,09,92,700.00",40,"60,000",69.77
ENVIRO,SM,27-12-2024,126.4,126.4,130.5,124.0,129.5,127.9,126.61,"1,10,000","1,39,27,000.00",50,"60,000",54.55
ENVIRO,SM,30-12-2024,127.9,129.1,129.1,120.95,121.5,121.4,122.97,"1,70,000","2,09,04,200.00",79,"1,22,000",71.76
ENVIRO,SM,31-12-2024,121.4,121.05,124.25,120.0,121.9,122.55,122.11,"1,40,000","1,70,95,200.00",52,"1,06,000",75.71
ENVIRO,SM,01-01-2025,122.55,122.75,128.4,122.75,124.05,124.5,126.32,"1,16,000","1,46,53,200.00",55,"62,000",53.45
ENVIRO,SM,02-01-2025,124.5,126.4,132.2,126.4,129.55,128.2,129.74,"1,60,000","2,07,58,400.00",75,"94,000",58.75
ENVIRO,SM,03-01-2025,128.2,127.1,129.0,125.0,127.0,127.9,126.78,"62,000","78,60,500.00",30,"46,000",74.19
ENVIRO,SM,06-01-2025,127.9,126.0,126.0,117.2,118.6,119.15,121.5,"1,06,000","1,28,79,200.00",50,"80,000",75.47
ENVIRO,SM,07-01-2025,119.15,120.0,122.0,118.0,119.8,119.4,119.19,"1,06,000","1,26,34,400.00",53,"70,000",66.04
ENVIRO,SM,08-01-2025,119.4,120.0,120.0,114.3,115.25,116.15,116.08,"1,08,000","1,25,36,100.00",53,"80,000",74.07
ENVIRO,SM,09-01-2025,116.15,118.65,118.65,112.5,113.0,113.2,114.59,"1,16,000","1,32,92,000.00",57,"96,000",82.76
ENVIRO,SM,10-01-2025,113.2,114.0,116.85,111.9,111.9,112.1,112.96,"80,000","90,36,400.00",39,"46,000",57.5
ENVIRO,SM,13-01-2025,112.1,110.0,110.1,106.0,108.8,108.8,108.19,"52,000","56,25,900.00",26,"44,000",84.62
ENVIRO,SM,14-01-2025,108.8,112.0,127.0,108.0,119.5,121.35,116.91,"78,000","91,18,600.00",36,"64,000",82.05
ENVIRO,SM,15-01-2025,121.35,123.0,127.0,122.9,123.0,123.0,125.01,"1,26,000","1,57,51,500.00",56,"82,000",65.08
ENVIRO,SM,16-01-2025,123.0,123.5,127.0,120.5,121.2,121.05,124.94,"80,000","99,95,300.00",33,"46,000",57.5
ENVIRO,SM,17-01-2025,121.05,122.0,123.0,119.55,123.0,122.65,122.1,"66,000","80,58,300.00",29,"48,000",72.73
ENVIRO,SM,20-01-2025,122.65,123.5,124.0,121.9,123.5,122.85,123.19,"1,10,000","1,35,50,800.00",50,"76,000",69.09
ENVIRO,SM,21-01-2025,122.85,122.4,122.4,116.25,118.95,118.35,119.13,"42,000","50,03,500.00",20,"30,000",71.43
