SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
ESCORTS,EQ,01-01-1996,85.00,85.0,86.0,85.0,-,85.0,85.36,850,"72,555.00",-,-,-
ESCORTS,EQ,02-01-1996,85.00,83.25,86.75,83.25,-,85.25,85.22,"3,100","2,64,195.00",-,-,-
ESCORTS,EQ,03-01-1996,85.25,86.15,86.25,86.0,-,86.25,86.18,450,"38,780.00",-,-,-
ESCORTS,EQ,04-01-1996,86.25,86.0,87.0,86.0,-,87.0,86.67,300,"26,000.00",-,-,-
ESCORTS,EQ,05-01-1996,87.00,85.5,86.5,85.5,-,86.0,85.93,"1,900","1,63,275.00",-,-,-
ESCORTS,EQ,08-01-1996,86.00,86.0,86.5,85.0,-,85.0,85.51,"3,700","3,16,400.00",-,-,-
ESCORTS,EQ,09-01-1996,85.00,85.0,84.9,84.0,-,84.0,84.48,"1,250","1,05,600.00",-,-,-
ESCORTS,EQ,10-01-1996,84.00,85.0,85.0,84.2,-,84.2,84.43,400,"33,770.00",-,-,-
ESCORTS,EQ,11-01-1996,84.20,84.5,84.5,83.9,-,83.95,84.13,900,"75,715.00",-,-,-
ESCORTS,EQ,12-01-1996,83.95,84.0,86.5,83.0,-,83.0,84.25,"1,250","1,05,310.00",-,-,-
ESCORTS,EQ,15-01-1996,83.00,83.0,83.0,82.0,-,82.95,82.79,850,"70,372.50",-,-,-
ESCORTS,EQ,16-01-1996,82.95,80.5,82.0,80.05,-,81.5,80.58,500,"40,290.00",-,-,-
ESCORTS,EQ,17-01-1996,81.50,80.05,80.05,80.05,-,80.05,80.05,50,"4,002.50",-,-,-
ESCORTS,EQ,18-01-1996,80.05,81.0,83.0,81.0,-,81.95,81.92,300,"24,575.00",-,-,-
ESCORTS,EQ,19-01-1996,81.95,80.85,80.85,79.5,-,80.0,79.96,200,"15,992.50",-,-,-
ESCORTS,EQ,22-01-1996,80.00,80.0,76.0,76.0,-,76.0,76.0,50,"3,800.00",-,-,-
