SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
FDC,EQ,07-08-1997,-,85.15,85.15,85.15,-,85.15,85.15,100,"8,515.00",-,-,-
FDC,EQ,08-08-1997,85.15,91.0,91.0,89.0,-,89.25,90.13,700,"63,090.00",-,-,-
FDC,EQ,11-08-1997,89.25,93.0,94.0,87.0,-,91.5,91.96,"1,200","1,10,350.00",-,-,-
FDC,EQ,12-08-1997,91.50,95.5,96.5,93.45,-,95.0,95.0,"1,900","1,80,505.00",-,-,-
FDC,EQ,13-08-1997,95.00,95.0,96.0,91.0,-,93.2,93.04,"3,100","2,88,420.00",-,-,-
FDC,EQ,14-08-1997,93.20,94.0,94.0,89.0,-,90.75,90.68,"3,100","2,81,105.00",-,-,-
FDC,EQ,18-08-1997,90.75,91.95,91.95,88.0,-,88.0,91.13,"2,000","1,82,250.00",-,-,-
FDC,EQ,19-08-1997,88.00,86.5,91.0,86.5,-,90.2,89.31,"6,300","5,62,665.00",-,-,-
FDC,EQ,20-08-1997,90.20,96.5,99.25,96.5,-,99.25,98.3,"6,800","6,68,415.00",-,-,-
FDC,EQ,21-08-1997,99.25,101.0,101.0,92.55,-,95.25,96.17,"6,900","6,63,555.00",-,-,-
FDC,EQ,22-08-1997,95.25,93.0,94.0,90.5,-,91.5,92.12,"7,400","6,81,705.00",-,-,-
FDC,EQ,25-08-1997,91.50,88.5,91.75,87.0,-,91.7,89.32,"5,800","5,18,045.00",-,-,-
FDC,EQ,26-08-1997,91.70,92.0,92.0,90.75,-,91.0,91.31,"2,700","2,46,540.00",-,-,-
FDC,EQ,27-08-1997,91.00,90.5,91.05,90.5,-,91.0,90.97,"1,200","1,09,160.00",-,-,-
FDC,EQ,28-08-1997,91.00,90.0,90.5,89.0,-,89.0,89.78,"2,300","2,06,485.00",-,-,-
FDC,EQ,29-08-1997,89.00,86.5,89.7,86.0,-,86.5,87.77,"6,000","5,26,625.00",-,-,-
FDC,EQ,01-09-1997,86.50,85.9,86.0,83.5,-,85.5,84.79,"5,100","4,32,435.00",-,-,-
FDC,EQ,02-09-1997,85.50,86.5,86.95,85.25,-,85.25,85.7,"5,000","4,28,515.00",-,-,-
FDC,EQ,03-09-1997,85.25,85.0,87.95,85.0,-,86.15,86.4,"2,100","1,81,445.00",-,-,-
FDC,EQ,04-09-1997,86.15,86.9,86.9,85.0,-,86.75,85.42,"2,300","1,96,470.00",-,-,-
FDC,EQ,05-09-1997,86.75,88.0,91.95,88.0,-,91.0,90.38,"3,400","3,07,300.00",-,-,-
FDC,EQ,08-09-1997,91.00,88.0,91.0,87.05,-,90.25,89.63,"1,700","1,52,365.00",-,-,-
FDC,EQ,09-09-1997,90.25,90.0,91.3,88.7,-,91.0,90.47,"2,000","1,80,935.00",-,-,-
FDC,EQ,10-09-1997,91.00,90.25,90.5,88.05,-,90.5,88.9,"1,300","1,15,570.00",-,-,-
FDC,EQ,11-09-1997,90.50,88.5,89.1,86.0,-,88.1,87.83,"2,800","2,45,925.00",-,-,-
FDC,EQ,12-09-1997,88.10,86.25,88.5,86.25,-,87.5,87.56,"1,400","1,22,590.00",-,-,-
FDC,EQ,15-09-1997,87.50,87.0,87.7,85.5,-,86.0,86.45,"3,100","2,67,985.00",-,-,-
FDC,EQ,16-09-1997,86.00,87.5,87.85,86.1,-,86.85,86.9,"1,000","86,895.00",-,-,-
FDC,EQ,17-09-1997,86.85,85.0,85.15,85.0,-,85.0,85.09,800,"68,070.00",-,-,-
FDC,EQ,18-09-1997,85.00,83.7,83.7,81.1,-,81.95,82.08,"6,200","5,08,875.00",-,-,-
FDC,EQ,19-09-1997,81.95,83.0,83.0,78.25,-,78.6,79.14,"5,000","3,95,685.00",-,-,-
FDC,EQ,22-09-1997,78.60,79.0,79.0,75.35,-,76.85,76.7,"2,700","2,07,095.00",-,-,-
FDC,EQ,23-09-1997,76.85,76.1,80.0,76.1,-,79.4,77.31,"5,600","4,32,915.00",-,-,-
FDC,EQ,24-09-1997,79.40,80.0,80.0,78.0,-,79.9,79.32,600,"47,590.00",-,-,-
FDC,EQ,25-09-1997,79.90,79.0,81.0,79.0,-,80.7,79.85,800,"63,880.00",-,-,-
FDC,EQ,26-09-1997,80.70,81.0,84.0,81.0,-,82.55,82.65,"1,400","1,15,705.00",-,-,-
FDC,EQ,29-09-1997,82.55,84.0,84.45,83.5,-,83.95,84.04,"1,000","84,035.00",-,-,-
FDC,EQ,30-09-1997,83.95,83.75,84.5,83.75,-,84.45,84.2,"1,400","1,17,875.00",-,-,-
FDC,EQ,10-10-1997,84.45,82.0,82.0,82.0,-,82.0,82.0,500,"41,000.00",-,-,-
FDC,EQ,13-10-1997,82.00,80.0,81.0,80.0,-,81.0,80.71,700,"56,500.00",-,-,-
FDC,EQ,14-10-1997,81.00,80.0,80.5,79.5,-,80.5,80.0,800,"64,000.00",-,-,-
FDC,EQ,15-10-1997,80.50,80.0,80.0,79.5,-,79.5,79.64,700,"55,750.00",-,-,-
FDC,EQ,16-10-1997,79.50,80.0,82.95,80.0,-,82.05,81.7,"1,200","98,040.00",-,-,-
FDC,EQ,17-10-1997,82.05,82.05,82.05,81.0,-,81.0,81.41,"3,400","2,76,805.00",-,-,-
FDC,EQ,20-10-1997,81.00,80.55,82.45,80.5,-,82.45,81.17,300,"24,350.00",-,-,-
FDC,EQ,21-10-1997,82.45,80.0,83.0,80.0,-,82.5,82.28,"1,500","1,23,415.00",-,-,-
FDC,EQ,23-10-1997,82.50,85.55,86.0,85.55,-,86.0,85.68,700,"59,975.00",-,-,-
FDC,EQ,24-10-1997,86.00,85.0,85.0,84.0,-,84.0,84.18,700,"58,925.00",-,-,-
FDC,EQ,27-10-1997,84.00,85.25,85.5,84.95,-,85.0,85.19,600,"51,115.00",-,-,-
FDC,EQ,28-10-1997,85.00,84.0,84.0,83.5,-,83.5,83.79,"1,300","1,08,925.00",-,-,-
FDC,EQ,03-11-1997,83.50,80.25,80.25,80.25,-,80.25,80.25,100,"8,025.00",-,-,-
FDC,EQ,04-11-1997,80.25,80.0,84.0,80.0,-,84.0,82.53,600,"49,520.00",-,-,-
FDC,EQ,05-11-1997,84.00,82.0,84.0,82.0,-,84.0,83.0,200,"16,600.00",-,-,-
FDC,EQ,06-11-1997,84.00,82.0,83.0,82.0,-,82.5,82.5,200,"16,500.00",-,-,-
FDC,EQ,07-11-1997,82.50,82.0,82.5,80.5,-,80.5,81.94,"5,400","4,42,460.00",-,-,-
FDC,EQ,11-11-1997,80.50,81.0,81.0,81.0,-,81.0,81.0,100,"8,100.00",-,-,-
FDC,EQ,12-11-1997,81.00,77.5,78.0,77.5,-,78.0,77.78,900,"70,000.00",-,-,-
FDC,EQ,13-11-1997,78.00,76.5,76.5,76.5,-,76.5,76.5,200,"15,300.00",-,-,-
FDC,EQ,17-11-1997,76.50,78.0,80.0,78.0,-,80.0,79.31,"1,300","1,03,100.00",-,-,-
FDC,EQ,18-11-1997,80.00,79.0,84.0,79.0,-,83.25,81.9,"1,000","81,900.00",-,-,-
FDC,EQ,19-11-1997,83.25,81.0,82.0,81.0,-,82.0,81.5,800,"65,200.00",-,-,-
FDC,EQ,20-11-1997,82.00,80.0,82.5,80.0,-,82.5,80.83,"1,200","97,000.00",-,-,-
FDC,EQ,21-11-1997,82.50,84.0,85.0,84.0,-,85.0,84.85,"2,700","2,29,095.00",-,-,-
FDC,EQ,24-11-1997,85.00,81.0,85.0,81.0,-,84.75,84.38,"6,200","5,23,125.00",-,-,-
FDC,EQ,25-11-1997,84.75,85.5,86.0,85.5,-,86.0,85.75,200,"17,150.00",-,-,-
FDC,EQ,26-11-1997,86.00,86.0,87.9,86.0,-,87.5,86.35,"1,400","1,20,890.00",-,-,-
FDC,EQ,27-11-1997,87.50,88.9,91.85,88.9,-,89.3,89.98,600,"53,990.00",-,-,-
FDC,EQ,28-11-1997,89.30,86.0,89.0,86.0,-,88.5,87.27,"1,100","96,000.00",-,-,-
FDC,EQ,01-12-1997,88.50,89.9,90.0,86.1,-,88.35,89.39,"1,300","1,16,210.00",-,-,-
FDC,EQ,02-12-1997,88.35,87.25,87.25,85.55,-,86.25,86.41,600,"51,845.00",-,-,-
FDC,EQ,03-12-1997,86.25,84.0,84.0,84.0,-,84.0,84.0,100,"8,400.00",-,-,-
FDC,EQ,04-12-1997,84.00,82.0,83.0,82.0,-,83.0,82.75,400,"33,100.00",-,-,-
FDC,EQ,05-12-1997,83.00,81.0,81.05,81.0,-,81.05,81.03,200,"16,205.00",-,-,-
FDC,EQ,08-12-1997,81.05,80.0,80.0,80.0,-,80.0,80.0,200,"16,000.00",-,-,-
FDC,EQ,09-12-1997,80.00,80.0,80.0,78.0,-,78.25,78.6,500,"39,300.00",-,-,-
FDC,EQ,10-12-1997,78.25,76.0,79.0,76.0,-,78.0,77.67,300,"23,300.00",-,-,-
FDC,EQ,12-12-1997,78.00,79.0,79.0,79.0,-,79.0,79.0,100,"7,900.00",-,-,-
FDC,EQ,15-12-1997,79.00,81.0,81.0,81.0,-,81.0,81.0,100,"8,100.00",-,-,-
FDC,EQ,16-12-1997,81.00,81.0,85.0,81.0,-,84.75,83.69,400,"33,475.00",-,-,-
FDC,EQ,18-12-1997,84.75,83.0,83.1,82.0,-,83.1,82.61,900,"74,345.00",-,-,-
FDC,EQ,05-01-1998,83.1,81.5,81.5,80.0,-,80.0,80.3,500,"40,150.00",-,-,-
FDC,EQ,07-01-1998,80.0,77.1,79.5,77.0,-,79.5,77.87,300,"23,360.00",-,-,-
FDC,EQ,08-01-1998,79.5,79.9,79.9,79.9,-,79.9,79.9,200,"15,980.00",-,-,-
FDC,EQ,09-01-1998,79.9,76.5,78.0,76.5,-,78.0,77.0,300,"23,100.00",-,-,-
FDC,EQ,12-01-1998,78.0,75.75,75.75,75.0,-,75.0,75.42,300,"22,625.00",-,-,-
FDC,EQ,20-01-1998,75.0,72.5,72.5,72.5,-,72.5,72.5,100,"7,250.00",-,-,-
FDC,EQ,27-01-1998,72.5,69.0,71.0,69.0,-,71.0,69.25,800,"55,400.00",-,-,-
FDC,EQ,29-01-1998,71.0,71.0,71.0,71.0,-,71.0,71.0,100,"7,100.00",-,-,-
FDC,EQ,02-02-1998,71.0,76.0,76.0,76.0,-,76.0,76.0,100,"7,600.00",-,-,-
FDC,EQ,03-02-1998,76.0,72.0,72.0,71.75,-,71.75,71.88,200,"14,375.00",-,-,-
FDC,EQ,04-02-1998,71.75,71.3,71.3,71.25,-,71.25,71.28,200,"14,255.00",-,-,-
FDC,EQ,06-02-1998,71.25,72.0,72.0,72.0,-,72.0,72.0,200,"14,400.00",-,-,-
FDC,EQ,09-02-1998,72.0,71.0,71.0,71.0,-,71.0,71.0,100,"7,100.00",-,-,-
FDC,EQ,10-02-1998,71.0,70.0,70.0,68.0,-,68.0,69.5,400,"27,800.00",-,-,-
FDC,EQ,11-02-1998,68.0,69.0,69.0,69.0,-,69.0,69.0,100,"6,900.00",-,-,-
FDC,EQ,12-02-1998,69.0,69.0,69.0,65.0,-,65.0,66.04,"4,000","2,64,160.00",-,-,-
FDC,EQ,23-02-1998,65.0,71.0,71.0,71.0,-,71.0,71.0,100,"7,100.00",-,-,-
FDC,EQ,24-02-1998,71.0,67.5,67.5,67.5,-,67.5,67.5,100,"6,750.00",-,-,-
FDC,EQ,25-02-1998,67.5,70.0,71.5,70.0,-,71.5,70.75,200,"14,150.00",-,-,-
FDC,EQ,26-02-1998,71.5,73.0,73.0,69.0,-,69.0,70.67,300,"21,200.00",-,-,-
FDC,EQ,27-02-1998,69.0,71.1,75.0,71.1,-,75.0,74.17,500,"37,085.00",-,-,-
FDC,EQ,02-03-1998,75.0,73.0,74.25,73.0,-,74.1,73.85,500,"36,925.00",-,-,-
FDC,EQ,03-03-1998,74.1,72.0,72.0,72.0,-,72.0,72.0,100,"7,200.00",-,-,-
FDC,EQ,06-03-1998,72.0,72.0,72.0,72.0,-,72.0,72.0,100,"7,200.00",-,-,-
FDC,EQ,11-03-1998,72.0,72.0,72.0,72.0,-,72.0,72.0,100,"7,200.00",-,-,-
FDC,EQ,18-03-1998,72.0,72.0,73.0,71.0,-,73.0,71.75,400,"28,700.00",-,-,-
FDC,EQ,19-03-1998,73.0,70.0,70.0,70.0,-,70.0,70.0,600,"42,000.00",-,-,-
FDC,EQ,20-03-1998,70.0,75.0,75.0,75.0,-,75.0,75.0,300,"22,500.00",-,-,-
FDC,EQ,24-03-1998,75.0,73.5,74.0,73.5,74.00,74.0,73.75,200,"14,750.00",-,-,-
FDC,EQ,25-03-1998,74.0,74.25,76.0,74.0,76.00,76.0,74.75,300,"22,425.00",-,-,-
FDC,EQ,26-03-1998,76.0,76.5,78.0,76.25,76.25,76.25,76.92,300,"23,075.00",-,-,-
FDC,EQ,30-03-1998,76.25,76.0,76.0,76.0,76.00,76.0,76.0,200,"15,200.00",-,-,-
FDC,EQ,31-03-1998,76.0,73.0,78.0,72.75,78.00,76.6,74.75,700,"52,325.00",-,-,-
FDC,EQ,01-04-1998,76.6,75.0,80.0,75.0,80.00,80.0,78.31,600,"46,985.00",-,-,-
FDC,EQ,02-04-1998,80.0,77.5,77.5,77.5,77.50,77.5,77.5,100,"7,750.00",-,-,-
FDC,EQ,03-04-1998,77.5,75.0,76.0,75.0,75.05,75.05,75.35,300,"22,605.00",-,-,-
FDC,EQ,06-04-1998,75.05,75.0,76.5,75.0,75.25,75.25,75.47,800,"60,375.00",-,-,-
FDC,EQ,07-04-1998,75.25,75.0,82.8,75.0,82.80,82.8,80.12,"2,500","2,00,300.00",-,-,-
FDC,EQ,09-04-1998,82.8,90.0,91.05,90.0,91.05,91.05,90.35,300,"27,105.00",-,-,-
FDC,EQ,10-04-1998,91.05,100.0,100.1,95.5,99.95,99.2,99.08,"4,100","4,06,210.00",-,-,-
FDC,EQ,13-04-1998,99.2,95.0,95.75,92.0,93.00,93.0,93.45,"2,100","1,96,235.00",-,-,-
FDC,EQ,15-04-1998,93.0,96.5,102.3,95.0,102.30,102.3,100.15,"6,400","6,40,960.00",-,-,-
FDC,EQ,16-04-1998,102.3,103.0,110.25,103.0,105.00,105.35,107.78,"4,400","4,74,235.00",-,-,-
FDC,EQ,17-04-1998,105.35,101.0,103.0,99.3,99.80,99.8,100.78,"1,900","1,91,475.00",-,-,-
FDC,EQ,20-04-1998,99.8,99.0,100.75,99.0,99.00,99.0,99.25,700,"69,475.00",-,-,-
FDC,EQ,21-04-1998,99.0,96.0,108.6,96.0,108.60,108.55,102.85,"5,400","5,55,405.00",-,-,-
FDC,EQ,22-04-1998,108.55,110.0,119.25,108.45,112.00,112.0,113.24,"20,000","22,64,735.00",-,-,-
FDC,EQ,23-04-1998,112.0,110.0,110.0,104.0,105.00,105.0,106.04,"3,500","3,71,150.00",-,-,-
FDC,EQ,24-04-1998,105.0,99.0,102.0,99.0,102.00,102.0,99.26,"2,400","2,38,220.00",-,-,-
FDC,EQ,27-04-1998,102.0,102.0,102.0,100.0,100.00,100.0,101.0,"1,000","1,01,000.00",-,-,-
FDC,EQ,28-04-1998,100.0,98.0,100.0,95.25,95.25,95.25,98.37,"10,400","10,23,070.00",-,-,-
FDC,EQ,29-04-1998,95.25,98.5,98.5,98.5,98.50,98.5,98.5,200,"19,700.00",-,-,-
FDC,EQ,30-04-1998,98.5,98.5,100.7,98.0,100.00,100.0,99.28,600,"59,570.00",-,-,-
FDC,EQ,04-05-1998,100.0,98.0,101.0,98.0,101.00,101.0,98.67,900,"88,800.00",-,-,-
FDC,EQ,05-05-1998,101.0,99.0,100.0,98.0,99.25,99.6,98.92,"1,900","1,87,955.00",-,-,-
FDC,EQ,06-05-1998,99.6,102.0,102.0,100.0,101.00,101.0,100.75,800,"80,600.00",-,-,-
FDC,EQ,11-05-1998,101.0,98.9,99.0,98.9,99.00,99.0,98.95,200,"19,790.00",-,-,-
FDC,EQ,12-05-1998,99.0,95.0,95.0,90.05,90.05,90.7,92.19,500,"46,095.00",-,-,-
FDC,EQ,13-05-1998,90.7,94.0,94.0,90.5,90.50,90.5,92.29,"1,500","1,38,435.00",-,-,-
FDC,EQ,14-05-1998,90.5,91.45,95.0,91.0,95.00,94.6,93.34,"1,400","1,30,675.00",-,-,-
FDC,EQ,15-05-1998,94.6,96.1,96.1,96.0,96.00,96.0,96.03,300,"28,810.00",-,-,-
FDC,EQ,18-05-1998,96.0,95.35,98.5,95.35,98.50,98.5,96.69,900,"87,020.00",-,-,-
FDC,EQ,19-05-1998,98.5,97.75,99.5,96.0,99.50,99.0,97.63,"1,100","1,07,395.00",-,-,-
FDC,EQ,20-05-1998,99.0,103.75,105.0,100.75,102.00,102.0,103.06,"2,600","2,67,965.00",-,-,-
FDC,EQ,21-05-1998,102.0,103.8,103.8,101.0,101.25,101.25,101.61,"1,000","1,01,605.00",-,-,-
FDC,EQ,25-05-1998,101.25,97.0,97.5,97.0,97.05,97.05,97.14,900,"87,425.00",-,-,-
FDC,EQ,26-05-1998,97.05,96.05,97.0,96.0,97.00,96.55,96.47,"3,100","2,99,045.00",-,-,-
FDC,EQ,27-05-1998,96.55,93.0,95.0,93.0,95.00,95.0,94.0,200,"18,800.00",-,-,-
FDC,EQ,28-05-1998,95.0,99.0,99.0,94.0,94.00,94.0,94.83,600,"56,900.00",-,-,-
FDC,EQ,29-05-1998,94.0,98.5,102.0,98.5,102.00,102.0,99.99,"1,600","1,59,990.00",-,-,-
FDC,EQ,01-06-1998,102.0,101.9,101.9,98.05,98.50,98.5,99.62,900,"89,660.00",-,-,-
FDC,EQ,02-06-1998,98.5,96.0,97.9,95.75,95.75,97.1,97.07,"2,100","2,03,855.00",-,-,-
FDC,EQ,03-06-1998,97.1,95.5,97.8,95.5,97.80,97.4,96.94,800,"77,550.00",-,-,-
