SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
BAJAJTEMPO,EQ,02-01-1996,379.00,379.0,380.0,379.0,-,379.0,379.5,300,"1,13,850.00",-,-,-
BAJAJTEMPO,EQ,03-01-1996,379.00,379.0,372.0,372.0,-,372.0,372.0,100,"37,200.00",-,-,-
BAJAJTEMPO,EQ,04-01-1996,372.00,372.0,359.0,359.0,-,359.0,359.0,200,"71,800.00",-,-,-
BAJAJTEMPO,EQ,05-01-1996,359.00,359.0,366.0,366.0,-,366.0,366.0,100,"36,600.00",-,-,-
BAJAJTEMPO,EQ,08-01-1996,366.00,356.0,364.0,346.05,-,346.05,357.01,450,"1,60,655.00",-,-,-
BAJAJTEMPO,EQ,09-01-1996,346.05,346.05,342.0,340.0,-,340.0,340.68,150,"51,102.50",-,-,-
BAJAJTEMPO,EQ,10-01-1996,340.00,339.0,339.0,339.0,-,339.0,339.0,50,"16,950.00",-,-,-
BAJAJTEMPO,EQ,11-01-1996,339.00,340.0,340.0,340.0,-,340.0,340.0,50,"17,000.00",-,-,-
BAJAJTEMPO,EQ,12-01-1996,340.00,345.0,345.0,340.05,-,340.05,342.26,200,"68,452.50",-,-,-
BAJAJTEMPO,EQ,15-01-1996,340.05,345.0,345.0,345.0,-,345.0,345.0,50,"17,250.00",-,-,-
BAJAJTEMPO,EQ,16-01-1996,345.00,345.0,340.0,325.0,-,327.5,334.0,250,"83,500.00",-,-,-
BAJAJTEMPO,EQ,17-01-1996,327.50,327.5,340.0,335.0,-,335.0,336.67,150,"50,500.00",-,-,-
BAJAJTEMPO,EQ,19-01-1996,335.00,330.0,330.0,328.0,-,328.0,328.67,150,"49,300.00",-,-,-
BAJAJTEMPO,EQ,22-01-1996,328.00,320.0,324.95,320.0,-,324.95,322.32,150,"48,347.50",-,-,-
BAJAJTEMPO,EQ,23-01-1996,324.95,325.0,325.0,320.0,-,320.0,324.91,"5,150","16,73,300.00",-,-,-
BAJAJTEMPO,EQ,24-01-1996,320.00,315.0,321.05,315.0,-,321.05,319.76,600,"1,91,857.50",-,-,-
BAJAJTEMPO,EQ,25-01-1996,321.05,310.0,320.0,310.0,-,319.05,319.57,"4,350","13,90,130.00",-,-,-
BAJAJTEMPO,EQ,29-01-1996,319.05,320.0,320.0,320.0,-,320.0,320.0,50,"16,000.00",-,-,-
BAJAJTEMPO,EQ,30-01-1996,320.00,330.0,330.0,330.0,-,330.0,330.0,50,"16,500.00",-,-,-
BAJAJTEMPO,EQ,01-02-1996,330.00,345.0,345.0,345.0,-,345.0,345.0,100,"34,500.00",-,-,-
BAJAJTEMPO,EQ,02-02-1996,345.00,345.0,364.0,353.0,-,353.0,355.25,400,"1,42,100.00",-,-,-
BAJAJTEMPO,EQ,05-02-1996,353.00,370.0,370.0,370.0,-,370.0,370.0,50,"18,500.00",-,-,-
BAJAJTEMPO,EQ,06-02-1996,370.00,370.0,370.0,360.0,-,360.0,366.49,200,"73,297.50",-,-,-
BAJAJTEMPO,EQ,08-02-1996,360.00,360.0,370.0,364.0,-,370.0,366.0,200,"73,200.00",-,-,-
BAJAJTEMPO,EQ,09-02-1996,370.00,375.0,375.0,370.0,-,375.0,373.5,400,"1,49,400.00",-,-,-
BAJAJTEMPO,EQ,12-02-1996,375.00,404.75,404.75,380.0,-,399.95,394.34,400,"1,57,735.00",-,-,-
BAJAJTEMPO,EQ,13-02-1996,399.95,365.0,385.0,365.0,-,385.0,375.0,500,"1,87,500.00",-,-,-
BAJAJTEMPO,EQ,14-02-1996,385.00,390.0,400.0,390.0,-,391.05,394.01,850,"3,34,905.00",-,-,-
BAJAJTEMPO,EQ,15-02-1996,391.05,391.05,423.0,410.0,-,419.85,417.6,"1,500","6,26,395.00",-,-,-
BAJAJTEMPO,EQ,16-02-1996,419.85,415.0,425.0,411.5,-,421.25,418.93,400,"1,67,572.50",-,-,-
BAJAJTEMPO,EQ,19-02-1996,421.25,435.0,449.9,430.0,-,444.9,439.59,"1,700","7,47,310.00",-,-,-
BAJAJTEMPO,EQ,20-02-1996,444.90,421.25,453.0,421.25,-,442.55,441.53,650,"2,86,997.50",-,-,-
BAJAJTEMPO,EQ,22-02-1996,442.55,450.0,450.0,423.25,-,445.0,439.56,400,"1,75,822.50",-,-,-
BAJAJTEMPO,EQ,23-02-1996,445.00,445.0,445.0,425.25,-,425.25,431.83,150,"64,775.00",-,-,-
BAJAJTEMPO,EQ,26-02-1996,425.25,440.0,440.0,440.0,-,440.0,440.0,200,"88,000.00",-,-,-
BAJAJTEMPO,EQ,27-02-1996,440.00,440.0,430.0,425.05,-,429.0,427.55,650,"2,77,905.00",-,-,-
BAJAJTEMPO,EQ,28-02-1996,429.00,429.0,430.0,430.0,-,430.0,430.0,200,"86,000.00",-,-,-
BAJAJTEMPO,EQ,29-02-1996,430.00,420.0,425.0,420.0,-,425.0,422.14,350,"1,47,747.50",-,-,-
BAJAJTEMPO,EQ,01-03-1996,425.00,420.0,443.0,420.0,-,438.7,429.0,"1,050","4,50,452.50",-,-,-
BAJAJTEMPO,EQ,04-03-1996,438.70,440.0,444.0,430.0,-,437.0,434.14,350,"1,51,950.00",-,-,-
BAJAJTEMPO,EQ,06-03-1996,437.00,444.95,449.0,444.95,-,445.0,445.17,"3,400","15,13,592.50",-,-,-
BAJAJTEMPO,EQ,07-03-1996,445.00,445.0,469.0,460.0,-,460.0,465.92,"2,650","12,34,695.00",-,-,-
BAJAJTEMPO,EQ,08-03-1996,460.00,478.0,478.5,455.0,-,471.7,470.27,"8,100","38,09,192.50",-,-,-
BAJAJTEMPO,EQ,11-03-1996,471.70,459.0,480.0,459.0,-,470.0,470.11,"4,300","20,21,460.00",-,-,-
BAJAJTEMPO,EQ,12-03-1996,470.00,470.0,510.0,474.95,-,496.35,483.33,"3,600","17,39,977.50",-,-,-
BAJAJTEMPO,EQ,13-03-1996,496.35,489.0,495.0,480.1,-,480.25,482.9,"1,400","6,76,065.00",-,-,-
BAJAJTEMPO,EQ,15-03-1996,480.25,480.25,485.0,481.0,-,485.0,483.43,350,"1,69,200.00",-,-,-
BAJAJTEMPO,EQ,18-03-1996,485.00,485.0,485.0,475.0,-,475.0,479.29,350,"1,67,752.50",-,-,-
BAJAJTEMPO,EQ,19-03-1996,475.00,475.0,522.0,472.0,-,502.65,495.3,650,"3,21,945.00",-,-,-
BAJAJTEMPO,EQ,21-03-1996,502.65,480.0,485.0,470.15,-,475.0,479.16,350,"1,67,707.50",-,-,-
BAJAJTEMPO,EQ,22-03-1996,475.00,465.05,465.05,465.0,-,465.0,465.02,150,"69,752.50",-,-,-
BAJAJTEMPO,EQ,26-03-1996,465.00,450.0,450.0,445.1,-,445.1,446.73,150,"67,010.00",-,-,-
BAJAJTEMPO,EQ,27-03-1996,445.10,451.0,460.0,451.0,-,460.0,457.0,300,"1,37,100.00",-,-,-
BAJAJTEMPO,EQ,28-03-1996,460.00,460.0,462.0,462.0,-,462.0,462.0,50,"23,100.00",-,-,-
BAJAJTEMPO,EQ,29-03-1996,462.00,462.0,475.0,465.15,-,465.15,470.08,200,"94,015.00",-,-,-
BAJAJTEMPO,EQ,01-04-1996,465.15,455.05,455.05,455.05,-,455.05,455.05,50,"22,752.50",-,-,-
