SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
FOSECOIND,EQ,01-01-1996,222.25,222.25,221.25,219.5,-,219.5,220.25,900,"1,98,225.00",-,-,-
FOSECOIND,EQ,02-01-1996,219.50,219.5,221.95,219.75,-,220.0,220.22,"2,800","6,16,620.00",-,-,-
FOSECOIND,EQ,03-01-1996,220.00,218.05,219.45,218.05,-,218.95,218.7,"2,000","4,37,395.00",-,-,-
FOSECOIND,EQ,04-01-1996,218.95,218.0,218.05,214.55,-,216.0,216.6,"3,100","6,71,460.00",-,-,-
FOSECOIND,EQ,05-01-1996,216.00,216.0,214.0,212.75,-,212.9,213.43,"1,100","2,34,775.00",-,-,-
FOSECOIND,EQ,08-01-1996,212.90,212.9,210.05,200.1,-,204.0,205.79,"1,500","3,08,690.00",-,-,-
FOSECOIND,EQ,09-01-1996,204.00,204.0,204.0,199.0,-,201.0,200.82,"1,600","3,21,315.00",-,-,-
FOSECOIND,EQ,10-01-1996,201.00,201.0,205.0,201.5,-,201.55,202.88,"2,100","4,26,045.00",-,-,-
FOSECOIND,EQ,11-01-1996,201.55,201.55,203.0,201.0,-,203.0,201.92,"1,300","2,62,500.00",-,-,-
FOSECOIND,EQ,12-01-1996,203.00,202.05,204.0,202.05,-,204.0,203.04,"2,100","4,26,375.00",-,-,-
FOSECOIND,EQ,15-01-1996,204.00,205.0,205.0,202.5,-,202.5,204.3,500,"1,02,150.00",-,-,-
FOSECOIND,EQ,16-01-1996,202.50,202.0,204.0,202.0,-,203.8,203.01,"1,900","3,85,715.00",-,-,-
FOSECOIND,EQ,17-01-1996,203.80,203.8,203.0,202.05,-,202.5,202.35,"1,600","3,23,765.00",-,-,-
