SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
GALAPREC,BE,09-09-2024,529.00,721.10,757.15,721.10,757.15,757.15,737.33,"7,88,897","58,16,76,586.55","18,562",-,-
GALAPREC,BE,10-09-2024,757.15,759.00,774.00,725.00,739.00,741.75,746.68,"5,69,060","42,49,07,369.00","36,024",-,-
GALAPREC,BE,11-09-2024,741.75,720.00,726.95,704.70,722.10,721.75,717.09,"2,73,664","19,62,41,879.70","10,356",-,-
GALAPREC,BE,12-09-2024,721.75,697.05,719.00,685.70,712.00,708.35,698.26,"2,41,736","16,87,94,787.15","9,576",-,-
GALAPREC,BE,13-09-2024,708.35,699.00,743.75,699.00,743.75,743.75,733.34,"2,15,206","15,78,18,459.15","4,342",-,-
GALAPREC,BE,16-09-2024,743.75,756.95,758.00,708.00,723.00,720.55,730.28,"1,36,949","10,00,10,480.75","4,838",-,-
GALAPREC,BE,17-09-2024,720.55,720.55,720.55,694.80,706.00,704.90,701.55,"78,646","5,51,74,338.75","5,709",-,-
GALAPREC,BE,18-09-2024,704.90,682.00,708.00,682.00,695.25,693.45,694.21,"52,664","3,65,60,015.25","4,255",-,-
GALAPREC,BE,19-09-2024,693.45,691.00,722.20,691.00,719.00,712.70,708.34,"1,12,195","7,94,72,131.50","3,592",-,-
GALAPREC,BE,20-09-2024,712.70,723.00,730.00,695.00,722.05,724.80,720.03,"83,338","6,00,05,891.00","3,666",-,-
GALAPREC,EQ,23-09-2024,724.80,735.00,819.00,725.00,797.55,800.70,784.45,"5,94,185","46,61,10,464.60","18,520","2,41,341",40.62
GALAPREC,EQ,24-09-2024,800.70,802.95,803.85,771.00,782.00,780.30,782.93,"1,10,481","8,64,99,002.90","4,559","68,950",62.41
GALAPREC,EQ,25-09-2024,780.30,775.00,783.45,754.00,763.05,765.40,763.21,"84,062","6,41,56,616.90","3,708","51,879",61.72
GALAPREC,EQ,26-09-2024,765.40,765.10,789.90,759.10,784.00,785.05,777.05,"1,10,564","8,59,14,165.70","5,210","62,151",56.21
GALAPREC,EQ,27-09-2024,785.05,787.00,870.00,776.30,828.00,828.45,830.39,"3,70,823","30,79,26,618.55","21,038","1,53,483",41.39
GALAPREC,EQ,30-09-2024,828.45,826.00,826.95,768.00,792.00,792.70,789.75,"1,47,684","11,66,33,094.70","10,596","66,950",45.33
GALAPREC,EQ,01-10-2024,792.70,782.00,811.00,780.00,810.00,799.45,789.72,"49,569","3,91,45,385.25","2,692","28,074",56.64
GALAPREC,EQ,03-10-2024,799.45,780.00,791.25,751.00,775.00,772.50,772.16,"91,849","7,09,22,436.05","4,730","49,499",53.89
GALAPREC,EQ,04-10-2024,772.50,769.70,784.25,745.00,764.10,773.80,772.44,"79,329","6,12,77,043.40","3,231","44,531",56.13
GALAPREC,EQ,07-10-2024,773.80,774.00,790.00,722.25,730.00,732.00,750.69,"1,24,886","9,37,50,050.85","7,789","70,120",56.15
GALAPREC,EQ,08-10-2024,732.00,721.10,798.00,720.10,790.00,788.55,766.83,"89,594","6,87,03,712.60","4,172","43,354",48.39
GALAPREC,EQ,09-10-2024,788.55,800.40,825.00,788.55,814.00,812.75,807.97,"69,047","5,57,88,136.80","3,718","32,766",47.45
GALAPREC,EQ,10-10-2024,812.75,811.60,840.00,810.00,830.00,827.10,826.72,"72,548","5,99,76,520.70","3,920","34,871",48.07
GALAPREC,EQ,11-10-2024,827.10,826.90,839.95,815.00,830.40,828.85,827.47,"52,819","4,37,06,096.80","3,597","25,774",48.80
GALAPREC,EQ,14-10-2024,828.85,830.00,850.00,810.00,828.00,830.45,827.41,"57,756","4,77,87,877.50","4,408","25,670",44.45
GALAPREC,EQ,15-10-2024,830.45,824.00,839.60,815.00,815.00,817.65,822.84,"39,400","3,24,19,741.45","3,319","21,998",55.83
GALAPREC,EQ,16-10-2024,817.65,825.85,944.90,814.15,925.00,927.60,904.41,"4,79,508","43,36,72,781.05","26,847","1,23,510",25.76
GALAPREC,EQ,17-10-2024,927.60,930.00,975.00,903.00,921.00,919.75,938.66,"2,55,885","24,01,89,459.95","17,143","50,691",19.81
GALAPREC,EQ,18-10-2024,919.75,940.00,959.95,905.00,940.00,938.10,935.70,"1,42,144","13,30,04,607.65","9,020","36,453",25.65
GALAPREC,EQ,21-10-2024,938.10,940.00,948.00,861.10,886.00,897.20,917.38,"57,727","5,29,57,342.95","5,701","21,533",37.30
