SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
GANGAFORGE,ST,11-07-2018,21.0,21.1,21.3,21.0,-,21.2,21.12,"4,86,000","1,02,62,100.00",77,-,-
GANGAFORGE,ST,12-07-2018,21.2,20.15,21.1,20.15,-,21.0,20.98,"3,36,000","70,50,300.00",56,-,-
GANGAFORGE,ST,13-07-2018,21.0,21.0,21.0,20.1,-,20.65,20.73,"3,48,000","72,12,900.00",58,-,-
GANGAFORGE,ST,16-07-2018,20.65,20.75,21.45,20.65,-,21.25,21.06,"2,94,000","61,92,900.00",45,-,-
GANGAFORGE,ST,17-07-2018,21.25,21.4,21.4,21.4,-,21.4,21.4,"6,000","1,28,400.00",1,-,-
GANGAFORGE,ST,18-07-2018,21.4,21.1,21.5,21.0,-,21.25,21.17,"1,56,000","33,03,000.00",24,-,-
GANGAFORGE,ST,19-07-2018,21.25,21.25,21.25,20.5,-,21.2,21.04,"54,000","11,36,400.00",9,-,-
GANGAFORGE,ST,24-07-2018,21.2,20.15,21.0,20.15,-,20.15,20.71,"36,000","7,45,500.00",6,-,-
GANGAFORGE,SM,25-07-2018,20.15,22.0,22.0,21.4,21.40,21.4,21.58,"24,000","5,17,800.00",4,-,-
GANGAFORGE,SM,27-07-2018,21.4,21.0,21.0,21.0,21.00,21.0,21.0,"6,000","1,26,000.00",1,"6,000",100.00
GANGAFORGE,SM,31-07-2018,21.0,20.05,21.45,20.05,21.45,21.3,20.99,"24,000","5,03,700.00",4,"18,000",75.00
GANGAFORGE,SM,03-08-2018,21.3,19.5,20.0,19.5,20.00,20.0,19.75,"12,000","2,37,000.00",2,"6,000",50.00
GANGAFORGE,SM,06-08-2018,20.0,19.5,21.05,19.5,21.05,20.75,20.35,"18,000","3,66,300.00",3,"12,000",66.67
GANGAFORGE,SM,09-08-2018,20.75,21.0,21.0,21.0,21.00,21.0,21.0,"6,000","1,26,000.00",1,"6,000",100.00
GANGAFORGE,SM,10-08-2018,21.0,19.2,25.0,19.2,25.00,21.5,21.16,"42,000","8,88,900.00",7,"30,000",71.43
GANGAFORGE,SM,24-08-2018,21.5,20.5,20.5,20.5,20.50,20.5,20.5,"6,000","1,23,000.00",1,"6,000",100.00
GANGAFORGE,SM,28-08-2018,20.5,21.0,21.75,21.0,21.75,21.2,21.19,"24,000","5,08,500.00",4,"24,000",100.00
GANGAFORGE,SM,31-08-2018,21.2,20.0,20.0,20.0,20.00,20.0,20.0,"6,000","1,20,000.00",1,"6,000",100.00
GANGAFORGE,SM,03-09-2018,20.0,20.0,21.0,20.0,21.00,21.0,20.5,"12,000","2,46,000.00",2,"12,000",100.00
GANGAFORGE,SM,04-09-2018,21.0,22.0,22.0,21.0,21.00,21.0,21.67,"18,000","3,90,000.00",3,"12,000",66.67
GANGAFORGE,SM,11-09-2018,21.0,20.0,20.0,20.0,20.00,20.0,20.0,"6,000","1,20,000.00",1,"6,000",100.00
GANGAFORGE,SM,19-09-2018,20.0,19.0,19.3,19.0,19.30,19.3,19.15,"12,000","2,29,800.00",2,"6,000",50.00
GANGAFORGE,SM,24-09-2018,19.3,19.2,19.2,19.2,19.20,19.2,19.2,"6,000","1,15,200.00",1,"6,000",100.00
GANGAFORGE,SM,03-10-2018,19.2,19.0,22.5,19.0,22.00,20.95,20.74,"54,000","11,20,200.00",9,"36,000",66.67
GANGAFORGE,SM,04-10-2018,20.95,20.05,21.4,20.05,21.40,21.4,20.73,"12,000","2,48,700.00",2,"12,000",100.00
GANGAFORGE,SM,08-10-2018,21.4,20.0,20.0,20.0,20.00,20.0,20.0,"6,000","1,20,000.00",1,"6,000",100.00
GANGAFORGE,SM,10-10-2018,20.0,19.0,19.0,19.0,19.00,19.0,19.0,"6,000","1,14,000.00",1,"6,000",100.00
GANGAFORGE,SM,12-10-2018,19.0,19.5,19.5,19.5,19.50,19.5,19.5,"24,000","4,68,000.00",1,"24,000",100.00
GANGAFORGE,SM,15-10-2018,19.5,19.5,20.0,19.5,20.00,19.85,19.83,"18,000","3,57,000.00",3,"18,000",100.00
GANGAFORGE,SM,16-10-2018,19.85,20.25,21.0,20.25,21.00,20.65,20.64,"24,000","4,95,300.00",4,"24,000",100.00
GANGAFORGE,SM,17-10-2018,20.65,20.0,20.0,19.0,19.00,19.0,19.5,"12,000","2,34,000.00",2,"12,000",100.00
GANGAFORGE,SM,19-10-2018,19.0,19.0,20.95,19.0,20.95,20.95,20.15,"18,000","3,62,700.00",3,"18,000",100.00
GANGAFORGE,SM,22-10-2018,20.95,21.25,21.45,21.25,21.45,21.45,21.35,"12,000","2,56,200.00",2,"12,000",100.00
GANGAFORGE,SM,23-10-2018,21.45,21.75,21.75,19.9,21.55,21.55,21.03,"42,000","8,83,200.00",7,"36,000",85.71
GANGAFORGE,SM,24-10-2018,21.55,21.55,21.55,21.55,21.55,21.55,21.55,"12,000","2,58,600.00",2,"12,000",100.00
GANGAFORGE,SM,25-10-2018,21.55,21.5,21.65,19.7,21.60,21.6,20.99,"66,000","13,85,100.00",10,"48,000",72.73
GANGAFORGE,SM,26-10-2018,21.6,19.6,20.3,19.6,20.30,20.1,19.91,"24,000","4,77,900.00",4,"18,000",75.00
GANGAFORGE,SM,29-10-2018,20.1,20.3,20.4,20.3,20.40,20.35,20.35,"12,000","2,44,200.00",2,"12,000",100.00
GANGAFORGE,SM,31-10-2018,20.35,19.2,20.45,19.1,20.45,20.4,19.83,"30,000","5,94,900.00",5,"30,000",100.00
GANGAFORGE,SM,05-11-2018,20.4,20.5,22.0,20.5,21.00,21.0,21.25,"42,000","8,92,500.00",7,"42,000",100.00
GANGAFORGE,SM,06-11-2018,21.0,22.0,22.5,22.0,22.50,22.5,22.25,"12,000","2,67,000.00",2,"12,000",100.00
GANGAFORGE,SM,12-11-2018,22.5,23.0,23.0,23.0,23.00,23.0,23.0,"6,000","1,38,000.00",1,"6,000",100.00
GANGAFORGE,SM,13-11-2018,23.0,22.9,22.9,22.9,22.90,22.9,22.9,"6,000","1,37,400.00",1,"6,000",100.00
GANGAFORGE,SM,16-11-2018,22.9,23.2,23.75,23.2,23.75,23.75,23.48,"18,000","4,22,700.00",3,"18,000",100.00
GANGAFORGE,SM,19-11-2018,23.75,23.6,23.75,23.6,23.75,23.75,23.68,"12,000","2,84,100.00",2,"12,000",100.00
GANGAFORGE,SM,20-11-2018,23.75,23.8,24.25,23.8,24.25,24.25,24.02,"18,000","4,32,300.00",3,"18,000",100.00
GANGAFORGE,SM,21-11-2018,24.25,23.9,24.5,23.9,24.50,24.5,24.2,"12,000","2,90,400.00",2,"12,000",100.00
GANGAFORGE,SM,26-11-2018,24.5,25.0,25.0,25.0,25.00,25.0,25.0,"6,000","1,50,000.00",1,"6,000",100.00
GANGAFORGE,SM,27-11-2018,25.0,25.45,25.45,25.45,25.45,25.45,25.45,"6,000","1,52,700.00",1,"6,000",100.00
GANGAFORGE,SM,03-12-2018,25.45,25.0,25.6,25.0,25.60,25.6,25.3,"12,000","3,03,600.00",2,"12,000",100.00
GANGAFORGE,SM,04-12-2018,25.6,23.2,23.2,23.2,23.20,23.2,23.2,"6,000","1,39,200.00",1,"6,000",100.00
GANGAFORGE,SM,06-12-2018,23.2,24.0,24.0,23.3,23.30,23.3,23.65,"12,000","2,83,800.00",2,"6,000",50.00
GANGAFORGE,SM,07-12-2018,23.3,24.0,24.0,24.0,24.00,24.0,24.0,"6,000","1,44,000.00",1,"6,000",100.00
GANGAFORGE,SM,10-12-2018,24.0,24.25,24.25,24.25,24.25,24.25,24.25,"12,000","2,91,000.00",2,"12,000",100.00
GANGAFORGE,SM,11-12-2018,24.25,24.4,24.4,24.4,24.40,24.4,24.4,"12,000","2,92,800.00",2,"12,000",100.00
GANGAFORGE,SM,12-12-2018,24.4,24.5,24.5,24.5,24.50,24.5,24.5,"6,000","1,47,000.00",1,"6,000",100.00
GANGAFORGE,SM,14-12-2018,24.5,24.5,24.55,24.5,24.55,24.55,24.53,"18,000","4,41,600.00",2,"18,000",100.00
GANGAFORGE,SM,17-12-2018,24.55,24.5,24.5,22.5,22.50,22.5,23.6,"36,000","8,49,600.00",6,"24,000",66.67
GANGAFORGE,SM,18-12-2018,22.5,24.0,24.0,24.0,24.00,24.0,24.0,"18,000","4,32,000.00",2,"18,000",100.00
GANGAFORGE,SM,20-12-2018,24.0,24.25,24.25,24.25,24.25,24.25,24.25,"12,000","2,91,000.00",2,"12,000",100.00
GANGAFORGE,SM,21-12-2018,24.25,24.5,25.0,24.5,25.00,25.0,24.75,"12,000","2,97,000.00",2,"12,000",100.00
GANGAFORGE,SM,24-12-2018,25.0,25.5,25.6,25.5,25.60,25.6,25.55,"12,000","3,06,600.00",2,"12,000",100.00
GANGAFORGE,SM,27-12-2018,25.6,25.75,25.75,25.75,25.75,25.75,25.75,"6,000","1,54,500.00",1,"6,000",100.00
GANGAFORGE,SM,28-12-2018,25.75,26.0,26.0,26.0,26.00,26.0,26.0,"6,000","1,56,000.00",1,"6,000",100.00
GANGAFORGE,SM,01-01-2019,26.0,25.75,25.75,25.75,25.75,25.75,25.75,"6,000","1,54,500.00",1,"6,000",100.0
GANGAFORGE,SM,02-01-2019,25.75,23.7,23.7,23.7,23.7,23.7,23.7,"6,000","1,42,200.00",1,"6,000",100.0
GANGAFORGE,SM,03-01-2019,23.7,24.25,24.25,24.25,24.25,24.25,24.25,"6,000","1,45,500.00",1,"6,000",100.0
GANGAFORGE,SM,04-01-2019,24.25,24.25,24.25,24.25,24.25,24.25,24.25,"6,000","1,45,500.00",1,"6,000",100.0
GANGAFORGE,SM,08-01-2019,24.25,24.25,24.25,24.25,24.25,24.25,24.25,"6,000","1,45,500.00",1,"6,000",100.0
GANGAFORGE,SM,10-01-2019,24.25,24.25,24.25,24.25,24.25,24.25,24.25,"12,000","2,91,000.00",2,"12,000",100.0
GANGAFORGE,SM,15-01-2019,24.25,24.25,24.25,24.25,24.25,24.25,24.25,"6,000","1,45,500.00",1,"6,000",100.0
GANGAFORGE,SM,18-01-2019,24.25,24.25,24.25,24.25,24.25,24.25,24.25,"6,000","1,45,500.00",1,"6,000",100.0
GANGAFORGE,SM,22-01-2019,24.25,24.2,24.2,24.2,24.2,24.2,24.2,"6,000","1,45,200.00",1,"6,000",100.0
