SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
GENUSPAPER,BE,16-02-2015,17.9,4.8,5.25,4.8,4.8,4.8,4.82,"10,132","48,838.10",21,-,-
GENUSPAPER,BE,18-02-2015,4.8,4.6,4.6,4.6,4.6,4.6,4.6,"6,865","31,579.00",16,-,-
GENUSPAPER,BE,19-02-2015,4.6,4.4,4.4,4.4,4.4,4.4,4.4,"1,000","4,400.00",1,-,-
GENUSPAPER,BE,20-02-2015,4.4,4.2,4.2,4.2,4.2,4.2,4.2,"6,848","28,761.60",19,-,-
GENUSPAPER,BE,23-02-2015,4.2,4.0,4.0,4.0,4.0,4.0,4.0,"2,462","9,848.00",6,-,-
GENUSPAPER,BE,24-02-2015,4.0,3.8,3.8,3.8,3.8,3.8,3.8,"1,133","4,305.40",4,-,-
GENUSPAPER,BE,25-02-2015,3.8,3.65,3.65,3.65,3.65,3.65,3.65,202,737.30,2,-,-
GENUSPAPER,BE,26-02-2015,3.65,3.5,3.5,3.5,3.5,3.5,3.5,"3,122","10,927.00",5,-,-
GENUSPAPER,BE,27-02-2015,3.5,3.35,3.35,3.35,3.35,3.35,3.35,"1,608","5,386.80",5,-,-
GENUSPAPER,BE,28-02-2015,3.35,3.2,3.2,3.2,3.2,3.2,3.2,"8,612","27,558.40",12,-,-
GENUSPAPER,EQ,02-03-2015,3.2,2.95,3.05,2.9,2.9,2.9,2.96,"76,518","2,26,522.90",79,"76,516",100.00
GENUSPAPER,EQ,03-03-2015,2.9,2.9,2.9,2.65,2.75,2.75,2.67,"35,922","95,932.95",81,"35,920",99.99
GENUSPAPER,EQ,04-03-2015,2.75,2.5,3.0,2.5,2.85,2.9,2.83,"33,933","96,005.80",83,"33,305",98.15
GENUSPAPER,EQ,05-03-2015,2.9,2.8,2.95,2.8,2.95,2.9,2.83,"15,647","44,314.60",35,"12,021",76.83
GENUSPAPER,EQ,09-03-2015,2.9,3.0,3.0,2.8,2.8,2.8,2.81,"6,556","18,424.05",18,"6,526",99.54
GENUSPAPER,EQ,10-03-2015,2.8,2.9,2.9,2.7,2.7,2.7,2.76,"12,746","35,235.15",34,"9,305",73.00
GENUSPAPER,EQ,11-03-2015,2.7,2.7,2.75,2.6,2.75,2.7,2.64,"10,371","27,396.60",33,"9,161",88.33
GENUSPAPER,EQ,12-03-2015,2.7,2.8,2.8,2.65,2.75,2.75,2.7,"7,282","19,651.90",17,"6,070",83.36
GENUSPAPER,EQ,13-03-2015,2.75,2.65,2.85,2.65,2.65,2.7,2.7,"42,478","1,14,845.05",53,"39,368",92.68
GENUSPAPER,EQ,16-03-2015,2.7,2.8,2.8,2.6,2.8,2.8,2.76,"23,606","65,160.30",26,"19,606",83.06
GENUSPAPER,EQ,17-03-2015,2.8,2.75,2.9,2.7,2.7,2.7,2.78,"47,455","1,31,749.50",67,"41,325",87.08
GENUSPAPER,EQ,18-03-2015,2.7,2.6,2.75,2.6,2.6,2.6,2.6,"17,42,552","45,30,876.40",142,"16,59,415",95.23
GENUSPAPER,EQ,19-03-2015,2.6,2.55,2.7,2.5,2.6,2.6,2.62,"23,445","61,344.25",40,"17,381",74.14
GENUSPAPER,EQ,20-03-2015,2.6,2.7,2.7,2.5,2.55,2.55,2.55,"19,926","50,785.80",18,"19,336",97.04
GENUSPAPER,EQ,23-03-2015,2.55,2.45,2.5,2.45,2.45,2.45,2.46,"14,549","35,776.40",33,"14,446",99.29
GENUSPAPER,EQ,24-03-2015,2.45,2.45,2.5,2.45,2.45,2.45,2.48,"16,059","39,759.55",12,"16,059",100.00
GENUSPAPER,EQ,25-03-2015,2.45,2.5,2.5,2.35,2.35,2.35,2.39,"4,001","9,577.60",9,"3,001",75.01
GENUSPAPER,EQ,26-03-2015,2.35,2.35,2.35,2.25,2.25,2.25,2.26,"2,793","6,311.25",12,"2,543",91.05
GENUSPAPER,EQ,27-03-2015,2.25,2.15,2.15,2.15,2.15,2.15,2.15,"16,16,744","34,75,999.60",72,"15,54,502",96.15
GENUSPAPER,EQ,30-03-2015,2.15,2.05,2.05,2.05,2.05,2.05,2.05,"21,942","44,981.10",18,"21,942",100.00
GENUSPAPER,EQ,31-03-2015,2.05,1.95,2.05,1.95,1.95,1.95,1.96,"41,205","80,624.75",35,"41,205",100.00
GENUSPAPER,EQ,01-04-2015,1.95,1.9,2.0,1.9,2.0,2.0,1.99,"1,18,367","2,35,282.50",37,"1,17,817",99.54
GENUSPAPER,EQ,06-04-2015,2.0,2.1,2.1,1.9,1.9,1.9,2.06,"19,791","40,738.65",31,"17,679",89.33
GENUSPAPER,EQ,07-04-2015,1.9,1.95,1.95,1.85,1.85,1.85,1.86,"46,214","85,950.90",33,"44,211",95.67
GENUSPAPER,EQ,08-04-2015,1.85,1.9,1.9,1.8,1.85,1.85,1.81,"55,435","1,00,582.15",50,"53,433",96.39
GENUSPAPER,EQ,09-04-2015,1.85,1.85,1.85,1.8,1.8,1.8,1.8,"27,551","49,641.80",13,"27,551",100.00
GENUSPAPER,EQ,10-04-2015,1.8,1.8,1.8,1.75,1.75,1.75,1.75,"2,15,293","3,76,812.75",51,"2,14,282",99.53
GENUSPAPER,EQ,13-04-2015,1.75,1.75,1.8,1.7,1.8,1.8,1.79,"1,42,579","2,55,831.15",74,"1,39,046",97.52
