SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
GENUSOVERE,EQ,08-07-2005,101.45,118.0,119.85,113.0,118.5,119.7,118.45,"1,84,410","2,18,42,944.80",-,"50,165",27.2
GENUSOVERE,EQ,11-07-2005,119.7,122.5,123.75,118.0,121.8,121.05,121.59,"1,11,218","1,35,23,357.25",-,"58,488",52.59
GENUSOVERE,EQ,12-07-2005,121.05,121.5,122.9,115.5,119.0,118.1,119.74,"49,617","59,41,037.40",-,"28,358",57.15
GENUSOVERE,EQ,13-07-2005,118.1,120.0,121.0,110.0,113.4,112.35,114.12,"70,188","80,10,002.80",-,"51,876",73.91
GENUSOVERE,EQ,14-07-2005,112.35,113.0,115.0,110.3,113.5,113.95,113.99,"21,120","24,07,453.65",-,"13,144",62.23
GENUSOVERE,EQ,15-07-2005,113.95,120.0,120.0,111.5,116.8,116.05,116.64,"21,486","25,06,036.60",-,"16,080",74.84
GENUSOVERE,EQ,18-07-2005,116.05,121.0,121.0,116.0,117.9,117.4,117.85,"25,362","29,88,956.25",-,"20,724",81.71
GENUSOVERE,EQ,19-07-2005,117.4,120.0,121.0,116.1,116.1,116.85,117.44,"19,699","23,13,518.80",-,"15,587",79.13
GENUSOVERE,EQ,20-07-2005,116.85,119.4,120.9,114.05,118.5,118.2,117.5,"60,200","70,73,507.50",-,"27,171",45.13
GENUSOVERE,EQ,21-07-2005,118.2,119.8,119.8,116.0,117.6,116.95,117.54,"42,815","50,32,370.70",-,"25,253",58.98
GENUSOVERE,EQ,22-07-2005,116.95,119.0,122.2,116.0,120.0,120.3,119.62,"48,031","57,45,598.20",-,"19,757",41.13
GENUSOVERE,EQ,25-07-2005,120.3,121.0,122.9,117.3,120.5,120.45,120.19,"35,786","43,01,093.20",-,"25,463",71.15
GENUSOVERE,EQ,26-07-2005,120.45,122.5,125.0,120.0,123.0,121.8,122.3,"79,125","96,76,740.95",-,"30,699",38.8
GENUSOVERE,EQ,27-07-2005,121.8,123.5,127.0,120.1,122.3,122.6,123.02,"1,92,984","2,37,41,609.90",-,"1,39,347",72.21
GENUSOVERE,EQ,29-07-2005,122.6,123.8,123.8,111.05,118.05,117.2,118.32,"82,320","97,40,490.55",-,"38,883",47.23
GENUSOVERE,EQ,01-08-2005,117.2,119.4,119.4,114.1,115.6,116.05,115.67,"35,093","40,59,263.40",-,"28,048",79.92
GENUSOVERE,EQ,02-08-2005,116.05,115.6,121.0,115.6,120.95,120.0,119.48,"27,489","32,84,399.90",-,"19,150",69.66
GENUSOVERE,EQ,03-08-2005,120.0,121.0,123.0,117.15,119.0,118.55,119.74,"38,364","45,93,685.90",-,"25,223",65.75
GENUSOVERE,EQ,04-08-2005,118.55,119.15,119.9,117.0,117.0,117.5,118.16,"12,403","14,65,591.20",-,"7,943",64.04
GENUSOVERE,EQ,05-08-2005,117.5,119.0,119.0,117.0,117.15,117.5,118.08,"9,724","11,48,227.75",-,"7,708",79.27
GENUSOVERE,EQ,08-08-2005,117.5,120.0,121.3,116.0,116.5,116.6,117.83,"22,159","26,10,958.65",-,"16,455",74.26
GENUSOVERE,EQ,09-08-2005,116.6,118.9,119.0,115.7,117.9,117.75,117.25,"7,537","8,83,728.35",-,"5,919",78.53
GENUSOVERE,EQ,10-08-2005,117.75,120.0,120.9,118.7,120.65,120.45,120.1,"28,967","34,78,822.45",-,"21,737",75.04
GENUSOVERE,EQ,11-08-2005,120.45,122.9,123.0,120.75,122.4,122.3,122.18,"27,505","33,60,486.65",-,"23,266",84.59
GENUSOVERE,EQ,12-08-2005,122.3,122.5,122.5,119.15,121.0,120.7,121.0,"8,882","10,74,734.95",-,"6,875",77.4
GENUSOVERE,EQ,16-08-2005,120.7,122.0,122.0,120.0,120.75,120.75,121.01,"17,867","21,62,030.75",-,"15,130",84.68
GENUSOVERE,EQ,17-08-2005,120.75,122.0,122.0,120.0,120.5,120.4,120.72,"23,000","27,76,516.80",-,"20,935",91.02
GENUSOVERE,EQ,18-08-2005,120.4,120.0,125.0,120.0,122.0,121.15,122.12,"18,989","23,19,007.90",-,"13,036",68.65
GENUSOVERE,EQ,19-08-2005,121.15,118.0,122.75,118.0,118.0,120.0,120.04,"21,015","25,22,540.75",-,"15,005",71.4
GENUSOVERE,EQ,22-08-2005,120.0,123.0,123.0,118.0,120.0,119.85,120.84,"33,615","40,62,092.95",-,"24,895",74.06
GENUSOVERE,EQ,23-08-2005,119.85,123.0,123.0,117.05,118.7,117.5,119.45,"18,169","21,70,372.65",-,"12,785",70.37
