SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
GOLD360,EQ,17-03-2025,85.5,87.0,87.7,86.5,87.5,87.5,87.4,"96,533","84,36,700.20",42,"81,927",84.87
GOLD360,EQ,18-03-2025,87.5,87.8,88.1,87.1,87.7,87.7,87.42,"11,233","9,81,960.05",40,"10,804",96.18
GOLD360,EQ,19-03-2025,87.7,89.9,89.9,87.65,87.65,87.65,88.24,"2,498","2,20,434.55",40,"2,115",84.67
GOLD360,EQ,20-03-2025,87.65,88.65,88.7,88.2,88.2,88.2,88.37,"2,041","1,80,365.25",39,"1,385",67.86
GOLD360,EQ,21-03-2025,88.2,88.2,88.2,87.0,87.25,87.25,87.97,"1,487","1,30,812.25",20,"1,377",92.6
GOLD360,EQ,24-03-2025,87.25,87.25,87.55,87.05,87.55,87.55,87.08,"1,020","88,817.90",59,964,94.51
GOLD360,EQ,25-03-2025,87.55,90.2,90.2,86.45,87.3,87.0,87.47,548,"47,932.35",29,342,62.41
GOLD360,EQ,26-03-2025,87.0,86.55,88.0,86.3,87.5,87.5,87.57,"4,261","3,73,124.50",30,"3,243",76.11
GOLD360,EQ,27-03-2025,87.5,87.5,88.0,86.8,88.0,88.0,87.45,"15,252","13,33,815.45",25,"15,080",98.87
GOLD360,EQ,28-03-2025,88.0,88.0,88.75,88.0,88.45,88.45,88.7,"8,588","7,61,752.20",32,"8,574",99.84
GOLD360,EQ,01-04-2025,88.45,90.25,90.75,90.25,90.3,90.25,90.65,"1,696","1,53,739.50",37,"1,533",90.39
GOLD360,EQ,02-04-2025,90.25,90.25,92.8,87.4,89.0,89.05,89.47,201,"17,983.10",28,149,74.13
GOLD360,EQ,03-04-2025,89.05,89.45,91.0,89.45,90.8,90.8,90.53,811,"73,416.20",41,490,60.42
GOLD360,EQ,04-04-2025,90.8,93.0,93.0,88.7,90.2,90.2,89.35,"9,191","8,21,197.10",63,"3,049",33.17
GOLD360,EQ,07-04-2025,90.2,90.2,90.2,86.5,87.95,87.95,88.01,"3,224","2,83,738.40",46,"3,078",95.47
GOLD360,EQ,08-04-2025,87.95,87.95,87.95,86.75,87.7,87.65,87.08,"1,144","99,620.90",36,826,72.2
GOLD360,EQ,09-04-2025,87.65,87.7,89.75,87.7,89.75,89.75,88.51,"2,715","2,40,296.15",24,"2,219",81.73
GOLD360,EQ,11-04-2025,89.75,90.1,92.75,90.1,92.75,91.95,92.35,"5,245","4,84,375.05",52,"4,342",82.78
GOLD360,EQ,15-04-2025,91.95,92.0,93.05,92.0,92.9,92.9,92.93,"1,550","1,44,041.85",55,"1,493",96.32
GOLD360,EQ,16-04-2025,92.9,92.9,93.9,92.9,93.85,93.8,93.45,"1,694","1,58,311.80",65,"1,434",84.65
GOLD360,EQ,17-04-2025,93.8,93.95,94.9,93.95,94.6,94.65,94.66,"2,070","1,95,941.80",48,"1,856",89.66
GOLD360,EQ,21-04-2025,94.65,97.0,105.25,95.0,96.0,96.0,96.95,"4,670","4,52,759.70",138,"2,215",47.43
GOLD360,EQ,22-04-2025,96.0,98.5,98.5,97.6,97.65,97.9,98.24,"1,512","1,48,544.00",52,"1,500",99.21
GOLD360,EQ,23-04-2025,97.9,99.9,99.9,94.7,95.45,95.5,95.16,"3,531","3,35,994.45",106,"1,513",42.85
GOLD360,EQ,24-04-2025,95.5,98.35,98.35,95.1,95.35,95.35,95.4,"3,738","3,56,604.80",86,830,22.2
GOLD360,EQ,25-04-2025,95.35,93.45,95.5,93.45,95.0,95.0,94.97,701,"66,571.60",43,378,53.92
GOLD360,EQ,28-04-2025,95.0,95.45,95.45,93.9,93.9,93.95,94.12,"2,040","1,92,004.60",59,"1,668",81.76
GOLD360,EQ,29-04-2025,93.95,93.95,95.2,93.95,95.15,94.9,95.02,"1,462","1,38,918.55",64,"1,111",75.99
GOLD360,EQ,30-04-2025,94.9,95.15,95.15,93.0,94.2,94.2,94.53,"3,177","3,00,313.30",107,"2,620",82.47
GOLD360,EQ,02-05-2025,94.2,96.1,96.1,92.0,93.5,93.3,92.64,"1,669","1,54,618.75",78,"1,300",77.89
GOLD360,EQ,05-05-2025,93.3,95.0,95.0,92.85,94.0,94.25,93.15,"3,113","2,89,964.85",70,"2,698",86.67
GOLD360,EQ,06-05-2025,94.25,95.7,96.8,95.7,96.35,96.5,96.13,"2,859","2,74,848.15",67,"2,083",72.86
GOLD360,EQ,07-05-2025,96.5,96.5,97.05,96.0,96.65,96.65,96.64,"2,264","2,18,790.20",39,"1,808",79.86
GOLD360,EQ,08-05-2025,96.65,97.1,97.15,94.55,96.05,95.9,95.83,"3,707","3,55,226.20",60,"2,612",70.46
GOLD360,EQ,09-05-2025,95.9,95.0,97.0,95.0,95.15,95.15,95.52,"1,867","1,78,333.45",44,"1,002",53.67
GOLD360,EQ,12-05-2025,95.15,95.15,97.55,92.5,92.5,92.55,93.51,"6,706","6,27,059.45",118,"5,560",82.91
