SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
GRAPHISAD,ST,13-12-2023,111.0,111.5,112.0,105.95,105.95,105.95,111.05,"6,30,000","6,99,59,820.00",429,"6,30,000",100.0
GRAPHISAD,ST,14-12-2023,105.95,100.65,100.65,100.65,100.65,100.65,100.65,"56,400","56,76,660.00",47,"56,400",100.0
GRAPHISAD,ST,15-12-2023,100.65,95.65,95.65,95.65,95.65,95.65,95.65,"15,600","14,92,140.00",11,"15,600",100.0
GRAPHISAD,ST,18-12-2023,95.65,90.9,90.9,90.9,90.9,90.9,90.9,"6,000","5,45,400.00",5,"6,000",100.0
GRAPHISAD,ST,19-12-2023,90.9,86.35,86.35,86.35,86.35,86.35,86.35,"16,800","14,50,680.00",13,"16,800",100.0
GRAPHISAD,ST,20-12-2023,86.35,82.05,90.65,82.05,89.85,89.5,84.1,"10,57,200","8,89,11,480.00",709,"7,77,600",73.55
GRAPHISAD,ST,21-12-2023,89.5,85.05,86.9,85.05,85.05,85.05,85.07,"1,29,600","1,10,25,600.00",95,"1,11,600",86.11
GRAPHISAD,ST,22-12-2023,85.05,81.25,81.6,80.8,80.8,80.8,80.87,"1,04,400","84,42,780.00",79,"1,00,800",96.55
GRAPHISAD,ST,26-12-2023,80.8,78.05,79.5,76.8,76.8,76.8,76.96,"3,84,000","2,95,50,780.00",235,"2,64,000",68.75
GRAPHISAD,ST,27-12-2023,76.8,74.5,76.0,73.0,73.0,73.0,73.51,"3,13,200","2,30,23,320.00",241,"2,70,000",86.21
GRAPHISAD,SM,28-12-2023,73.0,72.2,78.4,70.0,73.1,73.05,73.98,"3,63,600","2,68,97,880.00",279,"1,96,800",54.13
GRAPHISAD,SM,29-12-2023,73.05,74.0,75.5,71.75,71.8,72.3,73.17,"1,50,000","1,09,75,140.00",123,"1,14,000",76.0
GRAPHISAD,SM,01-01-2024,72.3,70.75,72.25,70.0,70.8,71.0,71.25,"85,200","60,70,800.00",71,"57,600",67.61
GRAPHISAD,SM,02-01-2024,71.0,71.0,73.0,68.0,69.7,69.15,70.1,"1,53,600","1,07,67,780.00",127,"1,26,000",82.03
GRAPHISAD,SM,03-01-2024,69.15,69.15,70.1,65.85,67.5,67.2,67.26,"2,14,800","1,44,47,280.00",177,"1,14,000",53.07
GRAPHISAD,SM,04-01-2024,67.2,67.2,74.5,67.2,73.7,74.0,72.01,"2,01,600","1,45,17,180.00",166,"1,26,000",62.5
GRAPHISAD,SM,05-01-2024,74.0,76.0,76.3,72.0,72.0,72.05,73.57,"91,200","67,09,320.00",73,"73,200",80.26
GRAPHISAD,SM,08-01-2024,72.05,72.2,73.45,69.55,70.0,70.2,70.62,"1,02,000","72,03,000.00",83,"81,600",80.0
GRAPHISAD,SM,09-01-2024,70.2,71.75,72.0,69.4,70.1,70.25,70.26,"50,400","35,41,260.00",38,"37,200",73.81
GRAPHISAD,SM,10-01-2024,70.25,71.5,71.5,69.0,71.3,71.15,70.28,"60,000","42,16,980.00",46,"49,200",82.0
GRAPHISAD,SM,11-01-2024,71.15,71.25,71.7,69.6,70.2,70.15,70.34,"46,800","32,91,960.00",38,"30,000",64.1
GRAPHISAD,SM,12-01-2024,70.15,70.0,72.0,70.0,71.2,71.35,71.29,"55,200","39,35,400.00",43,"48,000",86.96
GRAPHISAD,SM,15-01-2024,71.35,71.2,72.0,70.0,70.2,70.15,70.73,"1,09,200","77,23,680.00",86,"76,800",70.33
GRAPHISAD,SM,16-01-2024,70.15,70.0,70.85,69.3,70.0,70.1,70.08,"37,200","26,07,060.00",31,"27,600",74.19
GRAPHISAD,SM,17-01-2024,70.1,70.2,71.0,67.0,69.55,68.8,69.38,"81,600","56,61,240.00",65,"54,000",66.18
GRAPHISAD,SM,18-01-2024,68.8,68.8,69.9,67.8,69.0,68.75,68.72,"25,200","17,31,840.00",21,"21,600",85.71
GRAPHISAD,SM,19-01-2024,68.75,68.5,70.5,68.15,69.0,68.9,69.07,"38,400","26,52,180.00",32,"27,600",71.88
GRAPHISAD,SM,20-01-2024,68.9,68.5,68.95,68.1,68.5,68.6,68.42,"42,000","28,73,520.00",35,"31,200",74.29
GRAPHISAD,SM,23-01-2024,68.6,68.6,68.7,67.3,67.5,67.5,67.85,"58,800","39,89,400.00",49,"44,400",75.51
GRAPHISAD,SM,24-01-2024,67.5,67.0,67.65,66.05,67.0,67.05,67.0,"32,400","21,70,680.00",27,"24,000",74.07
GRAPHISAD,SM,25-01-2024,67.05,67.0,67.0,66.0,66.35,66.35,66.27,"46,800","31,01,400.00",32,"42,000",89.74
GRAPHISAD,SM,29-01-2024,66.35,67.0,67.0,65.1,65.15,65.15,65.54,"51,600","33,81,780.00",43,"40,800",79.07
GRAPHISAD,SM,30-01-2024,65.15,65.15,65.45,63.9,64.05,64.15,64.13,"52,800","33,86,220.00",40,"45,600",86.36
