SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
GREENLEAF,ST,09-10-2025,136.0,134.9,134.9,128.15,130.1,132.9,134.12,"8,99,000","12,05,74,900.00",444,"8,93,000",99.33
GREENLEAF,ST,10-10-2025,132.9,132.8,139.5,127.25,139.5,139.5,135.24,429000,580.17,238, 417000,97.2
GREENLEAF,ST,13-10-2025,139.5,144.5,144.8,132.55,132.55,132.55,138.48,66000,91.4,63, 58000,87.88
GREENLEAF,ST,14-10-2025,132.55,127.3,138.8,125.95,125.95,125.95,126.98,28000,35.55,22, 28000,100.0
GREENLEAF,ST,15-10-2025,125.95,119.65,132.0,119.65,132.0,130.15,123.41,121000,149.33,79, 115000,95.04
GREENLEAF,ST,16-10-2025,130.15,129.0,134.4,126.1,134.0,130.75,129.93,28000,36.38,26, 27000,96.43
GREENLEAF,ST,17-10-2025,130.75,127.0,137.25,125.0,137.25,135.7,133.69,38000,50.8,34, 36000,94.74
GREENLEAF,ST,20-10-2025,135.7,136.0,136.0,130.15,134.45,134.45,133.14,5000,6.66,5, 4000,80.0
GREENLEAF,ST,21-10-2025,134.45,138.45,138.45,133.0,136.5,134.9,134.84,17000,22.92,16, 16000,94.12
GREENLEAF,ST,23-10-2025,134.9,131.0,136.15,130.05,130.05,130.05,133.46,8000,10.68,8, 8000,100.0
GREENLEAF,ST,24-10-2025,130.05,134.9,134.9,130.0,134.0,133.1,132.15,28000,37.0,20, 20000,71.43
GREENLEAF,SM,27-10-2025,133.1,137.25,137.3,130.0,134.5,134.5,134.63,12000,16.16,12, 11000,91.67
GREENLEAF,SM,28-10-2025,134.5,136.0,136.6,129.0,134.2,134.2,134.97,16000,21.6,16, 6000,37.5
GREENLEAF,SM,29-10-2025,134.2,132.9,132.95,130.0,130.0,130.0,132.59,11000,14.58,11, 1000,9.09
GREENLEAF,SM,30-10-2025,130.0,129.0,131.95,126.0,127.25,127.25,128.48,14000,17.99,14, 11000,78.57
GREENLEAF,SM,03-11-2025,127.25,132.95,136.25,130.0,130.0,132.35,132.25,34000,44.96,26, 30000,88.24
GREENLEAF,SM,04-11-2025,132.35,133.0,133.0,130.0,130.0,130.0,130.62,13000,16.98,13, 2000,15.38
GREENLEAF,SM,06-11-2025,130.0,133.0,134.0,130.0,133.0,133.35,132.38,73000,96.64,63, 27000,36.99
GREENLEAF,SM,07-11-2025,133.35,135.0,135.0,130.0,132.5,131.95,133.23,63000,83.93,42, 35000,55.56
GREENLEAF,SM,10-11-2025,131.95,133.0,144.8,111.0,129.0,129.0,128.9,29000,37.38,29, 20000,68.97
GREENLEAF,SM,11-11-2025,129.0,130.8,130.8,125.0,127.0,127.0,127.57,6000,7.65,6, 5000,83.33
GREENLEAF,SM,12-11-2025,127.0,122.1,127.0,122.1,127.0,127.0,123.74,4000,4.95,4, 2000,50.0
GREENLEAF,SM,13-11-2025,127.0,127.05,127.05,126.7,127.0,127.0,126.96,6000,7.62,6, 6000,100.0
GREENLEAF,SM,14-11-2025,127.0,131.05,134.05,130.15,132.0,132.0,131.25,16000,21.0,16, 5000,31.25
GREENLEAF,SM,17-11-2025,132.0,130.1,133.0,130.1,133.0,132.6,131.27,19000,24.94,19, 9000,47.37
GREENLEAF,SM,18-11-2025,132.6,131.1,131.6,128.0,128.0,128.5,130.54,15000,19.58,15, 5000,33.33
GREENLEAF,SM,19-11-2025,128.5,130.8,132.0,130.0,131.95,132.0,131.07,23000,30.15,20, 13000,56.52
GREENLEAF,SM,20-11-2025,132.0,131.95,132.9,127.55,130.9,131.8,131.85,61000,80.43,28, 45000,73.77
GREENLEAF,SM,21-11-2025,131.8,135.0,154.0,133.5,145.0,144.15,143.27,236000,338.11,192, 157000,66.53
GREENLEAF,SM,24-11-2025,144.15,148.3,163.0,148.3,162.7,161.1,155.79,189000,294.44,174, 112000,59.26
GREENLEAF,SM,25-11-2025,161.1,168.0,173.7,165.0,169.0,168.5,170.0,173000,294.11,159, 67000,38.73
GREENLEAF,SM,26-11-2025,168.5,170.95,173.6,165.0,169.0,167.65,170.0,49000,83.3,42, 31000,63.27
GREENLEAF,SM,27-11-2025,167.65,167.65,173.8,160.0,169.95,169.2,168.22,97000,163.17,75, 59000,60.82
GREENLEAF,SM,28-11-2025,169.2,178.9,178.9,168.05,170.0,169.8,170.66,34000,58.02,25, 23000,67.65
GREENLEAF,SM,01-12-2025,169.8,165.05,170.0,163.7,168.8,169.35,167.05,47000,78.52,42, 25000,53.19
GREENLEAF,SM,02-12-2025,169.35,173.95,177.8,169.5,177.0,177.2,175.04,46000,80.52,44, 23000,50.0
GREENLEAF,SM,03-12-2025,177.2,177.0,179.65,166.95,167.0,169.05,171.79,43000,73.87,42, 22000,51.16
GREENLEAF,SM,04-12-2025,169.05,178.0,178.0,170.0,170.0,171.45,172.21,47000,80.94,39, 40000,85.11
GREENLEAF,SM,05-12-2025,171.45,177.0,178.45,170.3,175.0,176.75,174.96,78000,136.47,46, 22000, 28.21
