SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
GRETEX,SM,14-10-2016,20.0,24.0,24.0,22.25,24.0,24.0,23.21,"2,64,000","61,28,400.00",44,"2,10,000",79.55
GRETEX,SM,17-10-2016,24.0,23.5,23.5,21.4,21.4,21.4,21.93,"24,000","5,26,200.00",4,"24,000",100.0
GRETEX,SM,09-11-2016,21.4,20.25,20.25,18.4,18.4,18.4,19.33,"12,000","2,31,900.00",2,"12,000",100.0
GRETEX,SM,15-11-2016,18.4,20.25,20.25,20.25,20.25,20.25,20.25,"36,000","7,29,000.00",6,"36,000",100.0
GRETEX,SM,21-11-2016,20.25,18.8,18.8,18.8,18.8,18.8,18.8,"36,000","6,76,800.00",6,"36,000",100.0
GRETEX,SM,06-01-2017,18.8,18.7,18.7,15.5,15.5,16.15,16.14,"30,000","4,84,200.00",5,"30,000",100.00
GRETEX,SM,10-01-2017,16.15,17.75,17.75,14.5,14.5,14.75,15.06,"78,000","11,74,500.00",11,"78,000",100.00
GRETEX,SM,11-01-2017,14.75,14.75,14.75,14.75,14.75,14.75,14.75,"60,000","8,85,000.00",2,"60,000",100.00
GRETEX,SM,12-01-2017,14.75,16.0,17.35,16.0,17.35,17.35,16.77,"18,000","3,01,800.00",3,"18,000",100.00
GRETEX,SM,13-01-2017,17.35,16.5,16.5,16.5,16.5,16.5,16.5,"36,000","5,94,000.00",1,"36,000",100.00
GRETEX,SM,16-01-2017,16.5,16.5,16.8,16.5,16.8,16.65,16.65,"12,000","1,99,800.00",2,"6,000",50.00
GRETEX,SM,19-01-2017,16.65,16.2,16.2,16.0,16.0,16.0,16.02,"60,000","9,61,200.00",2,"60,000",100.00
GRETEX,SM,23-01-2017,16.0,16.75,18.9,16.75,18.9,18.9,17.85,"36,000","6,42,600.00",4,"18,000",50.00
GRETEX,SM,24-01-2017,18.9,16.0,16.0,16.0,16.0,16.0,16.0,"60,000","9,60,000.00",10,"60,000",100.00
GRETEX,SM,30-01-2017,16.0,16.9,16.9,15.0,15.5,15.15,15.23,"1,38,000","21,01,800.00",23,"1,38,000",100.00
GRETEX,SM,31-01-2017,15.15,16.2,17.5,16.2,17.5,17.5,16.85,"12,000","2,02,200.00",2,"6,000",50.00
GRETEX,SM,01-02-2017,17.5,18.65,19.9,18.65,19.9,19.9,19.28,"12,000","2,31,300.00",2,"12,000",100.00
GRETEX,SM,02-02-2017,19.9,21.1,21.1,21.1,21.1,21.1,21.1,"6,000","1,26,600.00",1,"6,000",100.00
GRETEX,SM,06-02-2017,21.1,18.1,21.5,18.0,21.5,20.0,18.51,"1,44,000","26,64,900.00",24,"1,20,000",83.33
GRETEX,SM,14-02-2017,20.0,21.0,21.1,21.0,21.1,21.1,21.07,"66,000","13,90,800.00",8,"66,000",100.00
GRETEX,SM,17-02-2017,21.1,21.5,22.5,19.55,19.55,19.55,21.87,"1,32,000","28,86,300.00",22,"1,32,000",100.00
GRETEX,SM,20-02-2017,19.55,18.6,18.6,18.6,18.6,18.6,18.6,"6,000","1,11,600.00",1,"6,000",100.00
GRETEX,SM,02-03-2017,18.6,18.6,18.6,18.6,18.6,18.6,18.6,"36,000","6,69,600.00",6,"36,000",100.00
GRETEX,SM,06-03-2017,18.6,18.4,18.4,18.4,18.4,18.4,18.4,"6,000","1,10,400.00",1,"6,000",100.00
GRETEX,SM,07-03-2017,18.4,22.0,22.0,22.0,22.0,22.0,22.0,"6,000","1,32,000.00",1,"6,000",100.00
GRETEX,SM,08-03-2017,22.0,24.6,24.6,24.6,24.6,24.6,24.6,"6,000","1,47,600.00",1,"6,000",100.00
