SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
GROWW,EQ,12-11-2025,100.0,112.0,134.4,112.0,128.85,131.33,122.83,"52,38,38,472","64,34,08,83,489.50","14,79,928","23,04,52,762",43.99
GROWW,EQ,13-11-2025,131.33,131.0,153.5,129.55,137.45,137.69,142.1,535192240,760491.81,1717263, 92720031,17.32
GROWW,EQ,14-11-2025,137.69,142.7,149.99,140.03,148.84,148.53,145.14,250139103,363052.77,773083, 44771322,17.9
GROWW,EQ,17-11-2025,148.53,154.15,178.23,152.25,178.23,174.45,165.46,466421770,771746.8,1542144, 62201708,13.34
GROWW,EQ,18-11-2025,174.45,185.0,193.8,179.5,189.0,188.77,187.45,463399294,868620.71,1803315, 61272257,13.22
GROWW,EQ,19-11-2025,188.77,187.99,187.99,169.89,169.89,169.89,177.03,142472507,252221.42,531390, 37077288,26.02
GROWW,EQ,20-11-2025,169.89,157.55,162.27,153.1,156.41,156.71,157.26,121442958,190977.08,589800, 27313043,22.49
GROWW,EQ,21-11-2025,156.71,156.02,168.39,155.6,156.94,157.84,162.43,182611278,296613.89,726344, 24895706,13.63
GROWW,EQ,24-11-2025,157.84,159.26,163.38,150.0,151.19,151.8,157.53,91853111,144697.53,402604, 13451545,14.64
GROWW,EQ,25-11-2025,151.8,152.55,163.2,152.55,160.3,161.12,158.42,91511871,144971.15,352015, 14981323,16.37
GROWW,EQ,26-11-2025,161.12,161.99,165.45,158.88,162.9,162.89,162.84,67776516,110366.58,267187, 11465199,16.92
GROWW,EQ,27-11-2025,162.89,164.2,164.48,159.15,160.45,160.24,160.92,29835924,48011.64,135136, 6582719,22.06
GROWW,EQ,28-11-2025,160.24,160.29,163.25,158.1,159.2,158.88,159.83,23324297,37280.2,124821, 4684116,20.08
GROWW,EQ,01-12-2025,158.88,160.0,161.95,155.8,157.65,157.33,158.35,26373071,41762.92,138566, 4581070,17.37
GROWW,EQ,02-12-2025,157.33,157.47,160.45,156.89,157.94,157.84,158.21,17154364,27139.31,85690, 3799230, 22.15
