SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
GROWWMC150,EQ,17-11-2025,223.48,226.0,227.5,221.05,223.97,223.35,224.17,"24,018","53,84,164.52",651,"7,478",31.13
GROWWMC150,EQ,18-11-2025,223.35,223.35,226.7,220.1,224.0,222.79,223.43,4846,10.83,317, 3489,72.0
GROWWMC150,EQ,19-11-2025,222.79,225.89,225.89,220.15,224.39,224.05,222.99,2532,5.65,174, 2267,89.53
GROWWMC150,EQ,20-11-2025,224.05,224.0,225.54,224.0,225.0,224.64,224.49,907,2.04,163, 803,88.53
GROWWMC150,EQ,21-11-2025,224.64,224.2,225.99,221.05,221.44,221.45,222.15,1562,3.47,127, 1138,72.86
GROWWMC150,EQ,24-11-2025,221.45,222.67,223.13,220.35,221.09,221.26,221.32,1886,4.17,126, 1378,73.06
GROWWMC150,EQ,25-11-2025,221.26,221.01,224.9,219.95,220.25,220.56,220.62,1836,4.05,148, 1414,77.02
GROWWMC150,EQ,26-11-2025,220.56,221.01,223.3,219.95,223.1,223.19,222.14,1587,3.53,79, 1567,98.74
GROWWMC150,EQ,27-11-2025,223.19,221.06,225.54,221.05,224.0,223.61,223.21,1434,3.2,113, 1194,83.26
GROWWMC150,EQ,28-11-2025,223.61,221.09,224.0,221.09,223.19,222.91,222.77,1078,2.4,76, 963,89.33
GROWWMC150,EQ,01-12-2025,222.91,222.91,227.0,222.18,222.66,222.68,223.37,2765,6.18,122, 2665,96.38
GROWWMC150,EQ,02-12-2025,222.68,221.0,223.97,220.01,222.23,221.88,222.38,2093,4.65,96, 1908,91.16
GROWWMC150,EQ,03-12-2025,221.88,220.2,224.08,220.19,221.5,221.5,221.8,710,1.57,91, 582,81.97
GROWWMC150,EQ,04-12-2025,221.5,221.51,222.85,220.48,222.17,221.17,221.05,562,1.24,82, 532,94.66
GROWWMC150,EQ,05-12-2025,221.17,219.95,222.17,218.03,222.17,221.8,220.47,1130,2.49,86, 917,81.15
GROWWMC150,EQ,08-12-2025,221.8,218.4,225.9,218.21,219.43,219.14,219.42,1882,4.13,132, 1052,55.9
GROWWMC150,EQ,09-12-2025,219.14,218.1,219.93,215.48,219.93,219.38,218.34,1897,4.14,97, 1217,64.15
GROWWMC150,EQ,10-12-2025,219.38,219.38,219.93,216.0,216.0,216.83,217.93,865,1.89,86, 697,80.58
GROWWMC150,EQ,11-12-2025,216.83,216.83,219.41,216.55,217.95,218.56,218.23,639,1.39,66, 466,72.93
GROWWMC150,EQ,12-12-2025,218.56,218.85,222.7,218.84,222.7,222.43,221.09,1365,3.02,82, 1041,76.26
GROWWMC150,EQ,15-12-2025,222.43,219.8,222.35,219.68,222.35,222.35,221.5,596,1.32,52, 546,91.61
GROWWMC150,EQ,16-12-2025,222.35,221.09,221.34,219.56,220.0,220.06,220.49,640,1.41,46, 639,99.84
GROWWMC150,EQ,17-12-2025,220.06,216.05,220.64,216.05,219.66,218.33,218.88,1148,2.51,62, 961,83.71
GROWWMC150,EQ,18-12-2025,218.33,218.32,219.27,217.04,217.9,218.29,218.0,1509,3.29,78, 1257,83.3
GROWWMC150,EQ,19-12-2025,218.29,218.4,221.05,218.4,220.63,220.9,219.82,1359,2.99,81, 1117,82.19
GROWWMC150,EQ,22-12-2025,220.9,224.6,224.6,218.11,222.22,222.23,222.06,2232,4.96,87, 2089,93.59
GROWWMC150,EQ,23-12-2025,222.23,223.7,223.7,220.1,222.45,222.44,222.48,1583,3.52,46, 1561,98.61
GROWWMC150,EQ,24-12-2025,222.44,222.33,224.1,222.18,222.18,222.18,223.04,926,2.07,74, 803,86.72
GROWWMC150,EQ,26-12-2025,222.18,218.03,224.42,218.03,221.6,221.6,222.43,2440,5.43,97, 1376,56.39
GROWWMC150,EQ,29-12-2025,221.6,220.0,223.02,220.0,220.5,220.5,221.7,2328,5.16,78, 1769,75.99
GROWWMC150,EQ,30-12-2025,220.5,220.5,221.72,220.5,220.51,220.56,221.19,1029,2.28,38, 1014,98.54
GROWWMC150,EQ,31-12-2025,220.56,220.51,223.0,220.5,223.0,223.0,221.92,937,2.08,50, 888,94.77
GROWWMC150,EQ,01-01-2026,223.0,223.22,223.3,221.0,222.1,222.54,222.72,712,1.59,47, 686,96.35
GROWWMC150,EQ,02-01-2026,222.54,225.01,225.54,223.88,224.68,224.92,224.78,3179,7.15,103, 2280,71.72
GROWWMC150,EQ,05-01-2026,224.92,224.93,225.99,223.34,224.18,224.3,224.73,1121,2.52,94, 1026,91.53
GROWWMC150,EQ,06-01-2026,224.3,224.3,225.54,223.3,224.0,224.26,224.12,549,1.23,50, 517,94.17
GROWWMC150,EQ,07-01-2026,224.26,228.75,228.75,223.31,224.85,225.08,224.78,1649,3.71,49, 1480, 89.75
