SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
GROWWNIFTY,EQ,22-07-2025,10.0,10.21,10.21,9.96,10.05,10.04,10.07,"3,70,946","37,33,614.63","1,617","3,19,990",86.26
GROWWNIFTY,EQ,23-07-2025,10.04,10.29,10.47,10.04,10.12,10.06,10.07,"5,03,856","50,75,093.57","1,347","2,71,169",53.82
GROWWNIFTY,EQ,24-07-2025,10.06,10.31,10.37,10.03,10.08,10.05,10.08,"3,60,478","36,33,165.19","1,957","2,77,382",76.95
GROWWNIFTY,EQ,25-07-2025,10.05,10.1,10.11,9.95,9.99,9.96,9.98,451012,45.02,1605, 384580,85.27
GROWWNIFTY,EQ,28-07-2025,9.96,9.96,10.05,9.87,9.96,9.9,9.95,337114,33.53,1513, 271057,80.41
GROWWNIFTY,EQ,29-07-2025,9.9,9.98,9.99,9.87,9.97,9.94,9.91,145417,14.41,897, 90993,62.57
GROWWNIFTY,EQ,30-07-2025,9.94,9.98,10.0,9.81,9.99,9.96,9.96,161025,16.05,699, 127963,79.47
GROWWNIFTY,EQ,31-07-2025,9.96,9.76,9.99,9.76,9.96,9.94,9.93,168973,16.77,779, 133401,78.95
GROWWNIFTY,EQ,01-08-2025,9.94,10.0,10.0,9.8,9.88,9.85,9.88,187276,18.51,872, 160074,85.47
GROWWNIFTY,EQ,04-08-2025,9.85,9.86,9.96,9.76,9.93,9.9,9.86,121600,12.0,876, 73744,60.64
GROWWNIFTY,EQ,05-08-2025,9.9,10.0,10.0,9.78,9.89,9.88,9.89,148470,14.68,691, 120269,81.01
GROWWNIFTY,EQ,06-08-2025,9.88,9.88,9.95,9.8,9.87,9.84,9.87,122117,12.05,953, 105761,86.61
GROWWNIFTY,EQ,07-08-2025,9.84,9.92,9.92,9.76,9.86,9.83,9.81,262656,25.77,959, 158314,60.27
GROWWNIFTY,EQ,08-08-2025,9.83,9.83,9.9,9.78,9.81,9.78,9.81,146649,14.38,792, 133089,90.75
GROWWNIFTY,EQ,11-08-2025,9.78,9.78,9.9,9.71,9.86,9.84,9.8,103153,10.11,678, 71613,69.42
GROWWNIFTY,EQ,12-08-2025,9.84,9.8,9.95,9.5,9.78,9.79,9.84,88866,8.74,568, 44689,50.29
GROWWNIFTY,EQ,13-08-2025,9.79,9.59,9.9,9.59,9.85,9.85,9.83,92860,9.13,538, 82281,88.61
GROWWNIFTY,EQ,14-08-2025,9.85,9.89,9.9,9.72,9.87,9.87,9.87,59134,5.83,450, 36476,61.68
GROWWNIFTY,EQ,18-08-2025,9.87,9.77,10.03,9.77,9.97,9.94,9.95,170519,16.97,715, 144834,84.94
GROWWNIFTY,EQ,19-08-2025,9.94,9.94,10.08,9.94,10.03,10.02,9.99,477408,47.7,1514, 121061,25.36
GROWWNIFTY,EQ,20-08-2025,10.02,10.08,10.37,9.89,10.02,10.02,10.04,178659,17.94,1999, 98323,55.03
GROWWNIFTY,EQ,21-08-2025,10.02,10.25,10.37,10.02,10.02,10.05,10.08,181478,18.28,1261, 115134,63.44
GROWWNIFTY,EQ,22-08-2025,10.05,10.3,10.3,9.76,9.98,9.99,10.02,134054,13.43,730, 114673,85.54
GROWWNIFTY,EQ,25-08-2025,9.99,10.03,10.11,9.91,9.98,9.99,10.01,76656,7.67,820, 52419,68.38
GROWWNIFTY,EQ,26-08-2025,9.99,10.03,10.11,9.88,9.93,9.92,9.94,104466,10.38,732, 76290,73.03
GROWWNIFTY,EQ,28-08-2025,9.92,9.92,10.11,9.75,9.87,9.84,9.87,141689,13.98,942, 115914,81.81
GROWWNIFTY,EQ,29-08-2025,9.84,10.27,10.27,9.8,9.85,9.81,9.85,233421,23.0,786, 219025,93.83
GROWWNIFTY,EQ,01-09-2025,9.81,9.94,9.94,9.81,9.89,9.87,9.86,84933,8.37,825, 67041,78.93
GROWWNIFTY,EQ,02-09-2025,9.87,10.1,10.1,9.85,9.88,9.87,9.9,129826,12.85,782, 97304,74.95
GROWWNIFTY,EQ,03-09-2025,9.87,10.11,10.27,9.82,9.87,9.88,9.89,107463,10.63,627, 92841,86.39
GROWWNIFTY,EQ,04-09-2025,9.88,9.99,10.27,9.9,9.97,9.93,9.97,712187,71.04,2970, 505357,70.96
GROWWNIFTY,EQ,05-09-2025,9.93,10.27,10.27,9.85,9.95,9.94,9.94,280021,27.84,2797, 153567,54.84
GROWWNIFTY,EQ,08-09-2025,9.94,10.14,10.14,9.92,9.97,9.95,9.98,580080,57.87,4990, 271346,46.78
GROWWNIFTY,EQ,09-09-2025,9.95,10.04,10.11,9.9,9.98,9.96,9.98,280965,28.05,3435, 196730,70.02
GROWWNIFTY,EQ,10-09-2025,9.96,9.91,10.06,9.91,10.01,10.02,10.02,517373,51.85,3861, 383931,74.21
GROWWNIFTY,EQ,11-09-2025,10.02,10.27,10.27,9.98,10.04,10.01,10.03,468535,47.0,3720, 234168,49.98
GROWWNIFTY,EQ,12-09-2025,10.01,10.08,10.14,9.92,10.04,10.04,10.04,226928,22.78,1889, 155375,68.47
GROWWNIFTY,EQ,15-09-2025,10.04,10.24,10.24,9.99,10.06,10.05,10.07,165361,16.66,1564, 114486,69.23
GROWWNIFTY,EQ,16-09-2025,10.05,10.26,10.26,9.95,10.12,10.09,10.08,189091,19.07,1131, 106902,56.53
GROWWNIFTY,EQ,17-09-2025,10.09,10.29,10.4,10.09,10.2,10.17,10.17,401328,40.83,2246, 213668,53.24
GROWWNIFTY,EQ,18-09-2025,10.17,10.47,11.0,10.11,10.22,10.17,10.22,851326,87.04,3403, 324837,38.16
GROWWNIFTY,EQ,19-09-2025,10.17,10.1,10.34,10.1,10.19,10.17,10.18,231240,23.54,1959, 172981,74.81
GROWWNIFTY,EQ,22-09-2025,10.17,10.24,10.24,10.02,10.1,10.1,10.14,194156,19.68,1694, 156026,80.36
GROWWNIFTY,EQ,23-09-2025,10.1,10.11,10.17,10.04,10.11,10.11,10.1,290685,29.35,1229, 205104,70.56
GROWWNIFTY,EQ,24-09-2025,10.11,10.01,10.17,10.01,10.08,10.06,10.07,113613,11.44,1065, 84386,74.27
GROWWNIFTY,EQ,25-09-2025,10.06,10.07,10.14,9.99,10.03,10.0,10.03,181442,18.19,1123, 144687,79.74
GROWWNIFTY,EQ,26-09-2025,10.0,10.25,10.25,9.89,9.92,9.91,9.94,306902,30.49,1518, 267570,87.18
GROWWNIFTY,EQ,29-09-2025,9.91,10.04,10.04,9.85,9.89,9.87,9.9,310375,30.72,1597, 187192,60.31
GROWWNIFTY,EQ,30-09-2025,9.87,9.91,9.95,9.85,9.9,9.88,9.91,148193,14.69,986, 101427,68.44
GROWWNIFTY,EQ,01-10-2025,9.88,9.84,9.95,9.81,9.95,9.94,9.92,163529,16.23,1030, 105565,64.55
GROWWNIFTY,EQ,03-10-2025,9.94,9.9,10.01,9.89,9.99,9.97,9.95,158493,15.77,1132, 121046,76.37
GROWWNIFTY,EQ,06-10-2025,9.97,10.01,10.04,9.92,10.03,10.03,10.0,226935,22.69,1154, 195076,85.96
GROWWNIFTY,EQ,07-10-2025,10.03,10.09,10.13,10.03,10.07,10.07,10.07,224877,22.64,892, 155069,68.96
GROWWNIFTY,EQ,08-10-2025,10.07,10.12,10.12,10.01,10.03,10.02,10.05,191583,19.26,980, 114791,59.92
GROWWNIFTY,EQ,09-10-2025,10.02,10.06,10.09,10.0,10.07,10.06,10.05,169424,17.03,822, 130278,76.89
GROWWNIFTY,EQ,10-10-2025,10.06,10.1,10.14,10.03,10.11,10.12,10.11,183029,18.5,893, 163413,89.28
GROWWNIFTY,EQ,13-10-2025,10.12,10.19,10.19,9.98,10.1,10.09,10.09,149878,15.12,1142, 114832,76.62
GROWWNIFTY,EQ,14-10-2025,10.09,10.34,10.34,10.05,10.05,10.05,10.08,161199,16.24,960, 114326,70.92
GROWWNIFTY,EQ,15-10-2025,10.05,10.09,10.13,10.0,10.13,10.12,10.08,192156,19.37,813, 161949,84.28
GROWWNIFTY,EQ,16-10-2025,10.12,10.14,10.28,10.11,10.26,10.25,10.22,349352,35.69,825, 238664,68.32
GROWWNIFTY,EQ,17-10-2025,10.25,10.33,10.34,10.23,10.31,10.3,10.29,218388,22.47,810, 169104,77.43
GROWWNIFTY,EQ,20-10-2025,10.3,10.39,10.44,10.21,10.21,10.31,10.36,211710,21.92,1195, 158912,75.06
GROWWNIFTY,EQ,21-10-2025,10.31,10.41,10.41,10.35,10.41,10.4,10.4,78172,8.13,739, 73437,93.94
GROWWNIFTY,EQ,23-10-2025,10.4,10.44,10.64,10.38,10.41,10.4,10.47,288642,30.21,1320, 248107,85.96
GROWWNIFTY,EQ,24-10-2025,10.4,10.45,10.45,10.3,10.4,10.35,10.35,245971,25.47,944, 159529,64.86
GROWWNIFTY,EQ,27-10-2025,10.35,10.42,10.43,10.34,10.41,10.4,10.39,169259,17.59,1195, 144883,85.6
GROWWNIFTY,EQ,28-10-2025,10.4,10.4,10.48,10.37,10.42,10.38,10.41,164392,17.11,847, 126256,76.8
GROWWNIFTY,EQ,29-10-2025,10.38,10.39,10.44,10.38,10.44,10.42,10.42,143358,14.94,667, 128736,89.8
GROWWNIFTY,EQ,30-10-2025,10.42,10.44,10.48,10.36,10.45,10.4,10.4,165724,17.24,886, 144636,87.28
GROWWNIFTY,EQ,31-10-2025,10.4,10.45,10.48,10.34,10.38,10.35,10.38,152722,15.85,859, 107977,70.7
GROWWNIFTY,EQ,03-11-2025,10.35,10.42,10.42,10.3,10.36,10.33,10.35,125168,12.95,1116, 97873,78.19
GROWWNIFTY,EQ,04-11-2025,10.33,10.37,10.38,10.28,10.31,10.29,10.32,140606,14.51,930, 120547,85.73
GROWWNIFTY,EQ,06-11-2025,10.29,10.34,10.34,10.22,10.26,10.24,10.27,111488,11.45,1115, 89938,80.67
GROWWNIFTY,EQ,07-11-2025,10.24,10.27,10.28,10.14,10.26,10.23,10.19,109413,11.15,880, 65856,60.19
GROWWNIFTY,EQ,10-11-2025,10.23,10.28,10.32,10.18,10.29,10.26,10.27,127225,13.06,1088, 73096,57.45
GROWWNIFTY,EQ,11-11-2025,10.26,10.33,10.35,10.22,10.27,10.28,10.27,182955,18.78,874, 107646,58.84
GROWWNIFTY,EQ,12-11-2025,10.28,10.33,10.41,10.26,10.4,10.37,10.36,237454,24.6,1946, 156736,66.01
GROWWNIFTY,EQ,13-11-2025,10.37,10.43,10.45,10.35,10.4,10.39,10.41,142145,14.8,1102, 97256,68.42
GROWWNIFTY,EQ,14-11-2025,10.39,10.41,10.44,10.23,10.4,10.38,10.38,101035,10.49,969, 69459,68.75
GROWWNIFTY,EQ,17-11-2025,10.38,10.34,10.47,10.33,10.45,10.42,10.43,221496,23.09,1766, 147492,66.59
GROWWNIFTY,EQ,18-11-2025,10.42,10.46,10.49,10.31,10.45,10.4,10.43,274848,28.66,1640, 167944,61.1
GROWWNIFTY,EQ,19-11-2025,10.4,10.41,10.48,10.4,10.42,10.43,10.44,157309,16.42,967, 98266,62.47
GROWWNIFTY,EQ,20-11-2025,10.43,10.48,10.57,10.44,10.5,10.53,10.53,837219,88.19,1534, 765878,91.48
GROWWNIFTY,EQ,21-11-2025,10.53,10.54,10.64,10.42,10.49,10.48,10.52,335989,35.33,1517, 239749,71.36
GROWWNIFTY,EQ,24-11-2025,10.48,10.53,10.62,10.4,10.43,10.43,10.49,396212,41.55,1896, 282671,71.34
GROWWNIFTY,EQ,25-11-2025,10.43,10.48,10.48,10.39,10.43,10.41,10.43,238927,24.92,1240, 174167,72.9
GROWWNIFTY,EQ,26-11-2025,10.41,10.45,10.5,10.41,10.5,10.49,10.47,164160,17.18,830, 124712,75.97
GROWWNIFTY,EQ,27-11-2025,10.49,10.54,10.58,10.44,10.53,10.5,10.52,221707,23.32,1072, 142327,64.2
GROWWNIFTY,EQ,28-11-2025,10.5,10.48,10.56,10.48,10.53,10.51,10.53,207207,21.81,1055, 97420,47.02
GROWWNIFTY,EQ,01-12-2025,10.51,10.55,10.61,10.49,10.56,10.51,10.54,320932,33.81,1916, 250591,78.08
GROWWNIFTY,EQ,02-12-2025,10.51,10.56,10.56,10.44,10.46,10.46,10.47,331367,34.71,1450, 274516,82.84
GROWWNIFTY,EQ,03-12-2025,10.46,10.5,10.5,10.4,10.44,10.42,10.42,245138,25.55,1233, 182386,74.4
GROWWNIFTY,EQ,04-12-2025,10.42,10.49,10.49,10.4,10.45,10.45,10.44,115678,12.08,981, 58028,50.16
GROWWNIFTY,EQ,05-12-2025,10.45,10.43,10.55,10.4,10.5,10.5,10.5,148076,15.54,939, 95596,64.56
GROWWNIFTY,EQ,08-12-2025,10.5,10.54,10.6,10.4,10.45,10.43,10.47,309719,32.42,1820, 253633,81.89
GROWWNIFTY,EQ,09-12-2025,10.43,10.43,10.47,10.27,10.39,10.38,10.37,304227,31.55,1545, 197160,64.81
GROWWNIFTY,EQ,10-12-2025,10.38,10.46,10.46,10.28,10.35,10.33,10.35,332192,34.37,1231, 256583,77.24
GROWWNIFTY,EQ,11-12-2025,10.33,10.4,10.43,10.28,10.43,10.41,10.39,294110,30.57,1856, 244199,83.03
GROWWNIFTY,EQ,12-12-2025,10.41,10.55,10.55,10.41,10.46,10.45,10.45,294570,30.77,1119, 143690,48.78
GROWWNIFTY,EQ,15-12-2025,10.45,10.49,10.5,10.38,10.46,10.45,10.43,262243,27.36,1643, 127126,48.48
GROWWNIFTY,EQ,16-12-2025,10.45,10.54,10.54,10.31,10.38,10.39,10.4,214289,22.29,1449, 150291,70.13
GROWWNIFTY,EQ,17-12-2025,10.39,10.54,10.7,10.35,10.37,10.35,10.38,249317,25.87,1231, 194474,78.0
GROWWNIFTY,EQ,18-12-2025,10.35,10.38,10.4,10.32,10.39,10.34,10.36,134288,13.92,1093, 79332,59.08
GROWWNIFTY,EQ,19-12-2025,10.34,10.31,10.43,10.19,10.42,10.42,10.4,294020,30.57,1531, 158500,53.91
GROWWNIFTY,EQ,22-12-2025,10.42,10.73,10.73,10.39,10.5,10.48,10.48,363758,38.14,2241, 234084,64.35
GROWWNIFTY,EQ,23-12-2025,10.48,10.49,10.57,10.47,10.49,10.49,10.5,233593,24.53,1332, 163193,69.86
GROWWNIFTY,EQ,24-12-2025,10.49,10.52,10.54,10.44,10.51,10.49,10.5,197462,20.74,1247, 98445,49.86
GROWWNIFTY,EQ,26-12-2025,10.49,10.75,10.75,10.44,10.47,10.46,10.47,299075,31.3,2062, 196191,65.6
GROWWNIFTY,EQ,29-12-2025,10.46,10.47,10.5,10.41,10.43,10.42,10.44,246647,25.75,1879, 169181,68.59
GROWWNIFTY,EQ,30-12-2025,10.42,10.49,10.49,10.36,10.46,10.44,10.43,339662,35.43,1539, 230123,67.75
GROWWNIFTY,EQ,31-12-2025,10.44,10.44,10.5,10.37,10.49,10.48,10.47,239389,25.07,1183, 151342,63.22
GROWWNIFTY,EQ,01-01-2026,10.48,10.58,10.58,10.45,10.5,10.48,10.49,240118,25.2,1268, 189657,78.98
GROWWNIFTY,EQ,02-01-2026,10.48,10.51,10.58,10.47,10.58,10.55,10.54,244955,25.82,1271, 171753,70.12
GROWWNIFTY,EQ,05-01-2026,10.55,10.57,10.61,10.51,10.54,10.52,10.56,454937,48.05,2382, 308037,67.71
GROWWNIFTY,EQ,06-01-2026,10.52,10.55,10.57,10.49,10.53,10.52,10.52,263898,27.76,1682, 182359,69.1
GROWWNIFTY,EQ,07-01-2026,10.52,10.73,10.73,10.45,10.5,10.49,10.49,386069,40.52,1433, 198466,51.41
GROWWNIFTY,EQ,08-01-2026,10.49,10.49,10.53,10.38,10.4,10.39,10.43,297043,30.98,1747, 251364,84.62
GROWWNIFTY,EQ,09-01-2026,10.39,10.38,10.46,10.28,10.41,10.33,10.35,331830,34.34,1793, 273353,82.38
GROWWNIFTY,EQ,12-01-2026,10.33,10.39,10.4,10.23,10.4,10.37,10.32,488433,50.42,3536, 368102,75.36
