SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
GSFC,EQ,01-01-1996,130.00,131.25,131.5,128.5,-,131.5,130.94,400,"52,375.00",-,-,-
GSFC,EQ,02-01-1996,131.50,130.0,130.0,128.25,-,130.0,129.62,850,"1,10,175.00",-,-,-
GSFC,EQ,04-01-1996,130.00,120.0,127.0,120.0,-,127.0,124.67,150,"18,700.00",-,-,-
GSFC,EQ,05-01-1996,127.00,127.0,125.0,125.0,-,125.0,125.0,100,"12,500.00",-,-,-
GSFC,EQ,08-01-1996,125.00,125.0,124.0,121.0,-,122.0,122.33,300,"36,700.00",-,-,-
GSFC,EQ,09-01-1996,122.00,122.0,124.0,122.0,-,124.0,123.54,"2,050","2,53,250.00",-,-,-
GSFC,EQ,10-01-1996,124.00,125.0,125.0,125.0,-,125.0,125.0,200,"25,000.00",-,-,-
GSFC,EQ,11-01-1996,125.00,125.0,128.0,125.0,-,125.25,126.03,500,"63,012.50",-,-,-
GSFC,EQ,12-01-1996,125.25,125.0,125.0,123.25,-,123.25,124.13,100,"12,412.50",-,-,-
GSFC,EQ,15-01-1996,123.25,123.0,123.25,123.0,-,123.25,123.08,150,"18,462.50",-,-,-
GSFC,EQ,16-01-1996,123.25,123.25,125.75,120.75,-,125.75,125.36,"3,800","4,76,352.50",-,-,-
GSFC,EQ,17-01-1996,125.75,121.0,124.0,121.0,-,124.0,123.38,400,"49,350.00",-,-,-
GSFC,EQ,18-01-1996,124.00,124.0,120.0,118.5,-,119.75,119.87,"3,050","3,65,590.00",-,-,-
GSFC,EQ,19-01-1996,119.75,119.75,120.0,115.25,-,119.0,119.01,"1,300","1,54,707.50",-,-,-
GSFC,EQ,22-01-1996,119.00,119.0,116.5,112.25,-,112.25,115.04,250,"28,760.00",-,-,-
GSFC,EQ,23-01-1996,112.25,112.25,119.95,118.0,-,119.75,118.94,250,"29,735.00",-,-,-
GSFC,EQ,24-01-1996,119.75,118.75,119.0,115.0,-,115.4,116.34,350,"40,717.50",-,-,-
GSFC,EQ,25-01-1996,115.40,116.0,116.0,113.0,-,113.0,115.39,450,"51,925.00",-,-,-
GSFC,EQ,30-01-1996,113.00,114.0,114.0,114.0,-,114.0,114.0,50,"5,700.00",-,-,-
GSFC,EQ,31-01-1996,114.00,114.0,123.9,117.0,-,119.45,120.5,"1,050","1,26,530.00",-,-,-
GSFC,EQ,01-02-1996,119.45,119.45,120.0,119.0,-,120.0,119.67,150,"17,950.00",-,-,-
GSFC,EQ,02-02-1996,120.00,120.0,126.0,122.0,-,125.0,124.15,250,"31,037.50",-,-,-
GSFC,EQ,05-02-1996,125.00,131.0,131.0,121.0,-,121.0,128.0,200,"25,600.00",-,-,-
GSFC,EQ,06-02-1996,121.00,125.0,128.0,123.3,-,123.5,124.3,900,"1,11,872.50",-,-,-
GSFC,EQ,08-02-1996,123.50,120.0,122.0,120.0,-,122.0,120.79,350,"42,275.00",-,-,-
GSFC,EQ,09-02-1996,122.00,133.0,133.0,133.0,-,133.0,133.0,150,"19,950.00",-,-,-
GSFC,EQ,12-02-1996,133.00,140.0,145.0,140.0,-,143.75,142.97,"2,250","3,21,690.00",-,-,-
GSFC,EQ,13-02-1996,143.75,143.75,140.5,138.0,-,140.45,139.69,850,"1,18,740.00",-,-,-
GSFC,EQ,14-02-1996,140.45,140.45,148.5,145.0,-,145.05,147.54,"2,000","2,95,072.50",-,-,-
GSFC,EQ,15-02-1996,145.05,145.05,145.0,140.0,-,142.5,144.38,600,"86,625.00",-,-,-
GSFC,EQ,16-02-1996,142.50,140.0,145.0,140.0,-,142.75,140.64,"1,550","2,17,987.50",-,-,-
GSFC,EQ,19-02-1996,142.75,142.75,142.0,140.0,-,141.0,140.8,750,"1,05,600.00",-,-,-
GSFC,EQ,20-02-1996,141.00,141.0,140.0,136.1,-,136.2,137.07,"1,450","1,98,755.00",-,-,-
GSFC,EQ,22-02-1996,136.20,136.2,137.5,136.0,-,137.5,136.75,100,"13,675.00",-,-,-
GSFC,EQ,23-02-1996,137.50,133.0,136.0,133.0,-,136.0,134.5,200,"26,900.00",-,-,-
GSFC,EQ,26-02-1996,136.00,136.0,138.0,135.0,-,135.0,136.52,900,"1,22,870.00",-,-,-
GSFC,EQ,27-02-1996,135.00,134.0,134.0,130.0,-,133.0,132.2,250,"33,050.00",-,-,-
GSFC,EQ,28-02-1996,133.00,134.0,134.0,133.0,-,133.15,133.78,"1,450","1,93,975.00",-,-,-
GSFC,EQ,29-02-1996,133.15,133.0,134.0,126.0,-,126.0,129.76,200,"25,952.50",-,-,-
GSFC,EQ,01-03-1996,126.00,126.0,126.05,124.0,-,124.55,125.27,400,"50,107.50",-,-,-
GSFC,EQ,04-03-1996,124.55,126.0,126.0,114.0,-,123.2,121.79,750,"91,345.00",-,-,-
