SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
GUJGASLTD,BE,15-09-2015,743.1,680.0,680.0,646.0,646.0,646.0,646.95,"9,711","62,82,501.00",257,-,-
GUJGASLTD,BE,16-09-2015,646.0,613.7,613.7,613.7,613.7,613.7,613.7,"4,573","28,06,450.10",90,-,-
GUJGASLTD,BE,18-09-2015,613.7,583.05,583.05,583.05,583.05,583.05,583.05,"3,550","20,69,827.50",129,-,-
GUJGASLTD,BE,21-09-2015,583.05,566.0,583.05,553.9,553.9,553.9,560.73,"39,048","2,18,95,552.45",803,-,-
GUJGASLTD,BE,22-09-2015,553.9,526.25,542.4,526.25,532.5,532.7,531.12,"79,390","4,21,65,599.05","5,210",-,-
GUJGASLTD,BE,23-09-2015,532.7,533.0,559.3,512.2,559.3,558.7,542.73,"45,033","2,44,40,852.95","3,759",-,-
GUJGASLTD,BE,24-09-2015,558.7,560.0,567.95,531.0,535.0,533.55,542.15,"26,019","1,41,06,291.55","2,244",-,-
GUJGASLTD,BE,28-09-2015,533.55,540.0,540.0,509.2,518.8,517.55,520.65,"1,01,160","5,26,69,412.70","13,087",-,-
GUJGASLTD,BE,29-09-2015,517.55,515.0,515.0,492.15,505.0,505.05,502.26,"52,769","2,65,03,654.40","4,545",-,-
GUJGASLTD,BE,30-09-2015,505.05,505.05,529.95,499.0,520.0,518.6,517.67,"1,29,247","6,69,07,433.95","10,390",-,-
GUJGASLTD,EQ,01-10-2015,518.6,530.0,536.5,480.2,484.0,486.5,502.01,"5,15,643","25,88,58,985.25","26,308","3,23,633",62.76
GUJGASLTD,EQ,05-10-2015,486.5,493.25,493.25,453.2,465.0,465.45,464.81,"5,33,567","24,80,08,569.80","39,973","3,71,687",69.66
GUJGASLTD,EQ,06-10-2015,465.45,468.0,483.6,460.3,462.3,463.55,471.35,"1,61,565","7,61,53,198.60","10,623","68,953",42.68
GUJGASLTD,EQ,07-10-2015,463.55,464.95,478.35,459.95,472.0,474.65,472.29,"2,84,164","13,42,08,171.80","8,095","2,07,971",73.19
