SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
GURUNANAK,ST,01-10-2025,75.0,60.0,60.0,57.0,57.0,57.0,57.64,"22,400","12,91,200.00",14,"22,400",100.0
GURUNANAK,ST,03-10-2025,57.0,54.15,54.15,54.15,54.15,54.15,54.15,11200,6.06,7, 11200,100.0
GURUNANAK,ST,06-10-2025,54.15,51.45,51.45,51.45,51.45,51.45,51.45,4800,2.47,2, 4800,100.0
GURUNANAK,ST,07-10-2025,51.45,48.9,48.9,48.9,48.9,48.9,48.9,3200,1.56,2, 3200,100.0
GURUNANAK,ST,08-10-2025,48.9,46.45,46.45,46.45,46.45,46.45,46.45,4800,2.23,3, 4800,100.0
GURUNANAK,ST,09-10-2025,46.45,44.15,44.15,44.15,44.15,44.15,44.15,9600,4.24,5, 9600,100.0
GURUNANAK,ST,10-10-2025,44.15,41.95,41.95,41.95,41.95,41.95,41.95,4800,2.01,3, 4800,100.0
GURUNANAK,ST,13-10-2025,41.95,39.85,39.85,39.85,39.85,39.85,39.85,1600,0.64,1, 1600,100.0
GURUNANAK,ST,14-10-2025,39.85,37.85,37.85,37.85,37.85,37.85,37.85,6400,2.42,4, 6400,100.0
GURUNANAK,ST,15-10-2025,37.85,35.95,35.95,35.95,35.95,35.95,35.95,4800,1.73,3, 4800,100.0
GURUNANAK,SM,16-10-2025,35.95,32.35,32.35,32.35,32.35,32.35,32.35,72000,23.29,41, 72000,100.0
GURUNANAK,SM,17-10-2025,32.35,29.5,35.0,29.2,33.6,33.55,32.01,600000,192.04,330, 284800,47.47
GURUNANAK,SM,20-10-2025,33.55,33.55,35.0,32.9,34.7,33.95,34.15,60800,20.77,36, 52800,86.84
GURUNANAK,SM,21-10-2025,33.95,33.5,33.5,32.15,32.25,32.6,32.8,22400,7.35,14, 20800,92.86
GURUNANAK,SM,23-10-2025,32.6,32.3,34.0,32.3,34.0,34.0,33.24,62400,20.74,38, 52800,84.62
GURUNANAK,SM,24-10-2025,34.0,35.4,35.45,34.0,34.9,34.9,34.67,41600,14.42,25, 33600,80.77
GURUNANAK,SM,27-10-2025,34.9,33.6,33.65,32.5,33.0,33.0,33.15,40000,13.26,25, 33600,84.0
GURUNANAK,SM,28-10-2025,33.0,33.5,35.5,32.55,35.0,34.85,34.31,76800,26.35,42, 56000,72.92
GURUNANAK,SM,29-10-2025,34.85,34.85,35.2,33.65,35.2,35.2,34.78,12800,4.45,8, 11200,87.5
GURUNANAK,SM,30-10-2025,35.2,35.9,35.9,33.65,33.7,33.7,34.35,25600,8.79,16, 20800,81.25
GURUNANAK,SM,31-10-2025,33.7,33.75,34.75,33.7,34.0,34.35,34.03,24000,8.17,14, 19200,80.0
GURUNANAK,SM,03-11-2025,34.35,35.05,35.5,33.6,34.75,34.75,34.96,35200,12.31,21, 30400,86.36
GURUNANAK,SM,04-11-2025,34.75,34.75,35.3,34.5,35.3,35.3,34.76,6400,2.22,4, 6400,100.0
GURUNANAK,SM,06-11-2025,35.3,35.3,35.3,34.65,34.65,34.65,34.79,8000,2.78,5, 8000,100.0
GURUNANAK,SM,07-11-2025,34.65,34.3,34.65,34.3,34.65,34.65,34.48,3200,1.1,2, 3200,100.0
GURUNANAK,SM,10-11-2025,34.65,34.65,35.6,34.6,35.6,35.6,34.76,11200,3.89,7, 11200,100.0
GURUNANAK,SM,11-11-2025,35.6,35.2,35.2,33.65,33.65,33.95,34.4,17600,6.05,11, 16000,90.91
GURUNANAK,SM,12-11-2025,33.95,34.0,34.8,33.5,34.15,34.45,33.85,17600,5.96,11, 14400,81.82
GURUNANAK,SM,13-11-2025,34.45,34.5,34.9,34.45,34.9,34.9,34.62,4800,1.66,3, 4800,100.0
GURUNANAK,SM,14-11-2025,34.9,34.9,34.9,33.85,34.85,34.85,34.55,12800,4.42,8, 11200,87.5
GURUNANAK,SM,17-11-2025,34.85,31.4,33.0,31.4,33.0,32.8,31.79,52800,16.78,31, 35200,66.67
GURUNANAK,SM,18-11-2025,32.8,32.8,33.05,32.05,32.05,32.15,32.36,17600,5.7,11, 17600,100.0
GURUNANAK,SM,19-11-2025,32.15,32.0,32.8,32.0,32.1,32.1,32.45,11200,3.63,7, 8000,71.43
GURUNANAK,SM,20-11-2025,32.1,32.4,32.5,31.75,32.5,32.0,32.04,8000,2.56,5, 8000,100.0
GURUNANAK,SM,21-11-2025,32.0,32.5,32.5,30.6,30.8,30.8,31.15,17600,5.48,11, 16000,90.91
GURUNANAK,SM,24-11-2025,30.8,30.0,30.0,28.9,29.85,29.85,29.4,25600,7.53,16, 22400,87.5
GURUNANAK,SM,25-11-2025,29.85,29.85,29.85,29.5,29.85,29.85,29.76,6400,1.9,4, 6400,100.0
GURUNANAK,SM,26-11-2025,29.85,27.6,28.75,27.0,28.0,28.0,27.87,35200,9.81,22, 33600,95.45
GURUNANAK,SM,27-11-2025,28.0,28.7,28.7,28.65,28.65,28.65,28.68,3200,0.92,2, 3200,100.0
GURUNANAK,SM,28-11-2025,28.65,28.5,28.5,27.0,27.3,27.35,27.54,32000,8.81,20, 27200,85.0
GURUNANAK,SM,01-12-2025,27.35,28.0,30.05,27.4,30.05,30.05,29.1,52800,15.37,25, 48000,90.91
GURUNANAK,SM,02-12-2025,30.05,33.05,33.05,33.05,33.05,33.05,33.05,27200,8.99,16, 22400,82.35
GURUNANAK,SM,03-12-2025,33.05,35.3,36.35,33.75,36.35,36.35,35.78,54400,19.46,34, 43200,79.41
GURUNANAK,SM,04-12-2025,36.35,38.15,38.15,38.15,38.15,38.15,38.15,38400,14.65,20, 35200,91.67
GURUNANAK,SM,05-12-2025,38.15,40.0,40.05,36.25,36.95,36.55,37.75,86400,32.61,53, 59200,68.52
GURUNANAK,SM,08-12-2025,36.55,38.35,38.35,35.0,35.0,35.0,36.35,16000,5.82,9, 9600,60.0
GURUNANAK,SM,09-12-2025,35.0,35.0,35.0,34.3,34.3,34.3,34.6,14400,4.98,7, 14400,100.0
GURUNANAK,SM,10-12-2025,34.3,34.3,36.0,34.3,36.0,36.0,35.58,36800,13.09,13, 36800,100.0
GURUNANAK,SM,11-12-2025,36.0,36.0,36.0,36.0,36.0,36.0,36.0,1600,0.58,1, 1600,100.0
GURUNANAK,SM,12-12-2025,36.0,34.25,34.25,34.2,34.2,34.2,34.22,4800,1.64,3, 4800,100.0
GURUNANAK,SM,15-12-2025,34.2,32.6,33.7,32.6,33.7,33.7,33.17,14400,4.78,9, 6400,44.44
GURUNANAK,SM,16-12-2025,33.7,35.3,35.35,35.0,35.35,35.3,35.21,24000,8.45,10, 20800,86.67
GURUNANAK,SM,17-12-2025,35.3,36.9,37.05,36.9,37.0,37.0,36.99,30400,11.25,18, 25600,84.21
GURUNANAK,SM,18-12-2025,37.0,37.0,37.0,37.0,37.0,37.0,37.0,1600,0.59,1, 1600,100.0
GURUNANAK,SM,19-12-2025,37.0,35.6,36.15,35.2,36.15,36.15,35.53,22400,7.96,13, 11200,50.0
