SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
HEALTHADD,EQ,07-02-2024,115.57,115.57,132.0,115.0,132.0,117.46,116.68,"9,358","10,91,909.76",46,"5,261",56.22
HEALTHADD,EQ,08-02-2024,117.46,120.39,120.99,117.11,117.62,117.62,118.53,"4,869","5,77,123.60",115,"1,790",36.76
HEALTHADD,EQ,09-02-2024,117.62,120.56,120.56,117.0,117.0,117.21,118.44,"1,633","1,93,410.20",62,739,45.25
HEALTHADD,EQ,12-02-2024,117.21,120.14,120.14,119.0,119.94,119.99,119.78,"2,494","2,98,719.55",67,"1,723",69.09
HEALTHADD,EQ,13-02-2024,119.99,122.98,122.98,120.0,120.32,120.42,120.68,"3,942","4,75,740.19",48,"2,403",60.96
HEALTHADD,EQ,14-02-2024,120.42,119.89,119.98,118.67,119.35,119.89,119.42,"3,460","4,13,190.36",35,"2,981",86.16
HEALTHADD,EQ,15-02-2024,119.89,121.0,121.0,118.65,119.5,119.41,119.14,"2,253","2,68,414.16",40,"1,354",60.1
HEALTHADD,EQ,16-02-2024,119.41,119.84,128.61,119.7,128.61,125.36,119.92,"3,300","3,95,723.85",45,"3,188",96.61
HEALTHADD,EQ,19-02-2024,125.36,124.97,124.97,120.74,122.5,121.41,121.36,"9,017","10,94,315.09",220,"7,992",88.63
HEALTHADD,EQ,20-02-2024,121.41,121.66,122.5,120.0,121.64,120.83,120.98,"3,771","4,56,221.26",85,"1,598",42.38
HEALTHADD,EQ,21-02-2024,120.83,120.0,123.72,120.0,120.3,120.75,120.98,504,"60,976.13",24,363,72.02
HEALTHADD,EQ,22-02-2024,120.75,120.5,121.51,120.11,121.51,121.51,120.29,486,"58,462.21",17,481,98.97
HEALTHADD,EQ,23-02-2024,121.51,121.51,122.14,121.49,121.63,121.66,121.74,752,"91,546.02",33,576,76.6
HEALTHADD,EQ,26-02-2024,121.66,121.5,121.74,120.2,120.89,120.92,120.95,"1,337","1,61,715.51",45,"1,244",93.04
HEALTHADD,EQ,27-02-2024,120.92,123.72,123.72,120.5,121.51,121.51,120.92,"2,008","2,42,807.65",31,"1,780",88.65
HEALTHADD,EQ,28-02-2024,121.51,121.44,121.6,119.9,119.9,120.15,120.91,694,"83,913.47",59,420,60.52
HEALTHADD,EQ,29-02-2024,120.15,119.7,119.7,118.5,119.65,119.65,118.94,824,"98,007.46",25,822,99.76
HEALTHADD,EQ,01-03-2024,119.65,119.13,119.83,118.0,118.25,118.25,118.63,"1,242","1,47,344.42",67,859,69.16
HEALTHADD,EQ,02-03-2024,118.25,119.95,119.95,118.27,119.09,119.09,118.85,94,"11,171.90",11,93,98.94
HEALTHADD,EQ,04-03-2024,119.09,119.09,119.94,118.71,118.71,119.02,119.04,"1,034","1,23,087.12",35,803,77.66
HEALTHADD,EQ,05-03-2024,119.02,118.8,118.86,118.05,118.51,118.51,118.54,"1,723","2,04,245.07",32,"1,658",96.23
HEALTHADD,EQ,06-03-2024,118.51,118.34,120.0,117.82,120.0,119.62,118.68,885,"1,05,031.34",44,681,76.95
HEALTHADD,EQ,07-03-2024,119.62,119.62,123.0,119.62,120.0,120.14,120.35,190,"22,866.57",28,167,87.89
HEALTHADD,EQ,11-03-2024,120.14,120.66,121.41,120.46,121.0,120.97,120.64,"1,071","1,29,200.99",23,"1,057",98.69
HEALTHADD,EQ,12-03-2024,120.97,121.31,121.31,118.92,118.97,118.97,119.41,"1,381","1,64,904.03",36,974,70.53
HEALTHADD,EQ,13-03-2024,118.97,118.97,118.97,116.36,117.15,117.45,117.5,"1,119","1,31,479.54",44,865,77.3
HEALTHADD,EQ,14-03-2024,117.45,116.4,118.52,116.4,118.52,118.52,116.96,336,"39,299.13",10,224,66.67
HEALTHADD,EQ,15-03-2024,118.52,117.91,117.91,116.3,117.46,117.12,116.73,277,"32,333.52",20,170,61.37
HEALTHADD,EQ,18-03-2024,117.12,117.5,119.3,116.72,119.3,119.3,117.18,580,"67,966.13",19,554,95.52
HEALTHADD,EQ,19-03-2024,119.3,117.0,117.0,115.81,116.04,116.01,116.35,818,"95,174.24",55,805,98.41
HEALTHADD,EQ,20-03-2024,116.01,115.9,116.32,114.9,116.32,116.31,115.34,628,"72,434.33",32,553,88.06
HEALTHADD,EQ,21-03-2024,116.31,116.24,117.37,116.24,117.37,117.37,116.71,265,"30,927.50",15,244,92.08
HEALTHADD,EQ,22-03-2024,117.37,117.78,119.19,117.22,119.19,119.19,117.83,826,"97,325.88",26,751,90.92
HEALTHADD,EQ,26-03-2024,119.19,118.6,119.19,118.49,119.19,119.19,118.58,"4,070","4,82,613.10",15,"4,047",99.43
HEALTHADD,EQ,27-03-2024,119.19,119.19,119.74,118.71,119.47,119.34,119.44,551,"65,811.53",16,496,90.02
HEALTHADD,EQ,28-03-2024,119.34,120.0,121.31,119.54,120.22,120.47,120.37,999,"1,20,248.21",17,986,98.7
HEALTHADD,EQ,01-04-2024,120.47,121.26,122.28,121.17,122.28,121.86,121.47,732,"88,914.18",22,663,90.57
HEALTHADD,EQ,02-04-2024,121.86,122.53,122.53,121.07,121.47,121.69,122.0,"2,512","3,06,470.23",26,"2,209",87.94
HEALTHADD,EQ,03-04-2024,121.69,121.5,122.0,121.25,121.54,121.54,121.75,166,"20,211.08",13,122,73.49
HEALTHADD,EQ,04-04-2024,121.54,121.01,121.99,119.94,121.99,121.19,120.87,"1,913","2,31,215.59",48,"1,566",81.86
HEALTHADD,EQ,05-04-2024,121.19,121.51,122.52,120.96,121.08,121.07,121.67,"2,423","2,94,811.67",32,"1,807",74.58
HEALTHADD,EQ,08-04-2024,121.07,121.31,122.18,121.3,122.01,121.48,121.44,"1,616","1,96,255.09",20,"1,528",94.55
HEALTHADD,EQ,09-04-2024,121.48,121.48,122.48,119.53,121.62,120.91,121.08,"1,702","2,06,080.90",21,895,52.59
HEALTHADD,EQ,10-04-2024,120.91,121.71,121.71,121.42,121.42,121.42,121.57,2,243.13,2,1,50.0
HEALTHADD,EQ,12-04-2024,121.42,121.89,122.0,120.11,120.62,120.62,120.66,520,"62,741.96",39,501,96.35
HEALTHADD,EQ,15-04-2024,120.62,120.0,120.0,118.54,119.0,118.81,119.01,171,"20,350.19",20,169,98.83
HEALTHADD,EQ,16-04-2024,118.81,118.81,118.81,118.81,118.81,118.81,118.81,44,"5,227.64",4,44,100.0
HEALTHADD,EQ,18-04-2024,118.81,118.81,119.09,116.48,116.48,116.48,118.35,542,"64,145.11",28,406,74.91
HEALTHADD,EQ,19-04-2024,116.48,116.33,116.83,115.77,116.83,116.49,116.32,"1,462","1,70,061.15",21,"1,403",95.96
HEALTHADD,EQ,22-04-2024,116.49,117.7,117.7,117.7,117.7,117.7,117.7,11,"1,294.70",2,11,100.0
HEALTHADD,EQ,23-04-2024,117.7,117.7,117.7,116.21,116.22,116.21,116.7,261,"30,459.26",30,162,62.07
HEALTHADD,EQ,24-04-2024,116.21,117.43,118.44,117.43,118.34,118.29,117.81,561,"66,088.65",15,352,62.75
