SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
HINDZINC,EQ,01-01-1996,12.50,12.5,12.5,12.15,-,12.15,12.38,500,"6,190.00",-,-,-
HINDZINC,EQ,02-01-1996,12.15,12.25,12.9,12.25,-,12.25,12.57,"1,700","21,370.00",-,-,-
HINDZINC,EQ,03-01-1996,12.25,12.9,12.9,11.3,-,11.3,12.1,200,"2,420.00",-,-,-
HINDZINC,EQ,04-01-1996,11.30,11.5,11.5,11.5,-,11.5,11.5,100,"1,150.00",-,-,-
HINDZINC,EQ,05-01-1996,11.50,11.5,11.55,11.5,-,11.55,11.51,"1,600","18,420.00",-,-,-
HINDZINC,EQ,08-01-1996,11.55,11.55,11.8,10.4,-,10.5,10.9,"3,700","40,315.00",-,-,-
HINDZINC,EQ,09-01-1996,10.50,10.75,10.75,9.7,-,10.25,10.36,"1,300","13,470.00",-,-,-
HINDZINC,EQ,11-01-1996,10.25,10.9,10.9,10.9,-,10.9,10.9,100,"1,090.00",-,-,-
HINDZINC,EQ,12-01-1996,10.90,10.4,10.4,10.0,-,10.35,10.29,400,"4,115.00",-,-,-
HINDZINC,EQ,15-01-1996,10.35,10.7,10.7,10.5,-,10.5,10.6,400,"4,240.00",-,-,-
HINDZINC,EQ,16-01-1996,10.50,10.0,10.0,9.8,-,10.0,9.9,"1,000","9,900.00",-,-,-
HINDZINC,EQ,17-01-1996,10.00,10.0,10.0,10.0,-,10.0,10.0,400,"4,000.00",-,-,-
HINDZINC,EQ,18-01-1996,10.00,10.0,9.9,9.8,-,9.8,9.87,"1,400","13,820.00",-,-,-
HINDZINC,EQ,19-01-1996,9.80,10.0,10.0,10.0,-,10.0,10.0,100,"1,000.00",-,-,-
HINDZINC,EQ,23-01-1996,10.00,10.0,10.0,10.0,-,10.0,10.0,100,"1,000.00",-,-,-
HINDZINC,EQ,24-01-1996,10.00,10.0,10.0,9.55,-,9.55,9.96,"2,200","21,910.00",-,-,-
HINDZINC,EQ,25-01-1996,9.55,9.5,9.5,9.5,-,9.5,9.5,500,"4,750.00",-,-,-
HINDZINC,EQ,01-02-1996,9.50,9.9,10.0,9.9,-,10.0,9.96,"3,000","29,870.00",-,-,-
HINDZINC,EQ,02-02-1996,10.00,10.0,10.45,9.6,-,9.85,9.95,"1,700","16,915.00",-,-,-
HINDZINC,EQ,05-02-1996,9.85,10.0,10.25,10.0,-,10.0,10.13,400,"4,050.00",-,-,-
HINDZINC,EQ,06-02-1996,10.00,10.25,10.25,10.1,-,10.25,10.2,"2,100","21,430.00",-,-,-
HINDZINC,EQ,08-02-1996,10.25,10.15,10.15,10.15,-,10.15,10.15,100,"1,015.00",-,-,-
HINDZINC,EQ,09-02-1996,10.15,10.25,10.25,10.25,-,10.25,10.25,100,"1,025.00",-,-,-
HINDZINC,EQ,12-02-1996,10.25,10.25,10.6,10.6,-,10.6,10.6,100,"1,060.00",-,-,-
HINDZINC,EQ,13-02-1996,10.60,10.75,11.0,10.0,-,10.45,10.54,"2,600","27,405.00",-,-,-
HINDZINC,EQ,14-02-1996,10.45,10.75,10.75,10.45,-,10.45,10.58,800,"8,465.00",-,-,-
HINDZINC,EQ,15-02-1996,10.45,10.75,10.75,10.6,-,10.75,10.73,"2,300","24,680.00",-,-,-
HINDZINC,EQ,16-02-1996,10.75,10.7,10.75,10.6,-,10.75,10.71,"1,700","18,210.00",-,-,-
HINDZINC,EQ,19-02-1996,10.75,10.75,10.75,10.6,-,10.6,10.64,800,"8,510.00",-,-,-
HINDZINC,EQ,20-02-1996,10.60,10.65,11.0,10.6,-,10.6,10.74,"3,500","37,605.00",-,-,-
HINDZINC,EQ,22-02-1996,10.60,10.6,10.75,10.75,-,10.75,10.75,300,"3,225.00",-,-,-
HINDZINC,EQ,23-02-1996,10.75,10.75,10.75,10.5,-,10.5,10.65,500,"5,325.00",-,-,-
HINDZINC,EQ,26-02-1996,10.50,10.6,10.6,10.6,-,10.6,10.6,200,"2,120.00",-,-,-
HINDZINC,EQ,27-02-1996,10.60,10.6,10.6,10.6,-,10.6,10.6,100,"1,060.00",-,-,-
HINDZINC,EQ,28-02-1996,10.60,10.5,10.5,10.0,-,10.1,10.22,"5,500","56,230.00",-,-,-
HINDZINC,EQ,29-02-1996,10.10,10.0,10.0,10.0,-,10.0,10.0,"3,000","30,000.00",-,-,-
HINDZINC,EQ,01-03-1996,10.00,9.75,9.75,9.75,-,9.75,9.75,500,"4,875.00",-,-,-
HINDZINC,EQ,04-03-1996,9.75,9.0,9.0,9.0,-,9.0,9.0,200,"1,800.00",-,-,-
HINDZINC,EQ,07-03-1996,9.00,9.0,9.1,9.0,-,9.0,9.04,"1,700","15,360.00",-,-,-
HINDZINC,EQ,08-03-1996,9.00,9.5,9.5,9.5,-,9.5,9.5,"2,000","19,000.00",-,-,-
HINDZINC,EQ,11-03-1996,9.50,9.5,9.5,9.25,-,9.25,9.38,400,"3,750.00",-,-,-
HINDZINC,EQ,12-03-1996,9.25,9.15,9.15,9.0,-,9.0,9.09,500,"4,545.00",-,-,-
