SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
HMAAGRO,EQ,04-07-2023,585.0,625.0,667.0,570.0,579.2,585.65,619.66,"52,32,750","3,24,25,22,735.45","96,704","25,26,861",48.29
HMAAGRO,EQ,05-07-2023,585.65,578.0,592.65,565.0,583.0,583.65,580.07,"7,29,818","42,33,42,439.40","21,680","3,16,796",43.41
HMAAGRO,EQ,06-07-2023,583.65,589.0,613.5,580.85,597.0,597.95,597.59,"7,00,156","41,84,09,557.40","14,827","4,01,018",57.28
HMAAGRO,EQ,07-07-2023,597.95,600.0,605.0,583.05,588.15,587.65,591.96,"3,02,079","17,88,18,917.85","5,594","1,62,656",53.85
HMAAGRO,EQ,10-07-2023,587.65,588.0,590.0,577.0,578.9,578.75,582.98,"1,36,840","7,97,74,862.70","4,526","62,302",45.53
HMAAGRO,EQ,11-07-2023,578.75,577.0,592.0,575.05,591.0,586.8,584.19,"1,55,652","9,09,29,830.45","3,962","83,865",53.88
HMAAGRO,EQ,12-07-2023,586.8,584.0,593.2,578.0,580.9,582.6,585.82,"1,09,043","6,38,79,793.00","4,429","64,073",58.76
HMAAGRO,EQ,13-07-2023,582.6,581.35,591.0,565.0,590.0,583.95,579.95,"2,63,318","15,27,11,901.70","8,852","1,18,338",44.94
HMAAGRO,EQ,14-07-2023,583.95,588.9,589.9,576.65,578.05,579.8,581.11,"93,696","5,44,47,681.30","4,401","57,552",61.42
HMAAGRO,EQ,17-07-2023,579.8,579.4,602.2,576.7,592.0,590.85,588.57,"2,24,272","13,19,98,759.75","7,607","1,49,816",66.8
HMAAGRO,EQ,18-07-2023,590.85,592.0,597.0,582.0,589.95,588.55,589.13,"80,478","4,74,12,085.15","3,985","44,074",54.77
HMAAGRO,EQ,19-07-2023,588.55,588.55,617.0,584.0,612.0,609.75,601.73,"3,54,126","21,30,89,884.70","11,653","2,08,760",58.95
HMAAGRO,EQ,20-07-2023,609.75,618.0,630.8,605.4,627.7,628.05,621.32,"3,38,173","21,01,13,571.40","11,096","1,80,397",53.34
HMAAGRO,EQ,21-07-2023,628.05,629.65,638.4,621.05,630.0,630.25,630.78,"1,86,591","11,76,96,983.85","6,569","94,674",50.74
HMAAGRO,EQ,24-07-2023,630.25,630.25,635.6,614.0,617.0,619.8,624.55,"88,944","5,55,50,082.10","4,198","49,972",56.18
HMAAGRO,EQ,25-07-2023,619.8,618.95,628.75,612.2,615.0,614.6,621.02,"59,688","3,70,67,300.00","3,403","32,361",54.22
HMAAGRO,EQ,26-07-2023,614.6,614.95,618.0,603.6,604.0,608.4,611.81,"76,000","4,64,97,231.30","5,066","36,896",48.55
HMAAGRO,EQ,27-07-2023,608.4,613.0,613.0,604.0,607.45,606.25,606.97,"45,951","2,78,90,885.35","1,588","32,284",70.26
HMAAGRO,EQ,28-07-2023,606.25,609.0,616.55,585.5,594.5,597.0,603.05,"1,77,532","10,70,60,719.95","5,224","1,19,760",67.46
HMAAGRO,EQ,31-07-2023,597.0,597.0,608.75,586.35,605.05,604.4,598.42,"1,99,732","11,95,24,186.45","3,964","1,48,750",74.47
HMAAGRO,EQ,01-08-2023,604.4,590.0,611.9,590.0,606.0,602.1,603.47,"1,25,101","7,54,94,784.95","4,030","73,402",58.67
HMAAGRO,EQ,02-08-2023,602.1,606.0,606.0,589.0,591.0,590.8,598.09,"87,296","5,22,11,017.85","2,417","63,306",72.52
HMAAGRO,EQ,03-08-2023,590.8,595.0,596.0,590.95,595.4,594.25,593.78,"28,139","1,67,08,471.10","1,145","17,834",63.38
HMAAGRO,EQ,04-08-2023,594.25,597.6,612.0,595.0,604.0,602.85,605.08,"72,061","4,36,02,856.30","2,803","39,738",55.14
HMAAGRO,EQ,07-08-2023,602.85,605.0,615.9,600.0,608.25,611.6,611.11,"78,681","4,80,82,456.15","3,022","45,427",57.74
HMAAGRO,EQ,08-08-2023,611.6,611.0,616.65,603.6,608.4,610.75,611.48,"54,601","3,33,87,642.15","1,673","30,302",55.5
