SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
HYUNDAI,EQ,22-10-2024,"1,960.00","1,934.00","1,970.00","1,807.00","1,845.00","1,819.60","1,888.30","2,86,19,978","54,04,29,98,487.45","9,96,355","1,64,75,538",57.57
HYUNDAI,EQ,23-10-2024,"1,819.60","1,815.20","1,928.90","1,810.00","1,900.00","1,896.85","1,886.00","77,29,113","14,57,70,81,099.30","2,60,804","34,18,575",44.23
HYUNDAI,EQ,24-10-2024,"1,896.85","1,927.95","1,933.85","1,853.45","1,872.00","1,871.20","1,893.51","32,71,622","6,19,48,56,787.50","1,39,203","15,26,615",46.66
HYUNDAI,EQ,25-10-2024,"1,871.20","1,871.00","1,884.25","1,783.00","1,844.00","1,843.75","1,820.96","32,19,776","5,86,30,77,841.10","1,65,666","19,04,583",59.15
HYUNDAI,EQ,28-10-2024,"1,843.75","1,843.75","1,848.65","1,795.00","1,809.00","1,803.35","1,812.67","13,41,337","2,43,13,99,313.15","1,06,334","8,47,317",63.17
HYUNDAI,EQ,29-10-2024,"1,803.35","1,807.95","1,807.95","1,752.00","1,770.15","1,758.50","1,764.93","24,46,675","4,31,82,20,927.70","1,34,360","16,30,017",66.62
HYUNDAI,EQ,30-10-2024,"1,758.50","1,769.95","1,843.10","1,760.65","1,820.00","1,832.05","1,816.11","15,16,619","2,75,43,44,214.55","69,125","8,45,256",55.73
HYUNDAI,EQ,31-10-2024,"1,832.05","1,823.00","1,842.95","1,815.15","1,822.40","1,822.55","1,824.14","5,22,279","95,27,08,614.60","50,594","2,96,780",56.82
HYUNDAI,EQ,01-11-2024,"1,822.55","1,825.00","1,848.00","1,825.00","1,832.15","1,832.30","1,835.54","1,58,166","29,03,20,607.15","18,027","1,00,898",63.79
HYUNDAI,EQ,04-11-2024,"1,832.30","1,832.25","1,841.00","1,796.10","1,816.00","1,814.45","1,814.61","9,26,694","1,68,15,90,723.30","80,527","6,19,684",66.87
