SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
MAYTASINFR,EQ,25-10-2007,370.00,515.75,642.00,515.0,630.00,613.35,580.83,"1,35,08,756","7,84,62,84,178.60",-,"42,68,547",31.6
MAYTASINFR,EQ,26-10-2007,613.35,635.00,716.00,625.0,633.35,640.20,666.50,"54,63,402","3,64,13,33,693.80",-,"7,16,599",13.12
MAYTASINFR,EQ,29-10-2007,640.20,640.20,658.85,591.1,613.00,610.15,631.26,"17,58,993","1,11,03,74,439.30",-,"3,51,234",19.97
MAYTASINFR,EQ,30-10-2007,610.15,620.00,624.95,597.0,618.25,615.70,611.40,"7,75,819","47,43,34,323.20",-,"1,28,742",16.59
MAYTASINFR,EQ,31-10-2007,615.70,560.00,738.85,560.0,738.85,738.85,702.44,"25,09,674","1,76,28,87,461.60",-,"7,55,076",30.09
MAYTASINFR,EQ,01-11-2007,738.85,752.30,818.80,676.25,710.00,700.35,755.37,"18,38,417","1,38,86,80,540.20",-,"3,44,290",18.73
MAYTASINFR,EQ,02-11-2007,700.35,675.00,740.00,671.35,707.00,708.55,704.36,"10,77,758","75,91,34,041.85",-,"1,69,623",15.74
MAYTASINFR,EQ,05-11-2007,708.55,715.00,745.00,690.0,717.10,721.85,717.54,"9,96,678","71,51,58,375.50",-,"1,60,234",16.08
MAYTASINFR,EQ,06-11-2007,721.85,724.85,739.00,695.1,701.00,703.75,721.10,"4,61,858","33,30,44,451.45",-,"1,22,452",26.51
MAYTASINFR,EQ,07-11-2007,703.75,709.70,715.00,675.1,692.00,690.85,695.05,"1,67,625","11,65,07,671.25",-,"48,382",28.86
MAYTASINFR,EQ,08-11-2007,690.85,678.00,726.80,666.0,715.00,717.60,705.36,"2,83,589","20,00,32,535.50",-,"1,01,800",35.9
MAYTASINFR,EQ,09-11-2007,717.60,719.70,738.00,692.3,695.90,703.80,712.14,"31,985","2,27,77,672.75",-,"12,505",39.1
MAYTASINFR,EQ,12-11-2007,703.80,680.00,750.00,673.0,748.10,732.85,713.44,"1,88,014","13,41,37,059.40",-,"1,02,859",54.71
MAYTASINFR,EQ,13-11-2007,732.85,725.90,808.00,725.9,796.20,785.40,767.34,"6,53,778","50,16,67,192.00",-,"2,83,286",43.33
MAYTASINFR,EQ,14-11-2007,785.40,795.00,860.00,791.25,855.00,832.60,814.50,"5,37,201","43,75,48,397.25",-,"1,71,526",31.93
MAYTASINFR,EQ,15-11-2007,832.60,849.50,938.00,830.0,878.00,894.55,889.65,"5,30,662","47,21,03,249.70",-,"1,16,881",22.03
MAYTASINFR,EQ,16-11-2007,894.55,874.40,998.95,869.0,994.00,959.80,925.99,"3,40,376","31,51,84,164.05",-,"83,514",24.54
MAYTASINFR,EQ,19-11-2007,959.80,"1,000.00","1,151.80",930.0,"1,075.00","1,073.40","1,103.53","7,93,001","87,51,03,073.45",-,"1,73,103",21.83
MAYTASINFR,EQ,20-11-2007,"1,073.40","1,070.00","1,121.90",966.1,971.00,970.50,"1,038.21","4,84,112","50,26,12,098.05",-,"1,54,300",31.87
MAYTASINFR,EQ,21-11-2007,970.50,992.90,"1,010.00",875.0,877.00,881.70,930.57,"2,69,225","25,05,32,134.85",-,"85,982",31.94
MAYTASINFR,EQ,22-11-2007,881.70,881.70,969.90,850.0,969.00,935.15,902.83,"3,20,439","28,93,02,403.95",-,"1,31,710",41.1
MAYTASINFR,EQ,23-11-2007,935.15,978.00,"1,007.00",908.85,934.95,942.45,962.55,"1,45,386","13,99,40,791.25",-,"33,223",22.85
MAYTASINFR,EQ,26-11-2007,942.45,947.00,968.45,884.7,901.00,907.40,932.04,"95,572","8,90,76,450.45",-,"25,730",26.92
MAYTASINFR,EQ,27-11-2007,907.40,905.00,925.10,880.0,905.10,906.10,900.62,"84,012","7,56,63,297.05",-,"30,144",35.88
MAYTASINFR,EQ,28-11-2007,906.10,920.00,920.00,874.0,900.00,891.10,894.25,"1,16,139","10,38,56,901.30",-,"68,389",58.89
MAYTASINFR,EQ,29-11-2007,891.10,908.00,917.00,865.0,905.10,898.25,893.50,"93,081","8,31,67,844.60",-,"59,700",64.14
MAYTASINFR,EQ,30-11-2007,898.25,905.00,910.00,880.0,893.00,894.50,894.14,"65,507","5,85,72,724.75",-,"42,814",65.36
MAYTASINFR,EQ,03-12-2007,894.50,904.00,940.00,900.0,916.00,915.00,921.48,"51,915","4,78,38,532.45",-,"20,696",39.87
MAYTASINFR,EQ,04-12-2007,915.00,925.00,948.00,901.3,940.00,933.65,921.68,"49,754","4,58,57,249.20",-,"18,806",37.8
MAYTASINFR,EQ,05-12-2007,933.65,939.00,944.00,905.0,905.50,912.15,915.75,"1,96,113","17,95,89,820.65",-,"1,85,384",94.53
MAYTASINFR,EQ,06-12-2007,912.15,925.00,980.00,921.05,949.00,946.25,957.53,"1,72,600","16,52,68,957.80",-,"89,656",51.94
MAYTASINFR,EQ,07-12-2007,946.25,955.00,958.00,892.0,904.00,908.85,910.13,"2,49,240","22,68,39,767.55",-,"2,18,159",87.53
MAYTASINFR,EQ,10-12-2007,908.85,910.00,925.00,908.0,915.00,914.55,913.27,"46,879","4,28,13,288.05",-,"36,473",77.8
MAYTASINFR,EQ,11-12-2007,914.55,930.00,980.00,915.0,915.05,924.40,934.34,"46,828","4,37,53,126.95",-,"22,525",48.1
MAYTASINFR,EQ,12-12-2007,924.40,920.00,930.00,905.0,914.50,910.30,913.68,"1,14,150","10,42,96,683.30",-,"98,124",85.96
MAYTASINFR,EQ,13-12-2007,910.30,912.00,930.00,885.0,893.00,888.65,903.23,"29,189","2,63,64,475.05",-,"18,425",63.12
MAYTASINFR,EQ,14-12-2007,888.65,880.00,910.00,850.0,886.00,888.30,893.81,"14,736","1,31,71,140.05",-,"7,576",51.41
MAYTASINFR,EQ,17-12-2007,888.30,900.00,900.00,850.05,887.00,869.45,869.01,"32,676","2,83,95,753.65",-,"20,370",62.34
MAYTASINFR,EQ,18-12-2007,869.45,851.15,879.90,812.25,850.00,850.90,848.26,"23,095","1,95,90,585.05",-,"10,922",47.29
MAYTASINFR,EQ,19-12-2007,850.90,877.00,894.65,765.9,803.00,800.00,824.84,"1,14,073","9,40,92,163.00",-,"59,752",52.38
MAYTASINFR,EQ,20-12-2007,800.00,820.00,845.00,805.0,835.00,836.60,832.81,"48,621","4,04,92,203.90",-,"26,151",53.79
MAYTASINFR,EQ,24-12-2007,836.60,838.00,864.70,815.0,830.00,826.50,835.29,"18,818","1,57,18,566.30",-,"10,647",56.58
MAYTASINFR,EQ,26-12-2007,826.50,845.00,909.15,830.0,909.15,909.15,881.20,"80,567","7,09,95,962.55",-,"31,954",39.66
MAYTASINFR,EQ,27-12-2007,909.15,940.00,946.00,882.0,885.00,891.10,907.22,"33,295","3,02,05,752.85",-,"15,963",47.94
MAYTASINFR,EQ,28-12-2007,891.10,880.00,907.90,840.0,875.00,880.55,889.27,"73,044","6,49,56,189.60",-,"58,553",80.16
MAYTASINFR,EQ,31-12-2007,880.55,900.00,909.70,890.0,908.00,900.95,900.87,"23,751","2,13,96,566.65",-,"17,375",73.15
MAYTASINFR,EQ,01-01-2008,900.95,910.0,932.0,895.0,910.0,912.9,919.02,"33,601","3,08,79,836.30",-,"17,308",51.51
MAYTASINFR,EQ,02-01-2008,912.9,924.8,925.0,895.0,905.0,906.6,912.75,"38,264","3,49,25,380.10",-,"31,485",82.28
MAYTASINFR,EQ,03-01-2008,906.6,920.0,920.0,880.1,890.0,886.5,905.01,"59,357","5,37,18,923.25",-,"53,133",89.51
MAYTASINFR,EQ,04-01-2008,886.5,900.0,905.0,880.0,885.1,888.4,891.21,"20,884","1,86,11,942.70",-,"12,641",60.53
MAYTASINFR,EQ,07-01-2008,888.4,880.0,899.0,855.5,887.0,890.0,890.03,"21,193","1,88,62,333.80",-,"15,656",73.87
MAYTASINFR,EQ,08-01-2008,890.0,899.95,908.95,836.1,840.0,850.55,867.74,"16,600","1,44,04,561.55",-,"9,607",57.87
MAYTASINFR,EQ,09-01-2008,850.55,868.0,869.0,815.0,840.2,831.65,826.84,"34,683","2,86,77,320.40",-,"25,409",73.26
MAYTASINFR,EQ,10-01-2008,831.65,826.25,849.0,797.0,800.0,802.75,822.02,"17,854","1,46,76,408.00",-,"12,920",72.36
MAYTASINFR,EQ,11-01-2008,802.75,829.0,839.9,796.0,806.0,810.15,807.67,"12,497","1,00,93,410.15",-,"6,860",54.89
MAYTASINFR,EQ,14-01-2008,810.15,823.9,825.0,801.0,820.0,820.5,818.09,"11,416","93,39,313.10",-,"7,829",68.58
MAYTASINFR,EQ,15-01-2008,820.5,830.0,839.0,820.0,835.0,829.75,829.3,"21,339","1,76,96,355.55",-,"18,332",85.91
MAYTASINFR,EQ,16-01-2008,829.75,800.1,827.75,782.6,808.0,806.1,803.43,"15,318","1,23,06,887.40",-,"11,691",76.32
MAYTASINFR,EQ,17-01-2008,806.1,810.0,829.0,790.4,815.0,806.25,806.43,"21,885","1,76,48,768.60",-,"13,386",61.17
MAYTASINFR,EQ,18-01-2008,806.25,806.0,833.95,781.0,795.0,798.0,816.78,"22,778","1,86,04,540.75",-,"12,826",56.31
MAYTASINFR,EQ,21-01-2008,798.0,765.0,792.0,640.0,648.9,732.4,753.16,"1,90,120","14,31,91,138.80",-,"1,81,622",95.53
MAYTASINFR,EQ,22-01-2008,732.4,585.95,878.0,585.95,750.0,709.6,629.03,"21,365","1,34,39,318.95",-,"17,203",80.52
MAYTASINFR,EQ,23-01-2008,709.6,790.0,790.0,620.0,760.0,751.95,742.38,"10,699","79,42,775.70",-,"7,585",70.89
MAYTASINFR,EQ,24-01-2008,751.95,777.0,798.0,740.0,750.0,750.9,755.63,"15,342","1,15,92,865.00",-,"12,103",78.89
MAYTASINFR,EQ,25-01-2008,750.9,788.0,788.0,735.0,758.7,755.55,750.66,"7,760","58,25,101.55",-,"5,140",66.24
MAYTASINFR,EQ,28-01-2008,755.55,718.0,822.0,715.0,810.0,809.1,784.96,"13,577","1,06,57,435.20",-,"8,625",63.53
MAYTASINFR,EQ,29-01-2008,809.1,820.0,822.0,791.85,800.0,800.7,802.47,"5,610","45,01,869.90",-,"4,090",72.91
MAYTASINFR,EQ,30-01-2008,800.7,762.0,812.0,762.0,802.0,800.7,796.33,"12,832","1,02,18,561.45",-,"8,776",68.39
MAYTASINFR,EQ,31-01-2008,800.7,790.0,812.0,761.5,800.05,795.6,781.17,"58,522","4,57,15,800.65",-,"54,772",93.59
MAYTASINFR,EQ,01-02-2008,795.6,770.0,819.0,741.0,753.0,752.1,762.22,"6,383","48,65,262.05",-,"3,968",62.17
MAYTASINFR,EQ,04-02-2008,752.1,760.0,769.9,752.25,757.0,755.15,761.22,"8,043","61,22,464.70",-,"4,960",61.67
MAYTASINFR,EQ,05-02-2008,755.15,756.0,760.0,731.0,755.0,751.4,752.05,"6,178","46,46,162.00",-,"3,910",63.29
MAYTASINFR,EQ,06-02-2008,751.4,706.6,775.0,706.6,750.0,750.25,750.8,"16,863","1,26,60,798.80",-,"12,215",72.44
MAYTASINFR,EQ,07-02-2008,750.25,750.1,768.8,725.0,731.0,737.9,747.94,"6,481","48,47,393.65",-,"3,806",58.73
MAYTASINFR,EQ,08-02-2008,737.9,735.0,740.0,681.0,710.0,702.9,706.21,"33,133","2,33,98,761.55",-,"26,357",79.55
MAYTASINFR,EQ,11-02-2008,702.9,700.0,702.9,642.0,674.0,677.15,666.07,"18,134","1,20,78,582.40",-,"12,289",67.77
MAYTASINFR,EQ,12-02-2008,677.15,665.5,700.0,665.5,697.7,690.8,681.75,"11,285","76,93,573.10",-,"9,470",83.92
MAYTASINFR,EQ,13-02-2008,690.8,747.0,747.0,676.1,719.95,700.4,698.51,"20,538","1,43,46,015.80",-,"17,730",86.33
MAYTASINFR,EQ,14-02-2008,700.4,705.0,759.0,691.05,746.0,747.8,726.51,"17,878","1,29,88,589.70",-,"13,336",74.59
MAYTASINFR,EQ,15-02-2008,747.8,759.9,759.9,708.0,741.1,737.55,734.68,"22,449","1,64,92,871.45",-,"18,041",80.36
MAYTASINFR,EQ,18-02-2008,737.55,740.0,750.0,701.0,706.0,710.8,727.05,"24,431","1,77,62,521.60",-,"21,546",88.19
MAYTASINFR,EQ,19-02-2008,710.8,715.0,728.95,680.0,684.5,682.15,697.87,"11,286","78,76,126.80",-,"7,269",64.41
MAYTASINFR,EQ,20-02-2008,682.15,672.0,694.9,670.0,679.0,675.4,678.42,"2,633","17,86,283.90",-,"1,859",70.6
MAYTASINFR,EQ,21-02-2008,675.4,694.0,694.0,670.0,670.5,674.7,678.68,"2,433","16,51,240.55",-,"1,825",75.01
MAYTASINFR,EQ,22-02-2008,674.7,651.0,680.0,651.0,680.0,666.5,661.76,"3,057","20,22,987.65",-,"1,569",51.32
MAYTASINFR,EQ,25-02-2008,666.5,704.95,704.95,651.0,675.0,675.4,674.24,"3,301","22,25,669.95",-,"2,276",68.95
MAYTASINFR,EQ,26-02-2008,675.4,678.0,689.0,675.0,678.0,682.8,682.4,"2,675","18,25,415.60",-,"1,744",65.2
MAYTASINFR,EQ,27-02-2008,682.8,686.0,705.0,679.0,694.7,691.35,698.96,"8,478","59,25,750.10",-,"7,111",83.88
MAYTASINFR,EQ,28-02-2008,691.35,693.0,715.2,681.5,684.1,687.8,705.09,"28,470","2,00,73,975.90",-,"25,978",91.25
MAYTASINFR,EQ,29-02-2008,687.8,667.1,693.0,666.0,683.0,678.9,680.01,"1,886","12,82,491.75",-,"1,059",56.15
MAYTASINFR,EQ,03-03-2008,678.9,666.0,678.0,644.0,675.0,675.15,668.54,"9,713","64,93,519.35",-,"7,299",75.15
