SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
INDIGO,EQ,10-11-2015,765.00,855.80,899.50,849.00,877.50,877.25,880.18,"2,73,51,793","24,07,46,00,206.55","4,87,567","1,10,87,159",40.54
INDIGO,EQ,11-11-2015,877.25,887.00,935.10,880.00,935.00,923.35,911.16,"33,16,606","3,02,19,61,949.55","59,126","5,61,763",16.94
INDIGO,EQ,13-11-2015,923.35,918.00,"1,032.00",917.00,"1,019.00","1,004.10",975.18,"84,46,622","8,23,69,87,510.05","1,70,169","16,49,533",19.53
INDIGO,EQ,16-11-2015,"1,004.10","1,011.00","1,040.00",966.25,989.00,988.95,998.77,"33,58,159","3,35,40,28,339.85","82,492","4,95,524",14.76
INDIGO,EQ,17-11-2015,988.95,990.00,"1,049.90",976.20,"1,047.80","1,036.90","1,018.48","36,94,092","3,76,23,62,621.45","94,567","8,01,429",21.69
INDIGO,EQ,18-11-2015,"1,036.90","1,017.25","1,068.80","1,015.30","1,048.00","1,045.65","1,047.21","36,21,593","3,79,25,70,776.50","94,842","3,66,488",10.12
INDIGO,EQ,19-11-2015,"1,045.65","1,055.00","1,166.70","1,052.00","1,166.70","1,143.80","1,105.07","43,20,971","4,77,49,83,617.25","1,15,496","6,47,980",15.0
INDIGO,EQ,20-11-2015,"1,143.80","1,156.00","1,162.90","1,088.20","1,099.10","1,105.40","1,110.65","36,36,764","4,03,91,59,000.35","90,693","6,45,012",17.74
INDIGO,EQ,23-11-2015,"1,105.40","1,100.00","1,124.80","1,031.20","1,046.95","1,046.85","1,080.70","21,15,930","2,28,66,87,732.20","70,937","4,91,068",23.21
INDIGO,EQ,24-11-2015,"1,046.85","1,049.95","1,099.00","1,032.35","1,086.00","1,089.80","1,072.37","20,80,065","2,23,05,96,634.50","61,080","2,55,894",12.3
INDIGO,EQ,26-11-2015,"1,089.80","1,100.00","1,114.00","1,062.10","1,087.10","1,088.20","1,094.48","12,78,254","1,39,90,25,286.25","38,002","1,69,836",13.29
INDIGO,EQ,27-11-2015,"1,088.20","1,093.30","1,109.80","1,071.55","1,092.55","1,090.50","1,090.48","8,30,213","90,53,31,416.65","30,565","1,42,104",17.12
INDIGO,EQ,30-11-2015,"1,090.50","1,093.80","1,122.00","1,081.55","1,109.00","1,110.45","1,106.17","9,53,967","1,05,52,47,021.55","28,141","1,91,337",20.06
INDIGO,EQ,01-12-2015,"1,110.45","1,112.95","1,115.00","1,085.75","1,087.00","1,093.25","1,102.80","5,66,179","62,43,82,685.45","24,492","1,80,398",31.86
INDIGO,EQ,02-12-2015,"1,093.25","1,092.00","1,124.90","1,062.00","1,096.20","1,099.20","1,099.83","18,20,435","2,00,21,67,095.45","71,581","2,85,459",15.68
INDIGO,EQ,03-12-2015,"1,099.20","1,096.00","1,144.45","1,091.00","1,110.95","1,113.70","1,123.21","20,08,650","2,25,61,33,042.00","56,041","4,77,247",23.76
INDIGO,EQ,04-12-2015,"1,113.70","1,103.00","1,122.00","1,071.70","1,081.00","1,079.70","1,101.35","7,38,821","81,37,01,557.60","23,606","1,83,765",24.87
INDIGO,EQ,07-12-2015,"1,079.70","1,050.00","1,085.50","1,032.20","1,042.00","1,044.55","1,060.86","19,75,506","2,09,57,40,647.35","88,637","8,98,151",45.46
