SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
INTEGRITY,ST,20-05-2025,100.0,100.8,104.85,100.2,103.5,103.5,101.38,"3,48,000","3,52,79,220.00",257,"3,45,600",99.31
INTEGRITY,ST,21-05-2025,103.5,105.0,107.0,101.0,103.35,102.8,103.62,"51,600","53,46,540.00",43,"49,200",95.35
INTEGRITY,ST,22-05-2025,102.8,102.5,102.8,100.05,100.5,100.5,100.86,"27,600","27,83,700.00",21,"26,400",95.65
INTEGRITY,ST,23-05-2025,100.5,100.75,102.0,100.4,102.0,101.5,100.77,"20,400","20,55,780.00",17,"20,400",100.0
INTEGRITY,ST,26-05-2025,101.5,100.3,101.5,100.0,100.5,100.5,100.46,"26,400","26,52,240.00",20,"25,200",95.45
INTEGRITY,ST,27-05-2025,100.5,100.5,100.55,100.5,100.55,100.55,100.52,"13,200","13,26,900.00",11,"13,200",100.0
INTEGRITY,ST,28-05-2025,100.55,100.5,101.0,100.5,100.5,100.5,100.66,"18,000","18,11,820.00",15,"18,000",100.0
INTEGRITY,ST,29-05-2025,100.5,101.0,101.0,100.5,100.6,100.6,100.81,"8,400","8,46,780.00",7,"8,400",100.0
INTEGRITY,ST,30-05-2025,100.6,100.6,103.0,100.5,100.6,100.6,101.04,"7,200","7,27,500.00",6,"7,200",100.0
INTEGRITY,ST,02-06-2025,100.6,101.0,104.3,101.0,104.25,104.25,102.86,"22,800","23,45,220.00",19,"22,800",100.0
INTEGRITY,SM,03-06-2025,104.25,101.05,104.95,101.05,101.05,102.1,102.78,"22,800","23,43,420.00",19,"13,200",57.89
INTEGRITY,SM,04-06-2025,102.1,101.6,101.6,101.55,101.55,101.55,101.58,"2,400","2,43,780.00",2,"2,400",100.0
INTEGRITY,SM,05-06-2025,101.55,102.0,102.0,101.5,102.0,101.6,101.6,"13,200","13,41,060.00",9,"7,200",54.55
INTEGRITY,SM,06-06-2025,101.6,102.0,102.0,101.05,101.05,101.05,101.52,"3,600","3,65,460.00",3,"3,600",100.0
INTEGRITY,SM,09-06-2025,101.05,102.9,102.9,101.5,101.6,101.55,102.29,"6,000","6,13,740.00",5,"6,000",100.0
INTEGRITY,SM,10-06-2025,101.55,102.0,103.0,101.9,101.9,101.9,102.54,"9,600","9,84,360.00",8,"9,600",100.0
INTEGRITY,SM,11-06-2025,101.9,102.0,104.25,101.9,101.9,101.9,102.51,"4,800","4,92,060.00",4,"4,800",100.0
INTEGRITY,SM,12-06-2025,101.9,104.25,104.25,101.9,101.9,102.2,103.24,"14,400","14,86,620.00",12,"12,000",83.33
INTEGRITY,SM,13-06-2025,102.2,101.25,102.0,101.25,102.0,102.0,101.63,"2,400","2,43,900.00",2,"2,400",100.0
INTEGRITY,SM,16-06-2025,102.0,102.0,102.0,101.0,101.95,101.95,101.74,"4,800","4,88,340.00",4,"3,600",75.0
INTEGRITY,SM,17-06-2025,101.95,101.95,102.0,101.95,102.0,102.0,101.99,"26,400","26,92,620.00",6,"26,400",100.0
INTEGRITY,SM,18-06-2025,102.0,102.0,104.0,100.5,103.5,103.5,102.11,"46,800","47,78,700.00",14,"44,400",94.87
INTEGRITY,SM,19-06-2025,103.5,102.0,104.0,102.0,102.5,102.5,102.7,"6,000","6,16,200.00",3,"6,000",100.0
INTEGRITY,SM,20-06-2025,102.5,101.05,103.5,101.05,103.5,103.0,102.51,"4,800","4,92,060.00",4,"3,600",75.0
INTEGRITY,SM,25-06-2025,103.0,101.1,102.9,101.05,101.05,101.05,101.54,"4,800","4,87,380.00",4,"3,600",75.0
INTEGRITY,SM,26-06-2025,101.05,101.1,101.1,101.1,101.1,101.1,101.1,"2,400","2,42,640.00",2,"2,400",100.0
