SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
IOLCP,EQ,08-11-2010,46.15,52.8,55.4,47.9,55.4,55.4,54.8,"5,89,575","3,23,10,190.05",-,"96,303",16.33
IOLCP,EQ,09-11-2010,55.4,58.55,65.0,53.0,60.2,59.7,61.55,"11,71,234","7,20,88,261.80",-,"1,42,631",12.18
IOLCP,EQ,10-11-2010,59.7,61.0,63.7,58.0,60.3,60.15,61.46,"2,31,752","1,42,44,282.60",-,"62,588",27.01
IOLCP,EQ,11-11-2010,60.15,60.95,61.0,56.1,57.05,57.15,58.76,"1,12,077","65,86,193.45",-,"54,130",48.3
IOLCP,EQ,12-11-2010,57.15,54.0,57.35,51.25,51.35,52.05,54.07,"49,895","26,97,769.15",-,"32,611",65.36
IOLCP,EQ,15-11-2010,52.05,52.05,53.85,48.4,48.45,48.65,49.7,"29,306","14,56,576.55",-,"17,104",58.36
IOLCP,EQ,16-11-2010,48.65,49.9,51.45,45.0,46.0,45.95,46.79,"29,324","13,72,091.00",-,"18,122",61.8
IOLCP,EQ,18-11-2010,45.95,47.0,47.0,44.2,45.35,45.7,45.49,"21,065","9,58,171.50",-,"10,473",49.72
IOLCP,EQ,19-11-2010,45.7,44.1,46.3,44.1,45.65,45.1,45.24,"10,559","4,77,737.70",-,"4,523",42.84
IOLCP,EQ,22-11-2010,45.1,41.35,46.5,41.35,46.5,46.15,45.24,"7,266","3,28,708.10",-,"5,450",75.01
IOLCP,EQ,23-11-2010,46.15,45.5,47.3,44.0,45.0,45.15,45.05,"6,330","2,85,179.85",-,"4,477",70.73
IOLCP,EQ,24-11-2010,45.15,47.9,47.9,44.5,45.05,45.2,46.36,"6,745","3,12,677.40",-,"4,619",68.48
IOLCP,EQ,25-11-2010,45.2,46.9,46.9,43.0,43.05,43.3,44.14,"6,478","2,85,914.50",-,"5,641",87.08
IOLCP,EQ,26-11-2010,43.3,43.05,43.9,40.6,42.5,42.75,42.11,"16,907","7,11,944.80",-,"14,006",82.84
IOLCP,EQ,29-11-2010,42.75,42.75,42.9,40.0,41.2,41.45,41.06,"3,307","1,35,786.95",-,"2,441",73.81
IOLCP,EQ,30-11-2010,41.45,44.3,44.3,40.6,43.0,43.45,43.27,"5,059","2,18,895.30",-,"3,309",65.41
IOLCP,EQ,01-12-2010,43.45,44.95,44.95,42.65,43.5,43.5,43.28,"16,149","6,98,917.35",-,"13,244",82.01
IOLCP,EQ,02-12-2010,43.5,43.05,44.5,43.0,43.8,44.4,43.74,"8,410","3,67,859.30",-,"6,051",71.95
IOLCP,EQ,03-12-2010,44.4,45.4,45.4,42.1,42.75,42.75,43.1,"2,763","1,19,075.75",-,"1,609",58.23
IOLCP,EQ,06-12-2010,42.75,42.5,43.0,41.05,42.4,42.1,42.39,"5,086","2,15,607.60",-,"3,635",71.47
IOLCP,EQ,07-12-2010,42.1,41.0,42.45,41.0,41.4,41.8,41.45,"5,270","2,18,436.45",-,"2,798",53.09
IOLCP,EQ,08-12-2010,41.8,41.0,41.9,37.5,41.9,41.25,40.49,"3,746","1,51,679.65",-,"2,931",78.24
IOLCP,EQ,09-12-2010,41.25,41.8,41.8,37.9,39.95,39.2,39.22,"8,711","3,41,666.70",-,"4,111",47.19
IOLCP,EQ,10-12-2010,39.2,38.5,41.85,38.5,39.3,39.55,39.69,"2,233","88,622.00",-,"2,032",91.0
IOLCP,EQ,13-12-2010,39.55,38.5,40.4,38.5,38.6,39.15,39.18,"5,565","2,18,040.00",-,"3,143",56.48
IOLCP,EQ,14-12-2010,39.15,40.5,40.95,40.25,40.25,40.5,40.4,725,"29,291.75",-,699,96.41
IOLCP,EQ,15-12-2010,40.5,39.15,41.1,39.0,39.0,39.3,39.72,"9,488","3,76,864.70",-,"8,182",86.24
IOLCP,EQ,16-12-2010,39.3,38.05,40.3,38.05,39.1,38.95,39.31,"6,700","2,63,387.80",-,"5,791",86.43
IOLCP,EQ,20-12-2010,38.95,40.45,40.45,38.6,39.75,39.2,39.13,"2,767","1,08,278.35",-,"2,322",83.92
IOLCP,EQ,21-12-2010,39.2,39.1,40.6,39.1,40.55,40.55,39.87,"1,722","68,656.00",-,"1,322",76.77
IOLCP,EQ,22-12-2010,40.55,40.05,40.5,40.0,40.0,40.15,40.17,684,"27,477.95",-,683,99.85
IOLCP,EQ,23-12-2010,40.15,38.0,42.0,38.0,39.4,39.4,39.69,"2,139","84,887.45",-,"1,807",84.48
IOLCP,EQ,24-12-2010,39.4,38.95,41.0,38.95,39.6,39.65,40.15,"5,360","2,15,214.35",-,"1,037",19.35
IOLCP,EQ,27-12-2010,39.65,39.0,40.9,39.0,40.0,39.75,39.82,"10,080","4,01,369.35",-,"5,584",55.4
IOLCP,EQ,28-12-2010,39.75,39.0,41.75,39.0,41.75,41.75,41.45,"6,552","2,71,595.35",-,"6,425",98.06
IOLCP,EQ,29-12-2010,41.75,40.55,43.5,40.55,42.9,42.8,42.8,"10,444","4,46,997.50",-,"9,465",90.63
IOLCP,EQ,30-12-2010,42.8,42.0,44.55,42.0,43.95,44.5,43.77,"8,290","3,62,846.80",-,"7,859",94.8
IOLCP,EQ,31-12-2010,44.5,45.7,45.7,43.1,44.5,44.75,44.29,"17,292","7,65,892.65",-,"16,016",92.62
IOLCP,EQ,03-01-2011,44.75,44.25,45.5,42.85,44.8,44.8,44.0,"13,431","5,91,028.60",-,"6,297",46.88
IOLCP,EQ,04-01-2011,44.8,45.0,45.9,43.05,45.0,44.95,44.76,"2,781","1,24,465.85",-,"1,561",56.13
IOLCP,EQ,05-01-2011,44.95,45.5,45.65,44.55,45.0,45.0,45.1,"4,658","2,10,067.70",-,"2,758",59.21
IOLCP,EQ,06-01-2011,45.0,45.0,45.55,45.0,45.0,45.0,45.02,"1,470","66,177.50",-,"1,470",100.00
IOLCP,EQ,07-01-2011,45.0,44.95,45.45,44.0,45.0,45.0,44.9,"10,634","4,77,461.00",-,"10,634",100.00
IOLCP,EQ,10-01-2011,45.0,43.05,45.15,43.05,45.0,45.05,44.82,"5,113","2,29,148.70",-,"4,463",87.29
IOLCP,EQ,11-01-2011,45.05,43.2,45.45,43.2,45.45,45.2,44.95,"6,953","3,12,566.45",-,"6,407",92.15
IOLCP,EQ,12-01-2011,45.2,43.25,45.75,43.25,45.5,45.15,44.8,"3,915","1,75,387.35",-,"2,917",74.51
IOLCP,EQ,13-01-2011,45.15,45.0,45.05,45.0,45.0,45.0,45.02,"1,274","57,353.15",-,"1,274",100.00
IOLCP,EQ,14-01-2011,45.0,43.5,45.5,43.5,45.0,45.0,44.98,"5,098","2,29,287.95",-,"3,546",69.56
IOLCP,EQ,17-01-2011,45.0,45.0,45.45,45.0,45.0,45.05,45.04,"3,181","1,43,262.45",-,"2,940",92.42
IOLCP,EQ,18-01-2011,45.05,43.15,45.95,43.15,45.0,45.0,44.71,"1,475","65,946.85",-,"1,056",71.59
IOLCP,EQ,19-01-2011,45.0,45.0,45.0,45.0,45.0,45.0,45.0,"1,553","69,885.00",-,"1,553",100.00
IOLCP,EQ,20-01-2011,45.0,45.0,45.0,45.0,45.0,45.0,45.0,795,"35,775.00",-,795,100.00
IOLCP,EQ,21-01-2011,45.0,44.55,45.25,43.15,45.0,45.0,44.7,"1,108","49,528.95",-,851,76.81
IOLCP,EQ,24-01-2011,45.0,45.0,45.9,45.0,45.0,45.0,45.28,651,"29,475.00",-,651,100.00
IOLCP,EQ,25-01-2011,45.0,46.0,46.5,45.0,45.0,45.0,45.46,735,"33,410.00",-,591,80.41
IOLCP,EQ,27-01-2011,45.0,45.0,45.0,45.0,45.0,45.0,45.0,"1,481","66,645.00",-,"1,481",100.00
IOLCP,EQ,28-01-2011,45.0,42.5,43.5,42.3,43.5,43.25,42.91,610,"26,174.70",-,401,65.74
IOLCP,EQ,31-01-2011,43.25,42.3,45.0,39.9,43.6,43.6,43.84,"1,862","81,623.20",-,"1,654",88.83
IOLCP,EQ,01-02-2011,43.6,43.0,45.0,42.05,44.1,44.1,44.02,"4,994","2,19,840.40",-,"4,305",86.20
IOLCP,EQ,02-02-2011,44.1,44.0,44.0,41.6,41.6,41.6,43.35,"2,572","1,11,507.50",-,"2,217",86.20
IOLCP,EQ,03-02-2011,41.6,39.1,45.1,39.1,44.5,44.15,44.06,"17,793","7,83,927.30",-,"10,220",57.44
IOLCP,EQ,04-02-2011,44.15,41.75,44.45,41.6,43.35,43.35,42.96,"4,642","1,99,408.35",-,"1,142",24.60
IOLCP,EQ,07-02-2011,43.35,42.05,45.0,42.0,45.0,44.65,44.03,"3,249","1,43,057.70",-,"1,799",55.37
IOLCP,EQ,08-02-2011,44.65,44.05,45.0,40.45,42.05,41.6,42.69,"7,052","3,01,052.70",-,863,12.24
IOLCP,EQ,09-02-2011,41.6,40.05,41.5,37.5,38.15,39.35,39.66,"7,353","2,91,594.65",-,"5,215",70.92
IOLCP,EQ,10-02-2011,39.35,37.55,38.0,36.1,37.0,36.9,37.23,"1,948","72,522.85",-,"1,723",88.45
IOLCP,EQ,11-02-2011,36.9,36.0,40.0,35.0,40.0,38.9,38.48,"4,688","1,80,406.75",-,"3,845",82.02
IOLCP,EQ,14-02-2011,38.9,41.45,41.45,38.15,39.0,39.0,39.6,"1,718","68,032.75",-,"1,368",79.63
IOLCP,EQ,15-02-2011,39.0,39.1,40.0,39.0,39.65,39.8,39.82,"3,752","1,49,398.65",-,"3,626",96.64
IOLCP,EQ,16-02-2011,39.8,39.4,40.0,38.5,40.0,39.9,39.56,"1,550","61,316.10",-,"1,250",80.65
IOLCP,EQ,17-02-2011,39.9,39.25,39.85,38.5,38.5,38.95,38.95,386,"15,035.35",-,319,82.64
IOLCP,EQ,18-02-2011,38.95,42.4,42.4,38.15,39.45,39.15,38.86,"1,741","67,657.95",-,503,28.89
IOLCP,EQ,21-02-2011,39.15,39.95,41.0,39.05,40.0,40.5,40.11,"4,213","1,69,003.45",-,"2,000",47.47
IOLCP,EQ,22-02-2011,40.5,38.9,40.55,37.55,40.55,39.8,39.3,"6,953","2,73,277.40",-,"3,978",57.21
