SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
ITC,EQ,01-01-1996,249.75,249.75,252.0,249.0,-,251.25,250.45,"21,900","54,84,855.00",-,-,-
ITC,EQ,02-01-1996,251.25,246.0,250.5,238.0,-,241.75,241.85,"1,66,000","4,01,47,470.00",-,-,-
ITC,EQ,03-01-1996,241.75,231.0,236.45,229.55,-,234.0,234.09,"3,36,900","7,88,66,305.00",-,-,-
ITC,EQ,04-01-1996,234.00,234.0,239.95,231.5,-,238.4,234.62,"2,75,500","6,46,38,390.00",-,-,-
ITC,EQ,05-01-1996,238.40,238.4,237.5,233.5,-,234.1,235.36,"1,11,300","2,61,95,660.00",-,-,-
ITC,EQ,08-01-1996,234.10,234.1,235.75,225.5,-,226.9,229.09,"2,81,000","6,43,73,730.00",-,-,-
ITC,EQ,09-01-1996,226.90,226.9,229.9,224.25,-,226.3,226.74,"1,99,300","4,51,88,755.00",-,-,-
ITC,EQ,10-01-1996,226.30,226.3,230.0,224.0,-,225.55,227.44,"66,400","1,51,02,180.00",-,-,-
ITC,EQ,11-01-1996,225.55,225.55,226.95,224.5,-,226.75,225.53,"49,500","1,11,63,660.00",-,-,-
ITC,EQ,12-01-1996,226.75,226.75,231.0,226.0,-,229.0,229.16,"1,06,800","2,44,73,760.00",-,-,-
ITC,EQ,15-01-1996,229.00,229.0,230.0,226.25,-,226.55,227.5,"44,900","1,02,14,740.00",-,-,-
ITC,EQ,16-01-1996,226.55,226.55,228.05,225.0,-,225.85,226.64,"68,500","1,55,25,105.00",-,-,-
ITC,EQ,17-01-1996,225.85,225.85,227.0,225.1,-,225.8,226.23,"68,400","1,54,73,890.00",-,-,-
ITC,EQ,18-01-1996,225.80,225.8,224.9,220.0,-,223.0,222.94,"1,14,400","2,55,03,795.00",-,-,-
ITC,EQ,19-01-1996,223.00,223.0,223.5,208.25,-,213.35,213.2,"3,58,400","7,64,10,395.00",-,-,-
ITC,EQ,22-01-1996,213.35,213.35,214.9,209.05,-,211.85,211.86,"87,700","1,85,80,090.00",-,-,-
ITC,EQ,23-01-1996,211.85,211.85,213.65,197.0,-,198.75,205.83,"1,76,600","3,63,49,000.00",-,-,-
ITC,EQ,24-01-1996,198.75,198.75,201.5,186.75,-,190.15,191.68,"3,50,300","6,71,45,455.00",-,-,-
ITC,EQ,25-01-1996,190.15,190.15,190.0,186.5,-,188.2,188.3,"1,80,900","3,40,63,845.00",-,-,-
ITC,EQ,29-01-1996,188.20,188.2,202.75,187.55,-,198.75,195.77,"2,14,200","4,19,32,880.00",-,-,-
ITC,EQ,30-01-1996,198.75,198.75,216.95,199.8,-,211.15,204.98,"3,48,200","7,13,73,610.00",-,-,-
ITC,EQ,31-01-1996,211.15,211.15,209.25,200.7,-,203.25,204.84,"2,13,300","4,36,91,520.00",-,-,-
ITC,EQ,01-02-1996,203.25,203.25,219.0,203.5,-,215.9,210.56,"2,79,400","5,88,30,510.00",-,-,-
