SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
JAGRAN,EQ,22-02-2006,320.0,361.0,392.0,265.1,270.5,270.9,289.54,"1,71,42,208","4,96,34,22,547.35",-,"21,94,844",12.8
JAGRAN,EQ,23-02-2006,270.9,277.7,277.7,253.5,260.0,261.6,260.41,"63,03,601","1,64,15,17,118.10",-,"4,00,459",6.35
JAGRAN,EQ,24-02-2006,261.6,263.0,273.8,258.2,269.0,269.5,267.88,"38,92,931","1,04,28,19,067.30",-,"3,06,985",7.89
JAGRAN,EQ,27-02-2006,269.5,270.5,270.5,260.6,260.65,261.8,264.49,"10,36,355","27,41,08,790.55",-,"1,79,269",17.3
JAGRAN,EQ,28-02-2006,261.8,261.0,263.0,252.25,252.25,254.35,257.13,"4,99,934","12,85,48,174.70",-,"1,03,569",20.72
JAGRAN,EQ,01-03-2006,254.35,254.7,258.7,250.0,254.15,255.35,254.43,"6,14,329","15,63,04,618.85",-,"1,84,801",30.08
JAGRAN,EQ,02-03-2006,255.35,257.8,265.0,251.55,252.0,253.35,258.09,"4,53,730","11,71,04,223.35",-,"82,492",18.18
JAGRAN,EQ,03-03-2006,253.35,254.0,254.9,249.05,252.15,252.65,252.22,"2,97,942","7,51,46,559.85",-,"84,238",28.27
JAGRAN,EQ,06-03-2006,252.65,253.0,261.65,250.1,258.0,257.75,256.16,"3,92,350","10,05,03,991.55",-,"1,40,906",35.91
JAGRAN,EQ,07-03-2006,257.75,259.0,259.3,251.5,256.65,255.7,254.91,"2,21,148","5,63,71,986.45",-,"1,02,845",46.51
JAGRAN,EQ,08-03-2006,255.7,256.5,263.8,249.0,258.1,258.35,256.88,"5,14,190","13,20,87,100.35",-,"2,80,615",54.57
JAGRAN,EQ,09-03-2006,258.35,260.0,289.65,258.9,288.1,285.2,277.23,"24,67,341","68,40,14,190.35",-,"4,66,892",18.92
JAGRAN,EQ,10-03-2006,285.2,290.0,293.0,273.65,273.65,275.75,284.52,"5,58,838","15,90,00,337.00",-,"1,34,992",24.16
JAGRAN,EQ,13-03-2006,275.75,275.0,276.0,265.25,266.5,266.3,269.46,"1,78,698","4,81,51,916.45",-,"46,106",25.8
JAGRAN,EQ,14-03-2006,266.3,267.5,269.25,261.0,262.0,262.3,264.54,"93,917","2,48,45,029.90",-,"28,210",30.04
JAGRAN,EQ,16-03-2006,262.3,263.0,268.5,259.0,260.85,260.5,262.55,"1,47,496","3,87,25,103.35",-,"59,994",40.68
JAGRAN,EQ,17-03-2006,260.5,260.05,264.0,259.0,259.95,259.4,260.7,"81,160","2,11,58,767.75",-,"52,842",65.11
JAGRAN,EQ,20-03-2006,259.4,255.0,271.4,254.65,264.0,262.7,262.97,"3,27,661","8,61,64,870.70",-,"79,824",24.36
JAGRAN,EQ,21-03-2006,262.7,261.0,270.9,261.0,270.0,267.45,266.65,"1,59,456","4,25,18,661.40",-,"60,238",37.78
JAGRAN,EQ,22-03-2006,267.45,264.0,294.7,264.0,292.5,291.1,286.51,"14,88,430","42,64,51,344.85",-,"3,72,581",25.03
JAGRAN,EQ,23-03-2006,291.1,292.3,304.3,283.0,302.0,300.25,294.84,"18,42,056","54,31,11,727.45",-,"2,62,442",14.25
JAGRAN,EQ,24-03-2006,300.25,300.0,304.6,286.7,304.0,300.1,295.43,"7,11,401","21,01,70,109.70",-,"2,05,460",28.88
JAGRAN,EQ,27-03-2006,300.1,300.5,321.0,294.05,320.0,314.35,309.77,"5,94,216","18,40,69,529.60",-,"4,29,337",72.25
JAGRAN,EQ,28-03-2006,314.35,319.0,319.0,285.3,287.9,292.2,305.36,"3,35,525","10,24,54,522.65",-,"99,776",29.74
JAGRAN,EQ,29-03-2006,292.2,291.4,305.0,288.6,292.9,294.35,297.26,"2,94,527","8,75,52,359.35",-,"57,516",19.53
JAGRAN,EQ,30-03-2006,294.35,295.4,297.5,288.1,290.1,290.85,292.72,"1,52,067","4,45,12,491.35",-,"81,971",53.9
JAGRAN,EQ,31-03-2006,290.85,293.0,300.0,290.0,292.05,294.45,294.92,"1,40,609","4,14,68,979.05",-,"55,180",39.24
